symbol,date,open,high,low,close,volume
1STPRIMFMF,2022-01-02,20.0,20.3,19.8,20.2,169570.0
1STPRIMFMF,2022-01-03,20.2,22.1,20.2,21.6,831750.0
1STPRIMFMF,2022-01-04,21.5,22.0,21.1,21.3,448270.0
1STPRIMFMF,2022-01-05,21.1,21.1,20.4,20.6,456554.0
1STPRIMFMF,2022-01-06,20.9,21.2,20.6,20.7,249777.0
1STPRIMFMF,2022-01-09,20.8,20.9,20.3,20.4,241793.0
1STPRIMFMF,2022-01-10,20.5,20.5,20.1,20.2,288390.0
1STPRIMFMF,2022-01-11,20.3,20.8,20.2,20.5,361705.0
1STPRIMFMF,2022-01-12,20.7,21.3,20.3,20.5,417666.0
1STPRIMFMF,2022-01-13,20.5,20.8,20.4,20.5,209050.0
1STPRIMFMF,2022-01-16,20.5,20.6,20.1,20.2,452916.0
1STPRIMFMF,2022-01-17,20.3,20.4,20.0,20.1,251257.0
1STPRIMFMF,2022-01-18,20.2,20.4,19.6,19.8,543110.0
1STPRIMFMF,2022-01-19,19.9,20.3,19.7,19.8,441547.0
1STPRIMFMF,2022-01-20,20.1,20.4,19.9,20.3,191222.0
1STPRIMFMF,2022-01-23,20.3,20.3,19.8,19.9,276994.0
1STPRIMFMF,2022-01-24,20.1,20.1,19.7,19.8,159618.0
1STPRIMFMF,2022-01-25,20.0,20.0,19.6,19.7,138285.0
1STPRIMFMF,2022-01-26,19.7,19.9,19.3,19.4,431562.0
1STPRIMFMF,2022-01-27,19.4,19.5,19.1,19.2,377757.0
1STPRIMFMF,2022-01-30,19.4,19.5,19.0,19.0,248823.0
1STPRIMFMF,2022-01-31,19.2,19.3,18.7,18.8,432714.0
1STPRIMFMF,2022-02-01,19.1,19.2,18.3,18.7,558115.0
1STPRIMFMF,2022-02-02,18.8,19.2,18.7,18.9,162656.0
1STPRIMFMF,2022-02-03,18.8,19.1,18.8,19.0,122416.0
1STPRIMFMF,2022-02-06,19.0,19.2,18.8,18.8,223993.0
1STPRIMFMF,2022-02-07,18.9,19.0,18.7,18.8,318111.0
1STPRIMFMF,2022-02-08,18.9,18.9,18.7,18.8,133162.0
1STPRIMFMF,2022-02-09,18.9,19.7,18.8,19.5,520935.0
1STPRIMFMF,2022-02-10,19.7,19.7,19.1,19.3,177518.0
1STPRIMFMF,2022-02-13,19.3,19.3,18.8,18.9,254681.0
1STPRIMFMF,2022-02-14,19.1,19.4,18.8,18.9,190830.0
1STPRIMFMF,2022-02-15,18.8,19.0,18.6,18.8,147976.0
1STPRIMFMF,2022-02-16,18.7,19.0,18.6,18.7,276739.0
1STPRIMFMF,2022-02-17,18.7,18.7,18.3,18.4,171866.0
1STPRIMFMF,2022-02-20,18.4,18.6,17.7,17.8,311564.0
1STPRIMFMF,2022-02-23,16.8,17.2,16.8,17.1,204322.0
1STPRIMFMF,2022-02-24,17.2,17.2,16.6,16.7,161193.0
1STPRIMFMF,2022-02-27,16.5,16.7,15.8,16.2,210400.0
1STPRIMFMF,2022-02-28,16.5,16.5,16.1,16.3,82301.0
1STPRIMFMF,2022-03-01,16.3,16.5,16.1,16.2,64329.0
1STPRIMFMF,2022-03-02,16.5,16.5,15.9,16.3,149013.0
1STPRIMFMF,2022-03-03,16.4,16.4,15.9,16.2,87425.0
1STPRIMFMF,2022-03-06,16.6,17.8,16.6,17.8,1209485.0
1STPRIMFMF,2022-03-07,17.8,18.0,17.1,17.9,519703.0
1STPRIMFMF,2022-03-08,17.5,18.0,17.2,17.6,598325.0
1STPRIMFMF,2022-03-09,17.8,18.0,17.6,17.7,360303.0
1STPRIMFMF,2022-03-10,18.1,18.1,17.4,17.6,332184.0
1STPRIMFMF,2022-03-13,18.0,18.3,17.8,18.2,589364.0
1STPRIMFMF,2022-03-14,18.2,18.7,18.1,18.3,354970.0
