symbol,date,open,high,low,close,volume
AAMRANET,2022-01-02,44.0,44.6,43.5,44.3,172547.0
AAMRANET,2022-01-03,44.6,46.4,44.6,45.4,614781.0
AAMRANET,2022-01-04,45.9,46.5,45.0,46.0,465867.0
AAMRANET,2022-01-05,46.4,48.1,46.3,46.9,648059.0
AAMRANET,2022-01-06,47.4,47.4,46.1,46.2,435044.0
AAMRANET,2022-01-09,46.2,47.0,45.1,45.4,282235.0
AAMRANET,2022-01-10,45.4,46.4,44.5,44.8,617291.0
AAMRANET,2022-01-11,45.0,46.5,44.5,45.1,573287.0
AAMRANET,2022-01-12,45.4,48.7,45.2,46.3,984487.0
AAMRANET,2022-01-13,46.3,46.8,45.2,45.6,301675.0
AAMRANET,2022-01-16,45.7,48.2,45.5,46.7,781455.0
AAMRANET,2022-01-17,46.8,47.3,46.1,46.2,381210.0
AAMRANET,2022-01-18,46.2,46.8,45.7,45.9,275627.0
AAMRANET,2022-01-19,45.6,46.5,45.5,45.7,266260.0
AAMRANET,2022-01-20,46.1,46.2,45.3,45.5,223931.0
AAMRANET,2022-01-23,45.6,45.7,45.0,45.4,290379.0
AAMRANET,2022-01-24,45.7,46.3,44.7,44.8,147103.0
AAMRANET,2022-01-25,44.8,45.0,44.3,44.4,269765.0
AAMRANET,2022-01-26,44.6,46.0,44.4,45.2,302065.0
AAMRANET,2022-01-27,45.2,45.7,44.3,44.6,240253.0
AAMRANET,2022-01-30,44.6,45.0,44.2,44.3,110447.0
AAMRANET,2022-01-31,44.3,44.8,43.2,43.5,386157.0
AAMRANET,2022-02-01,43.6,44.0,43.2,43.4,190046.0
AAMRANET,2022-02-02,43.8,44.4,43.5,43.6,114371.0
AAMRANET,2022-02-03,44.4,45.2,43.6,44.0,182536.0
AAMRANET,2022-02-06,44.6,44.6,43.8,44.0,129552.0
AAMRANET,2022-02-07,44.8,44.8,43.8,43.9,138160.0
AAMRANET,2022-02-08,44.5,44.5,43.5,44.0,166943.0
AAMRANET,2022-02-09,44.5,44.9,44.0,44.3,163805.0
AAMRANET,2022-02-10,44.7,44.7,43.8,44.5,145638.0
AAMRANET,2022-02-13,45.0,45.0,43.3,43.7,289064.0
AAMRANET,2022-02-14,44.0,44.4,43.5,43.7,178622.0
AAMRANET,2022-02-15,43.9,44.0,43.1,43.3,126349.0
AAMRANET,2022-02-16,43.7,44.0,43.1,43.3,545032.0
AAMRANET,2022-02-17,43.3,43.5,43.2,43.3,94823.0
AAMRANET,2022-02-20,43.9,43.9,42.7,42.9,103622.0
AAMRANET,2022-02-22,43.3,45.2,43.3,44.5,714398.0
AAMRANET,2022-02-23,45.0,45.2,44.4,44.6,352883.0
AAMRANET,2022-02-24,44.5,44.5,43.0,43.3,253571.0
AAMRANET,2022-02-27,43.0,44.8,41.0,41.1,290909.0
AAMRANET,2022-02-28,41.3,42.4,41.1,41.8,104971.0
AAMRANET,2022-03-01,41.9,42.3,40.6,40.8,230536.0
AAMRANET,2022-03-02,40.5,41.5,39.9,40.5,149710.0
AAMRANET,2022-03-03,40.4,41.4,39.6,41.1,117472.0
AAMRANET,2022-03-06,41.3,41.4,40.1,40.5,70899.0
AAMRANET,2022-03-07,40.3,40.9,39.7,40.1,248123.0
AAMRANET,2022-03-08,41.9,42.0,39.7,41.3,211984.0
AAMRANET,2022-03-09,42.0,44.9,41.8,44.2,1134165.0
AAMRANET,2022-03-10,43.6,46.5,43.4,46.0,1310598.0
AAMRANET,2022-03-13,46.7,47.5,45.7,46.5,1440268.0
AAMRANET,2022-03-14,46.4,46.4,45.6,45.6,1004162.0
AAMRANET,2022-03-15,45.4,50.1,45.4,50.1,6669600.0
AAMRANET,2022-03-16,52.5,54.8,49.6,50.0,2901062.0
AAMRANET,2022-03-20,49.0,49.5,49.0,49.0,753548.0
AAMRANET,2022-03-21,48.1,48.5,48.1,48.1,1225810.0
AAMRANET,2022-03-22,47.5,50.3,47.2,49.6,3423983.0
AAMRANET,2022-03-23,50.3,50.4,48.7,48.7,1790741.0
AAMRANET,2022-03-24,47.8,47.8,47.8,47.8,108787.0
AAMRANET,2022-03-27,46.9,47.9,46.9,46.9,906324.0
AAMRANET,2022-03-28,46.2,47.3,46.0,46.6,1771082.0
AAMRANET,2022-03-29,47.2,47.2,45.7,45.7,692043.0
AAMRANET,2022-03-30,45.7,46.2,44.8,44.8,713020.0
AAMRANET,2022-03-31,45.2,46.0,44.4,45.1,745978.0
AAMRANET,2022-04-03,45.2,45.7,44.2,44.2,746021.0
AAMRANET,2022-04-04,43.9,44.2,43.4,43.4,501899.0
AAMRANET,2022-04-05,43.4,43.4,42.6,42.7,473275.0
AAMRANET,2022-04-06,42.8,43.0,42.0,42.2,394920.0
AAMRANET,2022-04-07,42.3,43.4,42.0,43.0,536933.0
AAMRANET,2022-04-10,43.5,43.7,42.9,43.3,389344.0
AAMRANET,2022-04-11,43.2,43.7,42.5,42.6,560153.0
AAMRANET,2022-04-12,42.4,42.4,41.8,41.8,281393.0
AAMRANET,2022-04-13,41.3,41.8,41.0,41.1,499775.0
AAMRANET,2022-04-17,41.3,41.6,40.3,40.3,330111.0
AAMRANET,2022-04-18,39.6,39.7,39.5,39.5,542794.0
AAMRANET,2022-04-19,39.0,40.3,38.8,39.9,395632.0
AAMRANET,2022-04-20,40.1,40.5,39.4,40.2,656078.0
AAMRANET,2022-04-21,40.4,43.3,40.2,42.0,1117586.0
AAMRANET,2022-04-24,41.8,42.8,40.3,40.8,909930.0
AAMRANET,2022-04-25,40.5,41.2,40.2,40.4,345415.0
AAMRANET,2022-04-26,40.7,41.1,40.1,40.8,361461.0
AAMRANET,2022-04-27,41.0,41.7,40.6,40.7,529677.0
AAMRANET,2022-04-28,40.5,40.5,39.5,39.7,516047.0
AAMRANET,2022-05-05,39.7,40.4,39.5,40.3,191273.0
AAMRANET,2022-05-08,40.3,40.9,40.1,40.5,930293.0
AAMRANET,2022-05-09,40.9,42.7,40.9,41.6,1209606.0
AAMRANET,2022-05-10,41.6,42.0,40.6,40.9,936582.0
AAMRANET,2022-05-11,40.8,41.1,39.6,39.8,706608.0
AAMRANET,2022-05-12,39.9,40.3,39.2,39.4,629736.0
AAMRANET,2022-05-16,39.5,39.9,37.5,37.6,717413.0
AAMRANET,2022-05-17,38.1,38.4,36.1,37.4,372865.0
AAMRANET,2022-05-18,37.8,38.5,36.0,36.5,674736.0
AAMRANET,2022-05-19,36.3,37.3,36.0,36.4,286775.0
AAMRANET,2022-05-22,36.7,37.4,34.7,35.1,395246.0
AAMRANET,2022-05-23,37.9,37.9,35.8,37.0,357232.0
AAMRANET,2022-05-24,36.9,37.8,36.0,36.2,329125.0
AAMRANET,2022-05-25,37.0,37.4,35.7,35.9,426452.0
AAMRANET,2022-05-26,35.5,36.5,35.5,36.2,176309.0
AAMRANET,2022-05-29,37.1,38.1,36.8,37.9,681409.0
AAMRANET,2022-05-30,38.8,38.9,37.4,37.5,364112.0
AAMRANET,2022-05-31,37.4,37.8,36.9,37.4,421313.0
AAMRANET,2022-06-01,37.8,38.2,37.4,37.5,266265.0
AAMRANET,2022-06-02,37.9,39.3,37.7,38.7,854656.0
AAMRANET,2022-06-05,38.8,39.6,38.0,39.0,772355.0
AAMRANET,2022-06-06,39.8,39.8,38.3,38.4,688755.0
AAMRANET,2022-06-07,38.7,38.7,37.7,37.9,301765.0
AAMRANET,2022-06-08,37.7,38.2,37.4,37.8,681685.0
AAMRANET,2022-06-09,38.4,38.5,37.5,37.6,319933.0
AAMRANET,2022-06-12,37.8,37.8,36.9,36.9,477919.0
AAMRANET,2022-06-13,36.6,37.0,36.5,36.7,330023.0
AAMRANET,2022-06-14,37.3,37.3,36.2,36.3,284346.0
AAMRANET,2022-06-15,36.1,37.4,36.1,36.6,445478.0
AAMRANET,2022-06-16,37.0,37.3,36.7,36.9,437361.0
AAMRANET,2022-06-19,37.0,38.3,36.9,37.4,679975.0
AAMRANET,2022-06-20,37.4,37.4,36.7,36.7,222196.0
AAMRANET,2022-06-21,36.4,36.8,36.0,36.0,298318.0
AAMRANET,2022-06-22,36.8,36.8,35.5,36.0,211672.0
AAMRANET,2022-06-23,36.4,36.8,35.8,36.0,477000.0
AAMRANET,2022-06-26,36.3,36.5,35.9,36.0,199134.0
AAMRANET,2022-06-27,36.2,36.5,36.0,36.4,208679.0
AAMRANET,2022-06-28,36.7,37.2,36.5,36.8,377459.0
AAMRANET,2022-06-29,37.1,37.4,36.8,37.0,306992.0
AAMRANET,2022-06-30,37.2,39.6,36.9,39.1,1978763.0
AAMRANET,2022-07-03,39.4,41.4,39.4,41.2,2408177.0
AAMRANET,2022-07-04,41.0,42.8,40.6,42.5,1768577.0
AAMRANET,2022-07-05,43.0,43.5,41.7,42.8,1409432.0
AAMRANET,2022-07-06,42.8,42.8,42.0,42.0,502174.0
AAMRANET,2022-07-07,41.7,42.8,41.2,42.3,1535625.0
AAMRANET,2022-07-12,42.1,42.7,41.5,41.8,795860.0
AAMRANET,2022-07-13,42.0,42.0,41.0,41.0,601202.0
AAMRANET,2022-07-14,40.7,40.8,40.2,40.3,471660.0
AAMRANET,2022-07-17,41.8,41.8,40.3,40.6,554680.0
AAMRANET,2022-07-18,40.4,40.8,39.8,39.8,191609.0
AAMRANET,2022-07-19,39.1,39.1,39.1,39.1,17055.0
AAMRANET,2022-07-20,38.4,39.7,38.4,38.7,606903.0
AAMRANET,2022-07-21,38.0,39.6,38.0,39.3,1772631.0
AAMRANET,2022-07-24,39.3,39.6,38.6,38.6,188142.0
AAMRANET,2022-07-25,37.9,38.9,37.9,38.4,719947.0
AAMRANET,2022-07-26,39.5,39.5,37.7,37.9,754524.0
AAMRANET,2022-07-27,39.3,39.4,37.2,37.7,644937.0
AAMRANET,2022-07-28,37.4,38.1,37.0,37.0,409577.0
AAMRANET,2022-07-31,38.0,38.4,37.9,38.2,474904.0
AAMRANET,2022-08-01,38.2,38.5,37.9,38.2,564512.0
AAMRANET,2022-08-02,38.5,39.1,37.9,38.8,855821.0
AAMRANET,2022-08-03,39.4,39.5,38.4,38.6,834427.0
AAMRANET,2022-08-04,38.8,38.8,38.0,38.5,1018925.0
AAMRANET,2022-08-07,39.2,39.5,38.3,38.9,762119.0
AAMRANET,2022-08-08,39.2,39.2,38.1,38.3,933593.0
AAMRANET,2022-08-10,38.5,38.5,37.9,38.2,479364.0
AAMRANET,2022-08-11,38.6,38.6,37.9,38.0,239948.0
AAMRANET,2022-08-14,38.3,38.3,37.9,37.9,191900.0
AAMRANET,2022-08-16,38.4,38.8,38.0,38.7,444021.0
AAMRANET,2022-08-17,38.8,39.7,38.8,39.0,1723255.0
AAMRANET,2022-08-21,39.6,40.5,39.2,40.4,1803198.0
AAMRANET,2022-08-22,41.0,41.0,40.0,40.2,1235952.0
AAMRANET,2022-08-23,39.9,40.1,38.7,38.8,901324.0
AAMRANET,2022-08-24,40.0,41.5,38.5,38.7,471793.0
AAMRANET,2022-08-25,39.7,39.8,38.8,39.3,690287.0
AAMRANET,2022-08-28,40.2,40.2,39.3,39.5,1333595.0
AAMRANET,2022-08-29,40.0,42.9,40.0,41.4,2975745.0
AAMRANET,2022-08-30,42.3,42.3,40.9,41.4,1289626.0
AAMRANET,2022-08-31,42.3,42.3,41.0,41.3,1450439.0
AAMRANET,2022-09-01,41.9,42.2,41.1,41.5,964112.0
AAMRANET,2022-09-04,42.2,42.2,40.1,40.3,1203611.0
AAMRANET,2022-09-05,41.5,41.5,39.0,39.1,627238.0
AAMRANET,2022-09-06,39.9,40.9,39.4,39.9,471119.0
AAMRANET,2022-09-07,40.7,40.8,38.8,39.1,948153.0
AAMRANET,2022-09-08,40.7,40.7,38.9,39.0,478330.0
AAMRANET,2022-09-11,39.3,39.3,38.2,38.6,508827.0
AAMRANET,2022-09-12,39.0,39.0,38.6,38.9,207640.0
AAMRANET,2022-09-13,39.3,39.4,38.7,39.0,684420.0
AAMRANET,2022-09-14,39.1,39.3,38.4,38.5,332660.0
AAMRANET,2022-09-15,39.1,40.2,39.1,39.4,645951.0
AAMRANET,2022-09-18,40.2,40.4,38.7,39.0,752069.0
AAMRANET,2022-09-19,39.8,40.0,39.0,39.2,774210.0
AAMRANET,2022-09-20,39.8,41.4,39.4,40.0,1497359.0
AAMRANET,2022-09-21,41.9,41.9,39.4,39.5,806230.0
AAMRANET,2022-09-22,39.5,41.8,39.4,41.5,1616799.0
AAMRANET,2022-09-25,42.0,43.2,40.9,41.4,1508985.0
AAMRANET,2022-09-26,41.1,41.4,40.0,40.3,845276.0
AAMRANET,2022-09-27,41.0,41.7,40.2,40.4,821090.0
AAMRANET,2022-09-28,40.9,40.9,39.2,39.5,612151.0
AAMRANET,2022-09-29,40.4,40.4,38.9,39.0,547242.0
AAMRANET,2022-10-02,39.4,39.4,38.5,39.0,591106.0
AAMRANET,2022-10-03,38.8,39.3,38.6,38.7,401131.0
AAMRANET,2022-10-04,38.7,40.8,38.5,39.8,690267.0
AAMRANET,2022-10-06,40.0,40.6,39.6,40.4,663723.0
AAMRANET,2022-10-10,40.9,40.9,37.9,38.1,763323.0
AAMRANET,2022-10-11,38.4,38.8,37.9,38.1,427319.0
AAMRANET,2022-10-12,38.4,38.8,37.9,38.2,517240.0
AAMRANET,2022-10-13,38.1,38.7,37.9,37.9,488965.0
AAMRANET,2022-10-16,38.0,40.5,38.0,39.4,1040505.0
AAMRANET,2022-10-17,39.9,40.2,38.0,38.2,734013.0
AAMRANET,2022-10-18,38.2,38.4,37.9,37.9,675573.0
AAMRANET,2022-10-19,37.9,38.5,37.9,37.9,615481.0
AAMRANET,2022-10-20,37.9,38.3,37.9,37.9,68985.0
AAMRANET,2022-10-23,37.9,37.9,37.9,37.9,43566.0
AAMRANET,2022-10-24,37.9,37.9,37.9,37.9,925.0
AAMRANET,2022-10-25,37.9,39.0,37.9,38.0,798163.0
AAMRANET,2022-10-26,38.9,39.4,38.0,38.4,1034181.0
AAMRANET,2022-10-27,38.7,39.2,38.0,38.1,502719.0
AAMRANET,2022-10-30,38.1,38.3,37.9,37.9,253943.0
AAMRANET,2022-10-31,37.9,39.2,37.9,38.9,1118022.0
AAMRANET,2022-11-01,39.5,42.5,38.9,42.4,2868701.0
AAMRANET,2022-11-02,43.4,46.0,41.5,45.7,3477390.0
AAMRANET,2022-11-03,46.1,48.7,44.4,46.7,4008155.0
AAMRANET,2022-11-06,47.4,48.5,46.1,46.8,2545601.0
AAMRANET,2022-11-07,46.4,50.0,46.4,49.2,3523254.0
AAMRANET,2022-11-08,49.9,50.9,45.8,46.6,2917113.0
AAMRANET,2022-11-09,47.0,47.9,44.8,46.4,1983767.0
AAMRANET,2022-11-10,47.6,49.6,47.2,48.9,2520137.0
AAMRANET,2022-11-13,53.7,53.7,52.1,53.6,3495840.0
AAMRANET,2022-11-14,53.6,56.9,51.9,52.5,3726716.0
AAMRANET,2022-11-15,53.6,55.4,50.1,52.3,2215079.0
AAMRANET,2022-11-16,52.0,53.0,48.9,51.4,2409875.0
AAMRANET,2022-11-17,51.5,53.0,49.7,52.4,2329129.0
AAMRANET,2022-11-21,49.0,49.4,45.0,46.1,2289187.0
AAMRANET,2022-11-22,47.6,49.4,46.6,48.8,1332170.0
AAMRANET,2022-11-23,49.0,49.4,45.6,46.5,1635785.0
AAMRANET,2022-11-24,47.0,47.4,45.5,47.1,1270364.0
