symbol,date,open,high,low,close,volume
AAMRATECH,2022-01-02,28.2,29.0,28.2,28.8,126524.0
AAMRATECH,2022-01-03,29.0,30.2,28.8,29.6,600280.0
AAMRATECH,2022-01-04,29.7,30.3,29.3,29.6,472529.0
AAMRATECH,2022-01-05,30.2,30.7,29.8,30.1,560720.0
AAMRATECH,2022-01-06,30.2,30.7,29.8,30.0,474157.0
AAMRATECH,2022-01-09,30.4,30.6,29.7,29.9,636587.0
AAMRATECH,2022-01-10,30.0,30.4,29.7,29.9,411622.0
AAMRATECH,2022-01-11,30.4,30.6,30.0,30.3,479957.0
AAMRATECH,2022-01-12,30.6,33.0,30.4,31.2,1636572.0
AAMRATECH,2022-01-13,31.5,32.2,31.1,31.3,1129382.0
AAMRATECH,2022-01-16,31.8,34.3,31.6,33.6,3353905.0
AAMRATECH,2022-01-17,33.6,33.8,32.1,32.2,1474746.0
AAMRATECH,2022-01-18,32.2,32.8,31.8,32.2,1461314.0
AAMRATECH,2022-01-19,32.7,33.3,31.8,31.9,624974.0
AAMRATECH,2022-01-20,32.5,32.8,31.4,31.6,1053813.0
AAMRATECH,2022-01-23,31.7,32.1,31.2,31.5,571596.0
AAMRATECH,2022-01-24,31.9,31.9,30.4,30.5,572278.0
AAMRATECH,2022-01-25,30.9,31.2,30.5,30.6,318921.0
AAMRATECH,2022-01-26,31.4,32.4,30.9,31.8,1036053.0
AAMRATECH,2022-01-27,32.1,32.4,31.3,31.5,572817.0
AAMRATECH,2022-01-30,31.5,31.8,31.2,31.3,386488.0
AAMRATECH,2022-01-31,33.1,34.1,32.4,33.1,3892115.0
AAMRATECH,2022-02-01,33.3,33.8,32.8,33.0,1347133.0
AAMRATECH,2022-02-02,32.8,33.5,32.4,32.5,1249059.0
AAMRATECH,2022-02-03,32.9,34.5,32.7,33.7,2087306.0
AAMRATECH,2022-02-06,33.8,34.4,33.5,33.6,1513937.0
AAMRATECH,2022-02-07,33.8,35.0,33.8,34.2,2477972.0
AAMRATECH,2022-02-08,34.5,34.7,33.9,34.3,1744872.0
AAMRATECH,2022-02-09,34.6,35.4,34.4,34.5,1294535.0
AAMRATECH,2022-02-10,34.8,34.8,33.7,34.1,1774373.0
AAMRATECH,2022-02-13,34.6,34.6,33.5,33.7,720638.0
AAMRATECH,2022-02-14,33.6,33.8,32.7,32.9,756150.0
AAMRATECH,2022-02-15,32.6,33.6,32.6,33.4,652886.0
AAMRATECH,2022-02-16,33.5,34.5,33.4,33.5,997152.0
AAMRATECH,2022-02-17,33.9,33.9,33.3,33.6,592143.0
AAMRATECH,2022-02-20,33.6,34.3,33.5,34.2,1216898.0
AAMRATECH,2022-02-22,34.5,36.9,34.5,36.4,4920025.0
AAMRATECH,2022-02-23,36.7,37.5,35.4,35.7,2164700.0
AAMRATECH,2022-02-24,35.8,35.8,34.1,35.2,1983674.0
AAMRATECH,2022-02-27,35.9,36.4,34.4,34.7,1681767.0
AAMRATECH,2022-02-28,35.0,35.6,34.0,34.5,1340874.0
AAMRATECH,2022-03-01,34.8,35.3,33.3,33.5,1035874.0
AAMRATECH,2022-03-02,34.3,34.3,32.9,34.0,1045653.0
AAMRATECH,2022-03-03,34.3,35.0,33.8,34.8,2195455.0
AAMRATECH,2022-03-06,35.0,35.4,33.6,33.7,914602.0
AAMRATECH,2022-03-07,33.7,34.7,33.0,33.6,1381095.0
AAMRATECH,2022-03-08,33.8,35.0,33.3,34.8,2074284.0
AAMRATECH,2022-03-09,35.4,35.8,34.9,35.5,1707748.0
AAMRATECH,2022-03-10,35.5,38.2,34.8,37.3,3663897.0
AAMRATECH,2022-03-13,37.6,38.9,36.6,36.9,3403275.0
AAMRATECH,2022-03-14,36.3,37.0,36.2,36.7,2831772.0
AAMRATECH,2022-03-15,36.7,40.3,36.6,39.2,6285363.0
AAMRATECH,2022-03-16,39.4,43.0,38.9,41.0,5758079.0
AAMRATECH,2022-03-20,40.8,41.1,40.2,40.2,2564682.0
AAMRATECH,2022-03-21,39.4,40.4,39.4,39.4,2087642.0
AAMRATECH,2022-03-22,39.1,43.3,38.7,43.3,8223558.0
AAMRATECH,2022-03-23,46.0,46.6,42.5,42.6,4061651.0
AAMRATECH,2022-03-24,41.8,41.8,41.8,41.8,428877.0
AAMRATECH,2022-03-27,41.0,42.4,41.0,41.0,3660086.0
AAMRATECH,2022-03-28,40.4,43.1,40.3,42.1,4353289.0
AAMRATECH,2022-03-29,42.8,42.8,41.3,41.3,1505604.0
AAMRATECH,2022-03-30,40.7,41.2,40.5,40.5,2939805.0
AAMRATECH,2022-03-31,40.2,41.4,40.0,40.5,2030676.0
AAMRATECH,2022-04-03,40.7,41.7,39.7,39.7,1703113.0
AAMRATECH,2022-04-04,39.7,39.8,39.0,39.0,738561.0
AAMRATECH,2022-04-05,38.4,38.9,38.3,38.3,1167591.0
AAMRATECH,2022-04-06,37.7,38.5,37.6,37.6,1266770.0
AAMRATECH,2022-04-07,37.8,38.7,36.9,38.1,1294843.0
AAMRATECH,2022-04-10,38.8,38.9,37.6,38.0,556193.0
AAMRATECH,2022-04-11,38.1,38.8,37.3,37.4,1108649.0
AAMRATECH,2022-04-12,37.7,37.7,36.7,36.7,657537.0
AAMRATECH,2022-04-13,36.8,36.8,36.0,36.0,676877.0
AAMRATECH,2022-04-17,37.3,37.3,35.3,35.3,347915.0
AAMRATECH,2022-04-18,34.9,34.9,34.6,34.6,475293.0
AAMRATECH,2022-04-19,34.2,34.8,34.0,34.5,809044.0
AAMRATECH,2022-04-20,34.9,35.7,34.3,35.0,714106.0
AAMRATECH,2022-04-21,34.6,37.7,34.6,36.9,1634253.0
AAMRATECH,2022-04-24,37.2,38.3,35.7,36.2,1515731.0
AAMRATECH,2022-04-25,35.8,36.2,35.3,35.5,595804.0
AAMRATECH,2022-04-26,35.8,37.2,35.1,36.7,644647.0
AAMRATECH,2022-04-27,37.0,37.4,35.7,35.9,1407515.0
AAMRATECH,2022-04-28,36.2,36.8,35.8,36.3,1027905.0
AAMRATECH,2022-05-05,36.0,36.0,35.2,35.7,462443.0
AAMRATECH,2022-05-08,35.7,37.8,35.7,37.2,1642976.0
AAMRATECH,2022-05-09,37.4,38.3,37.3,37.7,1804064.0
AAMRATECH,2022-05-10,37.7,38.9,37.4,37.7,2236326.0
AAMRATECH,2022-05-11,37.1,37.8,35.9,36.2,1081052.0
AAMRATECH,2022-05-12,36.0,36.5,35.6,35.8,769301.0
AAMRATECH,2022-05-16,35.6,36.6,34.1,34.2,722154.0
AAMRATECH,2022-05-17,34.4,35.0,32.5,33.8,721568.0
AAMRATECH,2022-05-18,34.4,34.4,32.3,32.6,490536.0
AAMRATECH,2022-05-19,32.3,32.9,31.2,31.7,564544.0
AAMRATECH,2022-05-22,31.7,31.8,30.2,30.2,702155.0
AAMRATECH,2022-05-23,31.5,32.4,31.0,32.2,752657.0
AAMRATECH,2022-05-24,31.8,32.8,31.1,31.4,612198.0
