symbol,date,open,high,low,close,volume
ABBANK,2022-01-02,13.6,13.9,13.5,13.9,1062338.0
ABBANK,2022-01-03,14.0,14.2,13.7,13.8,936676.0
ABBANK,2022-01-04,14.0,14.0,13.6,13.6,509603.0
ABBANK,2022-01-05,13.7,13.8,13.5,13.7,951536.0
ABBANK,2022-01-06,13.8,14.2,13.8,14.0,1807954.0
ABBANK,2022-01-09,14.0,14.1,13.8,13.9,940311.0
ABBANK,2022-01-10,13.8,13.9,13.8,13.8,1257493.0
ABBANK,2022-01-11,13.8,14.0,13.8,13.9,1237033.0
ABBANK,2022-01-12,14.0,14.0,13.8,13.8,1755987.0
ABBANK,2022-01-13,13.8,14.0,13.8,13.8,790163.0
ABBANK,2022-01-16,13.8,13.9,13.6,13.7,1415318.0
ABBANK,2022-01-17,13.7,13.7,13.5,13.6,1215027.0
ABBANK,2022-01-18,13.7,13.8,13.6,13.6,1081964.0
ABBANK,2022-01-19,13.6,13.7,13.6,13.6,943959.0
ABBANK,2022-01-20,13.6,13.7,13.5,13.5,1004684.0
ABBANK,2022-01-23,13.5,13.7,13.5,13.6,630427.0
ABBANK,2022-01-24,13.6,13.6,13.4,13.4,948748.0
ABBANK,2022-01-25,13.4,13.6,13.4,13.5,819525.0
ABBANK,2022-01-26,13.4,13.6,13.4,13.5,524427.0
ABBANK,2022-01-27,13.6,13.6,13.4,13.5,517329.0
ABBANK,2022-01-30,13.5,13.5,13.1,13.1,1811796.0
ABBANK,2022-01-31,13.2,13.4,13.1,13.1,686055.0
ABBANK,2022-02-01,13.2,13.3,12.9,13.0,1627348.0
ABBANK,2022-02-02,13.0,13.2,13.0,13.1,461857.0
ABBANK,2022-02-03,13.1,13.3,13.1,13.2,973727.0
ABBANK,2022-02-06,13.4,13.5,13.2,13.2,561457.0
ABBANK,2022-02-07,13.2,13.2,13.1,13.1,755228.0
ABBANK,2022-02-08,13.1,13.3,13.0,13.1,1236968.0
ABBANK,2022-02-09,13.3,13.3,13.0,13.1,1386525.0
ABBANK,2022-02-10,13.1,13.2,13.1,13.2,822932.0
ABBANK,2022-02-13,13.3,13.5,13.1,13.4,951042.0
ABBANK,2022-02-14,13.4,13.7,13.3,13.5,1646402.0
ABBANK,2022-02-15,13.5,13.6,13.3,13.3,808974.0
ABBANK,2022-02-16,13.4,13.4,13.2,13.2,870312.0
