symbol,date,open,high,low,close,volume
ACFL,2022-01-02,30.3,30.5,29.8,30.3,137035.0
ACFL,2022-01-03,30.8,31.1,30.6,30.9,135791.0
ACFL,2022-01-04,31.3,31.4,30.3,30.8,129726.0
ACFL,2022-01-05,30.9,32.6,30.9,31.9,313450.0
ACFL,2022-01-06,31.7,32.6,31.6,32.0,233989.0
ACFL,2022-01-09,32.4,32.4,31.6,31.6,273574.0
ACFL,2022-01-10,31.8,31.9,30.6,31.0,140520.0
ACFL,2022-01-11,31.0,31.9,30.8,31.3,174466.0
ACFL,2022-01-12,31.8,34.1,31.5,32.9,684845.0
ACFL,2022-01-13,33.2,33.2,32.2,32.7,137097.0
ACFL,2022-01-16,32.5,32.9,31.0,32.3,237309.0
ACFL,2022-01-17,31.8,32.5,30.0,31.3,243965.0
ACFL,2022-01-18,32.0,32.0,31.3,31.5,127531.0
ACFL,2022-01-19,31.8,31.9,31.3,31.8,102071.0
ACFL,2022-01-20,32.0,32.5,31.9,32.0,139682.0
ACFL,2022-01-23,32.5,32.5,31.1,31.3,84527.0
ACFL,2022-01-24,31.3,31.3,30.5,30.8,114864.0
ACFL,2022-01-25,31.3,31.7,30.6,30.7,142060.0
ACFL,2022-01-26,31.6,31.7,31.0,31.0,166961.0
ACFL,2022-01-27,31.6,31.6,30.5,30.9,120766.0
ACFL,2022-01-30,31.5,31.5,30.9,31.2,200858.0
ACFL,2022-01-31,31.0,31.0,30.1,30.3,213071.0
ACFL,2022-02-01,30.3,30.5,30.0,30.4,127000.0
ACFL,2022-02-02,30.8,30.9,30.2,30.8,108245.0
ACFL,2022-02-03,30.6,30.8,30.5,30.6,80844.0
ACFL,2022-02-06,30.6,31.5,30.4,31.0,144021.0
ACFL,2022-02-07,31.1,31.4,31.1,31.2,79791.0
ACFL,2022-02-08,31.6,31.6,30.6,30.8,109240.0
ACFL,2022-02-09,31.1,31.4,30.6,30.7,90709.0
ACFL,2022-02-10,30.8,31.5,30.3,30.6,186413.0
ACFL,2022-02-13,31.5,31.5,30.5,30.7,90061.0
ACFL,2022-02-14,30.6,30.9,30.2,30.3,96917.0
ACFL,2022-02-15,30.3,30.6,29.8,30.3,89597.0
ACFL,2022-02-16,30.7,30.7,29.8,30.0,110284.0
ACFL,2022-02-17,30.0,30.1,29.7,29.9,85973.0
ACFL,2022-02-20,29.6,29.8,29.2,29.6,53035.0
ACFL,2022-02-22,29.1,29.8,29.1,29.4,172645.0
ACFL,2022-02-23,29.4,29.7,29.0,29.1,261137.0
ACFL,2022-02-24,29.8,30.0,29.0,29.1,137391.0
ACFL,2022-02-27,29.1,29.1,27.8,27.9,94930.0
ACFL,2022-02-28,28.9,28.9,28.1,28.3,96739.0
ACFL,2022-03-01,28.8,28.8,28.2,28.3,56292.0
ACFL,2022-03-02,28.5,28.5,27.5,27.6,80334.0
ACFL,2022-03-03,27.4,28.3,27.4,28.2,73624.0
ACFL,2022-03-06,28.8,28.8,27.8,27.8,47247.0
ACFL,2022-03-07,27.4,28.4,27.0,27.4,92123.0
ACFL,2022-03-08,27.4,27.8,27.0,27.5,117124.0
ACFL,2022-03-09,28.0,28.8,27.7,28.4,107945.0
ACFL,2022-03-10,28.5,30.6,28.5,29.7,129551.0
ACFL,2022-03-13,29.9,30.9,29.7,30.5,294526.0
ACFL,2022-03-14,30.9,30.9,29.9,29.9,197565.0
ACFL,2022-03-15,29.9,30.0,29.4,29.4,243534.0
ACFL,2022-03-16,29.9,29.9,28.9,29.1,109621.0
ACFL,2022-03-20,29.7,29.7,28.6,28.9,58102.0
ACFL,2022-03-21,29.2,29.2,28.7,29.0,56211.0
ACFL,2022-03-22,29.0,29.2,28.6,29.1,96131.0
ACFL,2022-03-23,29.1,29.2,28.8,28.9,48030.0
