symbol,date,open,high,low,close,volume
ACTIVEFINE,2022-01-02,26.0,27.0,25.9,26.8,2611717.0
ACTIVEFINE,2022-01-03,27.0,28.1,26.9,27.6,5109510.0
ACTIVEFINE,2022-01-04,27.7,30.3,27.0,30.0,12712294.0
ACTIVEFINE,2022-01-05,31.0,31.4,29.3,29.7,8685326.0
ACTIVEFINE,2022-01-06,29.6,30.7,29.3,29.9,9511764.0
ACTIVEFINE,2022-01-09,30.5,31.0,29.0,29.3,7362212.0
ACTIVEFINE,2022-01-10,29.5,29.9,28.8,29.5,6101018.0
ACTIVEFINE,2022-01-11,30.0,31.5,30.0,30.2,11860947.0
ACTIVEFINE,2022-01-12,30.3,30.8,28.8,29.0,7824339.0
ACTIVEFINE,2022-01-13,29.3,29.5,28.3,28.4,4131848.0
ACTIVEFINE,2022-01-16,28.6,29.6,28.3,28.7,7393543.0
ACTIVEFINE,2022-01-17,29.1,29.3,28.8,28.9,3663690.0
ACTIVEFINE,2022-01-18,29.3,30.2,29.1,29.3,7588974.0
ACTIVEFINE,2022-01-19,29.6,30.2,29.2,29.4,6136517.0
ACTIVEFINE,2022-01-20,29.7,30.3,29.4,29.7,8920877.0
ACTIVEFINE,2022-01-23,30.3,30.3,28.8,28.9,5969872.0
ACTIVEFINE,2022-01-24,28.9,29.2,27.4,27.6,5287315.0
ACTIVEFINE,2022-01-25,27.8,28.0,26.8,26.9,3179643.0
ACTIVEFINE,2022-01-26,27.0,27.4,26.6,26.7,3293276.0
ACTIVEFINE,2022-01-27,27.0,28.2,26.8,27.8,3688800.0
ACTIVEFINE,2022-01-30,26.3,26.7,25.6,25.8,4463870.0
ACTIVEFINE,2022-01-31,25.8,25.9,25.2,25.5,1688249.0
ACTIVEFINE,2022-02-01,25.7,26.6,25.6,25.8,2421858.0
ACTIVEFINE,2022-02-02,26.3,26.4,25.7,25.8,1376826.0
ACTIVEFINE,2022-02-03,25.8,26.1,25.3,25.5,1776605.0
ACTIVEFINE,2022-02-06,25.4,25.8,25.1,25.2,1434477.0
ACTIVEFINE,2022-02-07,25.3,25.6,24.9,25.0,1467888.0
ACTIVEFINE,2022-02-08,25.1,25.2,24.4,24.5,2175358.0
ACTIVEFINE,2022-02-09,24.6,25.9,24.6,25.6,4644868.0
ACTIVEFINE,2022-02-10,25.4,25.6,25.0,25.1,1477576.0
ACTIVEFINE,2022-02-13,25.2,25.3,24.3,24.4,2477694.0
ACTIVEFINE,2022-02-14,24.7,24.7,24.0,24.1,1673286.0
ACTIVEFINE,2022-02-15,24.1,24.4,24.0,24.1,1231164.0
ACTIVEFINE,2022-02-16,24.3,24.5,24.0,24.1,863141.0
ACTIVEFINE,2022-02-17,24.4,24.4,23.7,23.8,1303548.0
ACTIVEFINE,2022-02-20,23.8,23.9,23.1,23.3,846650.0
ACTIVEFINE,2022-02-22,23.7,23.9,23.3,23.7,760365.0
ACTIVEFINE,2022-02-23,23.9,24.5,23.8,24.4,1039980.0
ACTIVEFINE,2022-02-24,24.5,24.5,23.5,23.8,1674895.0
ACTIVEFINE,2022-02-27,23.7,23.7,22.4,22.6,1892016.0
ACTIVEFINE,2022-02-28,22.6,23.2,22.5,22.9,1073261.0
ACTIVEFINE,2022-03-01,23.1,23.5,22.9,23.0,773916.0
ACTIVEFINE,2022-03-02,23.1,23.2,22.5,22.6,768365.0
ACTIVEFINE,2022-03-03,22.6,23.0,22.5,22.9,587618.0
ACTIVEFINE,2022-03-06,23.1,23.2,22.7,22.8,494487.0
ACTIVEFINE,2022-03-07,22.6,22.7,21.5,21.6,1345346.0
ACTIVEFINE,2022-03-08,22.0,22.6,21.2,22.2,1089949.0
ACTIVEFINE,2022-03-09,22.5,23.0,22.2,22.9,1078399.0
ACTIVEFINE,2022-03-10,23.1,23.5,22.8,23.2,1614676.0
ACTIVEFINE,2022-03-13,23.3,24.2,23.2,23.9,2781558.0
ACTIVEFINE,2022-03-14,24.2,24.3,23.5,23.6,1972723.0
