symbol,date,open,high,low,close,volume
ADNTEL,2022-01-02,52.1,54.5,52.1,54.1,100576.0
ADNTEL,2022-01-03,54.5,55.5,54.2,54.3,320222.0
ADNTEL,2022-01-04,54.3,54.4,53.0,53.4,226879.0
ADNTEL,2022-01-05,53.9,56.0,53.0,55.4,300314.0
ADNTEL,2022-01-06,55.8,57.2,54.6,56.8,358350.0
ADNTEL,2022-01-09,57.1,57.5,54.7,54.9,136891.0
ADNTEL,2022-01-10,54.9,56.0,54.2,55.2,162073.0
ADNTEL,2022-01-11,55.1,55.3,54.1,54.9,156764.0
ADNTEL,2022-01-12,56.0,58.6,54.1,54.5,385664.0
ADNTEL,2022-01-13,54.5,55.5,54.1,54.3,71734.0
ADNTEL,2022-01-16,54.1,54.7,52.4,53.2,402844.0
ADNTEL,2022-01-17,54.3,54.3,52.6,52.9,209100.0
ADNTEL,2022-01-18,53.1,53.3,51.8,52.3,633927.0
ADNTEL,2022-01-19,52.5,53.7,52.4,53.2,246514.0
ADNTEL,2022-01-20,53.8,54.0,52.4,52.6,248963.0
ADNTEL,2022-01-23,52.5,53.0,51.6,51.8,166568.0
ADNTEL,2022-01-24,51.8,52.5,50.2,50.7,165134.0
ADNTEL,2022-01-25,50.8,51.4,50.2,50.3,155494.0
ADNTEL,2022-01-26,51.0,51.7,50.1,50.7,169277.0
ADNTEL,2022-01-27,51.0,51.9,50.7,51.0,126520.0
ADNTEL,2022-01-30,51.1,52.3,50.8,51.8,662890.0
ADNTEL,2022-01-31,52.5,52.5,51.5,51.8,213556.0
ADNTEL,2022-02-01,52.1,52.8,51.5,52.4,311158.0
ADNTEL,2022-02-02,52.5,52.5,51.3,51.5,269660.0
ADNTEL,2022-02-03,51.5,52.3,51.5,52.0,314291.0
ADNTEL,2022-02-06,52.9,53.0,51.0,51.3,194117.0
ADNTEL,2022-02-07,51.7,51.8,51.0,51.2,162536.0
ADNTEL,2022-02-08,51.1,51.5,50.6,50.7,197363.0
ADNTEL,2022-02-09,51.3,51.3,50.5,50.6,81720.0
