symbol,date,open,high,low,close,volume
AFCAGRO,2022-01-02,28.4,29.5,28.4,29.2,411057.0
AFCAGRO,2022-01-03,29.1,30.4,29.1,29.8,570028.0
AFCAGRO,2022-01-04,29.4,31.5,29.0,31.0,1113247.0
AFCAGRO,2022-01-05,31.6,33.8,31.6,32.7,3909758.0
AFCAGRO,2022-01-06,32.5,32.9,31.5,31.9,1183431.0
AFCAGRO,2022-01-09,32.7,32.7,30.0,30.7,1429874.0
AFCAGRO,2022-01-10,30.9,31.7,30.2,30.7,1224282.0
AFCAGRO,2022-01-11,31.4,31.8,30.7,30.9,1310578.0
AFCAGRO,2022-01-12,31.2,31.7,30.7,31.0,1079166.0
AFCAGRO,2022-01-13,31.5,31.5,30.3,30.5,696039.0
AFCAGRO,2022-01-16,31.2,31.5,30.5,31.4,1108763.0
AFCAGRO,2022-01-17,31.7,31.8,30.6,30.8,979994.0
AFCAGRO,2022-01-18,31.3,31.4,30.9,31.3,991716.0
AFCAGRO,2022-01-19,31.5,31.6,31.1,31.2,752577.0
AFCAGRO,2022-01-20,31.4,33.8,31.3,32.5,4279983.0
AFCAGRO,2022-01-23,32.9,33.0,31.2,31.4,825743.0
AFCAGRO,2022-01-24,31.7,31.7,30.4,30.6,1726359.0
AFCAGRO,2022-01-25,31.1,31.2,29.9,30.2,907015.0
AFCAGRO,2022-01-26,30.1,32.3,29.9,31.6,1308207.0
AFCAGRO,2022-01-27,32.0,32.7,31.3,31.7,2202589.0
AFCAGRO,2022-01-30,30.0,30.6,29.6,30.0,1299273.0
AFCAGRO,2022-01-31,30.1,30.1,28.7,28.9,921794.0
AFCAGRO,2022-02-01,29.5,29.8,29.1,29.2,509616.0
AFCAGRO,2022-02-02,29.6,29.9,29.2,29.3,389653.0
AFCAGRO,2022-02-03,29.7,29.7,29.2,29.4,411732.0
AFCAGRO,2022-02-06,29.3,29.8,29.1,29.3,343471.0
AFCAGRO,2022-02-07,29.3,29.6,28.3,28.5,730654.0
AFCAGRO,2022-02-08,28.8,28.9,28.2,28.3,409942.0
AFCAGRO,2022-02-09,28.7,29.8,28.3,29.3,672575.0
AFCAGRO,2022-02-10,29.4,29.5,28.7,28.8,333400.0
AFCAGRO,2022-02-13,28.8,29.0,28.3,28.5,273141.0
AFCAGRO,2022-02-14,28.8,28.8,28.1,28.2,247812.0
AFCAGRO,2022-02-15,28.3,28.5,28.0,28.1,198417.0
AFCAGRO,2022-02-16,28.5,28.5,28.0,28.1,270742.0
AFCAGRO,2022-02-17,28.2,28.2,27.5,27.8,269145.0
AFCAGRO,2022-02-20,27.8,28.1,27.0,27.2,157719.0
AFCAGRO,2022-02-22,27.4,27.8,27.1,27.7,194088.0
AFCAGRO,2022-02-23,27.8,28.1,27.2,27.4,412622.0
AFCAGRO,2022-02-24,27.9,27.9,26.5,26.8,229474.0
AFCAGRO,2022-02-27,26.2,26.7,25.3,26.1,284336.0
AFCAGRO,2022-02-28,26.3,26.9,25.6,26.0,140519.0
AFCAGRO,2022-03-01,26.0,26.6,25.8,25.9,169215.0
AFCAGRO,2022-03-02,26.0,26.1,25.0,25.1,236286.0
AFCAGRO,2022-03-03,25.4,25.5,24.6,25.0,204925.0
AFCAGRO,2022-03-06,25.0,25.2,24.8,24.9,90377.0
AFCAGRO,2022-03-07,24.8,24.9,22.9,23.0,225933.0
AFCAGRO,2022-03-08,23.0,23.8,21.4,23.3,619069.0
AFCAGRO,2022-03-09,23.8,25.4,23.8,25.0,336055.0
AFCAGRO,2022-03-10,25.0,25.5,24.5,25.0,561113.0
AFCAGRO,2022-03-13,25.4,27.1,25.2,27.0,528736.0
AFCAGRO,2022-03-14,27.4,27.4,26.5,26.5,459629.0
AFCAGRO,2022-03-15,26.2,27.4,26.1,26.9,673645.0
AFCAGRO,2022-03-16,27.4,27.4,26.4,26.5,236554.0
AFCAGRO,2022-03-20,26.9,26.9,26.0,26.0,174102.0
AFCAGRO,2022-03-21,25.7,26.0,25.5,25.6,160687.0
AFCAGRO,2022-03-22,26.1,26.1,25.1,25.5,1022789.0
AFCAGRO,2022-03-23,25.8,25.9,25.2,25.3,178324.0
AFCAGRO,2022-03-24,25.2,25.4,24.8,25.1,244137.0
AFCAGRO,2022-03-27,25.4,25.4,24.8,24.9,82957.0
AFCAGRO,2022-03-28,24.9,25.5,24.9,25.3,257439.0
AFCAGRO,2022-03-29,25.4,25.5,25.0,25.2,131368.0
AFCAGRO,2022-03-30,25.2,25.3,24.9,25.1,116783.0
AFCAGRO,2022-03-31,25.1,25.3,24.9,25.0,92005.0
AFCAGRO,2022-04-03,25.2,25.3,25.1,25.3,104340.0
AFCAGRO,2022-04-04,25.2,25.3,24.8,24.9,84399.0
AFCAGRO,2022-04-05,24.8,24.9,24.5,24.6,90215.0
AFCAGRO,2022-04-06,24.3,24.8,24.2,24.2,82117.0
AFCAGRO,2022-04-07,23.9,24.4,23.9,24.3,58020.0
AFCAGRO,2022-04-10,24.5,24.7,24.3,24.6,65816.0
AFCAGRO,2022-04-11,24.5,24.6,24.2,24.2,109885.0
AFCAGRO,2022-04-12,24.0,24.0,23.8,23.8,67286.0
AFCAGRO,2022-04-13,23.4,24.0,23.4,23.8,147843.0
AFCAGRO,2022-04-17,23.7,23.8,23.5,23.5,26480.0
AFCAGRO,2022-04-18,23.5,23.5,23.1,23.1,70024.0
AFCAGRO,2022-04-19,22.8,23.1,22.7,23.0,153911.0
AFCAGRO,2022-04-20,22.8,23.5,22.8,23.5,104589.0
AFCAGRO,2022-04-21,23.3,24.3,23.3,24.0,82619.0
AFCAGRO,2022-04-24,24.1,24.8,24.1,24.2,78972.0
AFCAGRO,2022-04-25,24.6,24.6,23.7,24.0,135567.0
AFCAGRO,2022-04-26,24.4,24.5,23.6,23.8,177306.0
AFCAGRO,2022-04-27,24.1,24.3,23.6,23.8,197712.0
AFCAGRO,2022-04-28,23.8,24.0,23.4,23.6,96799.0
AFCAGRO,2022-05-05,23.6,23.6,23.0,23.2,106638.0
AFCAGRO,2022-05-08,23.4,25.5,23.0,25.5,885242.0
AFCAGRO,2022-05-09,25.5,27.0,25.1,25.9,819704.0
AFCAGRO,2022-05-10,25.3,26.0,24.7,24.9,338657.0
AFCAGRO,2022-05-11,25.2,25.5,24.2,24.3,174358.0
AFCAGRO,2022-05-12,24.8,24.8,24.0,24.3,98873.0
AFCAGRO,2022-05-16,24.0,24.4,23.4,23.5,247373.0
AFCAGRO,2022-05-17,24.0,24.0,22.4,23.2,158657.0
AFCAGRO,2022-05-18,23.7,23.7,23.0,23.0,149494.0
AFCAGRO,2022-05-19,23.0,23.1,22.4,22.7,62557.0
