symbol,date,open,high,low,close,volume
AGRANINS,2022-01-02,60.6,61.2,59.3,59.5,394253.0
AGRANINS,2022-01-03,60.6,60.8,58.2,58.5,521362.0
AGRANINS,2022-01-04,58.6,60.5,58.6,59.0,455252.0
AGRANINS,2022-01-05,60.0,60.2,58.1,58.4,511517.0
AGRANINS,2022-01-06,59.3,59.3,56.9,57.2,390798.0
AGRANINS,2022-01-09,57.0,58.1,55.6,55.9,267229.0
AGRANINS,2022-01-10,56.2,57.2,56.0,56.4,296550.0
AGRANINS,2022-01-11,57.1,57.2,55.4,55.8,391330.0
AGRANINS,2022-01-12,56.6,56.9,54.2,54.5,314570.0
AGRANINS,2022-01-13,55.0,55.4,54.1,54.4,166580.0
AGRANINS,2022-01-16,55.7,55.7,54.5,55.0,164186.0
AGRANINS,2022-01-17,55.0,57.9,55.0,56.2,378125.0
AGRANINS,2022-01-18,56.4,56.9,55.3,55.4,177721.0
AGRANINS,2022-01-19,55.4,56.3,54.8,55.0,123982.0
AGRANINS,2022-01-20,55.9,56.4,55.5,56.0,171584.0
AGRANINS,2022-01-23,57.0,58.0,56.8,57.7,287743.0
AGRANINS,2022-01-24,57.7,57.9,56.2,56.2,123081.0
AGRANINS,2022-01-25,56.2,57.0,55.7,55.8,119110.0
AGRANINS,2022-01-26,55.9,56.5,55.3,55.6,98839.0
AGRANINS,2022-01-27,56.7,56.7,55.1,55.3,115591.0
AGRANINS,2022-01-30,56.0,56.7,55.5,55.8,103513.0
AGRANINS,2022-01-31,56.0,56.4,55.0,55.2,186283.0
AGRANINS,2022-02-01,55.3,55.7,54.6,54.8,106848.0
AGRANINS,2022-02-02,54.8,56.2,54.8,55.8,121684.0
AGRANINS,2022-02-03,56.5,56.7,55.3,55.6,209512.0
AGRANINS,2022-02-06,56.4,57.7,56.1,57.1,358506.0
AGRANINS,2022-02-07,57.1,58.9,57.0,58.2,432842.0
AGRANINS,2022-02-08,58.7,61.0,58.4,58.9,781133.0
AGRANINS,2022-02-09,58.5,58.8,57.0,57.3,278759.0
AGRANINS,2022-02-10,58.3,58.3,56.9,57.1,200232.0
AGRANINS,2022-02-13,57.2,57.4,55.7,56.1,130028.0
AGRANINS,2022-02-14,56.1,56.3,55.3,55.5,104014.0
AGRANINS,2022-02-15,55.5,55.8,54.6,54.9,157758.0
AGRANINS,2022-02-16,55.1,55.3,54.0,54.1,135077.0
AGRANINS,2022-02-17,54.5,54.5,53.1,53.5,110263.0
AGRANINS,2022-02-20,53.6,54.0,52.6,52.9,59839.0
AGRANINS,2022-02-22,52.8,53.5,52.8,53.2,111906.0
AGRANINS,2022-02-23,53.3,54.3,53.2,53.4,85232.0
AGRANINS,2022-02-24,53.4,53.4,51.5,52.0,116655.0
AGRANINS,2022-02-27,51.7,52.0,48.5,49.4,180176.0
AGRANINS,2022-02-28,49.0,50.6,49.0,50.0,114336.0
AGRANINS,2022-03-01,51.0,52.3,50.7,51.4,118188.0
