symbol,date,open,high,low,close,volume
AIL,2022-01-02,44.4,46.4,44.4,46.1,247669.0
AIL,2022-01-03,46.4,47.0,46.0,46.1,224361.0
AIL,2022-01-04,46.5,46.6,45.9,46.5,195118.0
AIL,2022-01-05,47.4,47.4,45.8,46.0,132058.0
AIL,2022-01-06,46.2,49.0,46.0,47.1,194310.0
AIL,2022-01-09,46.2,48.1,44.6,44.9,118538.0
AIL,2022-01-10,45.2,46.6,45.0,45.9,161565.0
AIL,2022-01-11,46.1,47.4,46.1,46.6,184183.0
AIL,2022-01-12,46.6,51.2,46.6,50.2,793068.0
AIL,2022-01-13,51.2,53.9,48.9,52.3,435507.0
AIL,2022-01-16,51.5,53.8,51.5,52.0,271447.0
AIL,2022-01-17,53.5,54.2,51.6,52.9,516767.0
AIL,2022-01-18,52.8,54.8,51.2,51.8,456300.0
AIL,2022-01-19,52.7,52.8,51.3,51.7,208936.0
AIL,2022-01-20,51.6,52.3,48.0,49.8,169928.0
AIL,2022-01-23,50.0,50.0,46.6,47.0,212075.0
AIL,2022-01-24,47.0,48.4,47.0,47.1,66311.0
AIL,2022-01-25,46.6,49.7,46.6,48.2,138133.0
AIL,2022-01-26,49.0,49.0,48.0,48.7,163138.0
AIL,2022-01-27,49.0,49.0,47.8,48.0,121551.0
AIL,2022-01-30,47.9,48.6,46.7,47.2,115903.0
AIL,2022-01-31,46.1,48.1,46.1,47.1,141317.0
AIL,2022-02-01,46.6,51.0,46.6,50.3,299616.0
AIL,2022-02-02,51.7,52.0,49.5,49.8,227125.0
AIL,2022-02-03,49.8,50.7,49.0,49.3,90012.0
AIL,2022-02-06,49.8,49.8,47.0,47.3,251296.0
AIL,2022-02-07,47.4,47.8,46.8,46.9,61699.0
AIL,2022-02-08,47.8,47.8,46.0,46.3,136347.0
AIL,2022-02-09,46.0,47.5,45.5,45.7,199995.0
AIL,2022-02-10,46.8,48.0,46.0,47.0,206713.0
AIL,2022-02-13,47.5,47.7,46.6,47.3,367297.0
AIL,2022-02-14,47.3,47.3,46.3,46.7,120432.0
AIL,2022-02-15,47.4,47.4,46.4,46.9,140082.0
AIL,2022-02-16,47.5,47.7,46.9,47.0,155470.0
AIL,2022-02-17,46.8,49.0,46.7,47.5,211177.0
AIL,2022-02-20,47.5,48.0,47.0,47.1,137156.0
AIL,2022-02-22,47.1,49.6,47.1,49.2,516323.0
AIL,2022-02-23,49.3,50.9,49.2,50.0,255361.0
AIL,2022-02-24,50.0,51.0,48.7,49.6,482594.0
AIL,2022-02-27,49.4,49.4,47.6,47.9,184606.0
AIL,2022-02-28,48.1,48.9,48.0,48.6,216282.0
AIL,2022-03-01,48.6,49.4,48.1,49.1,251549.0
AIL,2022-03-02,49.2,49.2,48.0,48.1,179586.0
AIL,2022-03-03,48.1,48.5,48.0,48.2,124269.0
AIL,2022-03-06,48.2,48.7,48.0,48.0,154449.0
AIL,2022-03-07,48.0,48.0,45.7,46.3,156069.0
AIL,2022-03-08,46.0,47.9,44.6,47.0,72539.0
AIL,2022-03-09,47.2,49.4,47.0,49.2,185179.0
