symbol,date,open,high,low,close,volume
AL-HAJTEX,2022-01-02,72.2,73.9,70.6,72.9,164927.0
AL-HAJTEX,2022-01-03,72.1,74.5,72.1,73.3,135353.0
AL-HAJTEX,2022-01-04,72.5,74.0,72.4,73.5,210424.0
AL-HAJTEX,2022-01-05,72.8,74.3,71.5,72.9,308657.0
AL-HAJTEX,2022-01-06,72.9,80.1,72.9,80.1,1476504.0
AL-HAJTEX,2022-01-09,80.2,84.9,80.2,81.8,552955.0
AL-HAJTEX,2022-01-10,79.1,83.0,79.1,80.6,484644.0
AL-HAJTEX,2022-01-11,80.0,83.0,80.0,81.9,356402.0
AL-HAJTEX,2022-01-12,83.8,85.4,82.5,83.1,440403.0
AL-HAJTEX,2022-01-13,84.1,85.0,82.8,83.1,403651.0
AL-HAJTEX,2022-01-16,83.1,86.9,82.7,86.3,390495.0
AL-HAJTEX,2022-01-17,87.4,87.4,84.4,85.2,251122.0
AL-HAJTEX,2022-01-18,84.8,88.2,84.8,85.5,293161.0
AL-HAJTEX,2022-01-19,86.5,92.5,86.5,90.5,868062.0
AL-HAJTEX,2022-01-20,89.0,92.4,89.0,91.6,328508.0
AL-HAJTEX,2022-01-23,90.3,91.6,89.1,90.3,395037.0
AL-HAJTEX,2022-01-24,90.5,92.8,89.1,90.3,357985.0
AL-HAJTEX,2022-01-25,91.0,91.3,89.2,90.0,344126.0
AL-HAJTEX,2022-01-26,89.1,90.2,89.1,89.7,241687.0
AL-HAJTEX,2022-01-27,89.5,91.8,88.4,91.3,629167.0
AL-HAJTEX,2022-01-30,90.6,93.9,89.3,93.3,637502.0
AL-HAJTEX,2022-01-31,92.6,95.8,92.5,93.5,240121.0
AL-HAJTEX,2022-02-01,94.0,94.0,92.0,92.2,310236.0
AL-HAJTEX,2022-02-02,92.6,94.0,92.3,92.7,205241.0
AL-HAJTEX,2022-02-03,91.2,94.3,91.2,93.8,370538.0
AL-HAJTEX,2022-02-06,93.5,101.0,92.2,96.5,475826.0
AL-HAJTEX,2022-02-07,96.1,98.7,94.6,96.8,207114.0
AL-HAJTEX,2022-02-08,95.8,97.0,94.0,95.8,417875.0
AL-HAJTEX,2022-02-09,94.7,99.5,94.7,99.0,533397.0
AL-HAJTEX,2022-02-10,102.0,102.0,97.0,100.0,403952.0
AL-HAJTEX,2022-02-13,99.0,101.0,98.1,99.2,387889.0
AL-HAJTEX,2022-02-14,99.9,100.4,97.6,98.4,371358.0
AL-HAJTEX,2022-02-15,99.9,100.4,97.1,99.2,540214.0
AL-HAJTEX,2022-02-16,99.0,102.9,99.0,101.1,749480.0
AL-HAJTEX,2022-02-17,101.4,104.9,101.4,102.7,407644.0
AL-HAJTEX,2022-02-20,102.8,103.4,100.2,103.0,354537.0
AL-HAJTEX,2022-02-22,102.0,104.8,101.4,101.7,424014.0
AL-HAJTEX,2022-02-23,101.2,103.0,99.4,101.5,353159.0
AL-HAJTEX,2022-02-24,101.6,102.4,98.0,99.0,374198.0
AL-HAJTEX,2022-02-27,98.4,99.8,94.0,94.6,520224.0
AL-HAJTEX,2022-02-28,93.0,97.6,93.0,96.1,247809.0
AL-HAJTEX,2022-03-01,95.2,97.8,95.2,96.0,290915.0
AL-HAJTEX,2022-03-02,96.0,97.8,94.6,95.8,143056.0
AL-HAJTEX,2022-03-03,96.0,96.2,94.5,95.3,124515.0
AL-HAJTEX,2022-03-06,95.0,96.0,93.5,93.8,98110.0
AL-HAJTEX,2022-03-07,93.1,93.9,87.1,88.7,191861.0
AL-HAJTEX,2022-03-08,90.0,97.0,85.4,91.6,160053.0
AL-HAJTEX,2022-03-09,94.0,97.1,92.6,95.7,148434.0
AL-HAJTEX,2022-03-10,95.2,97.8,95.1,96.5,206386.0
AL-HAJTEX,2022-03-13,98.3,98.3,95.6,95.9,184370.0
AL-HAJTEX,2022-03-14,97.3,97.3,95.0,96.0,183392.0
AL-HAJTEX,2022-03-15,95.1,96.8,95.1,95.9,229526.0
AL-HAJTEX,2022-03-16,95.0,96.8,95.0,95.8,196774.0
AL-HAJTEX,2022-03-20,95.1,96.1,95.1,95.9,106817.0
AL-HAJTEX,2022-03-21,96.5,101.8,96.0,98.6,421820.0
AL-HAJTEX,2022-03-22,99.1,104.7,99.1,104.0,517555.0
AL-HAJTEX,2022-03-23,104.2,106.8,102.6,102.8,510693.0
AL-HAJTEX,2022-03-24,101.5,104.3,101.5,103.5,417782.0
AL-HAJTEX,2022-03-27,103.1,106.0,102.8,105.2,910678.0
AL-HAJTEX,2022-03-28,106.4,107.5,104.0,107.0,622674.0
AL-HAJTEX,2022-03-29,107.2,107.9,105.4,106.1,391413.0
AL-HAJTEX,2022-03-30,106.0,107.0,104.6,105.2,404702.0
AL-HAJTEX,2022-03-31,104.6,106.0,104.1,105.2,206987.0
AL-HAJTEX,2022-04-03,105.2,108.1,105.0,107.7,692601.0
AL-HAJTEX,2022-04-04,106.5,109.4,106.0,107.6,260387.0
AL-HAJTEX,2022-04-05,106.3,108.4,106.3,107.5,268999.0
AL-HAJTEX,2022-04-06,107.5,108.3,106.0,106.5,145075.0
AL-HAJTEX,2022-04-07,106.8,107.0,105.2,106.6,255386.0
AL-HAJTEX,2022-04-10,106.7,110.0,106.7,107.9,293323.0
AL-HAJTEX,2022-04-11,107.3,108.6,106.0,106.6,250162.0
AL-HAJTEX,2022-04-12,106.0,107.8,104.5,104.5,115783.0
AL-HAJTEX,2022-04-13,102.7,104.5,102.6,103.7,216885.0
AL-HAJTEX,2022-04-17,103.0,105.7,101.7,102.2,150579.0
AL-HAJTEX,2022-04-18,101.3,104.7,100.2,100.2,65628.0
AL-HAJTEX,2022-04-19,98.5,102.4,98.5,100.8,141830.0
AL-HAJTEX,2022-04-20,103.0,104.0,101.2,103.4,269592.0
AL-HAJTEX,2022-04-21,102.6,109.6,102.6,108.9,482586.0
AL-HAJTEX,2022-04-24,108.6,110.7,106.7,108.4,452689.0
AL-HAJTEX,2022-04-25,107.5,108.8,106.0,107.3,190224.0
AL-HAJTEX,2022-04-26,105.7,108.5,105.7,107.4,122033.0
AL-HAJTEX,2022-04-27,106.4,108.5,106.4,108.1,180637.0
AL-HAJTEX,2022-04-28,107.1,109.4,107.1,108.7,296907.0
AL-HAJTEX,2022-05-05,109.0,109.0,105.9,106.3,123225.0
AL-HAJTEX,2022-05-08,108.5,108.5,104.3,105.0,207652.0
AL-HAJTEX,2022-05-09,107.4,107.4,103.2,104.3,192592.0
AL-HAJTEX,2022-05-10,105.0,106.3,102.6,104.2,215340.0
AL-HAJTEX,2022-05-11,104.9,105.6,101.9,103.0,175008.0
AL-HAJTEX,2022-05-12,102.0,105.1,102.0,104.1,283988.0
AL-HAJTEX,2022-05-16,102.5,106.0,98.9,98.9,204026.0
AL-HAJTEX,2022-05-17,99.3,103.7,94.0,98.6,264210.0
AL-HAJTEX,2022-05-18,98.0,102.2,93.7,94.0,168562.0
AL-HAJTEX,2022-05-19,96.4,97.8,93.6,96.5,213941.0
AL-HAJTEX,2022-05-22,94.1,98.0,91.7,92.7,207366.0
AL-HAJTEX,2022-05-23,92.5,98.9,92.5,95.6,80717.0
AL-HAJTEX,2022-05-24,94.0,98.0,92.3,93.9,207593.0
AL-HAJTEX,2022-05-25,94.0,95.0,92.0,94.1,77220.0
AL-HAJTEX,2022-05-26,95.5,95.5,93.4,94.4,92527.0
AL-HAJTEX,2022-05-29,93.8,97.8,93.8,96.1,94696.0
AL-HAJTEX,2022-05-30,99.7,99.7,95.5,95.9,133631.0
AL-HAJTEX,2022-05-31,96.0,97.0,94.1,95.2,160310.0
AL-HAJTEX,2022-06-01,93.7,98.5,93.7,97.8,244405.0
AL-HAJTEX,2022-06-02,96.0,100.0,96.0,98.9,193771.0
AL-HAJTEX,2022-06-05,98.0,101.9,98.0,101.0,162107.0
AL-HAJTEX,2022-06-06,99.5,101.9,99.5,100.5,208584.0
AL-HAJTEX,2022-06-07,98.6,101.6,98.5,98.6,75431.0
AL-HAJTEX,2022-06-08,97.0,99.9,97.0,99.3,178947.0
AL-HAJTEX,2022-06-09,100.7,101.3,100.0,100.8,314740.0
AL-HAJTEX,2022-06-12,99.9,104.2,99.9,103.9,220437.0
AL-HAJTEX,2022-06-13,102.5,105.9,102.5,103.9,267582.0
AL-HAJTEX,2022-06-14,102.5,104.8,102.5,104.1,215528.0
AL-HAJTEX,2022-06-15,103.6,107.9,103.0,106.8,755629.0
AL-HAJTEX,2022-06-16,106.8,109.6,106.8,107.9,368902.0
AL-HAJTEX,2022-06-19,108.5,117.6,108.4,114.9,955017.0
AL-HAJTEX,2022-06-20,117.8,117.8,112.7,114.6,443583.0
AL-HAJTEX,2022-06-21,114.6,119.1,113.4,118.3,696298.0
AL-HAJTEX,2022-06-22,118.3,121.2,118.0,120.3,864892.0
AL-HAJTEX,2022-06-23,119.0,122.0,117.9,117.9,549718.0
AL-HAJTEX,2022-06-26,116.9,118.7,115.6,115.6,239064.0
AL-HAJTEX,2022-06-27,113.4,119.9,113.4,118.6,305993.0
