symbol,date,open,high,low,close,volume
ALARABANK,2022-01-02,26.7,26.7,26.5,26.6,47886.0
ALARABANK,2022-01-03,26.7,26.9,26.6,26.7,62299.0
ALARABANK,2022-01-04,26.7,27.2,26.6,26.6,115918.0
ALARABANK,2022-01-05,26.6,27.0,26.5,26.7,73471.0
ALARABANK,2022-01-06,26.7,26.9,26.6,26.7,71051.0
ALARABANK,2022-01-09,26.6,26.8,26.6,26.6,71532.0
ALARABANK,2022-01-10,26.7,27.1,26.6,26.7,70742.0
ALARABANK,2022-01-11,26.7,26.9,26.7,26.7,160002.0
ALARABANK,2022-01-12,26.8,27.2,26.7,27.0,145246.0
ALARABANK,2022-01-13,26.8,27.1,26.8,27.0,116484.0
ALARABANK,2022-01-16,26.9,27.0,26.7,26.8,62787.0
ALARABANK,2022-01-17,26.7,26.9,26.7,26.8,125137.0
ALARABANK,2022-01-18,26.8,27.0,26.7,26.8,244827.0
ALARABANK,2022-01-19,26.8,27.0,26.8,27.0,98777.0
ALARABANK,2022-01-20,26.9,27.8,26.8,26.9,114391.0
ALARABANK,2022-01-23,27.0,27.0,26.8,26.9,84084.0
ALARABANK,2022-01-24,26.9,27.4,26.7,26.8,127734.0
ALARABANK,2022-01-25,27.2,27.2,26.8,26.9,97905.0
ALARABANK,2022-01-26,26.8,27.0,26.7,27.0,147650.0
ALARABANK,2022-01-27,26.8,27.2,26.8,27.0,158895.0
ALARABANK,2022-01-30,26.8,27.3,26.8,27.1,126281.0
ALARABANK,2022-01-31,26.8,27.3,26.8,26.9,148367.0
ALARABANK,2022-02-01,26.8,27.1,26.8,26.9,41573.0
ALARABANK,2022-02-02,26.9,27.0,26.8,27.0,102889.0
ALARABANK,2022-02-03,27.0,27.2,26.9,26.9,51143.0
ALARABANK,2022-02-06,26.8,27.2,26.8,26.9,63214.0
ALARABANK,2022-02-07,26.9,27.2,26.8,26.9,93529.0
ALARABANK,2022-02-08,26.9,27.0,26.9,27.0,184531.0
ALARABANK,2022-02-09,27.0,27.1,26.9,27.1,104354.0
ALARABANK,2022-02-10,27.0,27.2,26.9,27.0,247786.0
ALARABANK,2022-02-13,26.9,27.2,26.9,27.1,99205.0
ALARABANK,2022-02-14,27.1,27.2,27.0,27.1,122742.0
ALARABANK,2022-02-15,27.2,27.2,26.9,27.0,58072.0
ALARABANK,2022-02-16,27.0,27.1,27.0,27.0,55193.0
ALARABANK,2022-02-17,27.0,27.1,26.9,27.0,824684.0
ALARABANK,2022-02-20,26.9,27.1,26.9,26.9,433824.0
