symbol,date,open,high,low,close,volume
ALLTEX,2022-01-02,16.9,17.2,16.8,16.9,102705.0
ALLTEX,2022-01-03,17.2,17.6,17.1,17.5,345444.0
ALLTEX,2022-01-04,17.8,19.0,17.8,18.6,998784.0
ALLTEX,2022-01-05,19.1,20.1,19.1,19.9,1284237.0
ALLTEX,2022-01-06,20.7,20.7,18.9,18.9,169300.0
ALLTEX,2022-01-09,19.0,19.0,18.0,18.3,126199.0
ALLTEX,2022-01-10,18.5,18.7,17.9,18.0,58017.0
ALLTEX,2022-01-11,18.3,18.3,16.8,17.2,371191.0
ALLTEX,2022-01-12,17.0,18.2,17.0,17.9,101398.0
ALLTEX,2022-01-13,17.9,19.2,17.2,18.8,197202.0
ALLTEX,2022-01-16,17.8,19.8,17.8,19.0,215176.0
ALLTEX,2022-01-17,18.4,20.1,18.4,19.7,1161861.0
ALLTEX,2022-01-18,19.9,20.0,19.1,19.2,214587.0
ALLTEX,2022-01-19,19.8,19.8,19.1,19.4,298351.0
ALLTEX,2022-01-20,19.4,19.9,18.9,19.0,100862.0
ALLTEX,2022-01-23,19.0,19.0,18.3,18.4,61348.0
ALLTEX,2022-01-24,18.8,19.7,18.0,19.0,209792.0
ALLTEX,2022-01-25,18.7,19.5,18.6,19.0,75074.0
ALLTEX,2022-01-26,19.7,19.9,18.5,18.6,107395.0
ALLTEX,2022-01-27,19.5,19.5,18.5,18.7,85476.0
ALLTEX,2022-01-30,19.6,19.8,17.5,18.1,176258.0
ALLTEX,2022-01-31,18.5,18.7,17.2,17.3,167922.0
ALLTEX,2022-02-01,21.2,22.9,19.1,20.6,3471691.0
ALLTEX,2022-02-02,21.2,22.6,21.0,21.9,1795086.0
ALLTEX,2022-02-03,22.0,22.7,21.4,22.0,991520.0
ALLTEX,2022-02-06,21.7,22.5,21.4,21.8,1030514.0
ALLTEX,2022-02-07,21.9,21.9,20.5,20.8,852097.0
ALLTEX,2022-02-08,21.0,21.0,19.6,20.0,630524.0
ALLTEX,2022-02-09,20.7,22.0,20.0,22.0,992953.0
ALLTEX,2022-02-10,22.1,23.0,21.8,22.3,751875.0
ALLTEX,2022-02-13,22.4,24.1,22.0,24.0,1544242.0
ALLTEX,2022-02-14,24.1,25.5,23.3,23.7,1424854.0
ALLTEX,2022-02-15,23.8,24.7,23.0,24.4,1186894.0
ALLTEX,2022-02-16,24.7,26.5,24.6,26.2,2458438.0
ALLTEX,2022-02-17,26.3,27.2,25.8,26.5,1313805.0
ALLTEX,2022-02-20,26.7,28.2,26.5,27.5,2372866.0
ALLTEX,2022-02-22,27.3,27.9,26.3,26.6,1952715.0
ALLTEX,2022-02-23,26.5,26.8,25.8,26.0,1431266.0
ALLTEX,2022-02-27,25.2,25.2,23.4,23.4,1698863.0
ALLTEX,2022-02-28,23.8,25.7,23.5,25.7,968445.0
ALLTEX,2022-03-01,26.0,26.8,24.4,25.0,832453.0
