symbol,date,open,high,low,close,volume
ANWARGALV,2022-01-02,384.8,384.9,371.1,375.9,28751.0
ANWARGALV,2022-01-03,380.0,380.0,360.2,363.5,30079.0
ANWARGALV,2022-01-04,375.0,375.0,352.5,366.3,21620.0
ANWARGALV,2022-01-05,370.0,373.9,362.5,366.9,42097.0
ANWARGALV,2022-01-06,373.0,373.0,361.2,364.9,19291.0
ANWARGALV,2022-01-09,360.9,394.0,360.9,388.1,265637.0
ANWARGALV,2022-01-10,393.0,415.0,389.2,410.6,380106.0
ANWARGALV,2022-01-11,412.5,424.8,407.0,416.7,260902.0
ANWARGALV,2022-01-12,420.0,428.0,400.0,411.0,272838.0
ANWARGALV,2022-01-13,419.9,433.0,403.5,430.1,344629.0
ANWARGALV,2022-01-16,439.9,450.0,432.2,435.8,166283.0
ANWARGALV,2022-01-17,435.0,444.9,431.0,435.7,253525.0
ANWARGALV,2022-01-18,443.0,443.4,416.0,422.7,189364.0
ANWARGALV,2022-01-19,429.8,429.8,414.0,421.8,121158.0
ANWARGALV,2022-01-20,428.8,429.6,420.0,427.4,98921.0
ANWARGALV,2022-01-23,427.4,429.0,410.0,411.2,58501.0
ANWARGALV,2022-01-24,411.6,424.9,410.1,415.8,60072.0
ANWARGALV,2022-01-25,414.8,418.7,409.0,411.7,99431.0
ANWARGALV,2022-01-26,415.0,415.0,401.2,403.0,71746.0
ANWARGALV,2022-01-27,406.0,411.6,406.0,409.1,17105.0
ANWARGALV,2022-01-30,410.5,413.0,385.0,389.9,77661.0
ANWARGALV,2022-01-31,389.9,390.0,381.0,383.1,35566.0
ANWARGALV,2022-02-01,383.1,400.0,383.0,391.1,486703.0
ANWARGALV,2022-02-02,397.0,397.0,386.1,388.8,250994.0
ANWARGALV,2022-02-03,388.0,405.9,381.6,399.7,490986.0
ANWARGALV,2022-02-06,403.0,413.5,393.6,394.6,229037.0
ANWARGALV,2022-02-07,395.1,399.4,385.2,388.7,340673.0
ANWARGALV,2022-02-08,390.0,391.6,386.2,387.6,275171.0
ANWARGALV,2022-02-09,392.0,400.0,387.3,398.2,223649.0
ANWARGALV,2022-02-10,398.2,407.7,398.0,405.2,109212.0
ANWARGALV,2022-02-13,408.9,429.9,406.0,426.5,354330.0
ANWARGALV,2022-02-14,427.0,430.0,410.0,414.5,301359.0
ANWARGALV,2022-02-15,415.2,434.4,415.1,429.5,265953.0
ANWARGALV,2022-02-16,434.0,445.0,430.0,439.2,736883.0
ANWARGALV,2022-02-17,439.9,447.0,430.0,441.0,226407.0
ANWARGALV,2022-02-20,441.9,446.4,433.1,434.6,269988.0
ANWARGALV,2022-02-22,438.5,444.0,433.0,440.8,268388.0
ANWARGALV,2022-02-23,440.0,444.9,421.1,430.1,609589.0
ANWARGALV,2022-02-24,436.7,436.7,400.2,407.4,200864.0
ANWARGALV,2022-02-27,401.0,403.4,397.0,400.0,101113.0
ANWARGALV,2022-02-28,398.0,409.8,398.0,405.9,798994.0
ANWARGALV,2022-03-01,413.0,413.0,396.0,398.5,191991.0
ANWARGALV,2022-03-02,404.8,404.8,385.8,387.2,117766.0
ANWARGALV,2022-03-03,391.0,391.0,378.2,379.4,154915.0
ANWARGALV,2022-03-06,383.2,383.2,368.0,369.2,76539.0
ANWARGALV,2022-03-07,373.7,373.7,351.5,365.8,124233.0
ANWARGALV,2022-03-08,365.2,369.8,355.5,359.8,129494.0
ANWARGALV,2022-03-09,365.0,368.0,356.6,364.8,284012.0
ANWARGALV,2022-03-10,367.9,377.5,366.0,369.0,254412.0
ANWARGALV,2022-03-13,368.0,368.0,361.7,361.7,147264.0
ANWARGALV,2022-03-14,361.7,366.2,357.0,358.6,190017.0
ANWARGALV,2022-03-15,359.4,385.0,359.4,372.5,113302.0
ANWARGALV,2022-03-16,374.1,379.1,371.0,378.5,248640.0
ANWARGALV,2022-03-20,380.0,381.3,371.0,371.0,101512.0
ANWARGALV,2022-03-21,370.4,370.4,363.6,366.0,61686.0
ANWARGALV,2022-03-22,371.9,394.0,366.0,389.8,345367.0
ANWARGALV,2022-03-23,394.8,394.8,382.1,382.4,116789.0
ANWARGALV,2022-03-24,380.0,389.3,375.6,379.1,205325.0
ANWARGALV,2022-03-27,381.8,388.9,371.8,381.2,98551.0
ANWARGALV,2022-03-28,387.8,394.9,382.2,391.3,404440.0
ANWARGALV,2022-03-29,393.0,399.0,383.5,394.2,415769.0
ANWARGALV,2022-03-30,396.0,401.0,389.5,396.6,267586.0
ANWARGALV,2022-03-31,400.0,400.0,388.7,388.7,221532.0
ANWARGALV,2022-04-03,385.0,389.0,381.0,381.0,140444.0
ANWARGALV,2022-04-04,375.1,381.6,373.4,374.5,54148.0
