symbol,date,open,high,low,close,volume
APEXFOOT,2022-01-02,279.5,279.5,268.5,275.6,12715.0
APEXFOOT,2022-01-03,280.8,280.8,270.0,271.9,32619.0
APEXFOOT,2022-01-04,277.3,277.3,270.1,271.9,16580.0
APEXFOOT,2022-01-05,272.0,274.0,268.0,269.0,41723.0
APEXFOOT,2022-01-06,268.1,273.0,268.1,271.2,52959.0
APEXFOOT,2022-01-09,274.9,278.9,274.8,276.1,82790.0
APEXFOOT,2022-01-10,278.0,278.0,269.1,274.2,41637.0
APEXFOOT,2022-01-11,276.5,276.5,271.0,274.3,51707.0
APEXFOOT,2022-01-12,274.1,278.0,273.5,277.2,187816.0
APEXFOOT,2022-01-13,285.0,301.4,277.1,301.3,365455.0
APEXFOOT,2022-01-16,309.0,320.0,305.0,312.3,106867.0
APEXFOOT,2022-01-17,313.0,313.0,291.0,294.8,122654.0
APEXFOOT,2022-01-18,292.5,309.8,290.3,303.5,87986.0
APEXFOOT,2022-01-19,307.0,323.5,305.8,316.8,313112.0
APEXFOOT,2022-01-20,314.0,327.0,305.0,325.5,227667.0
APEXFOOT,2022-01-23,332.0,353.9,325.1,353.9,1036185.0
APEXFOOT,2022-01-24,384.7,384.8,374.0,384.8,680415.0
APEXFOOT,2022-01-25,395.0,395.0,366.5,377.1,574071.0
APEXFOOT,2022-01-26,354.9,359.8,344.1,344.3,447257.0
APEXFOOT,2022-01-27,340.0,344.9,318.6,331.8,363492.0
APEXFOOT,2022-01-30,338.1,338.1,316.0,320.7,263390.0
APEXFOOT,2022-01-31,326.8,344.0,320.9,326.8,262144.0
APEXFOOT,2022-02-01,326.8,335.0,325.0,330.0,249130.0
APEXFOOT,2022-02-02,334.9,343.5,325.0,328.8,191331.0
APEXFOOT,2022-02-03,328.0,331.8,317.0,318.3,159654.0
APEXFOOT,2022-02-06,318.0,324.0,312.4,314.2,102870.0
APEXFOOT,2022-02-07,313.0,319.0,308.0,309.7,81554.0
APEXFOOT,2022-02-08,310.1,318.5,310.0,312.0,69129.0
APEXFOOT,2022-02-09,314.9,329.0,312.6,320.4,103590.0
APEXFOOT,2022-02-10,326.0,326.9,315.7,318.0,68317.0
APEXFOOT,2022-02-13,323.6,327.0,319.1,320.7,129283.0
APEXFOOT,2022-02-14,322.6,325.5,314.0,315.2,97171.0
