symbol,date,open,high,low,close,volume
APEXTANRY,2022-01-02,130.0,130.4,127.1,129.2,2825.0
APEXTANRY,2022-01-03,130.0,132.0,129.0,130.7,20767.0
APEXTANRY,2022-01-04,130.7,132.5,129.3,130.3,9987.0
APEXTANRY,2022-01-05,131.9,131.9,128.5,130.2,9285.0
APEXTANRY,2022-01-06,130.5,130.5,128.5,129.5,7679.0
APEXTANRY,2022-01-09,130.5,132.0,130.0,130.6,19193.0
APEXTANRY,2022-01-10,130.6,131.5,130.0,130.5,17580.0
APEXTANRY,2022-01-11,130.2,131.0,129.2,129.8,26038.0
APEXTANRY,2022-01-12,130.0,130.8,129.0,130.0,23580.0
APEXTANRY,2022-01-13,131.2,135.0,130.4,133.8,43848.0
APEXTANRY,2022-01-16,137.1,139.0,134.5,135.9,59173.0
APEXTANRY,2022-01-17,135.0,138.6,134.0,137.7,44360.0
APEXTANRY,2022-01-18,139.6,142.9,136.5,140.4,161434.0
APEXTANRY,2022-01-19,142.0,154.4,142.0,147.8,319437.0
APEXTANRY,2022-01-20,147.2,147.7,144.3,146.3,56395.0
APEXTANRY,2022-01-23,144.4,152.0,142.9,149.2,201273.0
APEXTANRY,2022-01-24,153.0,154.4,146.0,147.0,131061.0
APEXTANRY,2022-01-25,148.0,150.9,141.0,143.2,99200.0
APEXTANRY,2022-01-26,143.2,145.9,140.1,142.1,49224.0
APEXTANRY,2022-01-27,142.2,142.2,135.5,137.5,24782.0
APEXTANRY,2022-01-30,137.5,138.3,132.9,136.3,29057.0
APEXTANRY,2022-01-31,132.2,139.4,132.2,135.2,68396.0
APEXTANRY,2022-02-01,134.2,137.0,133.2,133.5,28052.0
APEXTANRY,2022-02-02,133.5,137.0,130.0,131.3,46317.0
APEXTANRY,2022-02-03,131.6,133.5,131.6,132.2,24522.0
APEXTANRY,2022-02-06,132.3,133.6,131.0,131.4,20716.0
APEXTANRY,2022-02-07,134.9,134.9,131.0,131.1,11322.0
APEXTANRY,2022-02-08,131.1,131.9,125.0,129.8,40954.0
