symbol,date,open,high,low,close,volume
ARAMIT,2022-01-02,329.0,334.0,316.2,324.6,14636.0
ARAMIT,2022-01-03,322.0,328.9,320.1,320.8,11998.0
ARAMIT,2022-01-04,318.5,325.0,318.0,320.0,13986.0
ARAMIT,2022-01-05,328.0,328.0,318.1,320.1,13336.0
ARAMIT,2022-01-06,320.5,325.0,318.5,319.3,15488.0
ARAMIT,2022-01-09,320.2,332.0,319.0,319.2,10944.0
ARAMIT,2022-01-10,320.0,325.0,320.0,322.4,8575.0
ARAMIT,2022-01-11,322.4,333.0,316.1,322.1,23301.0
ARAMIT,2022-01-12,318.0,324.0,317.5,319.2,8973.0
ARAMIT,2022-01-13,320.0,340.0,320.0,336.1,28292.0
ARAMIT,2022-01-16,341.0,357.0,341.0,349.1,40282.0
ARAMIT,2022-01-17,353.0,353.0,332.1,335.4,17896.0
ARAMIT,2022-01-18,332.0,344.8,330.0,340.7,14944.0
ARAMIT,2022-01-19,345.0,346.0,335.1,338.2,17296.0
ARAMIT,2022-01-20,342.0,342.0,333.0,340.2,13339.0
ARAMIT,2022-01-23,340.0,355.0,340.0,347.8,35789.0
ARAMIT,2022-01-24,350.0,377.9,350.0,370.6,102507.0
ARAMIT,2022-01-25,378.0,380.0,359.0,363.0,30817.0
ARAMIT,2022-01-26,361.0,361.0,352.0,352.3,35658.0
ARAMIT,2022-01-27,354.0,360.0,346.0,349.8,28662.0
ARAMIT,2022-01-30,355.0,355.0,341.6,348.3,19789.0
ARAMIT,2022-01-31,351.1,356.7,341.1,342.4,19542.0
ARAMIT,2022-02-01,351.0,360.0,348.0,351.9,24688.0
ARAMIT,2022-02-02,360.0,360.0,344.0,344.7,15374.0
ARAMIT,2022-02-03,350.9,351.8,340.0,342.2,16418.0
ARAMIT,2022-02-06,349.0,357.0,344.1,345.2,39266.0
ARAMIT,2022-02-07,345.2,355.0,344.0,345.9,20672.0
ARAMIT,2022-02-08,353.0,353.0,341.0,343.8,13362.0
ARAMIT,2022-02-09,349.8,354.9,343.1,344.2,25099.0
ARAMIT,2022-02-10,352.9,354.8,346.4,353.2,16129.0
ARAMIT,2022-02-13,355.0,365.0,355.0,359.4,31639.0
ARAMIT,2022-02-14,362.0,370.0,357.0,359.1,31233.0
ARAMIT,2022-02-15,365.0,378.0,363.4,375.1,97133.0
ARAMIT,2022-02-16,379.0,390.0,372.3,378.1,64136.0
ARAMIT,2022-02-17,380.0,383.7,374.0,377.6,54157.0
ARAMIT,2022-02-20,383.0,400.0,380.1,391.7,76288.0
ARAMIT,2022-02-22,394.0,398.0,377.1,379.7,40573.0
ARAMIT,2022-02-23,374.1,382.9,370.1,371.9,22294.0
ARAMIT,2022-02-24,366.0,373.9,350.0,353.1,38283.0
ARAMIT,2022-02-27,351.0,351.0,341.0,342.3,17041.0
ARAMIT,2022-02-28,351.8,357.0,344.5,348.4,13759.0
ARAMIT,2022-03-01,348.0,357.5,347.0,348.0,17578.0
ARAMIT,2022-03-02,353.0,354.0,339.4,340.9,10185.0
ARAMIT,2022-03-03,347.0,347.0,336.0,340.5,17182.0
ARAMIT,2022-03-06,340.5,344.0,335.6,337.1,9433.0
ARAMIT,2022-03-07,348.8,348.8,331.0,333.1,15043.0
ARAMIT,2022-03-08,332.5,349.0,328.0,340.3,18045.0
ARAMIT,2022-03-09,347.0,351.5,342.8,349.7,19552.0
ARAMIT,2022-03-10,349.5,354.2,342.8,343.0,13111.0
ARAMIT,2022-03-13,343.0,344.8,336.2,340.1,16516.0
ARAMIT,2022-03-14,342.8,345.5,337.0,339.9,22427.0
ARAMIT,2022-03-15,340.5,340.9,335.5,336.0,18685.0
ARAMIT,2022-03-16,337.0,345.0,336.0,341.2,17783.0
ARAMIT,2022-03-20,339.0,340.9,334.5,334.6,13156.0
ARAMIT,2022-03-21,342.8,342.8,328.0,333.1,9142.0
ARAMIT,2022-03-22,339.2,348.9,335.3,343.5,17179.0
ARAMIT,2022-03-23,340.2,349.0,336.8,337.9,7501.0
ARAMIT,2022-03-24,337.3,341.0,333.1,340.1,9576.0
ARAMIT,2022-03-27,345.0,345.0,340.3,343.4,20976.0
ARAMIT,2022-03-28,344.9,355.0,344.9,347.9,21294.0
ARAMIT,2022-03-29,352.8,352.9,342.0,342.2,6802.0
ARAMIT,2022-03-30,340.0,340.9,336.0,337.2,14560.0
ARAMIT,2022-03-31,337.5,338.9,335.9,337.2,14746.0
ARAMIT,2022-04-03,337.6,338.0,332.5,333.1,10754.0
ARAMIT,2022-04-04,341.9,341.9,332.5,333.2,14782.0
ARAMIT,2022-04-05,331.5,336.0,326.6,326.7,11798.0
ARAMIT,2022-04-06,320.5,326.8,320.2,324.2,11536.0
ARAMIT,2022-04-07,325.0,329.0,320.0,324.0,5645.0
ARAMIT,2022-04-10,328.5,328.5,322.1,325.3,12118.0
ARAMIT,2022-04-11,328.5,333.0,320.1,321.6,10557.0
ARAMIT,2022-04-12,321.0,326.0,317.0,317.6,8312.0
ARAMIT,2022-04-13,316.0,322.0,316.0,320.5,1872.0
ARAMIT,2022-04-17,320.2,323.0,317.2,317.8,6614.0
ARAMIT,2022-04-18,312.0,312.0,311.5,311.5,10045.0
ARAMIT,2022-04-19,306.0,306.0,305.3,305.3,16399.0
ARAMIT,2022-04-20,305.0,305.0,299.2,299.2,13928.0
ARAMIT,2022-04-21,295.3,310.0,295.0,300.2,18753.0
ARAMIT,2022-04-24,309.9,310.0,297.0,297.8,20768.0
ARAMIT,2022-04-25,297.9,303.0,295.0,295.2,8038.0
ARAMIT,2022-04-26,301.9,302.0,294.0,296.6,5895.0
ARAMIT,2022-04-27,298.0,301.9,295.5,297.1,3383.0
ARAMIT,2022-04-28,297.1,301.2,291.6,293.2,9210.0
ARAMIT,2022-05-05,293.2,303.8,293.2,302.3,4986.0
ARAMIT,2022-05-08,301.0,303.9,297.0,300.2,5409.0
ARAMIT,2022-05-09,301.0,307.0,299.1,304.7,7620.0
ARAMIT,2022-05-10,304.0,310.0,301.5,306.0,13712.0
ARAMIT,2022-05-11,303.0,306.0,296.0,296.3,6475.0
ARAMIT,2022-05-12,296.3,297.9,291.9,292.1,4442.0
ARAMIT,2022-05-16,294.0,294.0,282.0,282.9,7586.0
ARAMIT,2022-05-17,283.1,284.1,269.0,274.6,7111.0
ARAMIT,2022-05-18,284.0,284.0,274.0,275.3,3439.0
ARAMIT,2022-05-19,280.0,280.0,265.8,267.6,14143.0
ARAMIT,2022-05-22,260.0,274.9,258.3,260.5,20045.0
ARAMIT,2022-05-23,260.6,271.9,260.6,268.3,7282.0
ARAMIT,2022-05-24,289.0,289.0,277.0,279.1,34228.0
ARAMIT,2022-05-25,277.0,283.1,273.1,277.7,5493.0
ARAMIT,2022-05-26,276.1,285.0,276.1,282.7,5614.0
ARAMIT,2022-05-29,285.0,295.8,285.0,288.9,9382.0
ARAMIT,2022-05-30,290.1,300.0,288.0,288.8,20156.0
ARAMIT,2022-05-31,288.0,294.0,285.3,288.8,9997.0
ARAMIT,2022-06-01,298.8,301.5,294.0,299.9,22020.0
ARAMIT,2022-06-02,305.9,305.9,294.1,296.8,20691.0
ARAMIT,2022-06-05,301.5,301.5,292.5,293.9,17784.0
ARAMIT,2022-06-06,290.0,292.8,290.0,291.2,7755.0
ARAMIT,2022-06-07,294.0,294.0,288.2,288.3,14684.0
ARAMIT,2022-06-08,291.9,291.9,286.1,287.7,5898.0
ARAMIT,2022-06-09,292.9,292.9,287.8,289.5,6862.0
ARAMIT,2022-06-12,290.0,290.0,285.5,286.4,4488.0
ARAMIT,2022-06-13,285.1,303.0,285.1,287.4,6088.0
ARAMIT,2022-06-14,301.9,301.9,285.0,285.1,6009.0
ARAMIT,2022-06-15,286.2,289.3,285.3,286.0,5268.0
ARAMIT,2022-06-16,286.0,288.9,283.0,284.2,7889.0
ARAMIT,2022-06-19,284.1,286.0,282.0,282.7,8449.0
ARAMIT,2022-06-20,280.9,286.0,277.1,277.2,12216.0
ARAMIT,2022-06-21,280.0,280.0,271.7,273.2,13872.0
ARAMIT,2022-06-22,283.8,283.8,268.0,273.6,1494.0
ARAMIT,2022-06-23,284.0,284.0,272.5,273.0,4869.0
ARAMIT,2022-06-26,282.4,282.4,272.7,273.5,5363.0
ARAMIT,2022-06-27,273.5,277.0,273.5,274.8,12120.0
ARAMIT,2022-06-28,287.9,287.9,272.0,273.3,7226.0
ARAMIT,2022-06-29,278.9,282.0,277.0,278.1,4069.0
ARAMIT,2022-06-30,283.9,283.9,275.5,276.0,7990.0
ARAMIT,2022-07-03,276.3,281.9,276.1,276.8,6140.0
ARAMIT,2022-07-04,277.0,281.0,277.0,280.2,2752.0
ARAMIT,2022-07-05,282.9,295.0,280.4,290.9,16607.0
ARAMIT,2022-07-06,290.9,291.9,287.1,290.0,7768.0
ARAMIT,2022-07-07,290.0,290.0,285.0,287.2,8490.0
ARAMIT,2022-07-12,288.0,289.8,281.5,281.6,10772.0
ARAMIT,2022-07-13,277.0,287.6,277.0,281.6,1959.0
ARAMIT,2022-07-14,287.4,292.4,282.5,286.6,12458.0
ARAMIT,2022-07-17,297.0,297.0,287.1,290.1,10907.0
ARAMIT,2022-07-18,297.0,297.0,284.3,284.4,7485.0
ARAMIT,2022-07-19,279.0,284.4,278.8,279.1,11005.0
ARAMIT,2022-07-20,282.0,286.4,279.5,282.9,6374.0
ARAMIT,2022-07-21,285.0,285.0,282.1,283.0,1913.0
ARAMIT,2022-07-24,285.0,285.0,277.4,277.4,8844.0
ARAMIT,2022-07-25,274.0,279.4,274.0,278.0,1489.0
ARAMIT,2022-07-26,280.0,285.5,273.0,276.7,11299.0
ARAMIT,2022-07-27,271.3,273.0,271.2,271.2,7156.0
ARAMIT,2022-07-28,266.0,275.5,266.0,266.6,3587.0
ARAMIT,2022-07-31,273.9,281.8,273.9,279.8,2493.0
ARAMIT,2022-08-01,280.0,283.9,276.5,277.1,6481.0
ARAMIT,2022-08-02,286.9,288.0,280.1,284.8,7055.0
ARAMIT,2022-08-03,290.0,290.0,283.6,284.6,3662.0
ARAMIT,2022-08-04,280.3,283.9,277.0,280.9,7997.0
ARAMIT,2022-08-07,284.0,284.0,278.0,281.2,5285.0
ARAMIT,2022-08-08,282.9,283.9,277.0,277.8,19554.0
ARAMIT,2022-08-10,286.8,286.8,273.9,274.4,10898.0
ARAMIT,2022-08-11,275.1,279.0,273.9,274.4,3778.0
ARAMIT,2022-08-14,275.0,279.6,273.9,275.1,2255.0
ARAMIT,2022-08-16,275.5,283.6,275.3,279.8,8582.0
ARAMIT,2022-08-17,286.2,286.2,280.6,281.7,3915.0
ARAMIT,2022-08-21,284.0,302.0,282.0,295.9,39361.0
ARAMIT,2022-08-22,310.9,310.9,295.0,302.4,24312.0
ARAMIT,2022-08-23,290.0,307.0,290.0,297.5,16849.0
ARAMIT,2022-08-24,295.5,298.7,293.3,293.5,9519.0
ARAMIT,2022-08-25,298.5,306.9,296.6,299.3,26552.0
ARAMIT,2022-08-28,303.7,319.0,303.0,304.2,31627.0
ARAMIT,2022-08-29,303.0,307.0,301.1,302.3,20857.0
ARAMIT,2022-08-30,303.5,310.5,303.5,305.4,24865.0
ARAMIT,2022-08-31,313.0,313.0,305.1,309.8,18660.0
ARAMIT,2022-09-01,310.1,329.9,310.0,328.2,56563.0
ARAMIT,2022-09-04,331.0,344.5,322.0,325.0,25893.0
ARAMIT,2022-09-05,332.9,332.9,306.9,307.8,22752.0
ARAMIT,2022-09-06,310.1,327.2,310.1,321.2,14159.0
ARAMIT,2022-09-07,321.5,339.9,321.0,323.8,36803.0
ARAMIT,2022-09-08,324.5,330.0,310.9,315.3,31751.0
ARAMIT,2022-09-11,317.0,323.4,310.0,310.3,14066.0
ARAMIT,2022-09-12,320.0,320.0,310.1,314.3,8707.0
ARAMIT,2022-09-13,312.0,323.8,311.1,316.7,33686.0
ARAMIT,2022-09-14,322.9,339.8,322.9,331.3,68122.0
