symbol,date,open,high,low,close,volume
ARAMITCEM,2022-01-02,38.7,39.2,37.6,38.3,156014.0
ARAMITCEM,2022-01-04,37.9,38.3,37.5,37.6,86443.0
ARAMITCEM,2022-01-05,38.1,38.1,36.8,37.4,215344.0
ARAMITCEM,2022-01-06,37.7,37.7,36.7,37.0,101463.0
ARAMITCEM,2022-01-09,36.5,37.0,35.9,36.1,93413.0
ARAMITCEM,2022-01-10,35.7,36.7,35.4,35.7,88851.0
ARAMITCEM,2022-01-11,35.3,36.7,35.3,35.6,91772.0
ARAMITCEM,2022-01-12,35.5,36.4,35.1,35.3,71223.0
ARAMITCEM,2022-01-13,35.3,36.0,35.1,35.3,91510.0
ARAMITCEM,2022-01-16,35.3,36.1,35.1,35.4,107241.0
ARAMITCEM,2022-01-17,35.9,36.3,35.6,36.1,72752.0
ARAMITCEM,2022-01-18,36.1,37.7,36.1,37.3,90387.0
ARAMITCEM,2022-01-19,37.8,37.8,36.6,36.7,96779.0
ARAMITCEM,2022-01-20,36.3,37.2,36.0,36.3,148444.0
ARAMITCEM,2022-01-23,38.3,38.3,35.5,35.7,112189.0
ARAMITCEM,2022-01-24,36.9,36.9,34.1,34.4,66610.0
ARAMITCEM,2022-01-25,34.5,35.1,33.3,33.6,95791.0
ARAMITCEM,2022-01-26,33.1,35.7,33.1,35.5,61980.0
ARAMITCEM,2022-01-27,35.0,35.7,34.9,35.0,43817.0
ARAMITCEM,2022-01-30,35.5,35.5,34.8,35.0,71754.0
ARAMITCEM,2022-01-31,35.0,35.3,34.0,34.2,107041.0
ARAMITCEM,2022-02-01,35.1,35.2,34.2,34.4,73484.0
ARAMITCEM,2022-02-02,35.3,35.3,34.1,34.3,65586.0
ARAMITCEM,2022-02-03,35.4,36.8,34.6,36.5,142059.0
ARAMITCEM,2022-02-06,37.1,38.0,36.5,37.7,125752.0
ARAMITCEM,2022-02-07,38.3,38.5,36.9,37.1,82208.0
ARAMITCEM,2022-02-08,37.9,37.9,36.4,36.6,31371.0
ARAMITCEM,2022-02-09,36.2,37.6,35.9,36.5,124442.0
