symbol,date,open,high,low,close,volume
ASIAINS,2022-01-02,115.0,115.7,108.7,109.5,1434392.0
ASIAINS,2022-01-03,111.4,113.0,105.2,106.1,1600770.0
ASIAINS,2022-01-04,106.7,112.6,105.5,106.3,1939562.0
ASIAINS,2022-01-05,108.5,109.0,104.1,105.8,942818.0
ASIAINS,2022-01-06,107.5,109.0,103.0,103.6,884404.0
ASIAINS,2022-01-09,103.6,108.8,103.6,104.0,723526.0
ASIAINS,2022-01-10,104.8,106.8,102.0,102.7,651449.0
ASIAINS,2022-01-11,102.5,105.7,100.1,101.3,977564.0
ASIAINS,2022-01-12,103.0,103.9,98.6,99.6,484721.0
ASIAINS,2022-01-13,99.8,101.4,97.0,97.3,570300.0
ASIAINS,2022-01-16,98.1,100.0,93.2,94.3,632077.0
ASIAINS,2022-01-17,95.8,103.7,94.5,101.8,1226118.0
ASIAINS,2022-01-18,103.7,103.7,96.2,97.5,752007.0
ASIAINS,2022-01-19,98.0,102.8,97.5,98.8,648804.0
ASIAINS,2022-01-20,100.9,102.8,96.5,99.2,2348925.0
ASIAINS,2022-01-23,105.2,109.1,104.0,108.6,3485103.0
ASIAINS,2022-01-24,109.0,109.0,103.3,104.2,2050292.0
ASIAINS,2022-01-25,104.3,108.0,102.1,103.6,1919171.0
ASIAINS,2022-01-26,104.9,105.9,99.4,100.0,2678080.0
ASIAINS,2022-01-27,100.1,101.6,97.0,99.3,2458491.0
ASIAINS,2022-01-30,99.5,102.9,98.4,100.6,2333817.0
ASIAINS,2022-01-31,101.6,103.9,101.1,102.1,1785083.0
ASIAINS,2022-02-01,102.8,104.0,101.0,102.0,1293808.0
ASIAINS,2022-02-02,103.0,105.7,101.9,104.9,1638304.0
ASIAINS,2022-02-03,106.5,108.8,104.1,104.7,1966368.0
ASIAINS,2022-02-06,104.7,107.9,104.0,104.5,1620690.0
ASIAINS,2022-02-07,106.0,106.4,103.4,103.9,1269264.0
ASIAINS,2022-02-08,104.3,105.5,102.5,102.8,1076894.0
ASIAINS,2022-02-09,103.0,103.7,101.3,101.8,937828.0
ASIAINS,2022-02-10,101.8,102.5,100.0,100.8,904131.0
ASIAINS,2022-02-13,101.0,101.7,99.4,99.7,732916.0
ASIAINS,2022-02-14,100.0,100.8,97.4,97.8,866483.0
ASIAINS,2022-02-15,98.5,99.4,97.0,97.9,687702.0
ASIAINS,2022-02-16,99.0,99.0,96.3,96.8,588860.0
ASIAINS,2022-02-17,97.0,97.2,94.6,95.0,697855.0
ASIAINS,2022-02-20,96.4,96.6,92.0,92.2,614541.0
ASIAINS,2022-02-22,92.0,93.1,89.3,90.4,560054.0
ASIAINS,2022-02-23,91.9,91.9,89.5,90.0,517075.0
ASIAINS,2022-02-24,90.4,90.5,85.3,86.3,814080.0
