symbol,date,open,high,low,close,volume
ASIAPACINS,2022-01-02,69.2,69.2,67.4,68.1,304649.0
ASIAPACINS,2022-01-03,69.2,69.8,67.4,67.6,466562.0
ASIAPACINS,2022-01-04,67.6,69.8,67.6,68.3,423020.0
ASIAPACINS,2022-01-05,68.0,68.9,67.2,67.5,308142.0
ASIAPACINS,2022-01-06,68.3,68.3,66.5,66.7,339613.0
ASIAPACINS,2022-01-09,67.7,68.8,65.7,66.0,188519.0
ASIAPACINS,2022-01-10,66.2,66.5,64.7,65.0,217869.0
ASIAPACINS,2022-01-11,65.0,66.7,64.8,65.0,163530.0
ASIAPACINS,2022-01-12,65.0,66.3,64.0,64.3,95290.0
ASIAPACINS,2022-01-13,65.6,65.6,63.8,64.0,146902.0
ASIAPACINS,2022-01-16,64.6,64.6,63.6,64.0,189027.0
ASIAPACINS,2022-01-17,64.8,66.7,64.4,65.1,335615.0
ASIAPACINS,2022-01-18,65.5,66.5,64.1,64.3,125918.0
ASIAPACINS,2022-01-19,63.8,65.0,63.6,63.9,74182.0
ASIAPACINS,2022-01-20,64.1,65.0,63.7,64.1,144809.0
ASIAPACINS,2022-01-23,65.4,67.8,65.0,66.7,297006.0
ASIAPACINS,2022-01-24,66.8,67.0,65.4,65.5,99949.0
ASIAPACINS,2022-01-25,65.5,66.6,64.8,65.1,64743.0
ASIAPACINS,2022-01-26,66.0,66.0,64.6,65.1,87805.0
ASIAPACINS,2022-01-27,65.7,65.8,64.7,64.8,101847.0
ASIAPACINS,2022-01-30,64.8,66.9,64.8,65.1,109366.0
ASIAPACINS,2022-01-31,65.3,65.7,64.7,64.8,80455.0
ASIAPACINS,2022-02-01,65.5,65.5,64.5,64.7,31994.0
ASIAPACINS,2022-02-02,64.6,65.6,64.5,65.2,61707.0
ASIAPACINS,2022-02-03,66.0,66.1,65.3,65.4,49418.0
ASIAPACINS,2022-02-06,65.9,67.8,65.7,65.9,246506.0
ASIAPACINS,2022-02-07,66.1,67.7,65.9,66.7,136966.0
ASIAPACINS,2022-02-08,66.7,67.7,65.9,66.2,198070.0
ASIAPACINS,2022-02-09,66.2,66.5,65.8,65.9,61458.0
ASIAPACINS,2022-02-10,65.7,66.2,65.2,65.3,90166.0
ASIAPACINS,2022-02-13,65.4,66.2,64.9,65.0,66177.0
ASIAPACINS,2022-02-14,65.3,65.3,64.1,64.2,104400.0
ASIAPACINS,2022-02-15,65.2,65.2,63.2,63.5,78596.0
ASIAPACINS,2022-02-16,63.6,64.2,63.0,63.5,35896.0
ASIAPACINS,2022-02-17,63.1,63.6,62.4,63.2,55166.0
ASIAPACINS,2022-02-20,63.2,63.9,61.0,61.4,56315.0
ASIAPACINS,2022-02-22,61.0,63.0,60.7,60.9,85226.0
ASIAPACINS,2022-02-23,61.0,61.4,60.2,60.4,49567.0
ASIAPACINS,2022-02-24,62.8,65.0,58.3,58.7,118009.0
ASIAPACINS,2022-02-27,57.3,58.8,55.6,56.1,68615.0
ASIAPACINS,2022-02-28,58.6,58.6,56.5,56.9,33065.0
ASIAPACINS,2022-03-01,58.2,59.6,57.5,57.7,84425.0
ASIAPACINS,2022-03-02,57.8,57.8,55.5,56.7,34491.0
ASIAPACINS,2022-03-03,56.2,57.0,56.0,56.2,26265.0
ASIAPACINS,2022-03-06,56.8,56.8,55.0,55.1,33605.0
ASIAPACINS,2022-03-07,54.6,55.9,51.0,51.4,116733.0
ASIAPACINS,2022-03-08,53.4,53.4,49.3,51.1,82237.0
ASIAPACINS,2022-03-09,53.0,56.2,51.2,55.8,69605.0
ASIAPACINS,2022-03-10,55.2,57.8,55.1,56.6,104460.0
ASIAPACINS,2022-03-13,55.6,56.6,55.5,56.2,42628.0
ASIAPACINS,2022-03-14,56.9,57.0,56.6,56.7,46859.0
ASIAPACINS,2022-03-15,56.2,56.4,55.6,55.6,63665.0
ASIAPACINS,2022-03-16,55.0,55.5,54.5,54.5,31236.0
ASIAPACINS,2022-03-20,54.5,54.5,53.5,53.5,52864.0
ASIAPACINS,2022-03-21,53.5,53.9,52.5,52.5,33108.0
ASIAPACINS,2022-03-22,52.7,52.8,51.5,51.5,123951.0
ASIAPACINS,2022-03-23,52.2,54.0,52.0,52.2,47859.0
ASIAPACINS,2022-03-24,52.2,53.0,52.0,52.2,29237.0
ASIAPACINS,2022-03-27,52.5,52.9,51.5,52.1,30974.0
ASIAPACINS,2022-03-28,52.6,54.0,52.5,53.2,68092.0
ASIAPACINS,2022-03-29,54.9,54.9,52.6,53.0,21900.0
