symbol,date,open,high,low,close,volume
ATLASBANG,2022-01-02,127.9,127.9,117.0,117.9,12318.0
ATLASBANG,2022-01-03,114.1,116.8,110.0,111.9,22297.0
ATLASBANG,2022-01-04,109.1,113.5,107.0,111.4,11943.0
ATLASBANG,2022-01-05,110.3,114.4,109.2,110.5,5208.0
ATLASBANG,2022-01-06,108.1,117.8,107.0,107.8,24615.0
ATLASBANG,2022-01-09,111.7,112.4,107.5,108.8,11248.0
ATLASBANG,2022-01-10,112.0,113.8,107.3,112.5,6682.0
ATLASBANG,2022-01-11,114.7,122.8,114.7,121.2,50322.0
ATLASBANG,2022-01-12,120.1,120.1,114.1,114.9,11801.0
ATLASBANG,2022-01-13,111.0,122.0,105.0,114.5,21145.0
ATLASBANG,2022-01-16,120.0,120.0,113.0,114.1,9547.0
ATLASBANG,2022-01-17,112.6,115.7,109.0,113.8,8784.0
ATLASBANG,2022-01-18,113.8,118.0,109.1,116.1,10009.0
ATLASBANG,2022-01-19,119.8,119.8,112.2,114.0,14191.0
ATLASBANG,2022-01-20,116.9,116.9,112.0,113.2,4958.0
ATLASBANG,2022-01-23,110.3,116.9,108.2,115.9,11979.0
ATLASBANG,2022-01-24,115.0,116.6,109.0,110.5,4962.0
ATLASBANG,2022-01-25,114.4,114.5,112.0,112.8,7259.0
ATLASBANG,2022-01-26,109.3,116.7,109.3,112.9,908.0
ATLASBANG,2022-01-27,112.0,112.0,110.0,110.6,3306.0
ATLASBANG,2022-01-30,110.6,114.0,110.0,111.4,6790.0
ATLASBANG,2022-01-31,111.4,111.5,106.0,106.9,9347.0
ATLASBANG,2022-02-01,107.5,114.8,107.5,109.5,10684.0
ATLASBANG,2022-02-02,111.4,111.9,109.5,111.5,2187.0
ATLASBANG,2022-02-03,111.9,111.9,108.8,109.1,4265.0
ATLASBANG,2022-02-06,109.2,111.5,108.1,111.2,3092.0
ATLASBANG,2022-02-07,108.5,112.0,108.5,108.9,7213.0
ATLASBANG,2022-02-08,107.3,108.8,107.0,107.6,10890.0
ATLASBANG,2022-02-09,108.0,110.6,107.9,109.2,4600.0
ATLASBANG,2022-02-10,108.0,111.0,108.0,109.5,2169.0
ATLASBANG,2022-02-13,111.0,111.2,109.5,109.8,1264.0
ATLASBANG,2022-02-14,108.5,110.6,107.0,107.4,3471.0
ATLASBANG,2022-02-15,109.1,109.1,107.2,107.7,6327.0
ATLASBANG,2022-02-16,109.1,109.1,107.8,108.1,5617.0
