symbol,date,open,high,low,close,volume
AZIZPIPES,2022-01-02,104.2,104.3,100.5,101.7,30476.0
AZIZPIPES,2022-01-03,104.2,106.4,102.0,103.6,32816.0
AZIZPIPES,2022-01-04,103.0,104.2,101.7,102.1,15052.0
AZIZPIPES,2022-01-05,103.9,103.9,102.0,102.4,37258.0
AZIZPIPES,2022-01-06,102.3,103.9,101.5,101.7,22773.0
AZIZPIPES,2022-01-09,105.6,105.6,101.1,101.7,30472.0
AZIZPIPES,2022-01-10,101.8,103.6,101.6,101.9,44122.0
AZIZPIPES,2022-01-11,102.0,103.8,100.5,101.7,42701.0
AZIZPIPES,2022-01-12,101.7,103.0,98.5,100.0,49060.0
AZIZPIPES,2022-01-13,102.4,103.0,99.1,100.0,30958.0
AZIZPIPES,2022-01-16,103.6,110.0,103.6,110.0,82704.0
AZIZPIPES,2022-01-17,116.5,120.0,112.0,113.5,209590.0
AZIZPIPES,2022-01-18,113.0,113.5,107.0,108.4,77268.0
AZIZPIPES,2022-01-19,109.2,114.5,108.2,109.0,83622.0
AZIZPIPES,2022-01-20,109.0,109.0,105.7,107.0,69298.0
AZIZPIPES,2022-01-23,105.0,105.5,102.0,103.2,84042.0
AZIZPIPES,2022-01-24,103.6,105.7,101.5,102.0,58055.0
AZIZPIPES,2022-01-25,102.5,103.9,101.4,101.6,41824.0
AZIZPIPES,2022-01-26,102.5,102.5,100.3,101.7,40022.0
AZIZPIPES,2022-01-27,102.5,104.8,101.0,103.0,18232.0
AZIZPIPES,2022-01-30,101.5,102.0,100.0,100.9,43330.0
AZIZPIPES,2022-01-31,100.2,101.9,99.9,100.2,34217.0
AZIZPIPES,2022-02-01,101.9,103.0,100.1,101.0,29853.0
AZIZPIPES,2022-02-02,102.0,102.8,100.0,100.8,54113.0
AZIZPIPES,2022-02-03,101.2,102.5,100.1,101.4,7786.0
AZIZPIPES,2022-02-06,104.9,104.9,101.2,102.1,23262.0
AZIZPIPES,2022-02-07,104.0,104.0,102.0,103.0,16831.0
AZIZPIPES,2022-02-08,101.5,103.7,101.0,102.4,16871.0
AZIZPIPES,2022-02-09,102.9,105.9,102.8,104.9,50443.0
AZIZPIPES,2022-02-10,104.9,113.0,104.0,110.5,190059.0
AZIZPIPES,2022-02-13,111.4,111.4,106.2,107.1,79369.0
AZIZPIPES,2022-02-14,107.5,108.1,101.8,103.7,49623.0
AZIZPIPES,2022-02-15,106.0,110.0,103.3,108.2,51238.0
AZIZPIPES,2022-02-16,110.5,115.0,108.9,111.2,159081.0
AZIZPIPES,2022-02-17,111.8,114.6,108.5,109.6,80642.0
AZIZPIPES,2022-02-20,110.0,120.0,109.8,119.3,408621.0
AZIZPIPES,2022-02-22,120.0,123.0,114.0,114.8,112958.0
AZIZPIPES,2022-02-23,114.9,114.9,110.0,110.7,86970.0
AZIZPIPES,2022-02-24,108.4,110.6,105.6,106.7,61332.0
AZIZPIPES,2022-02-27,103.6,106.1,102.2,103.0,61490.0
AZIZPIPES,2022-02-28,104.1,107.0,103.1,106.2,51159.0
AZIZPIPES,2022-03-01,107.9,110.0,104.8,105.2,59068.0
AZIZPIPES,2022-03-02,105.6,105.7,102.3,104.5,34782.0
AZIZPIPES,2022-03-03,107.0,107.0,103.5,106.1,40400.0
AZIZPIPES,2022-03-06,105.6,107.1,105.1,105.9,26092.0
AZIZPIPES,2022-03-07,105.9,106.0,103.7,103.9,52826.0
AZIZPIPES,2022-03-08,104.2,105.0,99.2,102.7,45964.0
AZIZPIPES,2022-03-09,105.0,106.9,103.8,105.9,30587.0
AZIZPIPES,2022-03-10,106.0,106.9,103.8,104.1,36559.0
AZIZPIPES,2022-03-13,107.3,107.3,103.8,105.5,18571.0
AZIZPIPES,2022-03-14,105.6,109.0,105.6,107.0,39213.0
AZIZPIPES,2022-03-15,107.3,108.4,104.9,105.3,42949.0
AZIZPIPES,2022-03-16,105.0,108.0,103.3,106.8,32146.0
