symbol,date,open,high,low,close,volume
BANKASIA,2022-01-02,22.0,22.0,21.2,21.3,47794.0
BANKASIA,2022-01-03,21.5,21.5,20.9,21.1,57889.0
BANKASIA,2022-01-04,20.7,21.5,20.7,21.3,114131.0
BANKASIA,2022-01-05,21.0,21.1,20.9,21.0,86189.0
BANKASIA,2022-01-06,21.0,21.2,21.0,21.0,101764.0
BANKASIA,2022-01-09,21.0,21.0,20.7,20.8,102364.0
BANKASIA,2022-01-10,20.9,21.0,20.7,20.9,122973.0
BANKASIA,2022-01-11,20.9,21.1,20.9,20.9,215712.0
BANKASIA,2022-01-12,21.0,21.0,20.7,20.9,255610.0
BANKASIA,2022-01-13,20.8,21.0,20.6,20.7,124421.0
BANKASIA,2022-01-16,20.7,20.9,20.1,20.5,97791.0
BANKASIA,2022-01-17,20.5,20.8,20.4,20.6,25261.0
BANKASIA,2022-01-18,20.6,20.7,20.4,20.5,46739.0
BANKASIA,2022-01-19,20.6,20.7,20.5,20.6,44693.0
BANKASIA,2022-01-20,20.6,20.6,20.5,20.5,117504.0
BANKASIA,2022-01-23,20.6,20.6,20.2,20.6,228799.0
BANKASIA,2022-01-24,20.5,20.7,20.4,20.4,83993.0
BANKASIA,2022-01-25,20.6,20.6,20.4,20.5,62518.0
BANKASIA,2022-01-26,20.6,20.6,20.1,20.2,254236.0
BANKASIA,2022-01-27,20.2,20.6,20.1,20.5,163109.0
BANKASIA,2022-01-30,20.3,20.6,20.2,20.5,138513.0
BANKASIA,2022-01-31,20.3,20.6,20.2,20.4,112483.0
BANKASIA,2022-02-01,20.4,20.5,19.9,20.2,135528.0
BANKASIA,2022-02-02,20.3,20.7,20.3,20.5,74046.0
BANKASIA,2022-02-03,20.5,20.5,20.2,20.3,84219.0
BANKASIA,2022-02-06,20.4,20.5,20.4,20.5,8724.0
BANKASIA,2022-02-07,20.6,20.6,20.3,20.5,91639.0
BANKASIA,2022-02-08,20.3,21.1,20.3,20.9,263382.0
BANKASIA,2022-02-09,20.6,20.9,20.6,20.8,43226.0
BANKASIA,2022-02-10,20.9,20.9,20.3,20.7,213123.0
BANKASIA,2022-02-13,20.6,21.0,20.2,20.7,979427.0
