symbol,date,open,high,low,close,volume
BATASHOE,2022-01-02,940.0,960.0,934.0,939.9,2487.0
BATASHOE,2022-01-03,940.0,941.0,920.0,921.1,2144.0
BATASHOE,2022-01-04,922.1,922.1,906.0,908.9,1405.0
BATASHOE,2022-01-05,908.9,909.0,903.0,903.4,1131.0
BATASHOE,2022-01-06,903.4,915.0,900.0,906.5,2228.0
BATASHOE,2022-01-09,906.5,914.5,900.0,904.1,753.0
BATASHOE,2022-01-10,904.1,904.1,900.0,901.1,1533.0
BATASHOE,2022-01-11,921.0,932.8,905.3,905.9,3421.0
BATASHOE,2022-01-12,904.0,910.0,904.0,904.2,1257.0
BATASHOE,2022-01-13,904.3,914.0,902.1,906.1,1104.0
BATASHOE,2022-01-16,925.0,944.0,906.0,908.9,1847.0
BATASHOE,2022-01-17,910.0,911.0,905.0,909.2,3482.0
BATASHOE,2022-01-18,905.0,909.9,904.1,906.1,3136.0
BATASHOE,2022-01-19,904.2,910.0,903.3,903.7,2073.0
BATASHOE,2022-01-20,903.5,909.9,903.0,907.4,858.0
BATASHOE,2022-01-23,905.0,929.9,905.0,920.5,5590.0
BATASHOE,2022-01-24,928.9,960.0,921.5,951.8,14597.0
BATASHOE,2022-01-25,953.1,953.1,931.0,942.0,11609.0
BATASHOE,2022-01-26,940.0,952.9,934.0,936.0,17181.0
BATASHOE,2022-01-27,925.0,935.8,925.0,929.1,868.0
BATASHOE,2022-01-30,929.1,930.0,911.0,917.5,687.0
BATASHOE,2022-01-31,910.0,929.9,910.0,910.2,2114.0
BATASHOE,2022-02-01,907.0,910.5,907.0,908.3,8611.0
BATASHOE,2022-02-02,908.4,940.0,908.4,934.8,3270.0
BATASHOE,2022-02-03,925.0,925.0,914.0,914.5,4379.0
BATASHOE,2022-02-06,910.2,919.9,910.0,913.0,7485.0
BATASHOE,2022-02-07,912.3,915.0,905.1,907.8,5154.0
BATASHOE,2022-02-08,905.0,914.9,905.0,910.2,3131.0
BATASHOE,2022-02-09,906.0,939.7,906.0,918.7,344.0
