symbol,date,open,high,low,close,volume
BATBC,2022-01-02,637.0,647.2,636.4,646.1,131289.0
BATBC,2022-01-03,647.3,660.0,646.1,652.9,283257.0
BATBC,2022-01-04,650.0,652.0,646.8,647.4,95460.0
BATBC,2022-01-05,649.0,653.1,647.0,651.2,156364.0
BATBC,2022-01-06,651.2,658.0,649.1,655.5,214376.0
BATBC,2022-01-09,658.0,659.7,648.0,648.8,194220.0
BATBC,2022-01-10,650.0,655.2,648.8,649.9,185612.0
BATBC,2022-01-11,651.0,655.1,648.6,650.5,227101.0
BATBC,2022-01-12,651.0,654.8,647.6,649.1,186257.0
BATBC,2022-01-13,649.6,652.0,647.0,649.6,122244.0
BATBC,2022-01-16,650.0,652.0,647.0,648.7,170066.0
BATBC,2022-01-17,650.9,650.9,646.4,647.0,175416.0
BATBC,2022-01-18,647.0,650.9,645.9,646.2,203847.0
BATBC,2022-01-19,645.0,650.0,644.7,645.9,148785.0
BATBC,2022-01-20,645.0,648.3,644.8,645.9,130472.0
BATBC,2022-01-23,648.0,669.5,648.0,663.3,489015.0
BATBC,2022-01-24,670.0,680.0,666.1,672.5,479782.0
BATBC,2022-01-25,673.9,674.7,659.0,660.3,377423.0
BATBC,2022-01-26,662.8,663.0,658.0,658.9,206902.0
BATBC,2022-01-27,660.0,660.0,651.2,656.0,303994.0
BATBC,2022-01-30,656.0,664.0,652.7,653.5,157600.0
BATBC,2022-01-31,653.0,653.5,648.7,649.2,228788.0
BATBC,2022-02-01,649.2,653.0,645.2,649.7,273337.0
BATBC,2022-02-02,651.0,652.1,648.5,649.0,157557.0
BATBC,2022-02-03,653.0,660.9,649.6,650.8,487922.0
BATBC,2022-02-06,699.3,699.3,668.0,672.4,855390.0
BATBC,2022-02-07,678.0,678.0,652.0,654.5,630790.0
BATBC,2022-02-08,655.0,655.9,645.1,646.0,662371.0
BATBC,2022-02-09,650.0,650.0,642.0,644.5,364353.0
BATBC,2022-02-10,635.0,635.0,605.0,627.5,806293.0
BATBC,2022-02-13,625.0,640.0,624.0,638.5,304876.0
BATBC,2022-02-14,638.5,639.9,632.0,634.2,177274.0
BATBC,2022-02-15,632.5,633.8,626.5,628.6,191090.0
BATBC,2022-02-16,630.0,630.0,625.1,626.3,181803.0
BATBC,2022-02-17,626.1,626.1,621.6,622.8,204237.0
BATBC,2022-02-20,623.0,623.0,615.5,616.3,236725.0
BATBC,2022-02-22,616.3,616.4,610.0,610.6,327901.0
BATBC,2022-02-23,610.5,626.9,610.1,623.6,119694.0
BATBC,2022-02-24,624.0,629.4,615.0,616.8,240390.0
BATBC,2022-02-27,616.8,617.0,600.0,607.8,423264.0
BATBC,2022-02-28,608.0,620.0,608.0,614.1,262657.0
BATBC,2022-03-01,611.1,616.8,611.0,613.8,168068.0
BATBC,2022-03-02,613.3,613.4,610.1,612.3,279298.0
BATBC,2022-03-06,601.0,601.0,589.2,591.3,368532.0
BATBC,2022-03-07,593.1,594.0,572.5,573.4,293089.0
BATBC,2022-03-08,573.4,578.5,550.1,566.7,330911.0
BATBC,2022-03-09,570.0,579.0,567.0,573.8,209244.0
BATBC,2022-03-10,575.0,589.0,575.0,579.1,166829.0
BATBC,2022-03-13,580.0,590.0,580.0,587.9,110416.0
BATBC,2022-03-14,589.0,593.8,587.4,590.7,96161.0
BATBC,2022-03-15,593.0,595.0,591.7,592.6,101214.0
BATBC,2022-03-16,593.2,596.8,593.2,595.3,79277.0
BATBC,2022-03-20,596.0,597.0,586.9,587.3,83765.0
BATBC,2022-03-21,586.8,590.7,582.0,588.4,56012.0
BATBC,2022-03-22,590.0,590.9,585.2,589.6,66911.0
BATBC,2022-03-23,589.6,593.0,588.0,589.1,70403.0
BATBC,2022-03-24,589.1,589.5,585.4,586.1,71681.0
BATBC,2022-03-27,586.2,586.5,583.5,585.8,118239.0
BATBC,2022-03-28,585.8,586.0,584.4,585.1,123647.0
BATBC,2022-03-29,589.7,589.7,582.4,582.8,116596.0
BATBC,2022-03-30,582.8,586.0,580.1,580.7,61399.0
BATBC,2022-03-31,580.1,587.0,580.1,584.5,85417.0
BATBC,2022-04-03,587.0,593.0,587.0,589.4,68798.0
BATBC,2022-04-04,589.0,589.0,583.9,584.0,61128.0
BATBC,2022-04-05,583.5,583.5,581.0,581.8,71063.0
BATBC,2022-04-06,582.0,582.0,578.2,578.9,50258.0
BATBC,2022-04-07,578.9,580.0,574.5,576.1,56793.0
BATBC,2022-04-10,576.1,577.0,572.0,575.1,57722.0
BATBC,2022-04-11,578.2,584.0,574.5,579.7,42286.0
BATBC,2022-04-12,576.1,579.8,575.1,576.3,38859.0
BATBC,2022-04-13,576.3,586.7,570.5,576.4,129033.0
BATBC,2022-04-17,578.0,580.4,573.3,578.4,102076.0
BATBC,2022-04-18,573.6,579.9,571.1,574.1,103354.0
BATBC,2022-04-19,574.0,582.0,571.2,579.4,174386.0
BATBC,2022-04-20,579.9,581.0,577.0,578.9,74376.0
BATBC,2022-04-21,582.9,582.9,579.3,579.9,165403.0
BATBC,2022-04-24,582.8,591.9,580.3,586.9,122674.0
BATBC,2022-04-25,587.8,587.8,583.2,584.6,72503.0
BATBC,2022-04-26,584.6,587.8,582.5,582.9,81089.0
BATBC,2022-04-27,583.0,585.0,581.0,581.9,100163.0
BATBC,2022-04-28,580.3,582.0,577.7,581.7,125843.0
BATBC,2022-05-05,582.0,583.4,580.0,581.2,49898.0
BATBC,2022-05-08,581.5,583.0,580.0,582.0,70854.0
BATBC,2022-05-09,581.7,587.0,581.7,583.8,121554.0
BATBC,2022-05-10,585.0,585.0,580.0,580.3,158545.0
BATBC,2022-05-11,581.0,581.5,577.1,579.2,115669.0
BATBC,2022-05-12,583.0,583.0,575.0,575.6,93349.0
BATBC,2022-05-16,578.0,578.0,559.0,561.1,189674.0
BATBC,2022-05-17,563.0,567.8,550.0,553.6,141802.0
BATBC,2022-05-18,557.7,558.0,545.3,547.7,129700.0
BATBC,2022-05-19,547.7,547.7,535.1,539.5,179774.0
BATBC,2022-05-22,540.0,554.5,530.0,530.6,138610.0
BATBC,2022-05-23,546.0,550.0,538.2,546.7,104834.0
BATBC,2022-05-24,549.0,550.0,542.2,543.1,122326.0
BATBC,2022-05-25,540.0,541.9,536.0,539.7,85499.0
BATBC,2022-05-26,539.5,543.8,539.1,540.9,42025.0
BATBC,2022-05-29,543.3,553.9,543.3,551.2,81881.0
BATBC,2022-05-30,552.0,555.8,548.0,549.7,135230.0
BATBC,2022-05-31,550.1,553.0,549.5,550.7,82027.0
BATBC,2022-06-01,550.0,553.0,548.7,550.9,85561.0
BATBC,2022-06-02,550.9,558.0,550.9,555.7,61678.0
BATBC,2022-06-05,555.7,571.8,554.4,570.3,89533.0
BATBC,2022-06-06,570.3,578.0,568.4,570.1,83431.0
BATBC,2022-06-07,569.2,570.0,560.5,561.3,52923.0
BATBC,2022-06-08,565.0,565.0,560.0,562.6,89964.0
BATBC,2022-06-09,568.2,568.2,555.6,556.8,87694.0
BATBC,2022-06-12,552.4,567.0,552.2,553.7,65341.0
BATBC,2022-06-13,553.8,556.0,550.0,551.9,97212.0
BATBC,2022-06-14,552.0,554.5,549.5,549.9,124720.0
BATBC,2022-06-15,551.0,552.0,542.7,544.5,100754.0
BATBC,2022-06-16,545.0,559.0,545.0,548.5,101383.0
BATBC,2022-06-19,555.9,556.0,546.9,548.0,63675.0
BATBC,2022-06-20,551.0,551.0,542.9,543.8,85808.0
BATBC,2022-06-21,553.0,553.0,542.8,542.9,73057.0
BATBC,2022-06-22,542.9,551.9,541.5,542.2,149398.0
BATBC,2022-06-23,547.0,547.0,541.9,542.0,91800.0
BATBC,2022-06-26,545.0,545.0,542.5,542.7,52191.0
