symbol,date,open,high,low,close,volume
BAYLEASING,2022-01-02,31.8,32.4,31.2,32.2,882969.0
BAYLEASING,2022-01-03,32.3,32.5,31.6,31.8,1055350.0
BAYLEASING,2022-01-04,31.9,31.9,31.4,31.6,682106.0
BAYLEASING,2022-01-05,31.8,33.4,31.8,32.9,1656156.0
BAYLEASING,2022-01-06,33.0,33.2,32.4,32.5,1230858.0
BAYLEASING,2022-01-09,33.0,33.0,31.7,31.8,1524714.0
BAYLEASING,2022-01-10,31.8,32.4,31.5,31.6,998162.0
BAYLEASING,2022-01-11,31.8,33.4,31.8,32.6,2444598.0
BAYLEASING,2022-01-12,32.5,32.7,31.3,31.5,1441031.0
BAYLEASING,2022-01-13,31.6,31.9,31.2,31.3,776859.0
BAYLEASING,2022-01-16,31.7,31.8,31.2,31.4,970208.0
BAYLEASING,2022-01-17,31.8,32.3,31.4,31.9,776755.0
BAYLEASING,2022-01-18,32.4,32.8,31.8,31.9,1085096.0
BAYLEASING,2022-01-19,32.2,32.3,31.5,31.6,907836.0
BAYLEASING,2022-01-20,31.6,31.9,31.4,31.5,967347.0
BAYLEASING,2022-01-23,31.9,31.9,31.0,31.2,606902.0
BAYLEASING,2022-01-24,31.5,31.5,30.4,30.6,583044.0
BAYLEASING,2022-01-25,30.3,31.4,30.3,31.3,471854.0
BAYLEASING,2022-01-26,31.4,32.1,31.2,31.5,728069.0
BAYLEASING,2022-01-27,31.5,32.3,31.3,31.4,1452048.0
BAYLEASING,2022-01-30,31.7,31.7,30.8,30.9,1443227.0
BAYLEASING,2022-01-31,30.8,31.7,30.8,31.2,881062.0
BAYLEASING,2022-02-01,31.6,31.7,31.0,31.1,980445.0
BAYLEASING,2022-02-02,31.5,31.6,31.1,31.3,1103020.0
BAYLEASING,2022-02-03,31.7,32.1,31.3,31.9,1158125.0
BAYLEASING,2022-02-06,32.3,33.0,31.9,32.0,2335149.0
BAYLEASING,2022-02-07,32.0,32.2,31.9,32.0,857724.0
BAYLEASING,2022-02-08,32.2,35.2,32.2,35.2,12397493.0
BAYLEASING,2022-02-09,36.5,37.7,34.5,36.4,8523544.0
BAYLEASING,2022-02-10,36.1,37.6,35.0,35.4,9397272.0
BAYLEASING,2022-02-13,35.7,36.6,33.8,34.5,5491165.0
BAYLEASING,2022-02-14,34.9,35.6,33.4,33.7,5107876.0
BAYLEASING,2022-02-15,34.0,34.4,33.1,33.5,3622032.0
BAYLEASING,2022-02-16,34.1,34.4,32.3,32.6,4293856.0
BAYLEASING,2022-02-17,32.7,32.9,31.5,31.9,2964229.0
BAYLEASING,2022-02-20,31.7,31.7,30.7,30.8,2799108.0
BAYLEASING,2022-02-22,30.5,31.7,30.0,31.4,3635527.0
BAYLEASING,2022-02-23,31.5,31.7,30.6,30.9,1953605.0
BAYLEASING,2022-02-24,30.9,30.9,29.5,29.7,3012875.0
BAYLEASING,2022-02-27,29.9,29.9,28.3,28.5,2728267.0
BAYLEASING,2022-02-28,28.8,29.3,28.7,29.0,1557277.0
BAYLEASING,2022-03-01,29.1,29.7,28.7,28.9,1497637.0
BAYLEASING,2022-03-02,29.0,29.0,28.0,28.2,1354155.0
BAYLEASING,2022-03-03,28.1,28.4,27.7,28.0,1164316.0
BAYLEASING,2022-03-06,28.3,28.3,27.2,27.4,1129286.0
BAYLEASING,2022-03-07,27.5,27.5,25.9,26.1,1653033.0
BAYLEASING,2022-03-08,26.1,27.8,25.4,27.4,1473858.0
BAYLEASING,2022-03-09,27.7,28.8,27.6,28.7,1751778.0
BAYLEASING,2022-03-10,28.8,29.8,28.7,28.9,2511878.0
BAYLEASING,2022-03-13,29.1,30.1,28.9,30.0,1644650.0
BAYLEASING,2022-03-14,30.2,30.6,29.4,29.5,1507632.0
BAYLEASING,2022-03-15,29.5,29.8,29.1,29.3,1140753.0
BAYLEASING,2022-03-16,29.4,29.7,28.8,28.8,902566.0
BAYLEASING,2022-03-20,28.7,28.9,28.3,28.3,731247.0
BAYLEASING,2022-03-21,28.3,28.5,27.8,27.9,773966.0
BAYLEASING,2022-03-22,28.3,29.0,27.8,28.6,800154.0
BAYLEASING,2022-03-23,29.0,29.0,28.1,28.1,706966.0
BAYLEASING,2022-03-24,28.0,28.3,27.6,27.7,878720.0
BAYLEASING,2022-03-27,28.1,28.1,27.5,27.6,426399.0
BAYLEASING,2022-03-28,27.8,27.8,27.1,27.3,599885.0
BAYLEASING,2022-03-29,27.8,28.4,27.4,28.1,771322.0
BAYLEASING,2022-03-30,28.3,28.5,27.6,27.7,647297.0
BAYLEASING,2022-03-31,27.8,28.3,27.4,28.1,640816.0
BAYLEASING,2022-04-03,28.6,30.7,28.5,30.2,4326926.0
BAYLEASING,2022-04-04,30.0,30.3,29.6,29.6,1493511.0
BAYLEASING,2022-04-05,29.1,29.5,29.1,29.1,893687.0
BAYLEASING,2022-04-06,28.6,29.1,28.6,28.6,453308.0
BAYLEASING,2022-04-07,28.1,28.5,28.1,28.3,742270.0
BAYLEASING,2022-04-10,28.3,29.9,28.3,29.4,639648.0
BAYLEASING,2022-04-11,29.7,30.3,28.9,29.2,1524103.0
BAYLEASING,2022-04-12,28.8,29.2,28.7,28.7,318461.0
