symbol,date,open,high,low,close,volume
BBS,2022-01-02,18.4,18.9,18.0,18.2,304401.0
BBS,2022-01-03,18.1,18.4,17.8,17.8,325866.0
BBS,2022-01-04,17.7,17.9,17.6,17.7,220265.0
BBS,2022-01-05,18.0,19.2,17.8,19.1,1477109.0
BBS,2022-01-06,19.0,20.0,18.7,18.9,1147266.0
BBS,2022-01-09,18.9,18.9,18.1,18.2,365040.0
BBS,2022-01-10,18.2,18.7,18.1,18.5,478945.0
BBS,2022-01-11,18.8,19.5,18.3,18.9,1002044.0
BBS,2022-01-12,19.0,19.2,18.3,18.4,396339.0
BBS,2022-01-13,18.8,18.8,18.1,18.3,380329.0
BBS,2022-01-16,18.3,18.5,18.2,18.4,232040.0
BBS,2022-01-17,18.5,18.7,18.3,18.4,336340.0
BBS,2022-01-18,18.4,18.8,18.4,18.5,333076.0
BBS,2022-01-19,18.5,18.7,18.4,18.5,197141.0
BBS,2022-01-20,18.7,20.0,18.7,19.4,2332837.0
BBS,2022-01-23,19.4,19.4,19.0,19.2,334039.0
BBS,2022-01-24,19.3,19.4,18.5,18.8,545447.0
BBS,2022-01-25,18.8,19.5,18.8,19.4,410641.0
BBS,2022-01-26,19.5,20.4,19.4,20.0,1218574.0
BBS,2022-01-27,22.0,22.0,22.0,22.0,1484751.0
BBS,2022-01-30,24.2,24.2,23.8,24.2,8535388.0
BBS,2022-01-31,25.3,26.3,24.2,26.2,10442781.0
BBS,2022-02-01,26.0,28.8,25.9,28.8,13887476.0
BBS,2022-02-02,29.2,30.1,27.2,27.7,10329705.0
BBS,2022-02-03,28.0,30.4,27.4,30.2,15807573.0
BBS,2022-02-06,30.7,31.7,28.7,29.1,10766340.0
BBS,2022-02-07,29.0,29.7,27.0,27.3,11158780.0
BBS,2022-02-08,27.6,27.9,26.1,26.6,5598348.0
BBS,2022-02-09,26.9,27.2,25.6,25.9,6598410.0
BBS,2022-02-10,26.3,27.6,25.9,26.8,8771666.0
BBS,2022-02-13,27.0,27.3,25.6,25.8,5496425.0
BBS,2022-02-14,25.8,26.3,24.7,24.9,4306521.0
BBS,2022-02-15,25.0,25.6,24.8,25.0,3284383.0
BBS,2022-02-16,25.4,25.7,24.8,25.0,3202760.0
BBS,2022-02-17,25.2,25.2,24.2,24.3,2914692.0
BBS,2022-02-20,24.3,24.6,23.8,24.1,3217321.0
BBS,2022-02-22,24.3,25.6,24.2,25.2,5136337.0
BBS,2022-02-23,25.4,25.5,24.7,24.8,3593169.0
BBS,2022-02-24,24.9,25.0,23.4,23.5,3522269.0
BBS,2022-02-27,23.7,23.8,22.9,23.0,2323312.0
BBS,2022-02-28,23.4,23.7,23.2,23.3,1661672.0
BBS,2022-03-01,23.5,24.2,23.2,23.4,2249676.0
BBS,2022-03-02,23.6,23.7,22.9,23.1,1644546.0
BBS,2022-03-03,23.3,23.4,22.9,23.0,1654691.0
BBS,2022-03-06,23.3,23.4,22.4,22.6,1465990.0
BBS,2022-03-07,22.5,22.7,21.6,21.7,2193814.0
BBS,2022-03-08,22.0,23.0,21.3,22.5,2852368.0
BBS,2022-03-09,23.0,24.3,22.6,24.0,4281860.0
BBS,2022-03-10,24.0,24.3,23.6,24.0,4667010.0
BBS,2022-03-13,24.3,26.4,24.1,26.0,11218418.0
BBS,2022-03-14,26.1,26.1,25.5,25.5,3569360.0
BBS,2022-03-15,25.0,26.7,25.0,26.3,8236088.0
BBS,2022-03-16,26.4,26.8,25.8,25.8,2917061.0
BBS,2022-03-20,25.6,25.8,25.3,25.3,1657084.0
BBS,2022-03-21,25.0,25.3,24.8,24.8,1598277.0
BBS,2022-03-22,25.1,25.4,24.4,24.5,2720145.0
BBS,2022-03-23,24.7,25.3,24.3,24.5,2116975.0
BBS,2022-03-24,24.6,24.8,24.1,24.3,1145237.0
BBS,2022-03-27,24.5,24.6,23.9,23.9,1435935.0
BBS,2022-03-28,24.0,24.2,23.7,23.9,1552812.0
BBS,2022-03-29,24.1,24.5,24.1,24.3,1590165.0
BBS,2022-03-30,24.4,24.8,24.0,24.1,1604584.0
BBS,2022-03-31,24.1,24.9,23.9,24.8,2877438.0
BBS,2022-04-03,25.1,25.2,24.4,24.4,1373992.0
BBS,2022-04-04,24.4,24.4,24.0,24.0,1767983.0
BBS,2022-04-05,24.0,24.3,23.8,24.1,1117666.0
BBS,2022-04-06,24.0,25.3,24.0,24.9,5524052.0
BBS,2022-04-07,25.0,25.4,24.7,25.2,4522358.0
BBS,2022-04-10,25.3,25.6,25.1,25.3,4536954.0
BBS,2022-04-11,25.3,25.6,24.9,25.0,2520525.0
BBS,2022-04-12,25.0,25.0,24.5,24.5,780096.0
BBS,2022-04-13,24.1,24.4,24.1,24.1,1553721.0
BBS,2022-04-17,24.5,24.5,23.7,23.7,1500216.0
BBS,2022-04-18,23.8,23.8,23.3,23.3,680426.0
BBS,2022-04-19,23.0,23.7,22.9,23.5,2094046.0
BBS,2022-04-20,23.9,25.6,23.7,25.5,5487074.0
BBS,2022-04-21,25.5,26.3,25.0,25.3,5234857.0
BBS,2022-04-24,25.8,26.4,24.9,25.2,7722109.0
BBS,2022-04-25,25.3,25.5,24.6,25.1,1825852.0
BBS,2022-04-26,25.3,25.7,25.0,25.5,2760087.0
BBS,2022-04-27,25.8,26.2,25.4,25.5,3160807.0
BBS,2022-04-28,25.6,25.7,24.9,25.0,2645679.0
BBS,2022-05-05,25.0,25.2,24.6,24.7,1015888.0
BBS,2022-05-08,24.7,25.7,24.7,25.5,3396596.0
BBS,2022-05-09,25.5,26.1,25.4,25.6,3942111.0
BBS,2022-05-10,25.7,25.7,24.7,24.8,3345522.0
BBS,2022-05-11,24.8,25.1,24.2,24.3,2327439.0
BBS,2022-05-12,24.5,24.6,23.9,24.1,1449455.0
BBS,2022-05-16,24.2,24.3,22.9,23.1,2278167.0
BBS,2022-05-17,23.4,23.7,22.6,23.4,1557550.0
BBS,2022-05-18,23.7,23.8,22.5,22.7,1119349.0
BBS,2022-05-19,22.5,23.5,22.4,22.9,1180969.0
BBS,2022-05-22,23.2,23.2,21.9,22.2,1411576.0
BBS,2022-05-23,22.8,23.8,22.8,23.1,1265245.0
BBS,2022-05-24,23.1,23.6,22.7,22.9,1689375.0
BBS,2022-05-25,22.8,22.9,22.3,22.6,665519.0
BBS,2022-05-26,22.6,23.0,22.3,22.9,804347.0
BBS,2022-05-29,23.5,24.2,23.3,24.1,2958079.0
BBS,2022-05-30,24.1,24.3,23.7,23.7,1697213.0
BBS,2022-05-31,23.6,23.7,23.4,23.5,861921.0
BBS,2022-06-01,23.8,24.1,23.7,24.0,2004654.0
BBS,2022-06-02,24.1,24.4,23.8,23.9,1632628.0
BBS,2022-06-05,24.0,24.3,23.9,24.1,2461737.0
BBS,2022-06-06,24.3,24.3,23.7,23.7,2287085.0
BBS,2022-06-07,23.7,23.7,23.3,23.4,1323709.0
BBS,2022-06-08,23.5,23.7,23.3,23.6,835773.0
BBS,2022-06-09,23.6,23.9,23.5,23.7,902980.0
BBS,2022-06-12,23.5,23.5,23.3,23.3,651724.0
BBS,2022-06-13,23.2,23.4,22.9,23.0,906993.0
BBS,2022-06-14,23.5,23.5,22.7,22.8,794907.0
BBS,2022-06-15,22.8,23.6,22.8,23.1,1329933.0
BBS,2022-06-16,23.3,23.4,23.0,23.2,1038507.0
BBS,2022-06-19,23.4,23.5,22.9,22.9,872820.0
BBS,2022-06-20,22.9,22.9,22.6,22.7,605653.0
BBS,2022-06-21,22.4,23.3,22.3,22.4,582921.0
BBS,2022-06-22,22.7,23.1,22.4,22.7,915135.0
BBS,2022-06-23,22.8,23.2,22.5,22.6,1044599.0
