symbol,date,open,high,low,close,volume
BDAUTOCA,2022-01-02,137.7,137.7,134.0,134.3,12372.0
BDAUTOCA,2022-01-03,134.3,136.4,134.2,134.6,13121.0
BDAUTOCA,2022-01-04,132.5,136.4,132.5,134.4,8769.0
BDAUTOCA,2022-01-05,134.6,137.7,133.0,137.1,32084.0
BDAUTOCA,2022-01-06,137.1,139.9,135.3,135.5,15053.0
BDAUTOCA,2022-01-09,135.5,137.6,134.0,134.4,22174.0
BDAUTOCA,2022-01-10,134.4,136.0,134.1,134.6,11555.0
BDAUTOCA,2022-01-11,134.1,137.5,134.1,134.4,25690.0
BDAUTOCA,2022-01-12,135.0,138.4,133.7,137.1,38192.0
BDAUTOCA,2022-01-13,139.9,147.0,139.9,146.1,101218.0
BDAUTOCA,2022-01-16,156.0,160.7,155.0,160.7,208488.0
BDAUTOCA,2022-01-17,165.9,165.9,154.2,155.5,76674.0
BDAUTOCA,2022-01-18,157.4,161.5,149.3,158.0,104362.0
BDAUTOCA,2022-01-19,158.0,166.7,157.0,157.8,84976.0
BDAUTOCA,2022-01-20,157.8,158.8,152.3,152.9,47742.0
BDAUTOCA,2022-01-23,150.1,157.0,143.5,146.8,73639.0
BDAUTOCA,2022-01-24,148.0,151.8,143.0,143.4,43582.0
BDAUTOCA,2022-01-25,142.2,146.4,142.0,143.5,24918.0
BDAUTOCA,2022-01-26,142.5,145.9,142.5,144.6,21480.0
BDAUTOCA,2022-01-27,143.6,147.9,143.0,144.5,27458.0
BDAUTOCA,2022-01-30,144.5,144.5,135.4,137.0,36669.0
BDAUTOCA,2022-01-31,137.9,142.0,137.2,139.7,25527.0
BDAUTOCA,2022-02-01,144.0,144.0,141.5,142.0,17359.0
BDAUTOCA,2022-02-02,142.2,144.0,140.6,140.7,8664.0
BDAUTOCA,2022-02-03,140.7,141.8,138.9,139.3,25932.0
BDAUTOCA,2022-02-06,142.4,142.4,137.0,137.1,37982.0
BDAUTOCA,2022-02-07,139.6,139.6,136.5,136.7,20689.0
BDAUTOCA,2022-02-08,139.2,139.2,136.9,138.2,15618.0
BDAUTOCA,2022-02-09,141.4,141.4,138.0,138.3,16186.0
BDAUTOCA,2022-02-10,141.2,141.2,138.5,139.4,19802.0
BDAUTOCA,2022-02-13,141.7,147.6,140.1,146.5,69965.0
BDAUTOCA,2022-02-14,147.5,148.5,141.0,141.7,23274.0
BDAUTOCA,2022-02-15,142.5,155.8,142.5,154.9,186610.0
BDAUTOCA,2022-02-16,156.0,164.5,153.0,158.7,140930.0
BDAUTOCA,2022-02-17,157.6,157.9,152.0,155.5,99483.0
BDAUTOCA,2022-02-20,155.0,164.0,155.0,158.9,113531.0
BDAUTOCA,2022-02-22,158.9,162.0,151.5,153.7,105660.0
BDAUTOCA,2022-02-23,159.0,159.0,148.0,150.0,50030.0
BDAUTOCA,2022-02-24,149.1,152.5,143.1,144.4,48196.0
BDAUTOCA,2022-02-27,138.0,146.7,137.0,138.4,59348.0
BDAUTOCA,2022-02-28,140.0,144.8,140.0,143.1,34015.0
BDAUTOCA,2022-03-01,145.0,147.3,139.0,139.9,65106.0
BDAUTOCA,2022-03-02,140.0,142.0,137.0,140.8,44428.0
BDAUTOCA,2022-03-03,141.0,146.7,139.0,144.3,53897.0
BDAUTOCA,2022-03-06,145.0,146.6,140.7,141.4,73583.0
BDAUTOCA,2022-03-07,141.4,144.7,137.9,138.8,80813.0
BDAUTOCA,2022-03-08,142.4,142.5,132.0,140.3,53356.0
BDAUTOCA,2022-03-09,140.4,144.5,140.4,142.9,36097.0
BDAUTOCA,2022-03-10,143.2,143.8,140.2,141.2,21783.0
BDAUTOCA,2022-03-13,141.6,141.6,139.0,140.4,25372.0
BDAUTOCA,2022-03-14,142.0,146.0,142.0,143.2,74154.0
BDAUTOCA,2022-03-15,143.2,143.2,141.0,141.7,19794.0
BDAUTOCA,2022-03-16,143.9,144.0,141.0,143.5,26578.0
BDAUTOCA,2022-03-20,145.0,145.5,141.6,142.4,27615.0
BDAUTOCA,2022-03-21,141.8,142.5,140.5,140.9,25306.0
BDAUTOCA,2022-03-22,144.4,144.9,142.0,143.8,34602.0
BDAUTOCA,2022-03-23,143.2,145.5,141.0,141.1,26466.0
BDAUTOCA,2022-03-24,140.6,142.2,140.6,141.2,31918.0
BDAUTOCA,2022-03-27,141.8,142.7,141.0,141.5,23909.0
BDAUTOCA,2022-03-28,142.5,149.9,142.5,148.3,100970.0
BDAUTOCA,2022-03-29,146.9,147.7,145.4,146.4,43132.0
BDAUTOCA,2022-03-30,144.0,146.0,143.5,143.5,26251.0
BDAUTOCA,2022-03-31,141.5,147.0,140.7,144.0,30183.0
BDAUTOCA,2022-04-03,147.0,147.0,141.5,142.3,6041.0
BDAUTOCA,2022-04-04,142.9,142.9,141.0,141.3,24133.0
BDAUTOCA,2022-04-05,141.0,142.6,139.0,139.4,13563.0
BDAUTOCA,2022-04-06,139.4,140.5,137.2,137.4,19477.0
BDAUTOCA,2022-04-07,137.0,138.4,136.5,137.9,9063.0
BDAUTOCA,2022-04-10,139.0,141.7,136.6,140.3,8610.0
BDAUTOCA,2022-04-11,140.0,140.7,138.6,138.6,9387.0
BDAUTOCA,2022-04-12,138.2,138.2,137.0,137.6,11639.0
BDAUTOCA,2022-04-13,141.9,141.9,135.5,139.0,6543.0
BDAUTOCA,2022-04-17,137.0,138.5,136.5,136.7,3996.0
BDAUTOCA,2022-04-18,135.1,139.0,134.0,134.0,17571.0
BDAUTOCA,2022-04-19,131.4,136.5,131.4,133.5,7441.0
BDAUTOCA,2022-04-20,133.5,139.5,133.5,136.8,5537.0
BDAUTOCA,2022-04-21,132.6,138.3,132.5,136.2,14728.0
BDAUTOCA,2022-04-24,137.1,143.8,137.0,142.4,37451.0
BDAUTOCA,2022-04-25,140.0,141.0,138.0,138.9,25380.0
BDAUTOCA,2022-04-26,141.8,141.8,138.0,139.9,13401.0
BDAUTOCA,2022-04-27,139.0,141.0,138.5,139.6,16162.0
BDAUTOCA,2022-04-28,142.0,142.0,139.0,139.9,8139.0
BDAUTOCA,2022-05-05,139.6,141.1,139.3,140.3,2661.0
BDAUTOCA,2022-05-08,139.2,141.0,138.6,138.9,18315.0
BDAUTOCA,2022-05-09,139.8,141.4,139.3,140.9,19747.0
BDAUTOCA,2022-05-10,140.7,148.0,140.6,144.6,84044.0
BDAUTOCA,2022-05-11,143.1,147.0,139.9,141.5,34980.0
BDAUTOCA,2022-05-12,139.1,141.0,138.2,139.3,35175.0
BDAUTOCA,2022-05-16,138.5,138.7,134.1,134.6,37310.0
BDAUTOCA,2022-05-17,134.8,138.4,133.1,135.2,25677.0
BDAUTOCA,2022-05-18,136.2,141.8,133.0,136.0,26302.0
BDAUTOCA,2022-05-19,132.3,137.9,132.3,133.4,27199.0
BDAUTOCA,2022-05-22,133.4,133.4,130.5,131.0,21188.0
BDAUTOCA,2022-05-23,140.0,140.0,132.6,133.1,11691.0
BDAUTOCA,2022-05-24,135.3,135.5,130.6,130.9,19613.0
BDAUTOCA,2022-05-25,130.9,130.9,128.0,128.9,34132.0
BDAUTOCA,2022-05-26,131.5,131.5,128.4,129.7,12206.0
BDAUTOCA,2022-05-29,134.5,136.0,132.1,135.1,16045.0
BDAUTOCA,2022-05-30,133.5,137.7,133.0,133.5,11443.0
BDAUTOCA,2022-05-31,131.5,136.0,131.5,132.7,8878.0
