symbol,date,open,high,low,close,volume
BDCOM,2022-01-02,22.8,23.2,22.3,23.0,458578.0
BDCOM,2022-01-03,22.8,23.7,22.8,23.4,250635.0
BDCOM,2022-01-04,23.3,23.7,23.1,23.6,537588.0
BDCOM,2022-01-05,23.6,24.3,23.6,24.2,547918.0
BDCOM,2022-01-06,24.2,24.4,24.1,24.1,1246774.0
BDCOM,2022-01-09,24.2,24.4,23.9,24.0,827887.0
BDCOM,2022-01-10,23.6,24.2,23.6,24.0,412988.0
BDCOM,2022-01-11,23.8,24.3,23.8,23.9,1041323.0
BDCOM,2022-01-12,23.9,25.0,23.9,24.1,522794.0
BDCOM,2022-01-13,24.5,24.5,24.0,24.1,367157.0
BDCOM,2022-01-16,24.3,25.1,24.0,24.7,526926.0
BDCOM,2022-01-17,24.9,24.9,24.3,24.6,613439.0
BDCOM,2022-01-18,24.6,24.6,24.3,24.5,471947.0
BDCOM,2022-01-19,24.7,24.7,24.3,24.4,527395.0
BDCOM,2022-01-20,24.4,24.6,24.3,24.4,369340.0
BDCOM,2022-01-23,24.4,25.2,24.1,24.6,674902.0
BDCOM,2022-01-24,24.8,24.9,24.3,24.6,520011.0
BDCOM,2022-01-25,24.7,25.6,24.7,25.2,815827.0
BDCOM,2022-01-26,25.6,26.5,24.8,26.0,1315262.0
BDCOM,2022-01-27,26.4,26.9,25.6,26.2,819990.0
BDCOM,2022-01-30,26.5,26.5,25.6,26.2,951171.0
BDCOM,2022-01-31,26.8,27.8,26.4,26.7,2117858.0
BDCOM,2022-02-01,26.9,27.2,26.6,26.9,1263375.0
BDCOM,2022-02-02,27.1,27.4,26.2,26.9,1608700.0
BDCOM,2022-02-03,27.2,28.1,27.0,27.5,4160939.0
BDCOM,2022-02-06,27.8,27.8,26.8,27.4,1590063.0
BDCOM,2022-02-07,27.4,28.1,26.9,27.3,1759110.0
BDCOM,2022-02-08,27.6,27.9,26.6,27.0,1580841.0
BDCOM,2022-02-09,27.5,27.5,26.6,27.0,987887.0
BDCOM,2022-02-10,27.1,27.4,26.5,26.7,851611.0
BDCOM,2022-02-13,27.1,27.1,25.9,26.0,1463380.0
BDCOM,2022-02-14,26.6,26.6,25.4,25.5,442647.0
BDCOM,2022-02-15,25.2,25.9,25.2,25.4,557954.0
BDCOM,2022-02-16,25.7,26.0,25.2,25.4,270358.0
BDCOM,2022-02-17,25.2,25.7,25.0,25.1,211699.0
BDCOM,2022-02-20,25.0,25.1,24.1,24.8,304953.0
BDCOM,2022-02-22,25.0,26.1,25.0,25.9,743130.0
BDCOM,2022-02-23,26.0,26.3,25.5,25.5,235682.0
BDCOM,2022-02-24,25.6,25.6,24.6,24.7,438231.0
BDCOM,2022-02-27,24.6,25.4,24.0,24.1,339903.0
BDCOM,2022-02-28,24.1,24.5,24.0,24.3,229001.0
BDCOM,2022-03-01,24.4,24.8,24.0,24.3,340111.0
BDCOM,2022-03-02,24.4,24.6,23.5,23.9,186394.0
BDCOM,2022-03-03,24.2,24.3,23.0,24.2,260539.0
BDCOM,2022-03-06,24.2,24.3,23.5,23.6,218220.0
BDCOM,2022-03-07,23.8,25.9,23.6,25.9,2727902.0
BDCOM,2022-03-08,28.4,28.4,28.4,28.4,2019299.0
BDCOM,2022-03-09,31.2,31.2,31.2,31.2,1378093.0
BDCOM,2022-03-10,34.3,34.3,34.3,34.3,11683365.0
BDCOM,2022-03-13,37.6,37.7,36.6,37.7,7107294.0
BDCOM,2022-03-14,39.7,41.4,37.2,41.4,7921767.0
BDCOM,2022-03-15,42.0,45.5,41.9,45.5,4532226.0
BDCOM,2022-03-16,46.1,47.4,44.6,45.0,8732498.0
BDCOM,2022-03-20,45.2,45.6,44.1,44.1,2575956.0
BDCOM,2022-03-21,43.5,45.4,43.3,43.3,5287685.0
BDCOM,2022-03-22,43.5,43.6,42.5,42.5,4905813.0
BDCOM,2022-03-23,42.6,43.7,41.7,41.7,8147049.0
BDCOM,2022-03-24,41.1,41.7,40.9,40.9,3832446.0
BDCOM,2022-03-27,40.6,42.7,40.1,40.1,5218898.0
BDCOM,2022-03-28,39.9,43.0,39.3,42.3,8494935.0
BDCOM,2022-03-29,42.4,42.4,41.5,41.5,1845898.0
BDCOM,2022-03-30,40.7,41.4,40.7,40.7,3746981.0
BDCOM,2022-03-31,40.7,42.0,39.9,41.0,3646906.0
BDCOM,2022-04-03,41.3,42.2,40.2,40.2,2384668.0
BDCOM,2022-04-04,39.8,40.0,39.4,39.4,1895431.0
BDCOM,2022-04-05,38.9,39.0,38.7,38.7,506973.0
BDCOM,2022-04-06,38.0,38.0,38.0,38.0,111953.0
BDCOM,2022-04-07,37.3,37.3,37.3,37.3,574548.0
BDCOM,2022-04-10,37.1,37.7,36.6,37.0,3306004.0
BDCOM,2022-04-11,37.4,37.7,36.3,36.3,1848553.0
BDCOM,2022-04-12,35.6,36.0,35.6,35.6,1393608.0
BDCOM,2022-04-13,35.1,35.5,34.9,34.9,1354539.0
BDCOM,2022-04-17,34.6,35.0,34.3,34.3,662793.0
BDCOM,2022-04-18,33.7,33.7,33.7,33.7,86138.0
BDCOM,2022-04-19,33.1,33.6,33.1,33.1,1642718.0
BDCOM,2022-04-20,33.1,34.2,32.5,33.9,2832901.0
BDCOM,2022-04-21,34.1,37.2,33.4,37.2,5928462.0
BDCOM,2022-04-24,38.1,40.7,36.9,37.2,5534478.0
BDCOM,2022-04-25,36.4,37.4,35.9,36.1,2328110.0
BDCOM,2022-04-26,36.1,36.7,35.6,36.1,1987383.0
BDCOM,2022-04-27,36.4,38.0,36.4,37.3,2065648.0
BDCOM,2022-04-28,37.5,37.5,35.6,35.9,1540730.0
BDCOM,2022-05-05,36.2,36.2,34.2,34.8,1994320.0
BDCOM,2022-05-08,34.9,36.2,34.7,35.8,1519840.0
BDCOM,2022-05-09,35.9,38.8,35.9,36.9,3721111.0
BDCOM,2022-05-10,36.8,37.5,35.2,35.4,2220722.0
BDCOM,2022-05-11,35.4,36.3,33.7,33.8,2817760.0
BDCOM,2022-05-12,34.5,34.9,33.2,33.5,1725068.0
BDCOM,2022-05-16,33.9,34.0,31.9,32.0,2246361.0
BDCOM,2022-05-17,32.3,33.3,30.4,31.8,1405636.0
BDCOM,2022-05-18,32.8,32.8,30.3,30.4,1582267.0
BDCOM,2022-05-19,30.3,31.7,29.3,30.3,1557748.0
BDCOM,2022-05-22,30.7,30.9,28.8,28.8,1479907.0
BDCOM,2022-05-23,30.7,30.7,29.7,30.1,1069554.0
BDCOM,2022-05-24,30.7,30.8,28.8,29.2,1125457.0
BDCOM,2022-05-25,29.3,29.3,28.1,28.3,1178893.0
BDCOM,2022-05-26,28.2,28.7,27.9,28.5,971891.0
BDCOM,2022-05-29,30.9,31.1,29.0,30.8,1371832.0
BDCOM,2022-05-30,30.8,31.8,30.4,30.5,1827196.0
BDCOM,2022-05-31,30.1,31.2,30.1,30.6,1213231.0
BDCOM,2022-06-01,31.1,32.0,30.9,31.7,1711896.0
BDCOM,2022-06-02,32.0,34.8,31.9,34.6,5796721.0
BDCOM,2022-06-05,35.2,38.0,34.0,37.0,5865025.0
BDCOM,2022-06-06,38.3,39.0,36.3,36.4,3914779.0
BDCOM,2022-06-07,35.8,36.5,35.7,35.7,1480884.0
BDCOM,2022-06-08,35.3,39.1,35.2,38.5,4802359.0
BDCOM,2022-06-09,38.9,39.0,37.8,37.8,2063828.0
BDCOM,2022-06-12,37.7,38.7,37.1,37.2,5361414.0
BDCOM,2022-06-13,37.2,37.7,36.5,36.7,4569887.0
BDCOM,2022-06-14,37.3,37.3,36.0,36.1,2263377.0
BDCOM,2022-06-15,37.5,37.5,35.4,35.5,3388633.0
BDCOM,2022-06-16,36.3,36.9,35.5,35.8,3736468.0
BDCOM,2022-06-19,35.8,36.6,35.1,35.1,2524308.0
BDCOM,2022-06-20,35.5,35.5,34.4,34.4,1476418.0
BDCOM,2022-06-21,34.2,34.6,33.8,33.8,678886.0
BDCOM,2022-06-22,35.0,35.2,33.2,33.6,2576552.0
BDCOM,2022-06-23,34.1,35.3,33.6,34.1,2372035.0
BDCOM,2022-06-26,34.5,34.5,33.5,33.5,1958587.0
BDCOM,2022-06-27,33.4,33.9,33.0,33.6,1542593.0
BDCOM,2022-06-28,33.7,34.7,33.6,34.3,2337042.0
BDCOM,2022-06-29,34.5,34.8,33.7,33.7,1929891.0
BDCOM,2022-06-30,33.5,33.9,33.2,33.4,1794802.0
BDCOM,2022-07-03,33.9,34.6,33.7,34.4,1306225.0
BDCOM,2022-07-04,34.4,34.4,33.8,33.9,1403482.0
BDCOM,2022-07-05,33.9,34.5,33.5,33.6,1504403.0
BDCOM,2022-07-06,33.6,34.2,33.6,33.7,1580088.0
BDCOM,2022-07-07,33.8,36.5,33.7,35.6,4304379.0
BDCOM,2022-07-12,35.7,36.4,34.9,35.1,1624564.0
BDCOM,2022-07-13,35.2,35.6,34.4,34.5,2247516.0
BDCOM,2022-07-14,34.4,34.5,33.9,34.1,1199383.0
BDCOM,2022-07-17,34.4,35.2,33.5,33.7,2379501.0
BDCOM,2022-07-18,33.7,33.9,33.1,33.1,992898.0
BDCOM,2022-07-19,32.5,32.5,32.5,32.5,136675.0
BDCOM,2022-07-20,31.9,32.8,31.9,31.9,1423285.0
BDCOM,2022-07-21,31.6,32.7,31.3,31.3,939983.0
BDCOM,2022-07-24,30.9,31.3,30.7,30.7,193837.0
BDCOM,2022-07-25,30.7,30.9,30.1,30.5,1149094.0
BDCOM,2022-07-26,31.6,32.4,30.6,30.8,1469324.0
BDCOM,2022-07-27,30.8,31.1,30.2,30.2,907055.0
BDCOM,2022-07-28,29.6,30.0,29.6,29.6,771106.0
BDCOM,2022-07-31,31.8,31.8,30.3,30.8,639738.0
BDCOM,2022-08-01,31.0,31.6,30.6,31.1,1583601.0
BDCOM,2022-08-02,31.2,32.3,31.2,31.8,1614677.0
BDCOM,2022-08-03,32.4,32.6,31.4,31.7,1737756.0
BDCOM,2022-08-04,31.8,31.9,31.1,31.4,1567928.0
BDCOM,2022-08-07,31.2,32.3,31.0,31.7,1734651.0
BDCOM,2022-08-08,32.5,32.5,30.8,31.0,2144134.0
BDCOM,2022-08-10,31.1,31.4,30.3,30.4,1400850.0
BDCOM,2022-08-11,30.4,31.1,30.4,30.5,819235.0
BDCOM,2022-08-14,30.7,30.7,30.3,30.4,621081.0
BDCOM,2022-08-16,30.5,31.8,30.5,31.6,1249351.0
BDCOM,2022-08-17,31.6,33.7,31.6,32.5,5509334.0
BDCOM,2022-08-21,32.6,33.8,32.4,33.1,2576902.0
BDCOM,2022-08-22,33.2,33.5,31.8,32.3,2981957.0
BDCOM,2022-08-23,32.5,32.7,31.6,31.7,1905701.0
BDCOM,2022-08-24,32.0,32.3,31.2,31.4,1377387.0
BDCOM,2022-08-25,31.7,32.6,31.5,32.2,1891869.0
BDCOM,2022-08-28,32.6,32.7,32.0,32.1,2325650.0
BDCOM,2022-08-29,32.1,33.9,32.1,33.1,2765945.0
BDCOM,2022-08-30,33.4,33.4,32.4,32.5,1880221.0
BDCOM,2022-08-31,33.0,33.2,32.1,32.3,2218448.0
BDCOM,2022-09-01,32.8,33.3,32.3,32.6,1294199.0
BDCOM,2022-09-04,32.7,33.9,32.4,32.7,3079155.0
BDCOM,2022-09-05,33.0,33.9,32.7,33.3,3329692.0
BDCOM,2022-09-06,33.8,36.1,33.4,34.7,5094615.0
BDCOM,2022-09-07,35.0,35.6,33.5,33.7,3099021.0
BDCOM,2022-09-08,33.8,34.2,32.5,32.8,2228839.0
BDCOM,2022-09-11,33.4,33.4,31.8,32.0,1591361.0
BDCOM,2022-09-12,32.0,32.4,31.9,32.1,770272.0
BDCOM,2022-09-13,32.3,34.5,32.3,34.3,3497909.0
BDCOM,2022-09-14,34.3,34.6,32.8,33.0,2240593.0
BDCOM,2022-09-15,33.9,36.3,33.8,36.3,8674532.0
BDCOM,2022-09-18,39.7,39.9,38.0,39.9,10644709.0
BDCOM,2022-09-19,41.9,43.8,41.0,43.8,6217842.0
BDCOM,2022-09-20,45.0,48.1,44.4,47.3,8694010.0
BDCOM,2022-09-21,47.0,51.5,45.5,50.6,4596862.0
BDCOM,2022-09-22,51.6,55.6,50.2,55.4,5205712.0
BDCOM,2022-09-25,56.0,60.8,51.0,59.0,14691992.0
BDCOM,2022-09-26,59.0,64.9,57.3,64.7,3162888.0
BDCOM,2022-09-27,64.8,69.8,60.0,67.8,7629401.0
BDCOM,2022-09-28,68.0,69.8,62.7,66.1,3599996.0
BDCOM,2022-09-29,67.0,67.0,59.5,61.3,4452839.0
BDCOM,2022-10-02,60.0,67.4,58.1,67.4,4277300.0
BDCOM,2022-10-03,70.0,71.0,64.0,66.6,2996473.0
BDCOM,2022-10-04,64.2,68.4,64.2,65.5,1144018.0
BDCOM,2022-10-06,66.4,72.0,63.9,71.2,1861092.0
BDCOM,2022-10-10,74.5,78.3,72.5,74.1,2517637.0
BDCOM,2022-10-11,74.3,76.0,70.3,74.6,2431352.0
BDCOM,2022-10-12,76.0,79.9,73.3,75.1,1248706.0
BDCOM,2022-10-13,74.5,76.2,67.7,69.6,1368585.0
BDCOM,2022-10-16,69.6,72.4,65.0,65.4,1184373.0
BDCOM,2022-10-17,66.9,67.0,58.9,58.9,2524310.0
BDCOM,2022-10-18,57.0,60.9,53.1,53.1,3169068.0
BDCOM,2022-10-19,53.1,55.9,50.6,53.7,1790136.0
BDCOM,2022-10-20,54.0,54.6,48.4,48.4,1614747.0
BDCOM,2022-10-23,47.6,50.6,43.6,43.6,2015820.0
BDCOM,2022-10-24,41.7,44.1,39.3,42.3,1501430.0
BDCOM,2022-10-25,43.5,46.5,42.6,46.5,1063789.0
BDCOM,2022-10-26,49.0,51.1,43.1,44.7,4742582.0
BDCOM,2022-10-27,44.9,49.1,44.3,47.3,3211537.0
BDCOM,2022-10-30,48.2,48.3,40.6,41.9,4445456.0
BDCOM,2022-10-31,42.1,43.8,38.9,39.8,3952976.0
BDCOM,2022-11-01,40.1,43.7,40.1,43.7,2332933.0
BDCOM,2022-11-02,45.9,46.9,42.8,46.5,4999665.0
BDCOM,2022-11-03,46.6,48.7,45.2,45.7,3275144.0
BDCOM,2022-11-06,46.0,47.2,43.8,44.3,2540923.0
BDCOM,2022-11-07,44.9,46.9,44.0,45.0,3788456.0
BDCOM,2022-11-08,45.9,46.5,42.5,43.1,2773339.0
BDCOM,2022-11-09,43.5,44.0,41.0,41.3,1682160.0
BDCOM,2022-11-10,41.8,43.3,41.0,41.4,1463932.0
BDCOM,2022-11-13,42.0,43.7,41.2,42.0,1837562.0
BDCOM,2022-11-14,42.3,42.4,37.8,37.9,1286401.0
