symbol,date,open,high,low,close,volume
BDFINANCE,2022-01-02,55.7,55.7,53.9,55.1,111604.0
BDFINANCE,2022-01-03,56.6,56.6,54.4,54.9,134796.0
BDFINANCE,2022-01-04,54.9,55.2,54.3,54.9,446343.0
BDFINANCE,2022-01-05,55.0,56.9,55.0,55.7,301434.0
BDFINANCE,2022-01-06,57.9,57.9,55.8,57.0,248236.0
BDFINANCE,2022-01-09,58.5,59.4,57.3,57.8,879818.0
BDFINANCE,2022-01-10,57.2,58.0,57.0,57.3,204958.0
BDFINANCE,2022-01-11,58.7,59.0,56.5,56.9,1226236.0
BDFINANCE,2022-01-12,57.0,58.2,55.4,55.8,370961.0
BDFINANCE,2022-01-13,56.8,56.8,53.5,54.2,561098.0
BDFINANCE,2022-01-16,54.1,56.7,53.2,53.8,564735.0
BDFINANCE,2022-01-17,55.0,55.0,53.4,54.0,558351.0
BDFINANCE,2022-01-18,55.1,55.1,52.3,53.0,608862.0
BDFINANCE,2022-01-19,52.6,54.0,52.4,52.6,450302.0
BDFINANCE,2022-01-20,52.6,53.5,52.5,52.9,212577.0
BDFINANCE,2022-01-23,52.9,53.0,51.8,52.0,228995.0
BDFINANCE,2022-01-24,52.9,53.8,50.4,50.8,295390.0
BDFINANCE,2022-01-25,50.8,52.0,49.5,49.9,270157.0
BDFINANCE,2022-01-26,51.5,51.7,49.9,50.8,1087719.0
BDFINANCE,2022-01-27,51.6,52.9,50.8,51.9,422238.0
BDFINANCE,2022-01-30,51.6,52.3,50.8,51.1,810369.0
BDFINANCE,2022-01-31,50.6,51.6,50.6,50.7,176833.0
BDFINANCE,2022-02-01,51.3,52.1,50.1,51.4,4587103.0
BDFINANCE,2022-02-02,52.4,53.1,51.4,51.8,1032923.0
BDFINANCE,2022-02-03,52.1,52.7,51.1,51.4,756877.0
BDFINANCE,2022-02-06,51.5,52.2,50.9,51.2,1141061.0
BDFINANCE,2022-02-07,51.7,52.2,50.7,50.9,776139.0
BDFINANCE,2022-02-08,50.7,52.5,50.7,51.0,1874791.0
BDFINANCE,2022-02-09,51.3,52.1,50.9,51.0,1872660.0
BDFINANCE,2022-02-10,51.2,51.8,50.5,50.9,873880.0
BDFINANCE,2022-02-13,50.9,51.3,50.7,51.1,2887862.0
BDFINANCE,2022-02-14,51.5,51.5,49.7,50.2,627323.0
BDFINANCE,2022-02-15,50.3,50.5,49.5,49.5,523490.0
BDFINANCE,2022-02-16,48.9,50.0,48.0,48.4,2401933.0
BDFINANCE,2022-02-17,47.5,48.9,47.1,47.9,1117097.0
BDFINANCE,2022-02-20,48.9,48.9,47.2,47.2,643437.0
BDFINANCE,2022-02-22,47.0,48.3,47.0,47.6,199502.0
BDFINANCE,2022-02-23,47.6,48.3,47.5,47.9,181641.0
BDFINANCE,2022-02-24,48.0,48.0,46.0,46.9,412692.0
BDFINANCE,2022-02-27,46.0,46.7,44.7,45.1,180036.0
BDFINANCE,2022-02-28,46.9,46.9,44.9,46.0,88915.0
BDFINANCE,2022-03-01,47.0,47.0,45.8,46.0,573602.0
BDFINANCE,2022-03-02,46.2,46.5,45.5,46.0,462354.0
BDFINANCE,2022-03-03,46.0,46.8,45.4,46.8,529112.0
BDFINANCE,2022-03-06,46.0,46.0,44.9,45.0,292728.0
BDFINANCE,2022-03-07,43.0,45.9,41.4,43.6,951612.0
BDFINANCE,2022-03-08,40.0,43.9,40.0,41.1,916059.0
BDFINANCE,2022-03-10,41.7,43.8,40.5,41.9,852528.0
BDFINANCE,2022-03-13,42.2,44.0,42.2,43.8,245448.0
BDFINANCE,2022-03-14,43.8,43.8,43.0,43.0,310996.0
BDFINANCE,2022-03-15,42.3,43.6,42.2,42.7,412981.0
BDFINANCE,2022-03-16,42.4,42.8,41.9,41.9,124286.0
BDFINANCE,2022-03-20,41.4,41.4,41.1,41.1,63829.0
BDFINANCE,2022-03-21,40.8,40.8,40.3,40.3,145030.0
BDFINANCE,2022-03-22,40.9,42.8,39.5,42.4,1240960.0
BDFINANCE,2022-03-23,42.9,43.2,41.9,42.2,260951.0
BDFINANCE,2022-03-24,42.2,42.5,41.4,41.9,823919.0
BDFINANCE,2022-03-27,41.3,43.0,41.1,42.3,252608.0
BDFINANCE,2022-03-28,42.6,42.6,41.5,41.5,210340.0
BDFINANCE,2022-03-29,41.8,42.2,40.9,41.6,208154.0
BDFINANCE,2022-03-30,42.1,42.1,40.8,41.6,186357.0
BDFINANCE,2022-03-31,41.3,41.7,40.8,41.1,115481.0
BDFINANCE,2022-04-03,41.1,42.5,40.3,40.5,633524.0
BDFINANCE,2022-04-04,41.7,41.7,39.7,40.4,308284.0
