symbol,date,open,high,low,close,volume
BDLAMPS,2022-01-02,192.1,203.7,192.0,198.1,52352.0
BDLAMPS,2022-01-03,198.1,208.0,196.0,197.7,91633.0
BDLAMPS,2022-01-04,197.0,202.0,196.0,197.4,40401.0
BDLAMPS,2022-01-05,201.7,204.0,195.1,196.6,91133.0
BDLAMPS,2022-01-06,196.6,199.9,193.3,193.9,60506.0
BDLAMPS,2022-01-09,194.1,198.8,194.0,195.4,40025.0
BDLAMPS,2022-01-10,197.8,204.8,196.2,202.2,55554.0
BDLAMPS,2022-01-11,203.5,207.0,199.1,199.9,105134.0
BDLAMPS,2022-01-12,202.9,202.9,197.1,198.6,75933.0
BDLAMPS,2022-01-13,201.7,212.5,199.5,206.7,161177.0
BDLAMPS,2022-01-16,212.0,224.7,212.0,224.6,258589.0
BDLAMPS,2022-01-17,225.0,225.5,215.2,222.1,132875.0
BDLAMPS,2022-01-18,224.9,227.8,217.2,222.9,156205.0
BDLAMPS,2022-01-19,225.0,230.0,224.0,225.1,149003.0
BDLAMPS,2022-01-20,227.7,227.8,218.5,221.4,136905.0
BDLAMPS,2022-01-23,222.0,240.7,222.0,240.5,407106.0
BDLAMPS,2022-01-24,238.2,249.9,236.2,246.0,208080.0
BDLAMPS,2022-01-25,248.0,254.4,237.0,241.9,226744.0
BDLAMPS,2022-01-26,242.0,262.5,236.4,257.3,482082.0
BDLAMPS,2022-01-27,275.0,279.8,263.2,277.4,691274.0
BDLAMPS,2022-01-30,279.9,279.9,267.7,273.2,280831.0
BDLAMPS,2022-01-31,278.1,297.1,276.0,295.7,469137.0
BDLAMPS,2022-02-01,295.7,320.8,290.0,313.3,407939.0
BDLAMPS,2022-02-02,314.5,314.5,301.3,304.7,404177.0
BDLAMPS,2022-02-03,309.8,319.6,305.1,307.8,320702.0
BDLAMPS,2022-02-06,311.0,315.0,295.0,296.1,269419.0
BDLAMPS,2022-02-07,296.2,304.5,281.6,284.7,173735.0
BDLAMPS,2022-02-08,284.6,293.8,282.6,287.2,139091.0
BDLAMPS,2022-02-09,290.0,306.6,290.0,302.8,250862.0
BDLAMPS,2022-02-10,303.0,308.0,296.1,305.2,119402.0
BDLAMPS,2022-02-13,302.0,328.0,301.2,321.2,521686.0
BDLAMPS,2022-02-14,325.0,328.9,315.0,325.7,352753.0
BDLAMPS,2022-02-15,327.0,349.0,322.1,339.3,353934.0
BDLAMPS,2022-02-16,343.0,358.8,335.3,351.2,358333.0
BDLAMPS,2022-02-17,354.0,356.0,346.0,349.1,236342.0
BDLAMPS,2022-02-20,345.1,357.0,339.3,345.0,192100.0
BDLAMPS,2022-02-22,343.0,349.6,333.4,337.7,91519.0
BDLAMPS,2022-02-23,339.8,339.8,330.0,331.6,78694.0
BDLAMPS,2022-02-24,330.3,335.0,310.2,312.9,170057.0
BDLAMPS,2022-02-27,334.0,334.0,301.1,302.6,105471.0
BDLAMPS,2022-02-28,311.7,324.0,305.7,314.1,60736.0
BDLAMPS,2022-03-01,319.0,321.0,307.5,310.0,52591.0
BDLAMPS,2022-03-02,310.0,310.0,298.2,300.5,59960.0
BDLAMPS,2022-03-03,300.0,309.0,297.5,303.8,48882.0
BDLAMPS,2022-03-06,311.8,314.7,303.1,305.8,107612.0
BDLAMPS,2022-03-07,303.9,312.0,292.0,295.2,72985.0
BDLAMPS,2022-03-08,302.4,302.4,277.0,292.7,123226.0
BDLAMPS,2022-03-09,303.8,309.0,294.1,302.1,89841.0
BDLAMPS,2022-03-10,305.0,307.5,296.1,296.1,59245.0
BDLAMPS,2022-03-13,292.7,294.3,290.2,290.7,61441.0
BDLAMPS,2022-03-14,288.1,298.8,285.6,291.6,80426.0
BDLAMPS,2022-03-15,291.5,296.9,285.9,294.7,83860.0
BDLAMPS,2022-03-16,295.0,304.6,293.0,302.3,128088.0
BDLAMPS,2022-03-20,305.0,308.0,296.3,296.3,85636.0
BDLAMPS,2022-03-21,291.1,298.8,290.4,296.5,114388.0
BDLAMPS,2022-03-22,300.0,313.0,300.0,307.4,171200.0
BDLAMPS,2022-03-23,309.0,309.5,301.3,301.8,147198.0
BDLAMPS,2022-03-24,304.0,318.0,299.0,315.1,178820.0
BDLAMPS,2022-03-27,317.8,332.7,315.6,324.6,368262.0
BDLAMPS,2022-03-28,325.9,353.0,324.0,353.0,624313.0
BDLAMPS,2022-03-29,372.0,372.0,352.9,354.1,433617.0
BDLAMPS,2022-03-30,352.9,369.8,347.3,355.4,530186.0
BDLAMPS,2022-03-31,358.0,362.0,349.4,352.3,216990.0
BDLAMPS,2022-04-03,352.4,355.0,345.3,345.3,104669.0
BDLAMPS,2022-04-04,338.6,358.8,338.4,349.0,440133.0
BDLAMPS,2022-04-05,355.2,359.5,342.1,342.7,197736.0
BDLAMPS,2022-04-06,335.9,335.9,335.9,335.9,44089.0
BDLAMPS,2022-04-07,329.2,339.0,329.2,336.0,211611.0
BDLAMPS,2022-04-10,336.0,348.5,335.0,340.8,155889.0
BDLAMPS,2022-04-11,342.0,352.0,341.6,346.7,150435.0
BDLAMPS,2022-04-12,350.0,354.0,339.9,339.9,314384.0
BDLAMPS,2022-04-13,333.2,339.8,333.2,334.2,207781.0
BDLAMPS,2022-04-17,331.1,335.2,327.6,327.6,53820.0
BDLAMPS,2022-04-18,321.5,321.5,321.1,321.1,12192.0
BDLAMPS,2022-04-19,314.7,319.3,314.7,314.9,153929.0
BDLAMPS,2022-04-20,310.5,317.9,308.7,315.2,167956.0
BDLAMPS,2022-04-21,315.0,326.6,311.7,322.2,127142.0
BDLAMPS,2022-04-24,322.9,329.0,308.0,309.9,119262.0
BDLAMPS,2022-04-25,305.0,312.6,296.5,300.2,71473.0
BDLAMPS,2022-04-26,305.7,305.7,294.0,296.6,123283.0
BDLAMPS,2022-04-27,300.0,316.8,296.6,314.1,115939.0
BDLAMPS,2022-04-28,315.9,316.0,303.4,305.5,100419.0
BDLAMPS,2022-05-05,310.0,310.0,297.0,300.7,40458.0
BDLAMPS,2022-05-08,303.7,309.0,301.0,307.6,59537.0
BDLAMPS,2022-05-09,310.8,313.4,305.2,308.7,61976.0
BDLAMPS,2022-05-10,311.5,314.6,297.3,300.8,93464.0
BDLAMPS,2022-05-11,300.0,303.9,286.1,289.8,89594.0
BDLAMPS,2022-05-12,288.0,294.0,282.0,285.8,88305.0
BDLAMPS,2022-05-16,286.1,286.1,271.6,271.6,83073.0
BDLAMPS,2022-05-17,279.8,279.9,258.1,272.4,98184.0
BDLAMPS,2022-05-18,277.5,283.4,258.8,262.3,74816.0
BDLAMPS,2022-05-19,260.0,265.9,253.4,256.3,88199.0
BDLAMPS,2022-05-22,260.2,263.6,243.5,245.3,59133.0
BDLAMPS,2022-05-23,266.0,266.0,249.2,251.9,60462.0
BDLAMPS,2022-05-24,258.6,259.4,248.0,248.7,52983.0
BDLAMPS,2022-05-25,255.0,255.0,240.0,242.2,27947.0
BDLAMPS,2022-05-26,243.0,253.2,240.0,251.0,54701.0
BDLAMPS,2022-05-29,267.0,271.9,255.1,270.5,74782.0
BDLAMPS,2022-05-30,271.0,274.0,265.1,265.1,118840.0
BDLAMPS,2022-05-31,260.1,267.9,260.0,264.2,51045.0
BDLAMPS,2022-06-01,269.9,287.3,266.3,287.1,170234.0
BDLAMPS,2022-06-02,288.2,291.9,281.7,283.6,70750.0
BDLAMPS,2022-06-05,281.0,288.8,279.0,282.9,103221.0
BDLAMPS,2022-06-06,286.4,286.4,277.3,277.4,60667.0
BDLAMPS,2022-06-07,280.9,280.9,271.9,272.1,63523.0
BDLAMPS,2022-06-08,268.2,277.0,268.2,272.5,36805.0
BDLAMPS,2022-06-09,270.2,278.0,270.1,276.3,60511.0
BDLAMPS,2022-06-12,272.1,278.0,270.8,271.1,49924.0
BDLAMPS,2022-06-13,270.0,275.0,270.0,272.1,36703.0
BDLAMPS,2022-06-14,271.2,276.8,271.2,272.1,53115.0
BDLAMPS,2022-06-15,275.9,275.9,267.0,268.9,39068.0
BDLAMPS,2022-06-16,266.0,273.0,266.0,268.3,38566.0
BDLAMPS,2022-06-19,269.0,272.0,263.0,263.3,36059.0
BDLAMPS,2022-06-20,263.3,263.3,258.1,258.1,43815.0
BDLAMPS,2022-06-21,253.2,261.0,253.0,253.4,70105.0
