symbol,date,open,high,low,close,volume
BDWELDING,2022-01-02,17.6,17.6,16.6,16.8,16528.0
BDWELDING,2022-01-03,17.1,17.2,16.8,16.9,45305.0
BDWELDING,2022-01-04,17.0,17.0,16.4,16.8,113735.0
BDWELDING,2022-01-05,17.0,17.8,17.0,17.6,140126.0
BDWELDING,2022-01-06,17.7,18.2,17.2,17.4,119490.0
BDWELDING,2022-01-09,17.4,17.9,17.2,17.3,55515.0
BDWELDING,2022-01-10,17.8,17.8,16.9,17.0,109168.0
BDWELDING,2022-01-11,17.4,17.4,16.6,16.8,117010.0
BDWELDING,2022-01-12,17.5,17.5,16.6,16.7,52833.0
BDWELDING,2022-01-13,16.9,17.2,16.7,16.8,58236.0
BDWELDING,2022-01-16,16.8,17.2,16.6,16.8,102188.0
BDWELDING,2022-01-17,17.3,17.5,16.9,17.0,80812.0
BDWELDING,2022-01-18,17.5,17.6,17.0,17.2,116608.0
BDWELDING,2022-01-19,17.3,17.5,17.1,17.2,78228.0
BDWELDING,2022-01-20,17.7,17.7,17.2,17.3,80679.0
BDWELDING,2022-01-23,17.3,17.4,17.1,17.1,91336.0
BDWELDING,2022-01-24,17.4,17.4,17.0,17.0,48950.0
BDWELDING,2022-01-25,17.3,17.3,17.0,17.1,38105.0
BDWELDING,2022-01-26,17.3,17.4,17.0,17.1,35427.0
BDWELDING,2022-01-27,17.2,17.3,17.0,17.1,82412.0
BDWELDING,2022-01-30,17.1,17.1,16.9,17.0,79690.0
BDWELDING,2022-01-31,17.1,17.1,16.9,16.9,72146.0
BDWELDING,2022-02-01,17.0,17.1,16.9,17.0,45654.0
BDWELDING,2022-02-02,17.1,17.3,16.9,17.2,157499.0
BDWELDING,2022-02-03,17.4,18.9,17.4,18.7,450060.0
BDWELDING,2022-02-06,19.0,19.7,18.8,19.2,212671.0
BDWELDING,2022-02-07,19.2,19.2,18.0,18.1,176760.0
BDWELDING,2022-02-08,18.2,18.5,18.1,18.3,45885.0
BDWELDING,2022-02-09,18.6,19.5,18.5,19.4,204695.0
BDWELDING,2022-02-10,19.5,21.3,18.9,21.0,794016.0
BDWELDING,2022-02-13,21.9,22.0,20.5,21.6,387689.0
BDWELDING,2022-02-14,21.7,22.2,20.3,20.7,226564.0
BDWELDING,2022-02-15,20.7,21.0,19.9,20.7,274697.0
BDWELDING,2022-02-16,21.0,21.7,20.4,20.5,261898.0
BDWELDING,2022-02-17,21.3,21.3,20.0,20.4,264688.0
BDWELDING,2022-02-20,20.8,21.0,20.3,20.5,137734.0
BDWELDING,2022-02-22,20.8,21.8,20.6,21.5,336789.0
BDWELDING,2022-02-23,21.6,23.3,21.6,21.9,844088.0
BDWELDING,2022-02-24,22.0,22.8,20.4,20.6,384166.0
BDWELDING,2022-02-27,20.2,20.4,19.0,19.2,251871.0
BDWELDING,2022-02-28,19.7,20.5,19.5,19.9,194214.0
BDWELDING,2022-03-01,20.4,20.9,20.0,20.2,254941.0
BDWELDING,2022-03-02,20.4,20.4,19.6,20.1,124894.0
BDWELDING,2022-03-03,19.7,20.7,19.7,20.5,143011.0
BDWELDING,2022-03-06,20.7,21.4,20.7,21.0,601846.0
BDWELDING,2022-03-07,21.0,21.5,19.5,19.6,192519.0
BDWELDING,2022-03-08,19.7,20.4,18.8,20.0,151172.0
BDWELDING,2022-03-09,20.3,20.7,20.1,20.4,233383.0
BDWELDING,2022-03-10,21.1,21.7,20.6,21.1,461922.0
BDWELDING,2022-03-13,21.1,21.9,21.1,21.7,276600.0
BDWELDING,2022-03-14,22.2,22.2,21.3,21.3,213164.0
BDWELDING,2022-03-15,21.7,21.7,20.9,20.9,196724.0
BDWELDING,2022-03-16,21.0,21.3,20.5,20.5,151825.0
BDWELDING,2022-03-20,20.6,20.7,20.1,20.1,206158.0
BDWELDING,2022-03-21,19.9,20.5,19.8,20.2,122283.0
BDWELDING,2022-03-22,20.6,20.7,20.4,20.6,103358.0
BDWELDING,2022-03-23,20.7,20.7,20.2,20.2,192785.0
BDWELDING,2022-03-24,20.1,20.3,19.8,19.8,212083.0
BDWELDING,2022-03-27,20.3,20.3,19.5,19.5,121718.0
BDWELDING,2022-03-28,19.4,19.9,19.2,19.3,127876.0
BDWELDING,2022-03-29,19.5,20.0,19.3,19.5,44201.0
BDWELDING,2022-03-30,20.2,20.3,19.6,19.8,30290.0
BDWELDING,2022-03-31,20.0,20.0,19.5,19.5,91934.0
BDWELDING,2022-04-03,19.6,19.6,19.2,19.2,126750.0
BDWELDING,2022-04-04,19.0,19.2,18.9,18.9,52314.0
BDWELDING,2022-04-05,18.6,18.6,18.6,18.6,29955.0
BDWELDING,2022-04-06,18.3,19.4,18.3,18.3,102809.0
BDWELDING,2022-04-07,18.9,18.9,18.0,18.1,111044.0
BDWELDING,2022-04-10,18.1,19.3,18.0,19.2,49044.0
BDWELDING,2022-04-11,19.3,19.5,18.9,18.9,53073.0
BDWELDING,2022-04-12,18.8,19.1,18.6,18.6,31439.0
BDWELDING,2022-04-13,18.3,18.7,18.3,18.6,55072.0
BDWELDING,2022-04-17,18.4,18.6,18.3,18.3,40396.0
BDWELDING,2022-04-18,18.7,18.7,18.0,18.0,127703.0
BDWELDING,2022-04-19,18.0,18.4,17.8,18.1,109247.0
BDWELDING,2022-04-20,18.6,18.6,18.1,18.2,24053.0
BDWELDING,2022-04-21,18.4,18.6,18.0,18.1,50238.0
BDWELDING,2022-04-24,18.8,19.0,18.3,18.4,85663.0
BDWELDING,2022-04-25,18.4,18.4,18.0,18.1,49545.0
BDWELDING,2022-04-26,18.4,19.0,18.1,18.2,65457.0
BDWELDING,2022-04-27,18.4,18.8,18.0,18.3,198513.0
BDWELDING,2022-04-28,18.5,20.1,18.5,20.1,668069.0
BDWELDING,2022-05-05,20.5,20.8,20.2,20.5,252358.0
BDWELDING,2022-05-08,20.7,20.7,19.5,19.8,305888.0
BDWELDING,2022-05-09,20.0,20.3,19.5,19.5,212014.0
BDWELDING,2022-05-10,19.4,20.3,19.4,19.6,153347.0
BDWELDING,2022-05-11,19.5,20.0,19.1,19.2,129977.0
BDWELDING,2022-05-12,19.5,19.8,19.2,19.4,75875.0
BDWELDING,2022-05-16,19.4,19.4,18.5,18.6,245240.0
BDWELDING,2022-05-17,18.5,19.0,17.7,18.2,215706.0
BDWELDING,2022-05-18,18.2,18.8,18.0,18.2,145497.0
BDWELDING,2022-05-19,18.3,18.6,18.0,18.1,98360.0
BDWELDING,2022-05-22,18.1,18.7,17.5,17.7,95201.0
BDWELDING,2022-05-23,18.8,18.8,17.9,18.3,35642.0
BDWELDING,2022-05-24,18.6,18.9,18.2,18.2,49793.0
BDWELDING,2022-05-25,18.1,18.2,17.8,17.9,45577.0
BDWELDING,2022-05-26,17.8,18.6,17.6,18.4,67002.0
BDWELDING,2022-05-29,19.1,19.2,18.7,18.8,60843.0
BDWELDING,2022-05-30,19.0,19.1,18.5,18.6,66648.0
BDWELDING,2022-05-31,18.5,18.7,18.4,18.4,43944.0
BDWELDING,2022-06-01,18.9,19.8,18.5,19.8,248167.0
BDWELDING,2022-06-02,19.8,20.5,19.8,20.0,255317.0
