symbol,date,open,high,low,close,volume
BEACONPHAR,2022-01-02,245.8,245.8,240.0,242.1,254247.0
BEACONPHAR,2022-01-03,242.0,244.4,236.0,242.3,964060.0
BEACONPHAR,2022-01-04,243.7,243.7,231.0,240.1,392933.0
BEACONPHAR,2022-01-05,243.8,243.8,232.2,240.4,538911.0
BEACONPHAR,2022-01-06,240.4,242.5,235.0,242.0,573443.0
BEACONPHAR,2022-01-09,241.6,242.7,237.0,242.5,524733.0
BEACONPHAR,2022-01-10,242.0,242.0,237.5,240.6,93598.0
BEACONPHAR,2022-01-11,242.0,243.0,233.1,235.6,302908.0
BEACONPHAR,2022-01-12,241.0,243.0,234.0,240.4,667156.0
BEACONPHAR,2022-01-13,244.0,244.0,239.4,242.6,541450.0
BEACONPHAR,2022-01-16,245.0,245.0,237.0,240.2,162820.0
BEACONPHAR,2022-01-17,242.5,242.5,237.5,240.3,117251.0
BEACONPHAR,2022-01-18,241.0,241.9,238.0,240.8,146589.0
BEACONPHAR,2022-01-19,240.8,241.7,238.0,240.0,136391.0
BEACONPHAR,2022-01-20,243.4,249.0,238.7,241.6,59605.0
BEACONPHAR,2022-01-23,241.0,258.0,241.0,248.9,597072.0
BEACONPHAR,2022-01-24,250.5,265.0,250.5,258.4,210820.0
BEACONPHAR,2022-01-25,258.4,263.4,256.6,256.9,66875.0
BEACONPHAR,2022-01-26,260.0,260.0,251.2,258.0,289667.0
BEACONPHAR,2022-01-27,259.7,259.7,242.0,246.5,145490.0
BEACONPHAR,2022-01-30,248.0,248.0,230.0,231.6,94076.0
BEACONPHAR,2022-01-31,234.9,234.9,220.1,226.2,108977.0
BEACONPHAR,2022-02-01,232.9,237.9,221.0,224.3,71349.0
BEACONPHAR,2022-02-02,228.0,229.9,224.1,225.8,240725.0
BEACONPHAR,2022-02-03,228.0,232.5,224.6,227.3,550466.0
BEACONPHAR,2022-02-06,230.0,230.0,224.2,224.9,51865.0
BEACONPHAR,2022-02-07,226.0,228.2,217.1,224.8,344297.0
BEACONPHAR,2022-02-08,226.9,226.9,220.3,224.2,597428.0
BEACONPHAR,2022-02-09,226.8,227.0,219.1,222.7,266323.0
BEACONPHAR,2022-02-10,224.0,232.0,221.6,230.5,301434.0
BEACONPHAR,2022-02-13,234.4,235.0,227.1,234.7,546741.0
BEACONPHAR,2022-02-14,234.0,239.3,232.7,236.8,101016.0
BEACONPHAR,2022-02-15,237.0,239.9,233.7,238.1,244287.0
BEACONPHAR,2022-02-16,239.0,239.0,231.8,237.4,401508.0
BEACONPHAR,2022-02-17,238.0,238.0,231.7,232.7,59461.0
BEACONPHAR,2022-02-20,235.8,235.8,226.0,229.5,242342.0
BEACONPHAR,2022-02-22,234.0,234.0,226.1,228.7,26213.0
BEACONPHAR,2022-02-23,233.0,233.0,223.7,227.6,87513.0
BEACONPHAR,2022-02-24,231.8,231.8,221.5,229.6,260291.0
