symbol,date,open,high,low,close,volume
BERGERPBL,2022-01-02,1766.0,1789.7,1765.9,1778.1,311.0
BERGERPBL,2022-01-03,1770.0,1791.2,1768.2,1778.3,744.0
BERGERPBL,2022-01-04,1771.0,1790.0,1771.0,1776.6,178.0
BERGERPBL,2022-01-05,1783.8,1783.8,1766.0,1768.8,1006.0
BERGERPBL,2022-01-06,1771.1,1780.0,1771.0,1772.5,276.0
BERGERPBL,2022-01-09,1788.0,1790.0,1772.0,1777.5,556.0
BERGERPBL,2022-01-10,1770.0,1785.0,1758.5,1763.3,2370.0
BERGERPBL,2022-01-11,1760.0,1792.0,1760.0,1782.3,912.0
BERGERPBL,2022-01-12,1792.0,1792.0,1772.0,1787.8,632.0
BERGERPBL,2022-01-13,1787.8,1792.0,1776.4,1790.9,2442.0
BERGERPBL,2022-01-16,1790.9,1791.1,1760.0,1773.2,1807.0
BERGERPBL,2022-01-17,1775.0,1798.3,1775.0,1794.0,2363.0
BERGERPBL,2022-01-18,1766.1,1800.0,1766.0,1797.0,1640.0
BERGERPBL,2022-01-19,1797.0,1797.0,1788.8,1791.0,1126.0
BERGERPBL,2022-01-20,1790.0,1802.0,1775.0,1790.6,2045.0
BERGERPBL,2022-01-23,1792.0,1809.9,1790.0,1806.9,6123.0
BERGERPBL,2022-01-24,1810.0,1820.0,1810.0,1819.3,4160.0
BERGERPBL,2022-01-25,1823.8,1823.9,1811.5,1815.1,1334.0
BERGERPBL,2022-01-26,1805.0,1810.0,1775.0,1795.2,2067.0
BERGERPBL,2022-01-27,1782.0,1790.0,1775.0,1779.4,5061.0
BERGERPBL,2022-01-30,1789.9,1810.0,1783.0,1799.7,2869.0
BERGERPBL,2022-01-31,1805.0,1815.0,1783.0,1810.2,3034.0
BERGERPBL,2022-02-01,1810.2,1810.2,1799.9,1800.0,1343.0
BERGERPBL,2022-02-02,1809.0,1814.0,1800.1,1807.3,1557.0
BERGERPBL,2022-02-03,1807.3,1808.0,1798.5,1805.1,604.0
BERGERPBL,2022-02-06,1810.0,1810.0,1785.5,1802.6,2167.0
BERGERPBL,2022-02-07,1787.3,1820.0,1787.0,1789.2,3533.0
BERGERPBL,2022-02-08,1809.5,1809.5,1801.0,1802.3,2674.0
BERGERPBL,2022-02-09,1810.0,1812.8,1800.0,1801.3,4844.0
BERGERPBL,2022-02-10,1795.0,1810.0,1795.0,1809.5,4221.0
BERGERPBL,2022-02-13,1809.5,1812.0,1805.0,1811.9,3929.0
BERGERPBL,2022-02-14,1817.0,1817.0,1801.2,1811.7,708.0
BERGERPBL,2022-02-15,1823.8,1823.8,1812.0,1820.3,5685.0
BERGERPBL,2022-02-16,1820.0,1821.9,1815.0,1818.7,4953.0
BERGERPBL,2022-02-20,1805.0,1805.0,1772.0,1792.1,1586.0
BERGERPBL,2022-02-22,1792.1,1792.2,1782.0,1785.2,611.0
BERGERPBL,2022-02-23,1775.0,1795.0,1775.0,1791.0,108.0
BERGERPBL,2022-02-24,1782.7,1795.0,1775.0,1778.6,8124.0
BERGERPBL,2022-02-27,1770.0,1778.5,1769.0,1775.9,3872.0
BERGERPBL,2022-02-28,1769.0,1791.0,1769.0,1788.1,956.0
BERGERPBL,2022-03-01,1780.0,1782.1,1764.0,1768.1,2700.0
BERGERPBL,2022-03-02,1768.1,1788.0,1768.1,1772.3,228.0
BERGERPBL,2022-03-03,1767.0,1770.0,1764.1,1765.3,1686.0
BERGERPBL,2022-03-06,1764.0,1764.2,1747.1,1748.0,3537.0
BERGERPBL,2022-03-07,1748.0,1754.5,1710.0,1711.7,5281.0
BERGERPBL,2022-03-08,1712.0,1712.0,1650.0,1660.5,16004.0
BERGERPBL,2022-03-09,1711.7,1760.0,1711.7,1738.7,1969.0
BERGERPBL,2022-03-10,1739.0,1739.0,1720.6,1725.7,702.0
BERGERPBL,2022-03-13,1725.7,1749.9,1725.0,1737.4,474.0
BERGERPBL,2022-03-14,1736.0,1748.0,1736.0,1741.4,3508.0
BERGERPBL,2022-03-15,1741.4,1755.7,1741.4,1752.7,3031.0
BERGERPBL,2022-03-16,1753.0,1760.0,1745.0,1758.3,2251.0
BERGERPBL,2022-03-20,1755.0,1759.9,1726.7,1755.3,869.0
BERGERPBL,2022-03-21,1759.8,1765.7,1740.5,1764.5,779.0
BERGERPBL,2022-03-22,1765.0,1768.0,1760.1,1762.8,329.0
BERGERPBL,2022-03-23,1755.0,1768.0,1729.1,1755.8,4017.0
BERGERPBL,2022-03-24,1767.9,1767.9,1753.0,1754.5,599.0
BERGERPBL,2022-03-27,1766.0,1766.0,1756.0,1762.4,1416.0
BERGERPBL,2022-03-28,1750.0,1765.9,1750.0,1759.6,251.0
BERGERPBL,2022-03-29,1759.6,1767.5,1759.6,1762.0,335.0
BERGERPBL,2022-03-30,1767.0,1767.0,1747.3,1760.7,180.0
BERGERPBL,2022-03-31,1751.0,1761.0,1751.0,1753.6,49.0
BERGERPBL,2022-04-03,1759.9,1766.8,1747.5,1752.1,427.0
BERGERPBL,2022-04-04,1753.5,1757.0,1745.0,1749.5,316.0
BERGERPBL,2022-04-05,1741.0,1761.0,1740.0,1753.8,111.0
BERGERPBL,2022-04-06,1731.1,1758.0,1727.4,1732.8,310.0
BERGERPBL,2022-04-07,1761.0,1761.0,1727.0,1733.8,172.0
