symbol,date,open,high,low,close,volume
BGIC,2022-01-02,55.0,55.0,52.5,53.7,150866.0
BGIC,2022-01-03,54.7,54.7,52.8,52.9,93489.0
BGIC,2022-01-04,53.8,54.6,53.1,53.5,169745.0
BGIC,2022-01-05,53.7,54.4,52.6,53.5,109749.0
BGIC,2022-01-06,53.0,53.9,52.6,53.0,99253.0
BGIC,2022-01-09,52.8,53.3,52.5,52.5,151212.0
BGIC,2022-01-10,52.5,53.2,52.1,52.9,113108.0
BGIC,2022-01-11,51.5,53.2,51.5,52.2,253607.0
BGIC,2022-01-12,52.2,53.7,47.0,50.4,151665.0
BGIC,2022-01-13,50.6,51.3,50.0,50.4,75185.0
BGIC,2022-01-16,51.2,51.2,50.5,50.6,132714.0
BGIC,2022-01-17,50.6,52.5,50.6,51.9,122042.0
BGIC,2022-01-18,52.3,52.5,52.1,52.1,99265.0
BGIC,2022-01-19,50.7,51.7,50.2,50.6,262284.0
BGIC,2022-01-20,50.8,52.7,50.8,52.0,87616.0
BGIC,2022-01-23,53.1,54.7,52.8,54.3,1205728.0
BGIC,2022-01-24,54.9,55.1,53.0,53.1,241749.0
BGIC,2022-01-25,53.8,56.3,53.6,55.0,611900.0
BGIC,2022-01-26,55.3,58.2,55.3,56.9,592156.0
BGIC,2022-01-27,57.9,57.9,55.0,55.2,382148.0
BGIC,2022-01-30,54.7,56.8,54.7,55.4,159369.0
BGIC,2022-01-31,55.4,56.5,54.7,54.9,213434.0
BGIC,2022-02-01,55.4,55.6,53.7,54.0,201024.0
BGIC,2022-02-02,54.1,56.2,53.7,55.2,102942.0
BGIC,2022-02-03,55.2,56.8,54.9,55.5,177086.0
BGIC,2022-02-06,55.5,57.3,55.5,56.0,456799.0
BGIC,2022-02-07,56.4,58.7,56.4,57.4,311456.0
BGIC,2022-02-08,57.9,58.8,57.4,58.0,326852.0
BGIC,2022-02-09,57.8,58.1,56.9,57.1,146120.0
BGIC,2022-02-10,56.5,56.8,56.0,56.2,91174.0
BGIC,2022-02-13,56.3,56.4,54.7,54.9,78541.0
BGIC,2022-02-14,54.0,55.8,54.0,54.9,34901.0
BGIC,2022-02-15,55.9,55.9,54.0,54.1,73780.0
BGIC,2022-02-16,55.0,55.0,53.9,54.0,43443.0
BGIC,2022-02-17,54.0,54.0,52.1,53.0,46856.0
BGIC,2022-02-20,53.1,53.1,51.5,51.8,36371.0
BGIC,2022-02-22,53.6,53.6,51.6,52.1,29825.0
BGIC,2022-02-23,51.7,53.1,50.9,51.7,48835.0
BGIC,2022-02-24,51.1,52.9,50.1,50.3,67852.0
BGIC,2022-02-27,50.3,50.3,47.6,48.1,135876.0
BGIC,2022-02-28,48.1,49.2,48.1,49.0,18302.0
BGIC,2022-03-01,49.6,51.0,49.6,49.7,43345.0
BGIC,2022-03-02,49.8,50.0,48.0,48.8,29319.0
BGIC,2022-03-03,52.0,52.0,48.0,50.3,46086.0
BGIC,2022-03-06,49.5,49.5,47.0,47.8,28002.0
BGIC,2022-03-07,48.6,49.6,44.6,45.1,60468.0
BGIC,2022-03-08,44.5,49.6,42.0,48.5,133096.0
BGIC,2022-03-09,49.4,51.0,49.4,50.7,52475.0
BGIC,2022-03-10,50.0,52.0,49.7,50.2,101236.0
BGIC,2022-03-13,50.2,51.1,49.5,50.1,22920.0
BGIC,2022-03-14,50.3,51.0,49.7,49.9,35215.0
BGIC,2022-03-15,50.0,50.0,49.0,49.2,77231.0
BGIC,2022-03-16,50.7,50.7,48.3,48.4,22718.0
BGIC,2022-03-20,47.9,49.0,47.6,47.8,16745.0
BGIC,2022-03-21,47.8,48.9,47.5,47.8,38612.0
BGIC,2022-03-22,50.9,50.9,47.7,48.1,20279.0
BGIC,2022-03-23,48.2,49.8,47.2,47.5,47275.0
BGIC,2022-03-24,48.0,48.6,46.9,48.3,16883.0
BGIC,2022-03-27,49.5,49.5,47.7,47.9,14721.0
BGIC,2022-03-28,48.8,49.0,47.7,48.3,34300.0
BGIC,2022-03-29,48.0,48.3,47.5,48.0,48503.0
BGIC,2022-03-30,49.5,50.4,49.0,50.0,375477.0
BGIC,2022-03-31,50.5,50.8,49.2,49.8,30356.0
BGIC,2022-04-03,50.0,50.9,48.9,49.0,38071.0
BGIC,2022-04-04,49.9,49.9,48.2,48.5,15321.0
BGIC,2022-04-05,47.6,49.0,47.6,47.7,22269.0
BGIC,2022-04-06,47.0,48.4,46.8,47.0,39478.0
BGIC,2022-04-07,47.0,47.9,46.1,46.7,28380.0
BGIC,2022-04-10,46.0,48.2,46.0,46.7,9256.0
BGIC,2022-04-11,48.7,48.7,46.5,46.6,7557.0
BGIC,2022-04-12,46.3,47.2,46.2,46.2,7554.0
BGIC,2022-04-13,45.7,46.4,45.6,46.0,7203.0
BGIC,2022-04-17,45.9,45.9,45.1,45.4,10523.0
BGIC,2022-04-18,45.7,45.7,44.5,44.5,11278.0
BGIC,2022-04-19,44.5,44.5,43.7,43.8,18439.0
BGIC,2022-04-20,43.8,45.0,43.8,44.6,7661.0
BGIC,2022-04-21,46.9,46.9,45.1,46.5,1227.0
BGIC,2022-04-24,47.7,47.7,47.0,47.3,19496.0
BGIC,2022-04-25,47.8,48.5,47.7,48.1,35394.0
BGIC,2022-04-26,49.5,49.7,48.3,48.4,30283.0
BGIC,2022-04-27,49.4,49.4,46.6,47.2,32214.0
BGIC,2022-04-28,48.3,48.3,47.0,47.4,9031.0
BGIC,2022-05-05,47.4,48.0,47.1,47.4,5423.0
BGIC,2022-05-08,47.0,47.5,45.5,46.6,58959.0
BGIC,2022-05-09,47.5,47.8,46.9,47.1,53260.0
BGIC,2022-05-10,47.1,48.4,47.0,47.8,42465.0
BGIC,2022-05-11,47.8,49.0,47.8,48.4,83938.0
BGIC,2022-05-12,48.3,49.3,47.5,48.7,93617.0
BGIC,2022-05-16,49.4,49.4,46.5,46.7,40842.0
BGIC,2022-05-17,46.7,46.7,45.5,45.9,29165.0
BGIC,2022-05-18,45.9,47.0,45.1,45.6,42354.0
BGIC,2022-05-19,45.6,45.6,43.7,44.6,28656.0
BGIC,2022-05-22,44.9,44.9,42.4,42.5,33042.0
BGIC,2022-05-23,43.8,43.9,42.8,43.5,8109.0
BGIC,2022-05-24,43.4,46.7,43.0,43.3,29829.0
BGIC,2022-05-25,45.0,45.0,42.0,42.9,4919.0
BGIC,2022-05-26,44.5,44.5,43.2,43.5,17521.0
BGIC,2022-05-29,43.5,46.2,43.5,44.1,28408.0
BGIC,2022-05-30,44.1,44.5,44.0,44.1,20005.0
BGIC,2022-05-31,44.1,47.5,44.1,46.8,35188.0
BGIC,2022-06-01,47.9,47.9,46.6,47.3,35911.0
BGIC,2022-06-02,49.5,49.5,48.8,48.8,70317.0
BGIC,2022-06-05,48.6,49.9,48.3,49.1,37094.0
BGIC,2022-06-06,50.9,52.5,50.9,51.6,237080.0
BGIC,2022-06-07,51.5,52.9,50.7,52.0,135394.0
BGIC,2022-06-08,52.0,52.5,51.1,51.4,107984.0
BGIC,2022-06-09,51.8,51.8,50.4,50.4,29619.0
BGIC,2022-06-12,50.8,50.8,49.4,49.4,57476.0
BGIC,2022-06-13,48.6,49.8,48.6,48.7,25190.0
BGIC,2022-06-14,47.8,50.0,47.8,49.3,35738.0
BGIC,2022-06-15,49.3,50.0,46.3,46.6,82073.0
BGIC,2022-06-16,46.0,47.0,45.7,45.7,59767.0
BGIC,2022-06-19,46.9,46.9,44.8,44.8,35472.0
BGIC,2022-06-20,44.0,44.9,44.0,44.1,29626.0
BGIC,2022-06-21,43.4,44.5,43.3,44.4,11251.0
BGIC,2022-06-22,44.4,45.9,44.4,45.3,10532.0
BGIC,2022-06-23,48.0,48.0,45.5,45.8,12908.0
BGIC,2022-06-26,45.6,45.6,44.9,45.1,12783.0
BGIC,2022-06-27,48.0,48.0,45.9,46.1,13893.0
BGIC,2022-06-28,45.9,46.0,45.5,45.6,16530.0
BGIC,2022-06-29,47.0,47.0,45.0,45.1,9577.0
BGIC,2022-06-30,45.5,46.9,44.8,46.2,25198.0
BGIC,2022-07-03,46.0,46.5,45.3,45.4,33038.0
BGIC,2022-07-04,45.5,46.0,44.5,44.6,24660.0
BGIC,2022-07-05,45.2,45.2,44.6,44.6,24991.0
BGIC,2022-07-06,45.4,45.4,44.3,44.5,37411.0
BGIC,2022-07-12,44.5,44.5,43.7,43.7,15187.0
BGIC,2022-07-13,43.2,43.7,42.9,42.9,22689.0
BGIC,2022-07-14,42.5,42.7,42.1,42.1,30371.0
BGIC,2022-07-17,41.5,42.0,41.5,41.7,25776.0
BGIC,2022-07-18,41.5,41.5,40.9,40.9,14027.0
BGIC,2022-07-19,40.1,40.1,40.1,40.1,10181.0
BGIC,2022-07-20,39.3,39.8,39.3,39.3,17985.0
BGIC,2022-07-21,39.0,39.0,38.6,38.7,25208.0
BGIC,2022-07-24,39.0,39.0,38.0,38.0,12606.0
BGIC,2022-07-25,38.0,38.0,37.3,37.3,33079.0
BGIC,2022-07-26,38.5,41.0,37.5,40.0,89572.0
BGIC,2022-07-27,40.0,41.5,39.2,39.3,30851.0
BGIC,2022-07-28,38.6,39.2,38.6,38.7,33216.0
BGIC,2022-07-31,39.0,42.2,39.0,41.9,47534.0
BGIC,2022-08-01,43.9,43.9,39.2,40.5,21778.0
BGIC,2022-08-02,40.0,44.0,38.6,41.9,18902.0
BGIC,2022-08-03,43.0,43.0,39.8,40.7,18511.0
BGIC,2022-08-04,39.6,42.0,39.6,40.0,18067.0
BGIC,2022-08-07,40.0,40.0,38.6,39.0,24538.0
BGIC,2022-08-08,39.0,39.3,38.6,39.1,30766.0
BGIC,2022-08-10,39.1,39.1,38.7,38.7,8546.0
BGIC,2022-08-11,38.7,41.1,38.7,38.9,7497.0
BGIC,2022-08-14,38.9,39.1,38.8,38.9,16874.0
BGIC,2022-08-16,38.9,39.4,38.8,38.9,22506.0
BGIC,2022-08-17,38.9,40.0,38.6,39.7,78565.0
BGIC,2022-08-21,39.1,39.7,39.1,39.4,5102.0
BGIC,2022-08-22,39.5,39.9,38.6,38.7,133218.0
BGIC,2022-08-23,39.2,39.2,38.6,38.8,60912.0
BGIC,2022-08-24,39.0,39.0,38.6,38.6,35754.0
BGIC,2022-08-25,39.5,40.0,38.6,39.6,52025.0
BGIC,2022-08-28,39.6,40.9,39.6,40.3,70263.0
BGIC,2022-08-29,40.5,41.8,39.7,40.0,32694.0
BGIC,2022-08-30,40.0,40.0,38.7,39.1,48853.0
BGIC,2022-08-31,39.1,40.6,38.7,40.5,114374.0
BGIC,2022-09-01,40.5,41.1,40.5,40.7,80796.0
BGIC,2022-09-04,40.7,40.7,39.6,39.8,86971.0
BGIC,2022-09-05,42.8,42.8,39.4,39.6,36413.0
BGIC,2022-09-06,40.2,40.2,39.0,39.3,45210.0
BGIC,2022-09-07,39.1,40.0,38.7,38.9,129205.0
BGIC,2022-09-08,38.8,40.0,38.7,38.8,29718.0
BGIC,2022-09-11,39.3,39.3,38.7,38.8,40356.0
BGIC,2022-09-12,38.6,39.0,38.6,38.8,10671.0
BGIC,2022-09-13,38.7,39.0,38.6,38.7,48813.0
BGIC,2022-09-14,38.6,38.9,38.6,38.6,23131.0
BGIC,2022-09-15,38.6,38.8,38.6,38.6,25107.0
BGIC,2022-09-18,39.0,40.0,39.0,39.1,100636.0
BGIC,2022-09-19,40.0,40.0,38.6,38.7,31568.0
BGIC,2022-09-20,38.9,38.9,38.6,38.6,26300.0
BGIC,2022-09-21,38.6,38.8,38.6,38.6,37271.0
BGIC,2022-09-22,38.6,38.7,38.6,38.6,16732.0
BGIC,2022-09-25,38.6,38.6,38.6,38.6,17041.0
BGIC,2022-09-26,38.6,38.6,38.6,38.6,4620.0
BGIC,2022-09-27,38.6,38.6,38.6,38.6,9174.0
BGIC,2022-09-28,38.6,38.6,38.6,38.6,1365.0
BGIC,2022-09-29,38.6,38.6,38.6,38.6,16342.0
BGIC,2022-10-02,38.6,38.6,38.6,38.6,3223.0
BGIC,2022-10-03,38.6,38.6,38.6,38.6,549.0
BGIC,2022-10-04,38.6,38.6,38.6,38.6,28510.0
BGIC,2022-10-06,38.6,38.6,38.6,38.6,2631.0
BGIC,2022-10-10,38.6,38.6,38.6,38.6,4511.0
BGIC,2022-10-11,38.6,42.4,38.6,40.5,76813.0
BGIC,2022-10-12,40.3,44.4,38.6,43.0,309664.0
BGIC,2022-10-13,42.0,43.2,40.1,43.0,114998.0
BGIC,2022-10-16,41.1,44.9,38.8,43.7,217903.0
BGIC,2022-10-17,43.9,43.9,41.0,42.3,82760.0
BGIC,2022-10-18,43.6,43.6,40.2,42.7,83107.0
BGIC,2022-10-19,42.0,43.1,41.7,42.6,60764.0
BGIC,2022-10-20,41.6,43.1,39.4,42.5,34486.0
BGIC,2022-10-23,40.5,44.0,39.1,43.0,249876.0
BGIC,2022-10-24,41.1,43.5,40.6,43.1,200043.0
BGIC,2022-10-25,41.1,43.8,41.0,43.0,68255.0
BGIC,2022-10-26,41.2,44.0,40.8,43.6,79915.0
BGIC,2022-10-27,44.0,45.0,42.9,44.8,139375.0
BGIC,2022-10-30,44.6,47.3,44.6,45.0,101387.0
BGIC,2022-10-31,44.8,45.5,43.3,44.8,85165.0
BGIC,2022-11-01,44.0,46.0,44.0,45.5,64089.0
BGIC,2022-11-02,46.0,47.9,45.6,47.3,195739.0
BGIC,2022-11-03,47.6,48.8,46.0,47.4,100901.0
BGIC,2022-11-06,47.9,50.5,45.5,49.4,232320.0
BGIC,2022-11-07,48.6,50.0,46.1,49.8,166077.0
BGIC,2022-11-08,49.8,50.0,48.0,49.4,112080.0
BGIC,2022-11-09,48.9,50.0,48.7,49.8,109803.0
BGIC,2022-11-10,48.1,50.0,48.1,49.5,93665.0
BGIC,2022-11-13,48.3,50.6,48.3,50.0,120296.0
BGIC,2022-11-14,49.1,51.0,49.1,50.6,223284.0
BGIC,2022-11-15,50.6,51.0,49.7,50.5,238918.0
BGIC,2022-11-16,49.5,51.0,48.5,50.8,98399.0
BGIC,2022-11-17,47.0,51.9,47.0,51.4,99209.0
BGIC,2022-11-20,51.0,51.5,50.0,51.4,54050.0
