symbol,date,open,high,low,close,volume
BNICL,2022-01-02,139.8,142.8,130.0,131.6,75839.0
BNICL,2022-01-03,139.0,139.4,128.0,130.5,39338.0
BNICL,2022-01-04,134.7,134.7,129.1,131.7,86133.0
BNICL,2022-01-05,135.0,136.6,128.0,129.6,46471.0
BNICL,2022-01-06,130.0,132.7,129.0,130.7,39649.0
BNICL,2022-01-09,134.5,134.5,129.2,129.8,27649.0
BNICL,2022-01-10,125.3,132.3,124.0,126.8,83900.0
BNICL,2022-01-11,131.9,132.0,125.0,127.0,37750.0
BNICL,2022-01-12,128.0,128.0,125.0,125.7,17497.0
BNICL,2022-01-13,125.7,128.0,120.0,122.9,56786.0
BNICL,2022-01-16,123.0,126.8,122.1,123.5,14386.0
BNICL,2022-01-17,122.0,131.9,121.0,124.4,28002.0
BNICL,2022-01-18,128.0,128.0,123.0,123.5,19674.0
BNICL,2022-01-19,122.5,124.6,122.0,122.4,11842.0
BNICL,2022-01-20,122.9,123.9,122.2,122.7,657586.0
BNICL,2022-01-23,126.0,129.0,122.5,125.9,252361.0
BNICL,2022-01-24,126.0,128.8,124.0,124.2,19043.0
BNICL,2022-01-25,126.4,127.0,118.0,118.5,129504.0
BNICL,2022-01-26,119.0,120.2,115.0,116.4,96295.0
BNICL,2022-01-27,116.4,119.9,114.5,115.5,135780.0
BNICL,2022-01-30,116.1,118.3,116.0,116.3,26904.0
BNICL,2022-01-31,116.8,118.5,114.3,115.4,29749.0
BNICL,2022-02-01,115.1,117.8,115.0,116.0,11475.0
BNICL,2022-02-02,117.1,120.5,116.1,119.7,23509.0
BNICL,2022-02-03,119.7,122.6,117.0,117.8,16578.0
BNICL,2022-02-06,119.8,121.8,116.0,117.2,40911.0
BNICL,2022-02-07,117.2,121.7,117.0,117.7,51598.0
BNICL,2022-02-08,119.9,120.0,117.0,117.1,18534.0
BNICL,2022-02-09,119.0,119.0,117.2,117.6,11231.0
BNICL,2022-02-10,117.7,117.7,115.8,116.2,12698.0
BNICL,2022-02-13,116.3,119.2,114.2,115.0,26218.0
BNICL,2022-02-14,115.5,116.5,113.2,113.6,20712.0
BNICL,2022-02-15,113.6,117.0,107.0,107.9,72731.0
BNICL,2022-02-16,105.4,113.8,105.0,106.2,53143.0
BNICL,2022-02-17,108.7,110.0,106.5,109.0,11090.0
BNICL,2022-02-20,105.6,108.4,105.5,106.1,22548.0
BNICL,2022-02-22,106.1,107.8,103.0,103.4,68628.0
BNICL,2022-02-23,104.1,105.6,103.0,105.4,22743.0
BNICL,2022-02-24,105.6,105.6,100.1,101.4,12128.0
BNICL,2022-02-27,101.1,101.8,91.8,92.9,31187.0
BNICL,2022-02-28,101.0,101.0,95.6,98.1,29921.0
BNICL,2022-03-01,98.5,102.0,97.2,97.9,31451.0
BNICL,2022-03-02,97.9,99.9,95.1,97.3,8999.0
BNICL,2022-03-03,95.3,97.7,95.2,96.9,269517.0
BNICL,2022-03-06,98.0,98.0,93.0,94.1,21777.0
BNICL,2022-03-07,95.6,95.6,87.0,89.2,15439.0
BNICL,2022-03-08,89.0,91.7,83.2,84.8,41608.0
BNICL,2022-03-09,90.2,93.2,86.3,93.0,24113.0
BNICL,2022-03-10,93.7,100.0,92.2,95.3,53519.0
BNICL,2022-03-13,96.5,97.0,94.0,95.1,19604.0
BNICL,2022-03-14,94.5,96.6,94.1,94.3,175276.0
BNICL,2022-03-15,93.8,96.4,92.5,92.7,18468.0
BNICL,2022-03-16,92.8,92.8,90.9,90.9,12409.0
BNICL,2022-03-20,91.0,91.0,89.1,89.2,10052.0
BNICL,2022-03-21,89.2,90.9,89.2,89.4,9110.0
BNICL,2022-03-22,90.5,91.0,87.7,87.7,39722.0
BNICL,2022-03-23,91.8,91.8,87.0,87.7,13495.0
BNICL,2022-03-24,88.3,89.3,87.0,87.4,10221.0
BNICL,2022-03-27,89.4,96.1,87.5,89.2,2699337.0
BNICL,2022-03-28,98.1,98.1,96.0,96.9,486733.0
BNICL,2022-03-29,98.1,106.5,98.0,103.6,2086564.0
BNICL,2022-03-30,105.0,109.0,103.0,104.9,265722.0
BNICL,2022-03-31,103.0,105.9,102.9,103.1,1000537.0
BNICL,2022-04-03,103.5,103.5,101.1,101.1,39224.0
BNICL,2022-04-04,99.1,99.1,99.1,99.1,10600.0
BNICL,2022-04-05,97.2,97.2,97.2,97.2,9695.0
BNICL,2022-04-06,95.3,95.3,95.3,95.3,10049.0
BNICL,2022-04-07,93.4,93.4,93.4,93.4,12210.0
BNICL,2022-04-10,92.0,96.8,91.8,94.6,49949.0
BNICL,2022-04-11,96.0,100.0,93.8,97.0,67846.0
BNICL,2022-04-12,96.1,98.0,95.2,96.2,35763.0
BNICL,2022-04-13,95.0,98.0,94.7,96.5,29190.0
BNICL,2022-04-17,95.5,95.5,94.6,95.1,17426.0
BNICL,2022-04-18,93.4,93.5,93.2,93.2,6083.0
BNICL,2022-04-19,91.4,95.4,91.4,93.0,37707.0
BNICL,2022-04-20,93.0,93.2,91.2,91.3,31984.0
BNICL,2022-04-21,93.0,93.9,90.4,91.9,19522.0
BNICL,2022-04-24,92.0,92.9,89.6,90.5,39305.0
BNICL,2022-04-25,91.4,94.5,90.0,91.6,68771.0
BNICL,2022-04-26,92.0,93.6,90.9,91.9,62152.0
BNICL,2022-04-27,93.4,94.7,91.5,93.6,50671.0
BNICL,2022-04-28,91.8,92.0,90.0,90.2,29107.0
BNICL,2022-05-05,91.5,91.5,85.7,86.1,15664.0
BNICL,2022-05-08,89.0,89.0,86.7,88.0,16008.0
BNICL,2022-05-09,87.3,89.6,86.6,88.1,30959.0
BNICL,2022-05-10,89.0,89.0,84.1,85.2,72475.0
BNICL,2022-05-11,85.0,87.0,81.0,81.4,36048.0
BNICL,2022-05-12,81.4,82.3,78.0,79.1,26998.0
BNICL,2022-05-16,80.4,80.4,75.2,75.6,58667.0
BNICL,2022-05-17,74.4,75.9,71.9,72.1,31125.0
BNICL,2022-05-18,74.7,74.7,68.5,68.6,61750.0
BNICL,2022-05-19,66.0,75.4,65.2,75.4,162469.0
BNICL,2022-05-22,75.1,75.1,71.7,71.7,36583.0
BNICL,2022-05-23,73.0,73.0,69.5,69.9,62475.0
BNICL,2022-05-24,69.7,70.0,68.0,69.7,31992.0
BNICL,2022-05-26,68.4,74.6,68.4,68.5,12119.0
BNICL,2022-05-29,69.7,71.2,69.0,69.6,59412.0
BNICL,2022-05-30,69.7,70.0,68.3,68.5,87728.0
BNICL,2022-05-31,70.5,73.0,69.3,70.5,116157.0
BNICL,2022-06-01,72.5,72.5,70.0,70.8,48882.0
BNICL,2022-06-02,70.9,73.9,70.9,72.1,58476.0
BNICL,2022-06-05,73.8,75.9,72.0,74.5,90878.0
BNICL,2022-06-06,76.8,81.9,75.5,80.7,1300547.0
BNICL,2022-06-07,80.9,87.0,79.4,81.9,239322.0
BNICL,2022-06-08,81.2,83.9,80.3,80.3,129299.0
BNICL,2022-06-09,81.7,81.7,78.7,78.7,44062.0
BNICL,2022-06-12,78.0,78.0,77.2,77.2,24414.0
BNICL,2022-06-13,75.7,75.7,75.7,75.7,7080.0
BNICL,2022-06-14,74.2,79.4,74.2,75.0,161471.0
BNICL,2022-06-15,77.9,77.9,73.6,73.8,45507.0
BNICL,2022-06-16,73.2,75.9,73.2,73.8,58825.0
BNICL,2022-06-19,75.9,75.9,72.4,72.4,33169.0
BNICL,2022-06-20,71.3,73.4,71.0,71.0,24079.0
BNICL,2022-06-21,73.8,73.8,69.6,70.4,329060.0
BNICL,2022-06-22,72.1,72.1,69.0,69.0,135654.0
BNICL,2022-06-23,71.9,71.9,68.3,68.7,57867.0
