symbol,date,open,high,low,close,volume
BPML,2022-01-02,43.1,44.4,43.0,43.7,27118.0
BPML,2022-01-03,44.5,44.8,43.9,44.6,42199.0
BPML,2022-01-04,44.4,45.2,44.3,44.9,46870.0
BPML,2022-01-05,44.9,47.2,44.9,46.6,103905.0
BPML,2022-01-06,47.4,51.2,47.4,51.2,628451.0
BPML,2022-01-09,53.9,56.3,53.9,56.3,985314.0
BPML,2022-01-10,60.4,61.9,57.6,61.9,3029726.0
BPML,2022-01-11,65.0,68.0,65.0,68.0,1801295.0
BPML,2022-01-12,71.2,72.6,62.8,64.7,4604904.0
BPML,2022-01-13,65.0,68.6,63.0,67.7,1603384.0
BPML,2022-01-16,68.7,69.1,63.8,64.2,2117785.0
BPML,2022-01-17,64.3,66.4,61.2,62.0,1557056.0
BPML,2022-01-18,62.8,63.7,59.4,60.3,1428021.0
BPML,2022-01-19,60.7,65.0,60.1,62.3,1508902.0
BPML,2022-01-20,62.9,64.6,60.9,61.4,804438.0
BPML,2022-01-23,61.1,61.1,59.2,59.9,744937.0
BPML,2022-01-24,60.9,63.2,60.8,61.9,830062.0
BPML,2022-01-25,61.9,66.9,61.9,66.4,1862975.0
BPML,2022-01-26,66.6,67.9,62.9,63.3,683542.0
BPML,2022-01-27,64.0,64.6,62.2,63.3,1020611.0
BPML,2022-01-30,63.7,64.2,62.1,62.4,643034.0
BPML,2022-01-31,63.4,64.6,62.5,63.2,1036581.0
BPML,2022-02-01,63.5,69.4,63.4,67.7,1982516.0
BPML,2022-02-02,67.5,69.3,64.6,65.2,1305984.0
BPML,2022-02-03,65.2,65.4,63.4,63.7,856704.0
BPML,2022-02-06,64.4,65.3,61.8,62.2,733194.0
BPML,2022-02-07,59.2,63.0,59.2,61.4,606050.0
BPML,2022-02-08,61.8,64.0,61.8,62.6,459116.0
BPML,2022-02-09,62.7,63.5,61.8,62.1,400864.0
BPML,2022-02-10,62.7,63.2,61.7,61.9,245652.0
BPML,2022-02-13,62.1,63.0,61.6,61.7,226805.0
BPML,2022-02-14,61.9,62.2,59.6,59.9,441992.0
BPML,2022-02-15,60.2,61.4,58.1,58.3,572227.0
BPML,2022-02-16,59.8,60.0,58.4,58.6,209705.0
BPML,2022-02-17,59.1,59.1,57.2,58.1,231676.0
BPML,2022-02-20,57.3,57.7,56.0,56.2,249754.0
BPML,2022-02-22,56.2,57.0,55.0,55.8,311083.0
BPML,2022-02-23,56.0,57.5,56.0,56.9,200105.0
BPML,2022-02-24,57.2,57.3,54.5,55.2,273606.0
BPML,2022-02-27,55.0,55.1,52.2,52.4,839221.0
BPML,2022-02-28,52.5,53.9,52.5,52.7,198523.0
BPML,2022-03-01,52.9,54.3,52.3,52.7,395494.0
BPML,2022-03-02,52.9,53.3,51.8,52.1,263726.0
BPML,2022-03-03,52.0,52.6,51.7,52.0,261887.0
BPML,2022-03-06,52.4,53.0,51.7,51.9,198402.0
BPML,2022-03-07,51.8,52.0,49.0,49.6,274746.0
BPML,2022-03-08,50.0,51.8,48.5,51.2,493440.0
BPML,2022-03-09,51.8,55.0,51.6,54.5,706468.0
BPML,2022-03-10,54.6,55.2,53.5,53.6,519421.0
BPML,2022-03-13,53.7,56.3,53.1,55.3,531422.0
BPML,2022-03-14,55.5,55.8,54.3,54.7,420646.0
BPML,2022-03-15,54.9,55.7,54.2,54.8,328984.0
BPML,2022-03-16,55.7,55.7,53.8,54.0,192649.0
BPML,2022-03-20,54.3,54.6,53.0,53.0,116026.0
BPML,2022-03-21,52.1,53.7,52.0,52.6,152153.0
BPML,2022-03-22,53.2,53.5,52.8,53.0,200186.0
BPML,2022-03-23,53.5,57.4,53.0,56.1,696333.0
BPML,2022-03-24,56.7,59.9,56.6,58.9,1525993.0
BPML,2022-03-27,59.0,59.3,57.8,57.8,421963.0
BPML,2022-03-28,57.2,57.8,56.7,56.7,355431.0
BPML,2022-03-29,56.7,58.3,56.5,57.4,719307.0
BPML,2022-03-30,58.2,58.2,56.3,56.3,264208.0
BPML,2022-03-31,55.8,56.1,55.2,55.5,372330.0
BPML,2022-04-03,56.4,57.0,55.0,55.6,251872.0
BPML,2022-04-04,55.9,56.2,54.5,54.6,344088.0
BPML,2022-04-05,54.5,54.9,53.7,54.3,333705.0
BPML,2022-04-06,54.8,54.9,53.7,53.9,344932.0
BPML,2022-04-07,54.5,54.5,53.1,53.4,266281.0
BPML,2022-04-10,53.4,54.5,53.3,54.3,183952.0
BPML,2022-04-11,55.2,55.2,54.2,54.3,206854.0
BPML,2022-04-12,54.3,54.6,53.3,53.3,304104.0
BPML,2022-04-13,53.3,53.5,52.5,52.8,162896.0
BPML,2022-04-17,53.2,53.5,51.8,51.8,197430.0
BPML,2022-04-18,51.1,52.0,50.8,50.8,196009.0
BPML,2022-04-19,50.9,52.0,49.8,51.9,177666.0
BPML,2022-04-20,52.0,53.6,52.0,53.1,137746.0
BPML,2022-04-21,53.3,54.8,53.3,54.3,337433.0
BPML,2022-04-24,54.4,55.3,54.1,54.6,462934.0
BPML,2022-04-25,54.4,55.0,53.6,54.6,569236.0
BPML,2022-04-26,55.2,58.8,55.2,58.4,1170992.0
BPML,2022-04-27,58.1,59.9,57.3,59.2,949980.0
BPML,2022-04-28,57.8,57.9,56.3,56.4,1080771.0
BPML,2022-05-05,56.4,56.4,53.8,54.7,301579.0
BPML,2022-05-08,54.4,56.3,54.4,55.6,456467.0
BPML,2022-05-09,55.8,59.2,55.6,58.5,918952.0
BPML,2022-05-10,58.2,59.3,55.9,56.2,654338.0
BPML,2022-05-11,56.2,57.0,54.5,54.7,267361.0
BPML,2022-05-12,55.0,55.5,53.9,54.3,343463.0
BPML,2022-05-16,54.3,54.3,51.6,51.6,543381.0
BPML,2022-05-17,53.2,53.3,51.1,52.8,375031.0
BPML,2022-05-18,53.5,53.9,50.8,51.4,294697.0
BPML,2022-05-19,51.0,52.8,49.9,50.9,442602.0
BPML,2022-05-22,52.6,52.6,49.2,49.5,244494.0
BPML,2022-05-23,51.9,52.3,50.9,51.6,305355.0
BPML,2022-05-24,51.8,52.4,50.8,51.2,134314.0
BPML,2022-05-25,50.3,51.4,50.1,50.6,71986.0
BPML,2022-05-26,50.8,51.4,50.1,50.7,312124.0
BPML,2022-05-29,51.2,53.8,51.2,52.8,146625.0
BPML,2022-05-30,52.7,53.2,51.9,52.0,320424.0
BPML,2022-05-31,52.0,52.4,51.6,52.0,157175.0
BPML,2022-06-01,52.0,53.2,52.0,52.8,189350.0
BPML,2022-06-02,52.9,53.7,52.4,52.7,176294.0
BPML,2022-06-05,52.8,53.9,52.7,53.8,364320.0
BPML,2022-06-06,53.8,54.4,52.8,53.0,287884.0
BPML,2022-06-07,52.4,53.0,52.1,52.2,181782.0
BPML,2022-06-08,53.5,53.5,52.6,52.7,202057.0
BPML,2022-06-09,53.5,54.0,52.6,53.4,338324.0
BPML,2022-06-12,52.7,53.6,52.5,52.6,216104.0
BPML,2022-06-13,53.5,53.5,51.9,52.1,221503.0
BPML,2022-06-14,53.3,53.9,51.5,51.8,354041.0
BPML,2022-06-15,51.2,53.0,51.2,52.3,125889.0
BPML,2022-06-16,52.6,53.9,52.6,53.0,458034.0
BPML,2022-06-19,52.2,55.2,52.2,54.5,592422.0
BPML,2022-06-20,55.0,55.6,53.5,53.7,360489.0
BPML,2022-06-21,53.2,54.3,52.7,52.8,354359.0
BPML,2022-06-22,52.2,53.7,52.2,52.7,198517.0
BPML,2022-06-23,52.5,53.5,52.5,52.9,139698.0
BPML,2022-06-26,52.4,53.3,52.4,52.7,132273.0
BPML,2022-06-27,52.4,53.2,52.4,53.0,122677.0
BPML,2022-06-28,52.0,53.5,52.0,53.1,303262.0
BPML,2022-06-29,53.7,53.7,52.7,52.8,144916.0
BPML,2022-06-30,53.4,54.5,53.3,54.0,307407.0
BPML,2022-07-03,54.4,57.1,54.3,55.5,627547.0
BPML,2022-07-04,55.5,55.5,54.4,54.5,246684.0
BPML,2022-07-05,54.0,55.3,53.5,53.9,273622.0
BPML,2022-07-06,53.0,55.6,53.0,54.8,201411.0
BPML,2022-07-07,54.5,54.7,54.0,54.1,193008.0
BPML,2022-07-12,53.2,54.3,53.2,53.6,140982.0
BPML,2022-07-13,53.6,54.9,53.4,54.1,240006.0
BPML,2022-07-14,54.1,54.1,53.3,53.7,190086.0
BPML,2022-07-17,53.7,54.7,53.4,53.5,142686.0
BPML,2022-07-18,53.1,53.8,52.5,52.5,211064.0
BPML,2022-07-19,51.5,52.2,51.5,51.5,188993.0
BPML,2022-07-20,50.6,51.9,50.5,51.1,330772.0
BPML,2022-07-21,51.9,51.9,50.7,50.9,78893.0
BPML,2022-07-24,52.7,52.7,49.9,50.0,116821.0
BPML,2022-07-25,49.1,50.5,49.0,50.2,186253.0
BPML,2022-07-26,51.3,51.7,49.7,50.1,187788.0
BPML,2022-07-27,51.0,51.9,49.1,49.3,185331.0
BPML,2022-07-28,49.8,49.9,48.5,48.8,161180.0
BPML,2022-07-31,51.6,51.6,49.7,50.9,82201.0
BPML,2022-08-01,51.0,51.5,50.7,50.8,182077.0
BPML,2022-08-02,51.3,51.6,50.9,51.5,277925.0
BPML,2022-08-03,51.5,52.8,51.5,51.9,183079.0
BPML,2022-08-04,51.1,51.7,50.8,51.0,291238.0
BPML,2022-08-07,50.9,53.3,50.9,51.6,316693.0
BPML,2022-08-08,52.0,52.2,50.2,51.4,288404.0
BPML,2022-08-10,50.8,51.4,50.0,50.3,112755.0
BPML,2022-08-11,51.2,51.2,49.6,49.7,227559.0
BPML,2022-08-14,51.0,51.3,49.9,50.3,54323.0
BPML,2022-08-16,50.2,51.9,50.0,51.6,243851.0
BPML,2022-08-17,52.4,52.4,51.4,51.6,162131.0
BPML,2022-08-21,50.8,51.8,50.6,50.9,214055.0
BPML,2022-08-22,50.5,52.9,50.5,51.9,293487.0
BPML,2022-08-23,51.5,53.5,51.5,52.6,576452.0
BPML,2022-08-24,52.2,52.8,51.3,51.7,216778.0
BPML,2022-08-25,50.0,54.8,50.0,53.9,905393.0
BPML,2022-08-28,55.2,59.2,55.2,59.2,1071130.0
BPML,2022-08-29,61.0,62.8,58.7,59.5,2501933.0
BPML,2022-08-30,59.7,62.0,58.7,60.3,1470697.0
BPML,2022-08-31,61.0,66.3,60.5,66.3,2923076.0
BPML,2022-09-01,67.6,68.9,64.7,68.1,2614366.0
BPML,2022-09-04,68.6,74.9,68.6,73.0,4178073.0
BPML,2022-09-05,73.3,73.9,65.9,66.5,2063519.0
BPML,2022-09-06,67.8,73.1,66.0,73.1,4138783.0
BPML,2022-09-07,79.0,79.2,72.1,72.9,2538267.0
BPML,2022-09-08,72.8,72.8,65.7,66.2,2801604.0
BPML,2022-09-11,68.0,70.8,66.0,66.7,1980661.0
BPML,2022-09-12,67.2,70.7,66.5,69.8,1277150.0
BPML,2022-09-13,70.0,75.0,69.1,70.8,2358858.0
BPML,2022-09-14,71.1,71.3,66.9,67.4,1141302.0
BPML,2022-09-15,67.5,69.7,66.5,68.5,1132525.0
BPML,2022-09-18,69.0,74.0,69.0,71.9,2270963.0
BPML,2022-09-19,70.5,74.8,70.5,72.8,2243110.0
BPML,2022-09-20,74.3,80.0,73.5,77.9,5207644.0
BPML,2022-09-21,78.1,85.6,76.0,85.5,4178095.0
BPML,2022-09-22,88.0,93.0,85.9,89.9,3781983.0
BPML,2022-09-25,91.0,92.0,82.0,83.5,3015521.0
BPML,2022-09-26,83.1,86.9,82.2,84.3,1640081.0
BPML,2022-09-27,86.0,89.0,82.1,82.9,1980362.0
BPML,2022-09-28,83.1,85.8,81.8,84.1,1976859.0
BPML,2022-09-29,86.6,91.0,86.6,88.0,2802717.0
BPML,2022-10-02,88.9,96.0,88.7,93.5,3239071.0
BPML,2022-10-03,95.0,95.2,87.6,88.4,2255877.0
BPML,2022-10-04,88.0,91.3,86.8,87.4,1771225.0
