symbol,date,open,high,low,close,volume
BSC,2022-01-02,73.0,79.0,72.6,79.0,6755800.0
BSC,2022-01-03,81.6,84.5,77.5,78.7,8913639.0
BSC,2022-01-04,79.0,86.5,78.1,86.5,8294010.0
BSC,2022-01-05,90.0,95.1,89.5,95.1,7598888.0
BSC,2022-01-06,98.9,104.6,98.7,104.6,7619458.0
BSC,2022-01-09,106.9,111.5,102.7,105.2,7549865.0
BSC,2022-01-10,106.2,115.7,105.5,115.7,5859634.0
BSC,2022-01-11,123.8,127.2,123.8,127.2,3220054.0
BSC,2022-01-12,138.7,138.7,114.5,114.5,7830577.0
BSC,2022-01-13,112.7,125.9,112.5,125.9,6662650.0
BSC,2022-01-17,134.9,138.4,131.3,138.3,9736464.0
BSC,2022-01-18,146.0,148.0,134.1,135.7,7020391.0
BSC,2022-01-19,136.0,144.0,128.5,141.4,6317440.0
BSC,2022-01-20,143.2,147.0,134.6,139.0,5069248.0
BSC,2022-01-23,140.0,140.8,129.5,130.8,4781417.0
BSC,2022-01-24,130.1,131.0,119.5,122.9,9126124.0
BSC,2022-01-25,124.0,129.0,122.3,124.6,3796225.0
BSC,2022-01-26,124.1,124.1,117.0,119.4,5032887.0
BSC,2022-01-27,120.0,131.3,119.6,131.3,4807121.0
BSC,2022-01-30,137.8,142.0,132.3,134.2,6249712.0
BSC,2022-01-31,134.9,135.0,130.4,131.1,3796999.0
BSC,2022-02-01,133.8,139.0,132.7,137.9,5176967.0
BSC,2022-02-02,140.1,142.5,135.4,135.9,4228233.0
BSC,2022-02-03,136.8,136.8,134.0,134.8,2306692.0
BSC,2022-02-06,134.8,148.2,131.0,148.2,6780883.0
BSC,2022-02-07,154.0,155.9,141.0,142.9,8356648.0
BSC,2022-02-08,142.6,142.7,135.2,136.7,5088205.0
BSC,2022-02-09,136.9,146.0,136.5,143.4,3874094.0
BSC,2022-02-10,145.0,145.2,138.7,141.1,6146006.0
BSC,2022-02-13,143.0,143.0,132.0,134.4,3179187.0
BSC,2022-02-14,134.0,137.5,131.3,132.6,3756239.0
BSC,2022-02-15,132.8,134.5,130.6,131.1,2465560.0
BSC,2022-02-16,132.9,137.5,131.7,133.1,3328215.0
BSC,2022-02-17,134.5,134.8,129.8,132.4,4118676.0
BSC,2022-02-20,133.3,134.0,130.1,130.6,1510761.0
BSC,2022-02-22,131.7,132.3,125.5,128.6,1709078.0
BSC,2022-02-23,129.5,129.7,124.3,125.2,1994055.0
BSC,2022-02-24,126.0,126.8,119.2,120.1,2396807.0
BSC,2022-02-27,120.5,121.5,113.5,115.6,2355984.0
BSC,2022-02-28,116.5,123.9,116.2,122.0,3659498.0
BSC,2022-03-01,123.0,127.4,120.3,123.0,3494151.0
BSC,2022-03-02,124.3,124.3,119.5,120.7,1868410.0
BSC,2022-03-03,115.0,119.7,113.0,118.2,3694160.0
BSC,2022-03-06,118.0,118.6,111.0,112.0,1856668.0
BSC,2022-03-07,111.4,111.4,106.0,107.1,2788944.0
BSC,2022-03-08,109.0,110.0,103.5,108.0,2083163.0
BSC,2022-03-09,111.1,116.9,111.1,116.2,2619203.0
BSC,2022-03-10,117.0,119.7,115.0,116.1,2604401.0
BSC,2022-03-13,115.1,116.9,113.8,114.1,1941771.0
BSC,2022-03-14,114.9,115.8,111.9,112.2,1299852.0
BSC,2022-03-15,112.2,113.0,110.0,110.0,1224895.0
BSC,2022-03-16,110.0,110.0,107.8,107.8,1633380.0
BSC,2022-03-20,108.0,110.8,105.7,105.8,1134427.0
BSC,2022-03-21,106.1,111.0,104.5,109.8,2030568.0
BSC,2022-03-22,111.5,113.0,111.0,112.5,1550614.0
BSC,2022-03-23,113.6,114.2,110.5,111.1,1471522.0
BSC,2022-03-24,110.2,112.1,109.2,111.7,1185396.0
BSC,2022-03-27,111.8,113.7,111.8,112.1,1058628.0
BSC,2022-03-28,112.8,112.9,109.9,110.5,1328877.0
BSC,2022-03-29,110.5,111.8,109.8,110.7,832172.0
BSC,2022-03-30,111.8,111.9,108.9,109.4,448772.0
BSC,2022-03-31,110.9,110.9,107.5,108.1,637863.0
BSC,2022-04-03,109.8,110.5,106.0,106.4,589100.0
BSC,2022-04-04,107.7,107.9,104.6,105.7,403107.0
BSC,2022-04-05,106.9,107.9,105.6,107.1,467109.0
BSC,2022-04-06,107.4,109.0,106.1,106.6,557840.0
BSC,2022-04-07,106.8,107.5,104.5,104.6,761136.0
BSC,2022-04-10,105.1,107.6,103.2,106.8,730246.0
BSC,2022-04-11,107.0,107.6,105.5,105.9,718651.0
BSC,2022-04-12,104.6,105.9,103.8,103.9,540181.0
BSC,2022-04-13,103.3,106.0,102.0,105.3,574471.0
BSC,2022-04-17,106.5,106.8,104.2,105.4,727160.0
BSC,2022-04-18,104.3,104.7,103.3,103.4,707225.0
BSC,2022-04-19,101.8,106.3,101.8,105.7,1042327.0
BSC,2022-04-20,105.0,116.2,105.0,115.7,3149471.0
BSC,2022-04-21,115.4,118.4,114.0,117.9,2374611.0
BSC,2022-04-24,117.0,122.4,116.6,119.0,2457605.0
BSC,2022-04-25,119.5,121.4,118.0,119.9,1843445.0
BSC,2022-04-26,119.1,125.1,119.1,124.5,2921129.0
BSC,2022-04-27,125.9,125.9,120.1,121.5,2032049.0
BSC,2022-04-28,122.0,124.3,120.4,123.1,1184090.0
BSC,2022-05-05,123.0,124.7,121.4,123.1,1475032.0
BSC,2022-05-08,124.0,124.4,120.4,121.5,1418341.0
BSC,2022-05-09,121.0,123.8,120.3,121.3,1795554.0
BSC,2022-05-10,121.1,122.6,115.5,116.3,1341003.0
BSC,2022-05-11,115.6,116.7,110.9,112.2,1617064.0
BSC,2022-05-12,111.9,119.0,109.8,113.7,1033550.0
BSC,2022-05-16,113.7,113.9,108.3,108.9,714928.0
BSC,2022-05-17,110.5,112.5,107.0,111.2,737129.0
BSC,2022-05-18,113.0,113.4,108.3,109.0,699645.0
BSC,2022-05-19,110.4,119.8,108.5,116.7,1774863.0
BSC,2022-05-22,117.9,119.7,116.1,116.5,2044783.0
BSC,2022-05-23,119.0,121.4,116.1,116.6,1790474.0
BSC,2022-05-24,117.0,117.8,112.0,115.3,695302.0
BSC,2022-05-25,114.5,115.5,111.8,113.0,780215.0
BSC,2022-05-26,117.4,119.5,115.1,118.7,2427846.0
BSC,2022-05-29,120.5,122.8,119.0,120.4,1928230.0
BSC,2022-05-30,120.2,120.3,118.0,118.0,1863941.0
BSC,2022-05-31,116.5,117.5,115.7,115.7,496334.0
BSC,2022-06-01,113.7,121.9,113.4,120.9,1799738.0
BSC,2022-06-02,122.8,123.0,119.8,121.4,1851197.0
BSC,2022-06-05,121.3,121.6,119.0,119.6,1471301.0
BSC,2022-06-06,119.0,120.5,117.3,117.3,1501838.0
BSC,2022-06-07,118.7,118.7,116.1,116.4,1178106.0
BSC,2022-06-08,116.5,117.5,114.1,115.4,949350.0
BSC,2022-06-09,117.1,117.1,114.1,114.4,745601.0
BSC,2022-06-12,116.0,119.4,115.6,118.1,1283334.0
BSC,2022-06-13,118.5,119.5,115.9,116.2,698690.0
BSC,2022-06-14,116.2,117.0,114.1,115.7,643905.0
BSC,2022-06-15,116.5,119.1,115.5,116.8,1861696.0
BSC,2022-06-16,117.1,118.1,115.5,116.0,1329985.0
BSC,2022-06-19,117.4,121.0,116.5,120.5,3875369.0
BSC,2022-06-20,122.0,123.0,119.5,120.1,2829407.0
BSC,2022-06-21,120.0,120.4,117.7,117.7,841128.0
BSC,2022-06-22,116.8,118.7,116.1,117.2,916927.0
BSC,2022-06-23,118.2,119.2,116.1,116.5,520582.0
BSC,2022-06-26,117.5,117.5,114.7,115.0,490460.0
BSC,2022-06-27,116.9,116.9,114.7,115.0,539965.0
BSC,2022-06-28,116.4,117.0,115.4,115.6,1348789.0
BSC,2022-06-29,116.8,119.0,116.1,117.9,1230043.0
BSC,2022-06-30,118.9,119.5,116.7,117.3,699144.0
BSC,2022-07-03,119.0,119.4,115.0,115.1,789931.0
BSC,2022-07-04,115.1,116.6,114.0,114.4,676092.0
BSC,2022-07-05,115.8,117.8,115.1,116.5,2185935.0
BSC,2022-07-06,117.4,117.6,115.2,116.0,978554.0
BSC,2022-07-07,116.0,116.5,114.8,115.2,526516.0
BSC,2022-07-12,116.3,116.3,113.0,113.5,488780.0
BSC,2022-07-13,113.5,114.8,111.4,112.0,443988.0
BSC,2022-07-14,112.1,114.4,111.0,112.7,550439.0
BSC,2022-07-17,113.0,113.9,110.5,111.2,326509.0
BSC,2022-07-18,111.2,112.4,109.0,109.0,319108.0
BSC,2022-07-19,106.9,109.0,106.9,107.0,437751.0
BSC,2022-07-20,107.0,111.7,105.2,110.3,998664.0
BSC,2022-07-21,110.2,111.9,108.2,108.6,734131.0
BSC,2022-07-24,109.1,109.1,106.5,106.5,352909.0
BSC,2022-07-25,108.4,108.6,104.4,107.9,526339.0
BSC,2022-07-26,109.8,111.8,108.5,108.7,628846.0
BSC,2022-07-27,108.7,109.5,106.6,106.6,503151.0
BSC,2022-07-28,105.1,107.9,104.5,105.7,474894.0
BSC,2022-07-31,107.1,110.4,107.1,109.8,522045.0
BSC,2022-08-01,110.5,111.7,108.7,109.2,956382.0
BSC,2022-08-02,109.0,115.7,109.0,114.0,1687749.0
BSC,2022-08-03,115.2,118.4,114.5,115.8,1557846.0
BSC,2022-08-04,115.0,116.8,113.6,113.9,1070798.0
BSC,2022-08-07,113.9,114.6,111.0,111.8,547429.0
BSC,2022-08-08,111.6,114.0,111.5,112.0,717626.0
BSC,2022-08-10,112.0,112.0,108.2,108.6,408314.0
BSC,2022-08-11,108.2,110.0,108.0,108.9,350446.0
BSC,2022-08-14,110.4,113.0,108.5,109.6,1744505.0
BSC,2022-08-16,112.7,117.4,111.7,115.9,2351079.0
BSC,2022-08-17,118.3,120.1,116.5,118.2,2217703.0
BSC,2022-08-21,118.2,125.4,118.2,124.0,4395912.0
BSC,2022-08-22,126.0,130.0,124.9,126.1,3222720.0
BSC,2022-08-23,125.1,126.0,122.8,124.0,3159708.0
BSC,2022-08-24,124.4,124.8,117.0,120.8,1813641.0
BSC,2022-08-25,120.0,124.4,119.2,123.9,2221750.0
BSC,2022-08-28,125.0,127.4,123.1,126.4,2735509.0
BSC,2022-08-29,128.0,138.7,127.3,135.6,5021021.0
BSC,2022-08-30,138.0,141.0,134.0,139.2,4023580.0
BSC,2022-08-31,141.0,146.3,141.0,144.1,4617761.0
BSC,2022-09-01,145.0,147.5,139.3,140.4,2946618.0
BSC,2022-09-04,143.0,143.0,130.2,134.6,2917478.0
BSC,2022-09-05,134.0,136.9,130.0,131.2,2258685.0
BSC,2022-09-06,132.4,137.8,131.5,135.9,3463017.0
BSC,2022-09-07,139.9,144.2,135.2,137.2,3130889.0
BSC,2022-09-08,138.0,139.3,132.6,136.8,1963112.0
BSC,2022-09-11,138.3,138.3,132.0,134.5,2709374.0
BSC,2022-09-12,134.6,142.2,134.5,141.4,4079718.0
BSC,2022-09-13,141.4,145.0,139.0,140.1,3304607.0
BSC,2022-09-14,140.1,142.3,135.0,136.2,1767652.0
BSC,2022-09-15,136.3,137.8,133.2,135.4,1420640.0
BSC,2022-09-18,137.0,141.0,135.6,140.2,2791543.0
BSC,2022-09-19,141.6,154.2,141.6,154.2,6146322.0
BSC,2022-09-20,162.8,169.6,158.0,160.8,9421617.0
BSC,2022-09-21,155.1,166.3,155.1,161.3,6341445.0
BSC,2022-09-22,164.5,171.9,162.1,168.9,5499565.0
