symbol,date,open,high,low,close,volume
BSCPLC,2022-01-02,209.6,212.4,204.0,209.0,601724.0
BSCPLC,2022-01-03,209.6,209.8,204.0,204.4,544423.0
BSCPLC,2022-01-04,204.3,209.6,201.1,205.3,416920.0
BSCPLC,2022-01-05,206.9,211.9,205.2,210.1,476181.0
BSCPLC,2022-01-06,209.5,227.9,209.5,226.7,1612258.0
BSCPLC,2022-01-09,230.0,232.4,222.1,225.8,1497091.0
BSCPLC,2022-01-10,227.4,245.5,224.5,243.9,2371926.0
BSCPLC,2022-01-11,248.0,256.0,235.1,237.6,2426228.0
BSCPLC,2022-01-12,237.6,238.2,222.0,223.3,1743520.0
BSCPLC,2022-01-13,223.1,235.7,222.0,231.9,967451.0
BSCPLC,2022-01-16,233.9,234.0,224.9,226.0,683876.0
BSCPLC,2022-01-17,229.7,229.9,221.0,222.6,682299.0
BSCPLC,2022-01-18,223.5,232.0,222.2,225.0,548554.0
BSCPLC,2022-01-19,227.9,228.0,223.5,224.3,399736.0
BSCPLC,2022-01-20,224.0,225.0,218.3,219.8,372094.0
BSCPLC,2022-01-23,220.0,235.4,216.7,232.0,665990.0
BSCPLC,2022-01-24,232.1,236.9,227.4,232.1,863617.0
BSCPLC,2022-01-25,232.1,232.1,225.0,226.6,363892.0
BSCPLC,2022-01-26,228.0,234.3,224.5,229.4,724244.0
BSCPLC,2022-01-27,229.8,234.2,227.5,231.1,423467.0
BSCPLC,2022-01-30,230.9,230.9,225.0,225.2,330836.0
BSCPLC,2022-01-31,226.7,227.0,222.1,222.6,257947.0
BSCPLC,2022-02-01,223.1,227.0,223.1,225.5,194341.0
BSCPLC,2022-02-02,226.0,226.0,220.7,222.2,236506.0
BSCPLC,2022-02-03,223.2,225.0,221.1,221.7,137732.0
BSCPLC,2022-02-06,224.4,225.5,221.2,222.0,194052.0
BSCPLC,2022-02-07,224.8,224.8,220.0,220.4,332710.0
BSCPLC,2022-02-08,222.0,222.5,218.0,220.7,188097.0
BSCPLC,2022-02-09,222.0,223.9,220.0,222.8,171978.0
BSCPLC,2022-02-10,223.0,224.8,219.0,219.4,156677.0
BSCPLC,2022-02-13,222.7,222.7,217.0,220.4,103803.0
BSCPLC,2022-02-14,219.3,222.0,218.3,219.0,86033.0
BSCPLC,2022-02-15,220.0,223.4,217.5,220.9,171012.0
BSCPLC,2022-02-16,220.9,220.9,218.3,218.7,84274.0
BSCPLC,2022-02-17,217.6,220.0,217.2,217.6,63355.0
BSCPLC,2022-02-20,215.7,216.7,205.0,210.9,195376.0
BSCPLC,2022-02-22,210.9,212.8,208.0,208.2,122425.0
BSCPLC,2022-02-23,208.2,211.4,207.0,210.2,68578.0
BSCPLC,2022-02-24,211.0,212.0,205.0,206.5,144258.0
BSCPLC,2022-02-27,204.0,207.0,200.0,206.2,208471.0
BSCPLC,2022-02-28,207.5,211.0,206.6,209.2,44297.0
BSCPLC,2022-03-01,209.5,210.2,206.4,208.6,40698.0
BSCPLC,2022-03-02,207.0,209.6,205.2,205.4,52204.0
BSCPLC,2022-03-03,203.1,206.0,201.4,203.2,83924.0
BSCPLC,2022-03-06,203.2,204.8,201.2,202.2,76046.0
BSCPLC,2022-03-07,201.2,201.2,194.1,194.6,95981.0
BSCPLC,2022-03-08,194.9,202.5,185.3,198.1,96581.0
BSCPLC,2022-03-09,203.2,204.7,199.0,203.5,79541.0
BSCPLC,2022-03-10,205.0,207.2,199.6,201.0,96786.0
BSCPLC,2022-03-13,201.3,208.2,201.3,207.8,86673.0
BSCPLC,2022-03-14,208.0,210.0,207.5,208.3,69001.0
BSCPLC,2022-03-15,208.3,209.0,206.4,208.7,49624.0
BSCPLC,2022-03-16,209.0,211.6,208.5,208.9,36072.0
BSCPLC,2022-03-20,208.9,208.9,204.8,204.8,64844.0
BSCPLC,2022-03-21,201.5,207.0,201.5,204.1,70591.0
BSCPLC,2022-03-22,206.0,209.3,205.3,208.9,65319.0
BSCPLC,2022-03-23,209.1,211.2,208.9,210.2,150403.0
BSCPLC,2022-03-24,210.2,211.0,209.0,209.3,34693.0
BSCPLC,2022-03-27,207.6,208.7,206.2,207.2,31038.0
BSCPLC,2022-03-28,206.4,210.5,206.4,208.8,77668.0
BSCPLC,2022-03-29,210.5,227.0,208.7,218.1,168699.0
BSCPLC,2022-03-30,217.5,217.8,213.8,213.8,73164.0
BSCPLC,2022-03-31,210.5,212.4,210.2,212.1,91576.0
BSCPLC,2022-04-03,210.9,217.0,210.9,214.9,80335.0
BSCPLC,2022-04-04,212.1,215.0,210.7,210.9,40863.0
BSCPLC,2022-04-05,210.0,212.0,209.6,211.1,54095.0
BSCPLC,2022-04-06,210.0,210.9,208.2,209.4,82929.0
BSCPLC,2022-04-07,208.4,215.5,208.0,213.8,63132.0
BSCPLC,2022-04-10,216.0,216.2,211.7,214.1,64055.0
BSCPLC,2022-04-11,216.2,216.2,213.0,214.4,105933.0
BSCPLC,2022-04-12,216.0,216.0,210.2,210.6,107118.0
BSCPLC,2022-04-13,215.0,215.0,207.3,211.6,65128.0
BSCPLC,2022-04-17,211.9,212.5,208.3,208.4,58890.0
BSCPLC,2022-04-18,208.0,210.0,204.6,207.7,97366.0
BSCPLC,2022-04-19,205.1,224.0,205.1,219.9,785917.0
BSCPLC,2022-04-20,219.9,223.0,217.5,222.6,260201.0
BSCPLC,2022-04-21,221.0,224.5,220.0,223.8,267674.0
BSCPLC,2022-04-24,223.8,228.2,222.4,227.3,482127.0
BSCPLC,2022-04-25,228.3,228.3,221.3,222.6,131445.0
BSCPLC,2022-04-26,226.0,227.1,222.4,226.3,301067.0
BSCPLC,2022-04-27,226.3,226.3,223.6,224.3,87412.0
BSCPLC,2022-04-28,222.7,222.7,217.9,221.3,139985.0
BSCPLC,2022-05-05,221.0,222.8,215.8,220.9,15559.0
BSCPLC,2022-05-08,220.0,220.7,217.0,218.0,118502.0
BSCPLC,2022-05-09,218.6,223.9,218.6,223.0,136331.0
BSCPLC,2022-05-10,223.0,224.5,218.4,220.1,163187.0
BSCPLC,2022-05-11,221.7,221.7,217.3,218.7,113503.0
BSCPLC,2022-05-12,219.0,219.5,214.1,218.0,75265.0
BSCPLC,2022-05-16,215.3,216.8,213.6,214.7,114913.0
BSCPLC,2022-05-17,208.2,219.6,208.2,213.5,78448.0
BSCPLC,2022-05-18,213.5,215.5,209.0,209.6,68898.0
BSCPLC,2022-05-19,203.3,211.0,203.3,209.3,51259.0
BSCPLC,2022-05-22,209.3,210.0,207.0,208.5,67315.0
BSCPLC,2022-05-23,214.8,216.0,210.0,214.0,89892.0
BSCPLC,2022-05-24,211.5,217.0,211.5,212.6,154417.0
BSCPLC,2022-05-25,212.5,215.0,212.5,213.2,124688.0
BSCPLC,2022-05-26,214.9,217.9,213.0,217.1,78049.0
BSCPLC,2022-05-29,218.0,219.4,216.9,218.5,161982.0
BSCPLC,2022-05-30,218.0,218.0,214.6,214.9,97133.0
BSCPLC,2022-05-31,215.0,218.0,214.1,217.4,133400.0
BSCPLC,2022-06-01,218.0,218.3,216.6,217.2,70890.0
BSCPLC,2022-06-02,217.0,218.3,214.1,214.7,120436.0
BSCPLC,2022-06-05,215.0,217.4,215.0,215.6,48987.0
BSCPLC,2022-06-06,217.4,217.4,212.0,213.0,119961.0
BSCPLC,2022-06-07,217.5,217.5,211.0,215.5,78216.0
BSCPLC,2022-06-08,217.6,218.0,215.3,216.0,89051.0
BSCPLC,2022-06-09,216.0,222.2,216.0,219.9,574557.0
BSCPLC,2022-06-12,216.0,220.2,216.0,217.9,216946.0
BSCPLC,2022-06-13,217.9,217.9,214.8,215.4,229563.0
BSCPLC,2022-06-14,214.3,216.9,213.0,213.7,72081.0
BSCPLC,2022-06-15,214.3,216.0,213.7,214.1,60482.0
BSCPLC,2022-06-16,219.9,219.9,213.4,216.5,57422.0
BSCPLC,2022-06-19,215.0,218.4,215.0,215.6,48724.0
BSCPLC,2022-06-20,215.2,216.9,214.5,215.2,93190.0
BSCPLC,2022-06-21,215.0,217.0,212.7,213.1,98055.0
BSCPLC,2022-06-22,209.2,214.0,209.0,213.1,38214.0
BSCPLC,2022-06-23,217.0,218.0,213.4,214.6,88824.0
BSCPLC,2022-06-26,214.6,214.6,212.3,212.6,67176.0
BSCPLC,2022-06-27,218.6,218.6,212.6,214.9,78501.0
BSCPLC,2022-06-28,215.3,216.0,214.2,214.7,80025.0
BSCPLC,2022-06-29,214.1,216.8,214.1,216.2,44327.0
BSCPLC,2022-06-30,214.7,222.0,214.7,219.1,180492.0
BSCPLC,2022-07-03,223.7,226.0,219.2,224.8,546500.0
BSCPLC,2022-07-04,225.0,225.7,221.3,221.6,126238.0
BSCPLC,2022-07-05,222.5,224.0,221.0,222.0,63968.0
BSCPLC,2022-07-06,224.0,224.0,221.0,221.3,64532.0
BSCPLC,2022-07-07,219.6,223.6,219.6,223.2,78242.0
BSCPLC,2022-07-12,222.4,222.7,220.0,220.4,63406.0
BSCPLC,2022-07-13,221.5,222.1,220.0,220.4,75608.0
BSCPLC,2022-07-14,220.9,223.9,219.6,222.1,65931.0
BSCPLC,2022-07-17,223.0,225.0,221.6,223.2,120014.0
BSCPLC,2022-07-18,223.2,223.2,218.8,218.8,205614.0
BSCPLC,2022-07-19,214.5,216.8,214.5,216.6,104326.0
BSCPLC,2022-07-20,216.6,233.7,215.5,224.8,296419.0
BSCPLC,2022-07-21,229.8,229.8,221.3,222.1,85237.0
BSCPLC,2022-07-24,221.0,221.0,217.7,217.7,63348.0
BSCPLC,2022-07-25,218.4,221.7,213.5,219.8,104353.0
BSCPLC,2022-07-26,220.2,224.9,217.6,218.9,39769.0
BSCPLC,2022-07-27,218.1,222.0,215.2,218.7,79494.0
BSCPLC,2022-07-28,229.8,229.8,217.0,219.6,78655.0
BSCPLC,2022-07-31,219.0,223.9,219.0,223.0,89093.0
BSCPLC,2022-08-01,223.0,225.0,222.5,223.1,107274.0
BSCPLC,2022-08-02,224.6,225.0,220.0,224.8,102386.0
BSCPLC,2022-08-03,225.0,227.9,221.3,222.9,200815.0
BSCPLC,2022-08-04,226.0,226.0,220.0,220.4,106503.0
BSCPLC,2022-08-07,219.0,224.9,219.0,219.9,108440.0
BSCPLC,2022-08-08,220.1,223.7,220.1,221.7,73796.0
BSCPLC,2022-08-10,221.7,222.7,218.9,219.1,116181.0
BSCPLC,2022-08-11,222.9,222.9,218.9,219.0,47469.0
BSCPLC,2022-08-14,219.2,221.9,219.0,219.9,22730.0
BSCPLC,2022-08-16,221.0,221.4,219.1,220.3,37757.0
BSCPLC,2022-08-17,219.5,223.0,219.5,220.5,44992.0
BSCPLC,2022-08-21,221.2,221.9,219.2,219.5,40863.0
BSCPLC,2022-08-22,220.0,222.9,219.9,221.8,115272.0
BSCPLC,2022-08-23,222.0,226.0,221.5,223.6,236716.0
BSCPLC,2022-08-24,223.9,228.4,223.9,226.3,908553.0
BSCPLC,2022-08-25,227.3,227.3,223.9,225.2,206578.0
BSCPLC,2022-08-28,223.3,225.8,220.1,220.8,364794.0
BSCPLC,2022-08-29,222.0,229.7,222.0,224.3,229199.0
BSCPLC,2022-08-30,226.5,226.5,223.0,223.5,234787.0
BSCPLC,2022-08-31,225.0,227.0,223.4,223.8,247392.0
BSCPLC,2022-09-01,226.4,226.4,222.0,222.6,202800.0
BSCPLC,2022-09-04,226.0,235.2,223.1,225.9,563379.0
BSCPLC,2022-09-05,226.1,231.5,224.2,229.6,270800.0
BSCPLC,2022-09-06,228.1,241.4,228.0,235.8,1279470.0
BSCPLC,2022-09-07,239.9,240.0,226.0,228.8,641805.0
BSCPLC,2022-09-08,232.0,232.0,225.9,226.5,351872.0
BSCPLC,2022-09-11,228.0,236.0,223.9,224.5,388821.0
BSCPLC,2022-09-12,224.4,228.0,223.9,226.1,196005.0
BSCPLC,2022-09-13,226.3,231.6,226.0,227.1,155892.0
BSCPLC,2022-09-14,228.3,239.0,227.7,232.5,1070628.0
BSCPLC,2022-09-15,232.5,234.8,228.5,229.6,501587.0
BSCPLC,2022-09-18,228.3,231.6,226.0,226.3,541804.0
BSCPLC,2022-09-19,227.1,239.0,227.0,235.6,887500.0
BSCPLC,2022-09-20,238.0,245.1,231.5,235.5,1098102.0
BSCPLC,2022-09-21,232.0,235.8,230.4,231.0,435880.0
BSCPLC,2022-09-22,233.0,237.0,230.0,232.2,488913.0
BSCPLC,2022-09-25,232.3,234.8,227.5,228.1,368324.0
BSCPLC,2022-09-26,228.1,232.0,227.0,230.3,336984.0
BSCPLC,2022-09-27,230.3,232.0,226.9,228.0,229327.0
BSCPLC,2022-09-28,226.8,229.8,225.0,225.4,200153.0
BSCPLC,2022-09-29,226.0,228.3,225.6,226.2,143443.0
BSCPLC,2022-10-02,227.5,230.9,226.0,227.9,284569.0
BSCPLC,2022-10-03,232.4,232.4,224.0,224.6,356263.0
BSCPLC,2022-10-04,226.0,226.0,220.8,221.4,496008.0
BSCPLC,2022-10-06,225.0,225.0,218.9,221.0,740982.0
BSCPLC,2022-10-10,223.7,223.7,218.9,219.0,965501.0
BSCPLC,2022-10-11,218.9,224.3,218.9,218.9,481247.0
BSCPLC,2022-10-12,218.9,218.9,218.9,218.9,130985.0
BSCPLC,2022-10-13,218.9,218.9,218.9,218.9,248230.0
BSCPLC,2022-10-16,218.9,223.8,218.9,220.2,468143.0
BSCPLC,2022-10-17,221.0,222.5,218.9,218.9,298276.0
BSCPLC,2022-10-18,218.9,218.9,218.9,218.9,91754.0
BSCPLC,2022-10-19,218.9,218.9,218.9,218.9,51400.0
BSCPLC,2022-10-20,218.9,218.9,218.9,218.9,69510.0
BSCPLC,2022-10-23,218.9,218.9,218.9,218.9,13944.0
BSCPLC,2022-10-24,218.9,218.9,218.9,218.9,552.0
BSCPLC,2022-10-25,218.9,218.9,218.9,218.9,2226.0
BSCPLC,2022-10-26,218.9,218.9,218.9,218.9,3212.0
BSCPLC,2022-10-27,218.9,218.9,218.9,218.9,221.0
BSCPLC,2022-10-30,218.9,218.9,218.9,218.9,3921.0
BSCPLC,2022-10-31,218.9,218.9,218.9,218.9,6924.0
BSCPLC,2022-11-01,218.9,218.9,218.9,218.9,57929.0
BSCPLC,2022-11-02,218.9,218.9,218.9,218.9,26868.0
BSCPLC,2022-11-03,218.9,218.9,218.9,218.9,26237.0
BSCPLC,2022-11-06,218.9,218.9,218.9,218.9,147153.0
BSCPLC,2022-11-08,218.9,218.9,218.9,218.9,548.0
BSCPLC,2022-11-09,218.9,218.9,218.9,218.9,821.0
BSCPLC,2022-11-10,218.9,218.9,218.9,218.9,710.0
BSCPLC,2022-11-13,218.9,218.9,218.9,218.9,16843.0
BSCPLC,2022-11-14,218.9,218.9,218.9,218.9,28251.0
BSCPLC,2022-11-15,218.9,218.9,218.9,218.9,1137.0
BSCPLC,2022-11-16,218.9,218.9,218.9,218.9,145.0
BSCPLC,2022-11-17,218.9,218.9,218.9,218.9,192.0
BSCPLC,2022-11-20,218.9,218.9,218.9,218.9,469.0
BSCPLC,2022-11-21,218.9,218.9,218.9,218.9,555.0
BSCPLC,2022-11-22,218.9,218.9,218.9,218.9,204.0
BSCPLC,2022-11-23,218.9,218.9,218.9,218.9,500.0
BSCPLC,2022-11-24,218.9,218.9,218.9,218.9,375.0
BSCPLC,2022-11-27,218.9,218.9,218.9,218.9,96.0
BSCPLC,2022-11-28,218.9,218.9,218.9,218.9,372.0
BSCPLC,2022-11-29,218.9,218.9,218.9,218.9,96.0
BSCPLC,2022-11-30,218.9,218.9,218.9,218.9,124.0
BSCPLC,2022-12-01,218.9,218.9,218.9,218.9,347.0
BSCPLC,2022-12-04,218.9,218.9,218.9,218.9,147.0
BSCPLC,2022-12-05,218.9,218.9,218.9,218.9,65.0
BSCPLC,2022-12-06,218.9,218.9,218.9,218.9,940.0
BSCPLC,2022-12-07,218.9,218.9,218.9,218.9,199.0
BSCPLC,2022-12-08,218.9,218.9,218.9,218.9,655.0
BSCPLC,2022-12-11,218.9,218.9,218.9,218.9,94.0
BSCPLC,2022-12-12,218.9,218.9,218.9,218.9,179.0
BSCPLC,2022-12-13,218.9,218.9,218.9,218.9,2002.0
BSCPLC,2022-12-14,218.9,218.9,218.9,218.9,639.0
BSCPLC,2022-12-15,218.9,218.9,218.9,218.9,1109.0
BSCPLC,2022-12-18,218.9,218.9,218.9,218.9,156.0
BSCPLC,2022-12-19,218.9,218.9,218.9,218.9,2.0
BSCPLC,2022-12-20,218.9,218.9,218.9,218.9,110.0
BSCPLC,2022-12-21,218.9,218.9,218.9,218.9,50.0
BSCPLC,2022-12-22,218.9,218.9,218.9,218.9,706.0
BSCPLC,2022-12-26,218.9,218.9,218.9,218.9,34.0
BSCPLC,2022-12-27,218.9,218.9,218.9,218.9,157.0
BSCPLC,2022-12-28,218.9,218.9,218.9,218.9,9009.0
BSCPLC,2022-12-29,218.9,218.9,218.9,218.9,474.0
BSCPLC,2023-01-01,218.9,218.9,218.9,218.9,181.0
BSCPLC,2023-01-02,218.9,218.9,218.9,218.9,5.0
BSCPLC,2023-01-03,218.9,218.9,218.9,218.9,60.0
BSCPLC,2023-01-04,218.9,218.9,218.9,218.9,388.0
BSCPLC,2023-01-05,218.9,218.9,218.9,218.9,26.0
BSCPLC,2023-01-08,218.9,218.9,218.9,218.9,909.0
BSCPLC,2023-01-09,218.9,218.9,218.9,218.9,9.0
BSCPLC,2023-01-10,218.9,218.9,218.9,218.9,169.0
BSCPLC,2023-01-11,218.9,218.9,218.9,218.9,217.0
BSCPLC,2023-01-12,218.9,218.9,218.9,218.9,40.0
BSCPLC,2023-01-15,218.9,218.9,218.9,218.9,1691.0
BSCPLC,2023-01-16,218.9,218.9,218.9,218.9,351.0
BSCPLC,2023-01-17,218.9,218.9,218.9,218.9,13156.0
BSCPLC,2023-01-18,218.9,218.9,218.9,218.9,663.0
BSCPLC,2023-01-19,218.9,218.9,218.9,218.9,2543.0
BSCPLC,2023-01-22,218.9,218.9,218.9,218.9,300.0
BSCPLC,2023-01-23,218.9,218.9,218.9,218.9,1537.0
BSCPLC,2023-01-24,218.9,218.9,218.9,218.9,161.0
BSCPLC,2023-01-25,218.9,218.9,218.9,218.9,2565.0
BSCPLC,2023-01-26,218.9,218.9,218.9,218.9,53.0
BSCPLC,2023-01-29,218.9,218.9,218.9,218.9,108.0
BSCPLC,2023-01-30,218.9,218.9,218.9,218.9,419.0
BSCPLC,2023-01-31,218.9,218.9,218.9,218.9,1462.0
BSCPLC,2023-02-01,218.9,218.9,218.9,218.9,529.0
BSCPLC,2023-02-02,218.9,218.9,218.9,218.9,1098.0
BSCPLC,2023-02-05,218.9,218.9,218.9,218.9,6524.0
BSCPLC,2023-02-06,218.9,218.9,218.9,218.9,430.0
BSCPLC,2023-02-07,218.9,218.9,218.9,218.9,264.0
BSCPLC,2023-02-08,218.9,218.9,218.9,218.9,545.0
