symbol,date,open,high,low,close,volume
BSRMSTEEL,2022-01-02,71.6,72.0,71.0,71.4,67307.0
BSRMSTEEL,2022-01-03,72.0,72.5,71.1,71.4,157998.0
BSRMSTEEL,2022-01-04,71.4,72.5,71.4,71.9,78470.0
BSRMSTEEL,2022-01-05,72.4,72.9,72.0,72.8,87127.0
BSRMSTEEL,2022-01-06,72.4,73.6,72.1,73.2,180960.0
BSRMSTEEL,2022-01-09,73.3,74.2,73.0,73.0,149290.0
BSRMSTEEL,2022-01-10,73.3,77.1,72.7,75.8,575542.0
BSRMSTEEL,2022-01-11,76.9,77.6,75.3,75.4,474510.0
BSRMSTEEL,2022-01-12,75.8,75.9,72.1,73.5,233950.0
BSRMSTEEL,2022-01-13,74.0,75.0,73.3,74.5,99805.0
BSRMSTEEL,2022-01-16,74.0,75.7,74.0,75.2,167609.0
BSRMSTEEL,2022-01-17,75.3,77.7,75.3,76.1,449690.0
BSRMSTEEL,2022-01-18,76.2,78.2,76.2,77.2,461017.0
BSRMSTEEL,2022-01-19,77.9,79.9,77.8,78.3,1255765.0
BSRMSTEEL,2022-01-20,78.7,79.2,77.8,78.0,575285.0
BSRMSTEEL,2022-01-23,77.8,79.2,76.2,77.9,513191.0
BSRMSTEEL,2022-01-24,77.2,78.6,76.5,77.2,446384.0
BSRMSTEEL,2022-01-25,77.9,79.4,76.6,79.1,402879.0
BSRMSTEEL,2022-01-26,79.4,79.9,78.1,78.8,238108.0
BSRMSTEEL,2022-01-27,79.9,79.9,76.8,77.4,466609.0
BSRMSTEEL,2022-01-30,77.5,77.5,75.3,76.0,339957.0
BSRMSTEEL,2022-01-31,76.1,76.3,75.5,75.7,288006.0
BSRMSTEEL,2022-02-01,74.7,77.5,74.7,77.1,132679.0
BSRMSTEEL,2022-02-02,77.4,77.6,76.5,76.8,126326.0
BSRMSTEEL,2022-02-03,76.5,77.2,75.1,75.5,164594.0
BSRMSTEEL,2022-02-06,76.0,77.0,75.5,76.2,145833.0
BSRMSTEEL,2022-02-07,76.2,76.5,75.7,75.9,79684.0
BSRMSTEEL,2022-02-08,76.0,76.5,75.5,76.3,101860.0
BSRMSTEEL,2022-02-09,76.3,77.3,75.8,76.4,177723.0
BSRMSTEEL,2022-02-10,76.1,77.0,76.1,76.8,139592.0
BSRMSTEEL,2022-02-13,77.0,77.0,76.0,76.5,168436.0
BSRMSTEEL,2022-02-14,76.2,76.8,76.0,76.4,84565.0
BSRMSTEEL,2022-02-15,76.1,76.9,75.8,76.3,203220.0
BSRMSTEEL,2022-02-16,76.1,77.0,76.1,76.8,111736.0
BSRMSTEEL,2022-02-17,76.4,77.4,76.4,76.6,188792.0
BSRMSTEEL,2022-02-20,76.3,76.9,75.8,76.3,261271.0
BSRMSTEEL,2022-02-22,76.1,76.5,75.6,75.9,216051.0
BSRMSTEEL,2022-02-23,75.7,76.4,75.7,76.2,76097.0
BSRMSTEEL,2022-02-24,77.2,77.2,73.7,73.9,410170.0
BSRMSTEEL,2022-02-27,73.8,73.8,72.3,72.8,234588.0
BSRMSTEEL,2022-02-28,72.8,73.9,72.8,73.1,103294.0
BSRMSTEEL,2022-03-01,73.3,73.8,72.8,72.8,135233.0
BSRMSTEEL,2022-03-02,72.8,73.0,71.5,71.8,221333.0
BSRMSTEEL,2022-03-03,71.8,71.8,70.9,71.1,211978.0
BSRMSTEEL,2022-03-06,71.2,72.5,70.8,70.9,37898.0
BSRMSTEEL,2022-03-07,70.9,71.3,68.2,68.3,83903.0
BSRMSTEEL,2022-03-08,69.0,69.5,66.0,68.6,110180.0
BSRMSTEEL,2022-03-09,69.0,72.0,69.0,71.6,100391.0
BSRMSTEEL,2022-03-10,72.7,75.0,71.2,72.2,133789.0
BSRMSTEEL,2022-03-13,73.2,74.6,72.4,74.1,53777.0
BSRMSTEEL,2022-03-14,74.1,74.7,73.8,74.4,42871.0
BSRMSTEEL,2022-03-15,74.4,74.4,73.8,74.2,32944.0
BSRMSTEEL,2022-03-16,74.3,74.5,73.6,73.8,45561.0
BSRMSTEEL,2022-03-20,74.7,74.7,72.7,73.0,50137.0
BSRMSTEEL,2022-03-21,72.6,73.3,72.0,72.2,78717.0
BSRMSTEEL,2022-03-22,73.4,73.5,72.9,73.3,104731.0
BSRMSTEEL,2022-03-23,73.5,74.1,73.2,73.7,57864.0
BSRMSTEEL,2022-03-24,73.7,74.0,73.5,73.8,99741.0
BSRMSTEEL,2022-03-27,73.5,75.6,73.5,75.0,269756.0
BSRMSTEEL,2022-03-28,75.0,76.0,74.7,75.8,266220.0
BSRMSTEEL,2022-03-29,76.0,76.9,74.8,75.0,244426.0
BSRMSTEEL,2022-03-30,75.3,76.0,75.1,75.7,100862.0
BSRMSTEEL,2022-03-31,75.5,75.8,74.2,75.2,173689.0
BSRMSTEEL,2022-04-03,75.3,77.0,75.3,76.9,327134.0
BSRMSTEEL,2022-04-04,76.5,77.1,76.0,76.9,305495.0
BSRMSTEEL,2022-04-05,76.5,78.0,76.1,77.6,455675.0
BSRMSTEEL,2022-04-06,78.1,78.1,76.5,77.6,171060.0
BSRMSTEEL,2022-04-07,77.4,77.8,76.9,77.5,221035.0
BSRMSTEEL,2022-04-10,77.5,77.9,77.0,77.6,398401.0
BSRMSTEEL,2022-04-11,77.8,79.2,77.5,78.1,525166.0
BSRMSTEEL,2022-04-12,77.8,77.8,76.9,77.0,168593.0
BSRMSTEEL,2022-04-13,77.9,77.9,75.9,77.6,480289.0
BSRMSTEEL,2022-04-17,76.8,77.3,76.6,76.9,79320.0
BSRMSTEEL,2022-04-18,76.7,76.7,75.7,76.1,137575.0
BSRMSTEEL,2022-04-19,74.7,76.9,74.6,76.2,104835.0
BSRMSTEEL,2022-04-20,76.4,78.0,76.4,77.7,243117.0
BSRMSTEEL,2022-04-21,77.2,78.9,77.1,78.4,225322.0
BSRMSTEEL,2022-04-24,78.4,79.0,77.6,78.0,146795.0
BSRMSTEEL,2022-04-25,77.8,78.6,77.7,78.0,94296.0
BSRMSTEEL,2022-04-26,77.0,77.2,75.2,76.0,142918.0
BSRMSTEEL,2022-04-27,76.1,76.7,75.8,76.2,106055.0
BSRMSTEEL,2022-04-28,75.9,76.4,75.9,76.1,72885.0
BSRMSTEEL,2022-05-05,76.0,76.7,75.6,75.9,90912.0
BSRMSTEEL,2022-05-08,75.3,76.8,75.3,75.9,98459.0
BSRMSTEEL,2022-05-09,76.0,76.4,75.3,75.8,478699.0
BSRMSTEEL,2022-05-10,76.5,77.0,75.6,75.9,247408.0
BSRMSTEEL,2022-05-11,76.4,76.4,75.0,75.3,310160.0
BSRMSTEEL,2022-05-12,75.2,75.8,74.2,74.9,117301.0
BSRMSTEEL,2022-05-16,74.6,75.7,73.0,73.9,235498.0
BSRMSTEEL,2022-05-17,74.0,74.1,71.5,72.9,363600.0
BSRMSTEEL,2022-05-18,72.6,74.7,69.3,70.3,238186.0
BSRMSTEEL,2022-05-19,70.0,70.9,68.3,68.6,216215.0
BSRMSTEEL,2022-05-22,68.7,68.7,65.2,66.0,180158.0
BSRMSTEEL,2022-05-23,68.7,68.9,66.9,68.5,213276.0
BSRMSTEEL,2022-05-24,69.0,69.0,65.5,66.3,350144.0
BSRMSTEEL,2022-05-25,66.4,67.3,65.9,66.9,66913.0
BSRMSTEEL,2022-05-26,67.1,67.1,66.0,66.4,185278.0
BSRMSTEEL,2022-05-29,70.0,70.0,67.0,68.0,377488.0
BSRMSTEEL,2022-05-30,69.3,69.3,67.3,67.5,298243.0
BSRMSTEEL,2022-05-31,68.3,68.3,66.9,67.2,157540.0
BSRMSTEEL,2022-06-01,67.6,67.7,66.9,67.3,187376.0
BSRMSTEEL,2022-06-02,68.7,68.7,66.5,67.1,357878.0
BSRMSTEEL,2022-06-05,67.1,67.8,65.8,67.0,221189.0
BSRMSTEEL,2022-06-06,67.4,68.2,66.9,67.4,300877.0
BSRMSTEEL,2022-06-07,67.4,68.2,67.2,67.9,141477.0
BSRMSTEEL,2022-06-08,68.3,69.5,68.0,69.0,178507.0
BSRMSTEEL,2022-06-09,69.2,69.3,68.0,68.2,135434.0
BSRMSTEEL,2022-06-12,68.0,68.2,67.2,67.4,151131.0
BSRMSTEEL,2022-06-13,68.3,68.3,66.8,67.2,72319.0
BSRMSTEEL,2022-06-14,68.1,68.1,66.7,67.0,107615.0
BSRMSTEEL,2022-06-15,67.1,67.5,67.0,67.3,43269.0
BSRMSTEEL,2022-06-16,67.5,67.5,66.5,67.2,154515.0
BSRMSTEEL,2022-06-19,67.2,67.9,66.5,66.8,93930.0
BSRMSTEEL,2022-06-20,67.9,67.9,66.4,66.6,88920.0
BSRMSTEEL,2022-06-21,66.2,66.6,66.1,66.2,41689.0
BSRMSTEEL,2022-06-22,66.3,66.6,66.0,66.2,75762.0
BSRMSTEEL,2022-06-23,67.3,68.0,66.5,66.9,49030.0
BSRMSTEEL,2022-06-26,66.5,67.2,66.5,66.8,52124.0
BSRMSTEEL,2022-06-27,66.8,67.2,66.1,66.3,79027.0
BSRMSTEEL,2022-06-28,67.0,67.4,66.4,66.7,39677.0
BSRMSTEEL,2022-06-29,67.3,67.5,66.0,66.3,255131.0
BSRMSTEEL,2022-06-30,66.3,67.7,66.3,67.2,138218.0
BSRMSTEEL,2022-07-03,67.0,67.2,66.8,66.9,38781.0
BSRMSTEEL,2022-07-04,68.0,68.0,66.8,67.0,52896.0
BSRMSTEEL,2022-07-05,67.3,67.7,66.5,67.0,75782.0
BSRMSTEEL,2022-07-06,67.0,67.5,66.7,66.9,54641.0
BSRMSTEEL,2022-07-07,66.5,67.5,66.5,67.1,40291.0
BSRMSTEEL,2022-07-12,66.1,67.8,66.0,67.1,86362.0
BSRMSTEEL,2022-07-13,67.0,67.1,66.1,66.4,80330.0
BSRMSTEEL,2022-07-14,67.0,67.8,66.3,67.4,98306.0
BSRMSTEEL,2022-07-17,67.9,67.9,66.7,67.2,33508.0
BSRMSTEEL,2022-07-18,67.7,67.7,65.9,65.9,62245.0
BSRMSTEEL,2022-07-19,64.6,65.5,64.6,64.7,114235.0
BSRMSTEEL,2022-07-20,65.8,65.8,63.6,63.9,148208.0
BSRMSTEEL,2022-07-21,66.0,66.0,63.9,64.3,47518.0
BSRMSTEEL,2022-07-24,65.8,65.8,63.3,63.4,50595.0
