symbol,date,open,high,low,close,volume
BXPHARMA,2022-01-02,194.0,199.5,194.0,197.2,413612.0
BXPHARMA,2022-01-03,201.0,203.8,198.5,199.8,852376.0
BXPHARMA,2022-01-04,199.0,201.0,197.0,200.5,878445.0
BXPHARMA,2022-01-05,201.0,201.7,196.0,196.9,579851.0
BXPHARMA,2022-01-06,197.2,201.0,195.5,196.3,578730.0
BXPHARMA,2022-01-09,200.3,200.3,192.0,193.4,758992.0
BXPHARMA,2022-01-10,195.2,199.0,192.0,197.9,556270.0
BXPHARMA,2022-01-11,197.0,205.0,197.0,200.6,839456.0
BXPHARMA,2022-01-12,202.8,202.8,196.7,197.1,496611.0
BXPHARMA,2022-01-13,197.2,199.0,197.0,198.1,214690.0
BXPHARMA,2022-01-16,198.2,199.5,193.0,194.4,631368.0
BXPHARMA,2022-01-17,196.0,196.0,193.3,194.8,359527.0
BXPHARMA,2022-01-18,196.9,196.9,192.3,192.7,544802.0
BXPHARMA,2022-01-19,194.9,199.4,192.6,196.1,362826.0
BXPHARMA,2022-01-20,197.0,202.4,197.0,200.8,536647.0
BXPHARMA,2022-01-23,205.7,211.8,200.1,203.0,1225942.0
BXPHARMA,2022-01-24,204.2,204.2,195.5,197.1,374139.0
BXPHARMA,2022-01-25,199.3,199.8,195.3,196.2,284067.0
BXPHARMA,2022-01-26,199.0,199.0,195.9,196.2,241540.0
BXPHARMA,2022-01-27,196.3,201.5,196.3,198.4,256996.0
BXPHARMA,2022-01-30,201.4,203.0,196.0,196.4,412772.0
BXPHARMA,2022-01-31,198.9,199.0,194.7,195.3,646470.0
BXPHARMA,2022-02-01,197.0,197.6,195.2,196.0,330041.0
BXPHARMA,2022-02-02,196.8,198.9,196.0,196.1,380521.0
BXPHARMA,2022-02-03,196.6,197.9,195.6,196.3,412055.0
BXPHARMA,2022-02-06,196.4,199.8,196.3,197.9,374295.0
BXPHARMA,2022-02-07,199.0,201.5,197.5,197.7,830095.0
BXPHARMA,2022-02-08,197.4,199.4,196.1,197.3,341154.0
BXPHARMA,2022-02-09,197.3,198.9,197.3,198.7,234305.0
BXPHARMA,2022-02-10,198.8,199.6,196.0,196.3,408055.0
BXPHARMA,2022-02-13,197.0,197.9,193.7,195.0,403438.0
BXPHARMA,2022-02-14,195.2,197.0,193.5,194.1,312927.0
BXPHARMA,2022-02-15,194.5,194.7,192.9,193.3,1131477.0
BXPHARMA,2022-02-16,195.0,198.5,193.3,196.4,823889.0
BXPHARMA,2022-02-17,196.7,196.7,191.5,192.7,442797.0
BXPHARMA,2022-02-20,192.7,192.7,190.5,190.9,188759.0
BXPHARMA,2022-02-22,191.0,191.8,189.6,189.8,242526.0
BXPHARMA,2022-02-23,190.0,195.6,189.1,190.9,496107.0
BXPHARMA,2022-02-24,192.5,193.1,187.7,188.2,923365.0
BXPHARMA,2022-02-27,189.1,189.1,185.0,185.2,511015.0
BXPHARMA,2022-02-28,185.2,190.0,185.2,186.5,581182.0
BXPHARMA,2022-03-01,187.2,191.0,186.9,188.0,302638.0
BXPHARMA,2022-03-02,190.9,191.3,186.8,187.1,335187.0
BXPHARMA,2022-03-03,186.3,187.0,185.0,186.4,185626.0
BXPHARMA,2022-03-06,186.0,188.0,182.8,183.8,319954.0
BXPHARMA,2022-03-07,183.0,183.0,175.5,176.2,498228.0
BXPHARMA,2022-03-08,176.7,179.9,170.5,177.5,536302.0
BXPHARMA,2022-03-09,181.8,184.7,177.7,178.7,507762.0
BXPHARMA,2022-03-10,180.9,182.2,176.4,178.2,405913.0
BXPHARMA,2022-03-13,179.3,182.4,178.7,181.3,226711.0
BXPHARMA,2022-03-14,182.0,182.0,177.8,178.6,294038.0
BXPHARMA,2022-03-15,178.8,180.8,178.3,179.0,218568.0
BXPHARMA,2022-03-16,181.7,181.7,177.4,177.9,193932.0
BXPHARMA,2022-03-20,181.5,182.3,177.1,177.9,270944.0
BXPHARMA,2022-03-21,177.9,180.2,177.6,179.4,156396.0
BXPHARMA,2022-03-22,180.6,187.9,179.3,185.1,611000.0
BXPHARMA,2022-03-23,186.3,188.1,182.6,183.1,259695.0
BXPHARMA,2022-03-24,183.0,184.0,181.3,182.3,731145.0
BXPHARMA,2022-03-27,182.9,183.0,180.7,181.1,133720.0
BXPHARMA,2022-03-28,182.0,182.9,177.5,178.0,544780.0
BXPHARMA,2022-03-29,178.1,179.9,177.0,177.3,288864.0
BXPHARMA,2022-03-30,179.5,179.5,176.5,176.8,270628.0
BXPHARMA,2022-03-31,178.9,178.9,175.0,176.2,417604.0
BXPHARMA,2022-04-03,176.4,178.9,176.1,176.6,142605.0
BXPHARMA,2022-04-04,177.0,177.0,173.1,173.9,211472.0
BXPHARMA,2022-04-05,173.1,173.9,171.0,171.4,311660.0
BXPHARMA,2022-04-06,173.5,173.5,168.2,170.8,369596.0
BXPHARMA,2022-04-07,170.8,171.4,168.0,168.5,394688.0
BXPHARMA,2022-04-10,170.0,172.8,168.4,169.3,208598.0
