symbol,date,open,high,low,close,volume
CAPMBDBLMF,2022-01-02,10.0,10.2,9.9,10.1,139624.0
CAPMBDBLMF,2022-01-03,10.1,10.7,10.0,10.5,286893.0
CAPMBDBLMF,2022-01-04,10.4,10.7,10.2,10.3,157463.0
CAPMBDBLMF,2022-01-05,10.3,10.3,10.1,10.2,238240.0
CAPMBDBLMF,2022-01-06,10.3,10.4,10.1,10.1,259048.0
CAPMBDBLMF,2022-01-09,10.3,10.3,10.0,10.1,95139.0
CAPMBDBLMF,2022-01-10,10.1,10.2,9.9,10.0,258865.0
CAPMBDBLMF,2022-01-11,10.0,10.8,10.0,10.6,1136969.0
CAPMBDBLMF,2022-01-12,10.4,11.0,10.4,10.6,818646.0
CAPMBDBLMF,2022-01-13,10.6,10.7,10.5,10.5,259842.0
CAPMBDBLMF,2022-01-16,10.5,10.5,10.2,10.3,54761.0
CAPMBDBLMF,2022-01-17,10.1,10.4,10.1,10.2,258936.0
CAPMBDBLMF,2022-01-18,10.3,10.4,10.2,10.3,32976.0
CAPMBDBLMF,2022-01-19,10.2,10.4,10.1,10.1,97451.0
CAPMBDBLMF,2022-01-20,10.3,10.3,10.2,10.2,62958.0
CAPMBDBLMF,2022-01-23,10.2,10.2,10.1,10.1,116073.0
CAPMBDBLMF,2022-01-24,10.1,10.3,10.1,10.2,156671.0
CAPMBDBLMF,2022-01-25,10.2,10.2,10.1,10.1,187798.0
CAPMBDBLMF,2022-01-26,10.1,10.2,10.1,10.1,74130.0
CAPMBDBLMF,2022-01-27,10.1,10.1,10.0,10.0,84217.0
CAPMBDBLMF,2022-01-30,10.0,10.0,9.8,9.9,110295.0
CAPMBDBLMF,2022-01-31,9.8,9.9,9.6,9.7,264375.0
CAPMBDBLMF,2022-02-01,9.8,9.9,9.7,9.7,37716.0
CAPMBDBLMF,2022-02-02,9.8,9.8,9.7,9.8,80430.0
CAPMBDBLMF,2022-02-03,9.8,9.9,9.7,9.7,47740.0
CAPMBDBLMF,2022-02-06,9.9,10.0,9.9,10.0,74929.0
CAPMBDBLMF,2022-02-07,10.0,10.0,9.9,9.9,23810.0
CAPMBDBLMF,2022-02-08,9.9,10.0,9.8,9.9,148560.0
CAPMBDBLMF,2022-02-09,9.9,10.1,9.9,10.0,83480.0
CAPMBDBLMF,2022-02-10,10.0,10.0,9.9,9.9,54229.0
CAPMBDBLMF,2022-02-13,9.9,10.0,9.8,10.0,95598.0
CAPMBDBLMF,2022-02-14,10.0,10.0,9.8,9.9,146030.0
CAPMBDBLMF,2022-02-15,9.8,9.9,9.8,9.9,32328.0
CAPMBDBLMF,2022-02-16,9.9,10.0,9.8,9.9,25551.0
CAPMBDBLMF,2022-02-17,9.9,9.9,9.8,9.9,19900.0
CAPMBDBLMF,2022-02-20,9.9,10.0,9.7,9.9,90790.0
CAPMBDBLMF,2022-02-22,9.9,9.9,9.8,9.8,27500.0
CAPMBDBLMF,2022-02-23,9.8,9.9,9.8,9.8,191089.0
CAPMBDBLMF,2022-02-24,9.8,9.8,9.6,9.6,130731.0
CAPMBDBLMF,2022-02-27,9.5,9.5,9.5,9.5,44370.0
CAPMBDBLMF,2022-02-28,9.5,9.7,9.4,9.5,24066.0
CAPMBDBLMF,2022-03-01,9.6,9.7,9.5,9.6,67650.0
CAPMBDBLMF,2022-03-02,9.5,9.7,9.4,9.6,81085.0
CAPMBDBLMF,2022-03-03,9.6,9.7,9.5,9.6,52001.0
CAPMBDBLMF,2022-03-06,9.8,10.2,9.8,10.0,841410.0
CAPMBDBLMF,2022-03-07,9.8,9.8,9.6,9.6,76800.0
CAPMBDBLMF,2022-03-08,9.6,9.6,9.2,9.3,493125.0
CAPMBDBLMF,2022-03-09,9.5,9.6,9.4,9.6,78640.0
CAPMBDBLMF,2022-03-10,9.5,9.7,9.5,9.6,154120.0
CAPMBDBLMF,2022-03-13,9.8,9.9,9.7,9.9,84294.0
CAPMBDBLMF,2022-03-14,10.0,10.2,9.9,10.1,396077.0
CAPMBDBLMF,2022-03-15,10.2,11.0,10.1,10.6,861286.0
CAPMBDBLMF,2022-03-16,10.7,10.7,10.4,10.4,233475.0
CAPMBDBLMF,2022-03-20,10.4,10.4,10.2,10.2,139091.0
CAPMBDBLMF,2022-03-21,10.0,10.1,10.0,10.0,182295.0
CAPMBDBLMF,2022-03-22,10.0,10.2,9.8,10.0,42357.0
CAPMBDBLMF,2022-03-23,10.0,10.0,9.9,9.9,94925.0
CAPMBDBLMF,2022-03-24,10.0,10.0,9.8,9.9,16397.0
CAPMBDBLMF,2022-03-27,10.0,10.1,9.9,10.0,23354.0
CAPMBDBLMF,2022-03-28,10.0,10.0,9.8,10.0,215901.0
CAPMBDBLMF,2022-03-29,10.0,10.1,9.8,10.0,124565.0
CAPMBDBLMF,2022-03-30,10.0,10.1,9.9,10.0,34922.0
CAPMBDBLMF,2022-03-31,10.1,10.2,10.0,10.1,161075.0
CAPMBDBLMF,2022-04-03,10.2,11.1,10.2,11.0,1997314.0
CAPMBDBLMF,2022-04-04,11.0,11.5,11.0,11.2,1411162.0
CAPMBDBLMF,2022-04-05,11.1,11.1,11.0,11.0,125791.0
CAPMBDBLMF,2022-04-06,10.9,11.2,10.8,11.2,523310.0
CAPMBDBLMF,2022-04-07,11.0,11.2,11.0,11.1,164458.0
CAPMBDBLMF,2022-04-10,11.1,11.1,10.9,11.0,326639.0
CAPMBDBLMF,2022-04-11,11.0,11.0,10.8,10.8,172713.0
CAPMBDBLMF,2022-04-12,10.8,10.8,10.6,10.6,66203.0
CAPMBDBLMF,2022-04-13,10.4,10.4,10.4,10.4,121866.0
CAPMBDBLMF,2022-04-17,10.6,10.6,10.2,10.2,201690.0
CAPMBDBLMF,2022-04-18,10.0,10.0,10.0,10.0,98175.0
CAPMBDBLMF,2022-04-19,9.8,10.4,9.8,10.1,380461.0
CAPMBDBLMF,2022-04-20,10.4,10.5,10.1,10.2,83825.0
CAPMBDBLMF,2022-04-21,10.3,10.5,9.9,10.4,175631.0
CAPMBDBLMF,2022-04-24,10.5,10.6,10.3,10.4,97245.0
CAPMBDBLMF,2022-04-25,10.4,10.5,10.2,10.2,40852.0
CAPMBDBLMF,2022-04-26,10.1,10.4,10.0,10.1,205111.0
CAPMBDBLMF,2022-04-27,10.2,10.2,10.1,10.1,47301.0
CAPMBDBLMF,2022-04-28,10.2,10.2,10.0,10.0,109877.0
CAPMBDBLMF,2022-05-05,10.2,10.2,9.9,10.1,15854.0
CAPMBDBLMF,2022-05-08,10.2,10.2,9.8,9.9,339036.0
CAPMBDBLMF,2022-05-09,10.1,10.3,10.0,10.2,83284.0
CAPMBDBLMF,2022-05-10,10.2,10.2,10.0,10.0,81612.0
CAPMBDBLMF,2022-05-11,10.1,10.1,9.9,9.9,99676.0
CAPMBDBLMF,2022-05-12,9.9,10.1,9.9,10.0,50062.0
CAPMBDBLMF,2022-05-16,10.0,10.0,9.8,9.9,171849.0
CAPMBDBLMF,2022-05-17,9.9,10.0,9.6,9.6,49676.0
CAPMBDBLMF,2022-05-18,9.9,9.9,9.3,9.6,188413.0
CAPMBDBLMF,2022-05-19,9.5,9.6,9.2,9.2,235157.0
CAPMBDBLMF,2022-05-22,9.8,9.8,8.8,8.9,213542.0
CAPMBDBLMF,2022-05-23,9.6,9.6,9.0,9.2,118555.0
CAPMBDBLMF,2022-05-24,9.6,9.6,8.9,9.0,60103.0
CAPMBDBLMF,2022-05-25,9.3,9.4,8.9,9.3,87119.0
CAPMBDBLMF,2022-05-26,9.3,9.4,9.3,9.4,70882.0
CAPMBDBLMF,2022-05-29,9.5,9.6,9.5,9.6,127994.0
CAPMBDBLMF,2022-05-30,9.8,9.8,9.5,9.5,102994.0
CAPMBDBLMF,2022-05-31,9.5,9.8,9.4,9.7,490353.0
CAPMBDBLMF,2022-06-01,9.8,10.0,9.8,9.9,436825.0
CAPMBDBLMF,2022-06-02,10.2,10.2,9.8,9.9,139052.0
CAPMBDBLMF,2022-06-05,10.1,10.1,9.8,9.9,173890.0
CAPMBDBLMF,2022-06-06,10.0,10.2,9.9,10.1,265516.0
CAPMBDBLMF,2022-06-07,10.2,10.3,10.0,10.3,104797.0
CAPMBDBLMF,2022-06-08,10.5,11.3,10.4,11.3,2792530.0
CAPMBDBLMF,2022-06-09,11.3,11.3,11.1,11.1,216341.0
CAPMBDBLMF,2022-06-12,10.9,10.9,10.9,10.9,5519.0
CAPMBDBLMF,2022-06-13,10.7,10.7,10.7,10.7,20019.0
CAPMBDBLMF,2022-06-14,10.5,10.5,10.5,10.5,110244.0
CAPMBDBLMF,2022-06-15,10.3,10.9,10.3,10.4,965271.0
CAPMBDBLMF,2022-06-16,11.3,11.3,10.5,10.6,217804.0
CAPMBDBLMF,2022-06-19,10.7,10.8,10.4,10.4,390630.0
CAPMBDBLMF,2022-06-20,10.2,10.5,10.2,10.2,169717.0
CAPMBDBLMF,2022-06-21,10.7,10.7,10.0,10.0,84454.0
CAPMBDBLMF,2022-06-22,10.4,10.4,10.0,10.2,167438.0
CAPMBDBLMF,2022-06-23,10.6,10.6,10.2,10.3,72400.0
CAPMBDBLMF,2022-06-26,10.7,10.7,10.1,10.1,185974.0
CAPMBDBLMF,2022-06-27,10.4,10.6,10.1,10.5,200440.0
CAPMBDBLMF,2022-06-28,10.5,10.5,10.3,10.5,202955.0
CAPMBDBLMF,2022-06-29,11.3,11.3,10.5,10.7,315116.0
CAPMBDBLMF,2022-06-30,10.5,10.8,10.5,10.5,153643.0
CAPMBDBLMF,2022-07-03,11.3,11.3,10.4,10.7,163094.0
CAPMBDBLMF,2022-07-04,11.1,11.2,10.5,10.6,57604.0
CAPMBDBLMF,2022-07-05,11.3,11.3,10.4,10.4,640399.0
CAPMBDBLMF,2022-07-06,11.3,11.3,10.2,10.2,70351.0
CAPMBDBLMF,2022-07-07,10.7,10.7,10.3,10.5,149945.0
CAPMBDBLMF,2022-07-12,11.0,11.0,10.4,10.4,50409.0
CAPMBDBLMF,2022-07-13,10.7,10.7,10.3,10.4,127710.0
CAPMBDBLMF,2022-07-14,10.7,10.7,10.2,10.3,41046.0
CAPMBDBLMF,2022-07-17,10.7,10.7,10.2,10.2,55923.0
CAPMBDBLMF,2022-07-18,10.7,10.7,10.0,10.0,206842.0
CAPMBDBLMF,2022-07-19,10.4,10.4,9.8,9.9,74624.0
CAPMBDBLMF,2022-07-20,10.2,10.2,9.8,9.8,111542.0
CAPMBDBLMF,2022-07-21,10.4,10.4,9.8,9.9,84231.0
CAPMBDBLMF,2022-07-24,10.5,10.5,9.8,9.9,29051.0
CAPMBDBLMF,2022-07-25,10.0,10.2,9.8,9.9,101856.0
CAPMBDBLMF,2022-07-26,10.2,10.4,10.1,10.2,110865.0
CAPMBDBLMF,2022-07-27,10.4,10.6,10.2,10.5,297400.0
CAPMBDBLMF,2022-07-28,10.6,10.6,10.3,10.3,109565.0
CAPMBDBLMF,2022-07-31,11.0,11.0,10.2,10.3,51474.0
CAPMBDBLMF,2022-08-01,10.9,10.9,10.3,10.3,177786.0
CAPMBDBLMF,2022-08-02,10.9,10.9,10.3,10.4,53170.0
CAPMBDBLMF,2022-08-03,10.9,10.9,10.5,10.5,367686.0
CAPMBDBLMF,2022-08-04,10.8,10.8,10.3,10.4,69798.0
CAPMBDBLMF,2022-08-07,10.5,10.8,10.2,10.3,109574.0
CAPMBDBLMF,2022-08-08,10.6,10.6,10.1,10.1,564636.0
CAPMBDBLMF,2022-08-10,10.2,10.4,10.1,10.1,294538.0
CAPMBDBLMF,2022-08-11,10.3,10.4,10.1,10.2,491765.0
CAPMBDBLMF,2022-08-14,10.3,10.3,10.1,10.1,488913.0
CAPMBDBLMF,2022-08-16,10.3,10.3,10.1,10.1,74202.0
CAPMBDBLMF,2022-08-17,10.1,10.1,10.1,10.1,170980.0
CAPMBDBLMF,2022-08-21,10.1,10.1,10.1,10.1,419.0
CAPMBDBLMF,2022-08-22,10.1,10.1,10.1,10.1,10231.0
CAPMBDBLMF,2022-08-23,10.1,10.1,10.1,10.1,5601.0
CAPMBDBLMF,2022-08-24,10.1,10.1,10.1,10.1,2660.0
CAPMBDBLMF,2022-08-25,10.1,10.1,10.1,10.1,107896.0
CAPMBDBLMF,2022-08-28,10.1,10.1,10.1,10.1,208472.0
CAPMBDBLMF,2022-08-29,10.1,10.1,10.1,10.1,15703.0
CAPMBDBLMF,2022-08-30,10.1,10.1,10.1,10.1,20500.0
CAPMBDBLMF,2022-08-31,10.1,10.1,10.1,10.1,169496.0
CAPMBDBLMF,2022-09-01,10.1,10.1,10.1,10.1,24008.0
CAPMBDBLMF,2022-09-04,10.1,10.1,10.1,10.1,89382.0
CAPMBDBLMF,2022-09-05,10.1,10.3,10.1,10.1,848688.0
CAPMBDBLMF,2022-09-06,10.1,10.2,10.1,10.1,407010.0
CAPMBDBLMF,2022-09-07,10.1,10.2,10.1,10.1,215367.0
CAPMBDBLMF,2022-09-08,10.1,10.3,10.1,10.1,670554.0
CAPMBDBLMF,2022-09-12,10.1,10.1,10.1,10.1,10.0
CAPMBDBLMF,2022-09-13,10.1,10.1,10.1,10.1,10050.0
CAPMBDBLMF,2022-09-14,10.1,10.1,10.1,10.1,50000.0
CAPMBDBLMF,2022-09-15,10.1,10.1,10.1,10.1,10.0
CAPMBDBLMF,2022-09-18,10.1,10.1,10.1,10.1,19060.0
CAPMBDBLMF,2022-09-19,10.1,10.1,10.1,10.1,130.0
CAPMBDBLMF,2022-09-20,10.1,10.1,10.1,10.1,10.0
CAPMBDBLMF,2022-09-21,10.1,10.1,10.1,10.1,1660.0
CAPMBDBLMF,2022-09-22,10.1,10.1,10.1,10.1,2300.0
CAPMBDBLMF,2022-09-25,10.1,10.1,10.1,10.1,4150.0
