symbol,date,open,high,low,close,volume
CAPMIBBLMF,2022-01-02,17.4,17.4,16.7,16.9,36066.0
CAPMIBBLMF,2022-01-03,17.0,18.3,16.9,17.9,531958.0
CAPMIBBLMF,2022-01-04,18.1,18.1,17.2,17.4,132669.0
CAPMIBBLMF,2022-01-05,16.9,17.1,16.7,16.8,768097.0
CAPMIBBLMF,2022-01-06,16.8,17.0,16.6,16.8,515738.0
CAPMIBBLMF,2022-01-09,16.9,16.9,16.5,16.6,235931.0
CAPMIBBLMF,2022-01-10,16.6,16.6,16.2,16.3,450803.0
CAPMIBBLMF,2022-01-11,16.2,16.6,16.2,16.6,664320.0
CAPMIBBLMF,2022-01-12,17.0,17.2,16.4,16.5,554301.0
CAPMIBBLMF,2022-01-13,16.6,16.6,16.2,16.3,286397.0
CAPMIBBLMF,2022-01-16,16.3,16.5,16.2,16.2,242278.0
CAPMIBBLMF,2022-01-17,16.4,16.4,16.1,16.2,152524.0
CAPMIBBLMF,2022-01-18,16.2,16.4,16.0,16.0,471819.0
CAPMIBBLMF,2022-01-19,16.1,16.2,15.8,15.9,313819.0
CAPMIBBLMF,2022-01-20,15.8,16.1,15.8,15.9,187093.0
CAPMIBBLMF,2022-01-23,16.0,16.1,15.8,15.9,85404.0
CAPMIBBLMF,2022-01-24,15.9,16.1,15.9,16.0,285101.0
CAPMIBBLMF,2022-01-25,16.1,16.1,15.8,15.9,136693.0
CAPMIBBLMF,2022-01-26,15.9,15.9,15.7,15.7,170352.0
CAPMIBBLMF,2022-01-27,15.7,15.8,15.5,15.6,264931.0
CAPMIBBLMF,2022-01-30,15.6,15.7,15.3,15.5,263841.0
CAPMIBBLMF,2022-01-31,15.4,15.5,15.1,15.1,269745.0
CAPMIBBLMF,2022-02-01,15.0,15.1,14.8,14.9,298907.0
CAPMIBBLMF,2022-02-02,14.7,15.0,14.7,14.9,151181.0
CAPMIBBLMF,2022-02-03,14.9,15.0,14.8,14.9,95958.0
CAPMIBBLMF,2022-02-06,15.0,15.4,14.9,15.0,324702.0
CAPMIBBLMF,2022-02-07,15.1,15.2,15.0,15.0,100683.0
CAPMIBBLMF,2022-02-08,15.0,15.1,14.9,15.0,133487.0
CAPMIBBLMF,2022-02-09,15.0,15.2,14.9,15.1,123017.0
CAPMIBBLMF,2022-02-10,15.2,15.2,15.1,15.1,139064.0
CAPMIBBLMF,2022-02-13,15.1,15.1,14.9,15.0,177901.0
CAPMIBBLMF,2022-02-14,15.0,15.1,14.8,14.8,127099.0
CAPMIBBLMF,2022-02-15,14.9,15.0,14.7,14.7,135210.0
CAPMIBBLMF,2022-02-16,15.0,15.0,14.7,14.7,169764.0
CAPMIBBLMF,2022-02-17,14.7,14.8,14.6,14.7,164110.0
CAPMIBBLMF,2022-02-20,14.6,14.7,14.5,14.6,79634.0
