symbol,date,open,high,low,close,volume
CITYBANK,2022-01-02,27.5,28.0,27.4,27.6,742388.0
CITYBANK,2022-01-03,27.6,28.0,27.4,27.6,766719.0
CITYBANK,2022-01-04,27.6,27.7,27.3,27.4,343949.0
CITYBANK,2022-01-05,27.5,27.7,27.4,27.7,547581.0
CITYBANK,2022-01-06,27.7,28.2,27.7,28.0,896168.0
CITYBANK,2022-01-09,28.1,28.3,27.8,28.0,801668.0
CITYBANK,2022-01-10,27.5,27.9,27.2,27.4,974742.0
CITYBANK,2022-01-11,27.9,28.4,27.5,27.7,1365404.0
CITYBANK,2022-01-12,27.8,27.9,27.4,27.5,348301.0
CITYBANK,2022-01-13,27.5,27.5,27.2,27.4,315322.0
CITYBANK,2022-01-16,27.8,28.0,27.3,27.4,254672.0
CITYBANK,2022-01-17,27.4,27.6,27.1,27.6,547205.0
CITYBANK,2022-01-18,27.9,28.1,27.6,27.8,820789.0
CITYBANK,2022-01-19,27.6,27.8,27.4,27.5,509727.0
CITYBANK,2022-01-20,27.5,27.7,27.5,27.6,325973.0
CITYBANK,2022-01-23,27.6,27.8,27.3,27.3,336445.0
CITYBANK,2022-01-24,27.3,27.7,27.2,27.2,264551.0
CITYBANK,2022-01-25,27.2,27.4,27.0,27.1,592542.0
CITYBANK,2022-01-26,27.2,27.6,26.9,27.3,616278.0
CITYBANK,2022-01-27,27.3,27.6,27.2,27.5,209852.0
CITYBANK,2022-01-30,27.5,27.5,27.2,27.3,317703.0
CITYBANK,2022-01-31,27.5,27.5,26.9,27.1,304528.0
CITYBANK,2022-02-01,27.1,27.3,26.9,27.0,353001.0
CITYBANK,2022-02-02,27.0,27.3,27.0,27.0,281777.0
CITYBANK,2022-02-03,27.2,27.8,27.0,27.6,448070.0
CITYBANK,2022-02-06,27.8,27.8,27.3,27.4,220315.0
CITYBANK,2022-02-07,27.4,27.6,27.3,27.5,368535.0
CITYBANK,2022-02-08,27.5,27.6,27.4,27.4,327538.0
CITYBANK,2022-02-09,27.6,27.9,27.3,27.5,757653.0
CITYBANK,2022-02-10,27.5,27.6,27.3,27.4,852247.0
CITYBANK,2022-02-13,27.6,27.9,27.2,27.6,859748.0
CITYBANK,2022-02-14,27.5,28.0,27.4,27.6,601460.0
CITYBANK,2022-02-15,27.7,27.7,27.3,27.3,287039.0
CITYBANK,2022-02-16,27.5,27.5,27.2,27.3,213057.0
CITYBANK,2022-02-17,27.1,27.5,27.1,27.1,196536.0
CITYBANK,2022-02-20,27.1,27.2,26.8,26.9,348469.0
CITYBANK,2022-02-22,27.0,27.2,26.8,26.9,180382.0
CITYBANK,2022-02-23,27.0,27.0,26.8,26.9,142879.0
CITYBANK,2022-02-24,27.3,27.3,26.7,26.8,475055.0
CITYBANK,2022-02-27,26.8,26.8,25.6,25.8,1024912.0
CITYBANK,2022-02-28,25.8,26.7,25.8,26.5,231737.0
CITYBANK,2022-03-01,26.5,26.6,26.1,26.3,144104.0
CITYBANK,2022-03-02,26.2,26.5,25.7,26.2,156393.0
CITYBANK,2022-03-03,26.3,27.2,25.9,26.1,1030343.0
CITYBANK,2022-03-06,25.9,26.3,25.8,25.8,486089.0
CITYBANK,2022-03-07,25.8,26.0,25.6,25.7,674840.0
CITYBANK,2022-03-08,25.6,25.9,25.3,25.6,610409.0
CITYBANK,2022-03-09,25.9,26.1,25.7,26.0,158696.0
CITYBANK,2022-03-10,26.2,26.9,26.0,26.1,467637.0
CITYBANK,2022-03-13,26.4,26.5,26.2,26.4,192391.0
CITYBANK,2022-03-14,26.7,27.5,26.3,26.9,415630.0
CITYBANK,2022-03-15,26.9,27.3,26.5,26.7,299112.0
CITYBANK,2022-03-16,26.6,26.9,26.4,26.6,305383.0
CITYBANK,2022-03-20,26.8,26.8,26.4,26.4,177069.0
CITYBANK,2022-03-21,26.2,26.5,26.0,26.4,370164.0
CITYBANK,2022-03-22,26.4,26.8,26.3,26.5,188856.0
CITYBANK,2022-03-23,26.7,26.7,26.3,26.4,161949.0
CITYBANK,2022-03-24,26.4,26.5,26.0,26.4,235594.0
CITYBANK,2022-03-27,26.3,26.4,26.0,26.1,475585.0
CITYBANK,2022-03-28,26.2,26.3,26.0,26.1,599421.0
CITYBANK,2022-03-29,26.1,26.3,26.0,26.1,300231.0
CITYBANK,2022-03-30,26.1,26.1,26.0,26.1,245970.0
CITYBANK,2022-03-31,26.0,26.0,25.8,25.9,348485.0
CITYBANK,2022-04-03,25.8,26.5,25.7,26.0,260848.0
CITYBANK,2022-04-04,25.9,25.9,25.5,25.8,230351.0
CITYBANK,2022-04-05,25.7,25.7,25.3,25.3,649420.0
CITYBANK,2022-04-06,25.4,25.8,25.0,25.3,182373.0
CITYBANK,2022-04-07,25.1,25.3,24.9,25.1,194938.0
CITYBANK,2022-04-10,25.5,26.4,25.5,26.3,1431619.0
CITYBANK,2022-04-11,26.3,26.5,26.1,26.5,610920.0
CITYBANK,2022-04-12,26.6,26.6,26.1,26.2,726121.0
CITYBANK,2022-04-13,26.1,26.7,26.1,26.5,998166.0
CITYBANK,2022-04-17,26.4,26.5,26.2,26.3,1290199.0
CITYBANK,2022-04-18,26.3,26.6,25.9,26.4,875183.0
CITYBANK,2022-04-19,26.5,27.1,26.4,26.9,1563371.0
CITYBANK,2022-04-20,27.0,27.6,26.8,27.5,1720562.0
CITYBANK,2022-04-21,27.5,27.8,27.2,27.7,1734881.0
CITYBANK,2022-04-24,27.8,28.1,27.6,27.9,3025096.0
CITYBANK,2022-04-25,27.8,28.2,27.6,28.1,1805692.0
CITYBANK,2022-04-26,28.1,28.3,28.0,28.2,2225713.0
CITYBANK,2022-04-27,28.3,28.3,28.0,28.2,3504762.0
CITYBANK,2022-04-28,28.1,28.4,28.0,28.1,4101163.0
CITYBANK,2022-05-08,24.6,24.6,24.1,24.2,1082580.0
CITYBANK,2022-05-09,24.5,24.5,24.0,24.2,745483.0
CITYBANK,2022-05-10,24.3,24.3,23.9,24.0,971446.0
CITYBANK,2022-05-11,24.0,24.0,23.5,23.7,695941.0
CITYBANK,2022-05-12,23.9,23.9,23.2,23.3,457759.0
CITYBANK,2022-05-16,23.5,23.5,22.4,22.5,1012155.0
CITYBANK,2022-05-17,23.0,23.0,22.5,22.7,478934.0
CITYBANK,2022-05-18,22.8,23.1,22.5,22.7,530031.0
CITYBANK,2022-05-19,22.9,23.1,22.5,22.9,705250.0
CITYBANK,2022-05-22,22.4,23.0,22.4,22.6,710536.0
CITYBANK,2022-05-23,22.7,23.0,22.6,22.6,647786.0
CITYBANK,2022-05-24,22.9,23.0,22.6,22.8,345253.0
CITYBANK,2022-05-25,23.0,23.1,22.6,22.9,668873.0
CITYBANK,2022-05-26,22.7,23.3,22.7,23.2,209036.0
CITYBANK,2022-05-29,23.4,23.4,23.0,23.3,307958.0
CITYBANK,2022-05-30,23.4,23.9,23.2,23.4,558643.0
CITYBANK,2022-05-31,23.7,23.9,23.3,23.7,820959.0
CITYBANK,2022-06-01,24.0,24.0,23.6,23.7,774677.0
CITYBANK,2022-06-02,23.6,23.9,23.5,23.6,979513.0
CITYBANK,2022-06-05,23.5,23.9,23.5,23.6,1056233.0
CITYBANK,2022-06-06,23.6,23.8,23.6,23.6,763731.0
CITYBANK,2022-06-07,23.6,24.0,23.5,23.9,997779.0
CITYBANK,2022-06-08,23.9,24.0,23.7,23.9,542970.0
CITYBANK,2022-06-09,23.9,23.9,23.6,23.6,299356.0
CITYBANK,2022-06-12,23.6,23.8,23.4,23.5,297726.0
CITYBANK,2022-06-13,23.5,23.5,23.2,23.2,339244.0
CITYBANK,2022-06-14,23.7,23.7,23.1,23.1,239419.0
CITYBANK,2022-06-15,23.5,23.5,22.8,22.8,591011.0
CITYBANK,2022-06-16,23.7,23.7,22.6,22.8,682726.0
CITYBANK,2022-06-19,22.8,23.1,22.8,23.0,301466.0
CITYBANK,2022-06-20,22.9,23.0,22.7,22.9,318963.0
CITYBANK,2022-06-21,23.0,23.0,22.6,22.7,394823.0
CITYBANK,2022-06-22,22.5,22.8,22.5,22.6,257935.0
CITYBANK,2022-06-23,22.5,22.9,22.4,22.6,455019.0
CITYBANK,2022-06-26,22.6,23.0,22.5,22.8,348438.0
CITYBANK,2022-06-27,22.8,22.9,22.7,22.8,566566.0
CITYBANK,2022-06-28,22.9,23.0,22.8,22.9,482466.0
CITYBANK,2022-06-29,23.0,23.1,22.8,22.9,756409.0
CITYBANK,2022-06-30,22.9,23.2,22.8,23.0,1440151.0
CITYBANK,2022-07-03,23.1,23.1,22.9,22.9,384109.0
CITYBANK,2022-07-04,22.9,22.9,22.5,22.6,444721.0
CITYBANK,2022-07-05,22.6,22.8,22.5,22.7,1243455.0
CITYBANK,2022-07-06,22.8,23.0,22.5,22.6,381450.0
CITYBANK,2022-07-07,22.6,22.8,22.5,22.6,443627.0
CITYBANK,2022-07-12,22.9,22.9,22.5,22.6,86771.0
CITYBANK,2022-07-13,22.6,22.7,22.5,22.5,419724.0
CITYBANK,2022-07-14,22.8,22.8,22.5,22.6,167731.0
CITYBANK,2022-07-17,22.5,22.7,22.5,22.5,148417.0
CITYBANK,2022-07-18,22.4,22.5,22.1,22.1,745800.0
CITYBANK,2022-07-19,23.5,23.5,21.7,22.1,289593.0
CITYBANK,2022-07-20,22.0,22.3,21.9,22.0,526843.0
CITYBANK,2022-07-21,22.1,22.3,21.8,22.0,270539.0
CITYBANK,2022-07-24,21.9,22.9,21.8,21.8,478531.0
CITYBANK,2022-07-25,22.0,22.0,21.7,21.8,516795.0
CITYBANK,2022-07-26,21.8,22.2,21.8,22.1,339679.0
CITYBANK,2022-07-27,21.9,22.1,21.8,21.8,870436.0
CITYBANK,2022-07-28,21.8,21.9,21.7,21.9,238998.0
CITYBANK,2022-07-31,21.9,22.0,21.8,21.8,559648.0
CITYBANK,2022-08-01,22.0,22.1,21.9,22.0,241100.0
CITYBANK,2022-08-02,22.1,22.5,21.9,22.3,421865.0
CITYBANK,2022-08-03,22.6,23.3,22.6,23.1,2165105.0
CITYBANK,2022-08-04,23.2,23.2,22.6,22.7,882552.0
CITYBANK,2022-08-07,23.3,23.3,22.3,22.4,482171.0
CITYBANK,2022-08-08,22.5,22.7,21.9,21.9,1004172.0
CITYBANK,2022-08-10,21.9,22.1,21.8,21.9,823053.0
CITYBANK,2022-08-11,21.9,22.1,21.8,22.0,982632.0
CITYBANK,2022-08-14,22.2,22.2,21.8,21.9,304725.0
CITYBANK,2022-08-16,22.0,22.0,21.8,21.9,542657.0
CITYBANK,2022-08-17,21.9,22.0,21.8,21.9,637876.0
CITYBANK,2022-08-21,21.9,22.0,21.9,21.9,412693.0
CITYBANK,2022-08-22,22.0,22.1,21.9,22.0,760399.0
CITYBANK,2022-08-23,22.1,22.1,21.9,22.0,719830.0
CITYBANK,2022-08-24,22.4,22.4,21.8,21.9,251304.0
CITYBANK,2022-08-25,21.9,22.0,21.9,22.0,609379.0
CITYBANK,2022-08-28,22.2,22.6,22.0,22.2,2706217.0
CITYBANK,2022-08-29,22.3,22.7,22.2,22.6,1220686.0
CITYBANK,2022-08-30,22.4,22.6,22.4,22.5,1170535.0
CITYBANK,2022-08-31,22.6,22.8,22.6,22.7,726996.0
CITYBANK,2022-09-01,22.6,22.9,22.5,22.9,631541.0
CITYBANK,2022-09-04,23.0,23.2,22.7,22.9,1296002.0
CITYBANK,2022-09-05,22.9,23.1,22.9,23.0,1734823.0
CITYBANK,2022-09-06,22.9,23.1,22.8,23.0,1743301.0
CITYBANK,2022-09-07,22.9,23.2,22.9,23.1,735092.0
CITYBANK,2022-09-08,22.9,23.1,22.9,23.1,405629.0
CITYBANK,2022-09-11,22.9,23.1,22.1,22.7,364185.0
CITYBANK,2022-09-12,22.7,23.0,22.7,22.9,161946.0
CITYBANK,2022-09-13,22.8,23.0,22.8,22.9,616166.0
CITYBANK,2022-09-14,22.0,23.1,22.0,22.9,1255875.0
CITYBANK,2022-09-15,22.7,23.1,22.7,23.0,782009.0
CITYBANK,2022-09-18,23.0,23.1,22.9,23.0,1004698.0
CITYBANK,2022-09-19,22.8,23.1,22.8,23.0,937770.0
CITYBANK,2022-09-20,23.0,23.1,22.9,23.0,1545082.0
CITYBANK,2022-09-21,22.7,23.0,22.7,22.9,786169.0
CITYBANK,2022-09-22,22.8,22.9,22.8,22.8,906553.0
CITYBANK,2022-09-25,22.8,23.0,22.8,22.8,337910.0
CITYBANK,2022-09-26,22.8,22.9,22.6,22.8,536723.0
CITYBANK,2022-09-27,23.0,23.0,22.7,22.8,1210018.0
CITYBANK,2022-09-28,22.7,22.9,22.7,22.8,245853.0
CITYBANK,2022-09-29,22.8,22.9,22.8,22.8,590081.0
CITYBANK,2022-10-02,22.8,22.9,22.8,22.8,204534.0
CITYBANK,2022-10-03,22.7,22.9,22.7,22.8,765159.0
CITYBANK,2022-10-04,22.8,22.9,22.7,22.8,1140885.0
CITYBANK,2022-10-06,22.8,22.9,22.7,22.8,526529.0
CITYBANK,2022-10-10,22.8,22.8,22.4,22.5,335146.0
CITYBANK,2022-10-11,22.0,22.5,21.9,22.3,457766.0
CITYBANK,2022-10-12,22.3,22.4,22.0,22.0,68059.0
CITYBANK,2022-10-13,21.8,22.3,21.8,21.8,724291.0
CITYBANK,2022-10-16,22.6,22.6,21.8,21.9,1006099.0
CITYBANK,2022-10-17,21.8,22.2,21.8,21.8,994733.0
CITYBANK,2022-10-18,21.8,22.0,21.8,21.8,515784.0
CITYBANK,2022-10-19,21.8,22.0,21.8,21.8,357389.0
CITYBANK,2022-10-20,21.8,22.0,21.8,21.9,390073.0
CITYBANK,2022-10-23,21.8,21.9,21.8,21.8,471468.0
CITYBANK,2022-10-24,21.8,21.8,21.8,21.8,237611.0
CITYBANK,2022-10-25,21.8,22.0,21.8,21.8,947449.0
CITYBANK,2022-10-26,21.8,22.0,21.8,21.9,328934.0
CITYBANK,2022-10-27,21.9,22.0,21.8,21.8,686751.0
CITYBANK,2022-10-30,21.9,21.9,21.8,21.8,316955.0
CITYBANK,2022-10-31,21.8,21.9,21.8,21.8,410065.0
CITYBANK,2022-11-01,21.8,22.0,21.8,21.8,306171.0
CITYBANK,2022-11-02,21.8,22.0,21.8,21.8,546902.0
CITYBANK,2022-11-03,21.8,22.0,21.8,21.9,949342.0
CITYBANK,2022-11-06,21.8,22.2,21.8,22.1,398145.0
CITYBANK,2022-11-07,22.1,22.2,21.8,22.1,442742.0
CITYBANK,2022-11-08,21.9,22.5,21.9,22.4,502765.0
CITYBANK,2022-11-09,22.1,22.5,21.8,22.3,340768.0
CITYBANK,2022-11-10,22.0,22.4,22.0,22.2,88621.0
CITYBANK,2022-11-13,22.0,22.1,21.9,21.9,335360.0
CITYBANK,2022-11-14,21.8,21.8,21.8,21.8,270842.0
CITYBANK,2022-11-15,21.8,21.8,21.8,21.8,28774.0
CITYBANK,2022-11-16,21.8,21.9,21.8,21.8,454089.0
CITYBANK,2022-11-17,22.0,22.0,21.8,21.9,437457.0
CITYBANK,2022-11-20,21.8,21.9,21.8,21.8,562594.0
CITYBANK,2022-11-21,21.8,21.9,21.8,21.8,73360.0
CITYBANK,2022-11-22,21.8,21.8,21.8,21.8,8257.0
CITYBANK,2022-11-23,21.8,21.8,21.8,21.8,4600.0
CITYBANK,2022-11-24,21.8,21.8,21.8,21.8,10966.0
CITYBANK,2022-11-27,21.8,21.8,21.8,21.8,12906.0
CITYBANK,2022-11-28,21.8,21.8,21.8,21.8,4621.0
CITYBANK,2022-11-29,21.8,21.8,21.8,21.8,2353.0
CITYBANK,2022-11-30,21.8,21.8,21.8,21.8,409994.0
CITYBANK,2022-12-01,22.0,22.0,21.8,21.8,267446.0
CITYBANK,2022-12-04,21.8,21.8,21.8,21.8,59870.0
CITYBANK,2022-12-05,21.8,21.8,21.8,21.8,67844.0
CITYBANK,2022-12-06,21.8,21.8,21.8,21.8,18382.0
CITYBANK,2022-12-07,21.8,21.8,21.8,21.8,10820.0
CITYBANK,2022-12-08,21.8,21.8,21.8,21.8,22653.0
CITYBANK,2022-12-11,21.8,21.8,21.8,21.8,4428.0
CITYBANK,2022-12-12,21.8,21.8,21.8,21.8,31821.0
CITYBANK,2022-12-13,21.8,21.8,21.8,21.8,22353.0
CITYBANK,2022-12-14,21.8,21.8,21.8,21.8,4875.0
CITYBANK,2022-12-15,21.8,21.8,21.8,21.8,21626.0
CITYBANK,2022-12-18,21.8,21.8,21.8,21.8,10204.0
CITYBANK,2022-12-19,21.8,21.8,21.8,21.8,4866.0
CITYBANK,2022-12-20,21.8,21.8,21.8,21.8,4996.0
CITYBANK,2022-12-21,21.8,21.8,21.8,21.8,3422.0
CITYBANK,2022-12-22,21.8,21.8,21.8,21.8,6427.0
CITYBANK,2022-12-26,21.8,21.8,21.8,21.8,28223.0
CITYBANK,2022-12-27,21.8,21.8,21.8,21.8,4929.0
CITYBANK,2022-12-28,21.8,21.8,21.8,21.8,14559.0
CITYBANK,2022-12-29,21.8,21.8,21.8,21.8,26570.0
CITYBANK,2023-01-01,21.8,21.8,21.8,21.8,15341.0
CITYBANK,2023-01-02,21.8,21.8,21.8,21.8,46708.0
CITYBANK,2023-01-03,21.8,21.8,21.8,21.8,27562.0
CITYBANK,2023-01-04,21.8,21.8,21.8,21.8,98241.0
CITYBANK,2023-01-05,21.8,21.8,21.8,21.8,193762.0
CITYBANK,2023-01-08,21.8,21.8,21.8,21.8,20957.0
CITYBANK,2023-01-09,21.8,21.8,21.8,21.8,26764.0
CITYBANK,2023-01-10,21.8,21.8,21.8,21.8,18097.0
CITYBANK,2023-01-11,21.8,21.8,21.8,21.8,4407.0
CITYBANK,2023-01-12,21.8,21.8,21.8,21.8,4217.0
CITYBANK,2023-01-15,21.8,21.8,21.8,21.8,11447.0
CITYBANK,2023-01-16,21.8,21.8,21.8,21.8,26325.0
CITYBANK,2023-01-17,21.8,21.8,21.8,21.8,110593.0
CITYBANK,2023-01-18,21.8,22.0,21.8,21.8,1278393.0
CITYBANK,2023-01-19,21.8,22.0,21.8,21.9,99202.0
CITYBANK,2023-01-22,21.8,21.9,21.8,21.8,360079.0
CITYBANK,2023-01-23,21.9,21.9,21.8,21.8,179381.0
CITYBANK,2023-01-24,21.8,21.8,21.8,21.8,64175.0
CITYBANK,2023-01-25,21.8,21.8,21.8,21.8,198527.0
CITYBANK,2023-01-26,21.8,21.9,21.8,21.8,198419.0
CITYBANK,2023-01-29,21.8,21.8,21.8,21.8,29986.0
CITYBANK,2023-01-30,21.8,21.8,21.8,21.8,17006.0
CITYBANK,2023-01-31,21.8,21.8,21.8,21.8,5248.0
CITYBANK,2023-02-01,21.8,21.8,21.8,21.8,26271.0
CITYBANK,2023-02-02,21.8,21.8,21.8,21.8,163099.0
CITYBANK,2023-02-05,21.8,22.1,21.8,22.0,535485.0
CITYBANK,2023-02-06,22.0,22.2,21.8,21.8,488085.0
CITYBANK,2023-02-07,22.0,22.0,21.8,21.8,134736.0
CITYBANK,2023-02-08,21.8,22.0,21.8,21.8,150734.0
CITYBANK,2023-02-09,21.8,21.8,21.8,21.8,86257.0
CITYBANK,2023-02-12,21.8,22.0,21.8,21.8,7065.0
CITYBANK,2023-02-13,21.8,21.8,21.8,21.8,32407.0
CITYBANK,2023-02-14,21.8,21.8,21.8,21.8,3320.0
CITYBANK,2023-02-15,21.8,21.8,21.8,21.8,18842.0
CITYBANK,2023-02-16,21.8,21.8,21.8,21.8,30874.0
CITYBANK,2023-02-19,21.8,21.8,21.8,21.8,62851.0
CITYBANK,2023-02-20,21.8,21.8,21.8,21.8,45.0
CITYBANK,2023-02-22,21.8,21.8,21.8,21.8,4482.0
CITYBANK,2023-02-23,21.8,21.8,21.8,21.8,1243.0
CITYBANK,2023-02-26,21.8,21.8,21.8,21.8,17430.0
CITYBANK,2023-02-27,21.8,21.8,21.8,21.8,17547.0
CITYBANK,2023-02-28,21.8,21.8,21.8,21.8,19331.0
CITYBANK,2023-03-01,21.8,21.8,21.8,21.8,22820.0
CITYBANK,2023-03-01,21.8,21.8,21.8,21.8,22820.0
CITYBANK,2023-03-02,21.8,21.8,21.8,21.8,2718.0
CITYBANK,2023-03-05,21.8,21.8,21.8,21.8,18179.0
CITYBANK,2023-03-06,21.8,21.8,21.8,21.8,25563.0
CITYBANK,2023-03-07,21.8,21.8,21.8,21.8,23607.0
CITYBANK,2023-03-09,21.8,21.8,21.8,21.8,272805.0
CITYBANK,2023-03-12,21.8,21.8,21.8,21.8,2314.0
CITYBANK,2023-03-13,21.8,21.8,21.8,21.8,18531.0
CITYBANK,2023-03-14,21.8,21.8,21.8,21.8,5140.0
CITYBANK,2023-03-15,21.8,21.8,21.8,21.8,2664.0
CITYBANK,2023-03-16,21.8,21.8,21.8,21.8,25794.0
CITYBANK,2023-03-19,21.8,21.8,21.8,21.8,3621.0
CITYBANK,2023-03-20,21.8,21.8,21.8,21.8,4356.0
CITYBANK,2023-03-21,21.8,21.8,21.8,21.8,18282.0
CITYBANK,2023-03-22,21.8,21.8,21.8,21.8,23646.0
CITYBANK,2023-03-23,21.8,21.8,21.8,21.8,3152.0
CITYBANK,2023-03-27,21.8,21.8,21.8,21.8,28725.0
CITYBANK,2023-03-28,21.8,21.8,21.8,21.8,1175.0
CITYBANK,2023-03-29,21.8,21.8,21.8,21.8,7195.0
CITYBANK,2023-03-30,21.8,21.8,21.8,21.8,1130.0
CITYBANK,2023-04-02,21.8,21.8,21.8,21.8,5387.0
CITYBANK,2023-04-03,21.8,21.8,21.8,21.8,33058.0
CITYBANK,2023-04-04,21.8,21.8,21.8,21.8,13344.0
CITYBANK,2023-04-05,21.8,21.8,21.8,21.8,60850.0
CITYBANK,2023-04-06,21.8,21.8,21.8,21.8,28716.0
CITYBANK,2023-04-09,21.8,21.8,21.8,21.8,140990.0
CITYBANK,2023-04-10,21.8,21.8,21.8,21.8,63623.0
CITYBANK,2023-04-11,21.8,21.8,21.8,21.8,637695.0
CITYBANK,2023-04-12,21.8,21.8,21.8,21.8,7834.0
CITYBANK,2023-04-13,21.8,21.8,21.8,21.8,9420.0
CITYBANK,2023-04-16,21.8,21.8,21.8,21.8,211981.0
CITYBANK,2023-04-17,21.8,21.8,21.8,21.8,4388.0
CITYBANK,2023-04-18,21.8,21.8,21.8,21.8,18474.0
CITYBANK,2023-04-24,21.8,21.8,21.8,21.8,30691.0
CITYBANK,2023-04-24,21.8,21.8,21.8,21.8,30691.0
CITYBANK,2023-04-25,21.8,21.8,21.8,21.8,5943.0
CITYBANK,2023-04-25,21.8,21.8,21.8,21.8,5943.0
CITYBANK,2023-04-26,21.8,21.8,21.8,21.8,111280.0
CITYBANK,2023-04-26,21.8,21.8,21.8,21.8,111280.0
CITYBANK,2023-04-27,21.8,21.8,21.8,21.8,487260.0
CITYBANK,2023-04-27,21.8,21.8,21.8,21.8,487260.0
CITYBANK,2023-04-30,21.8,21.8,21.8,21.8,24502.0
CITYBANK,2023-04-30,21.8,21.8,21.8,21.8,24502.0
CITYBANK,2023-05-02,21.8,21.8,21.8,21.8,21761.0
CITYBANK,2023-05-03,21.8,21.8,21.8,21.8,1472760.0
CITYBANK,2023-05-07,21.8,23.5,21.8,22.3,2806101.0
CITYBANK,2023-05-08,22.2,22.2,21.8,21.8,196245.0
CITYBANK,2023-05-09,21.8,21.9,21.8,21.8,277728.0
CITYBANK,2023-05-11,21.4,21.4,21.4,21.4,6863.0
CITYBANK,2023-05-14,21.4,21.4,21.4,21.4,769.0
CITYBANK,2023-05-15,21.4,21.4,21.4,21.4,1983.0
CITYBANK,2023-05-16,21.4,21.4,21.4,21.4,4921.0
CITYBANK,2023-05-17,21.4,21.4,21.4,21.4,1383.0
CITYBANK,2023-05-18,21.4,21.4,21.4,21.4,249.0
CITYBANK,2023-05-22,21.4,21.4,21.4,21.4,6150.0
CITYBANK,2023-05-23,21.4,21.4,21.4,21.4,3165.0
CITYBANK,2023-05-24,21.4,21.4,21.4,21.4,620.0
CITYBANK,2023-05-25,21.4,21.4,21.4,21.4,4349.0
CITYBANK,2023-05-28,21.4,21.4,21.4,21.4,1751.0
