symbol,date,open,high,low,close,volume
CITYGENINS,2022-01-02,43.4,43.4,42.7,43.1,414609.0
CITYGENINS,2022-01-03,43.4,44.1,43.0,43.2,521703.0
CITYGENINS,2022-01-04,43.5,44.1,42.9,43.1,621377.0
CITYGENINS,2022-01-05,43.2,43.7,42.5,42.8,535417.0
CITYGENINS,2022-01-06,43.2,43.2,42.2,42.5,836663.0
CITYGENINS,2022-01-09,42.9,43.0,41.6,41.9,307337.0
CITYGENINS,2022-01-10,42.3,42.3,40.9,41.3,528951.0
CITYGENINS,2022-01-11,41.5,41.9,41.2,41.3,423888.0
CITYGENINS,2022-01-12,41.3,42.0,40.9,41.1,307008.0
CITYGENINS,2022-01-13,41.5,41.7,40.7,41.0,147433.0
CITYGENINS,2022-01-16,40.8,41.7,40.6,40.8,209043.0
CITYGENINS,2022-01-17,40.4,42.8,40.4,41.3,326745.0
CITYGENINS,2022-01-18,41.9,41.9,40.7,40.8,306092.0
CITYGENINS,2022-01-19,40.6,41.4,40.0,40.4,392030.0
CITYGENINS,2022-01-20,40.5,40.8,40.0,40.4,305214.0
CITYGENINS,2022-01-23,41.5,41.5,40.2,40.6,364646.0
CITYGENINS,2022-01-24,41.1,41.1,39.9,40.0,189165.0
CITYGENINS,2022-01-25,40.0,40.6,39.8,39.9,158561.0
CITYGENINS,2022-01-26,40.4,40.4,39.7,39.9,322791.0
CITYGENINS,2022-01-27,40.3,40.3,39.7,39.9,179729.0
CITYGENINS,2022-01-30,40.0,40.6,39.9,40.3,246319.0
CITYGENINS,2022-01-31,40.6,40.9,39.9,40.0,215513.0
CITYGENINS,2022-02-01,40.4,40.4,39.8,39.9,91821.0
CITYGENINS,2022-02-02,39.9,40.6,39.8,40.5,187344.0
CITYGENINS,2022-02-03,40.9,41.1,40.4,40.5,178303.0
CITYGENINS,2022-02-06,40.7,42.2,40.7,41.3,525390.0
CITYGENINS,2022-02-07,41.5,42.4,41.2,42.1,599879.0
CITYGENINS,2022-02-08,42.1,42.9,41.7,41.9,379479.0
CITYGENINS,2022-02-09,42.0,42.0,41.1,41.2,195053.0
CITYGENINS,2022-02-10,41.2,41.3,40.3,40.5,244732.0
CITYGENINS,2022-02-13,40.6,40.9,40.2,40.2,130651.0
CITYGENINS,2022-02-14,40.4,40.6,40.0,40.1,103110.0
CITYGENINS,2022-02-15,40.4,40.4,39.5,39.6,149077.0
CITYGENINS,2022-02-16,39.9,40.1,39.3,39.4,93325.0
CITYGENINS,2022-02-17,40.1,40.1,38.6,38.8,90964.0
CITYGENINS,2022-02-20,38.8,38.8,38.1,38.2,84419.0
CITYGENINS,2022-02-22,39.1,39.1,38.0,38.3,74305.0
CITYGENINS,2022-02-23,38.5,38.7,38.0,38.0,104784.0
CITYGENINS,2022-02-24,38.0,38.0,36.5,36.9,140561.0
CITYGENINS,2022-02-27,38.0,38.0,34.9,35.0,140993.0
CITYGENINS,2022-02-28,34.9,36.0,34.9,35.5,149463.0
CITYGENINS,2022-03-01,35.5,36.8,35.5,35.7,195549.0
CITYGENINS,2022-03-02,36.3,36.3,34.3,35.0,101654.0
CITYGENINS,2022-03-03,35.7,35.7,34.3,34.5,153117.0
CITYGENINS,2022-03-06,35.1,35.1,34.0,34.0,84620.0
CITYGENINS,2022-03-07,34.6,34.6,32.1,32.3,164822.0
CITYGENINS,2022-03-08,32.5,33.3,30.9,31.8,147498.0
CITYGENINS,2022-03-09,33.0,34.5,32.5,34.4,183034.0
CITYGENINS,2022-03-10,34.8,36.8,34.7,35.7,340267.0
CITYGENINS,2022-03-13,35.8,36.6,35.4,36.3,167815.0
CITYGENINS,2022-03-14,36.8,36.8,35.9,36.0,95662.0
CITYGENINS,2022-03-15,36.3,36.3,35.3,35.5,112429.0
CITYGENINS,2022-03-16,36.2,36.2,35.0,35.1,178427.0
CITYGENINS,2022-03-20,35.8,35.8,34.4,34.4,164039.0
CITYGENINS,2022-03-21,33.8,34.7,33.8,34.1,267258.0
CITYGENINS,2022-03-23,34.1,34.2,33.7,33.8,187161.0
CITYGENINS,2022-03-24,33.4,33.9,33.3,33.5,81505.0
CITYGENINS,2022-03-27,33.9,33.9,33.2,33.2,71956.0
CITYGENINS,2022-03-28,33.4,34.3,33.4,34.0,117969.0
CITYGENINS,2022-03-29,34.0,34.1,33.7,33.8,39382.0
CITYGENINS,2022-03-30,34.3,35.5,33.9,34.8,351727.0
CITYGENINS,2022-03-31,35.5,35.9,34.2,34.6,262876.0
CITYGENINS,2022-04-03,34.3,34.3,34.0,34.2,56579.0
CITYGENINS,2022-04-04,33.9,34.4,33.6,33.6,100031.0
CITYGENINS,2022-04-05,33.2,33.8,33.2,33.3,37618.0
CITYGENINS,2022-04-06,33.9,33.9,32.7,32.8,107960.0
CITYGENINS,2022-04-07,32.4,32.7,32.2,32.2,100750.0
CITYGENINS,2022-04-10,33.7,33.7,32.0,32.4,65773.0
CITYGENINS,2022-04-11,32.4,33.3,32.3,32.5,58110.0
CITYGENINS,2022-04-12,33.5,33.5,31.9,31.9,81270.0
