symbol,date,open,high,low,close,volume
CONTININS,2022-01-02,47.8,48.5,47.3,48.0,277801.0
CONTININS,2022-01-03,48.6,49.5,47.9,48.1,337936.0
CONTININS,2022-01-04,48.5,49.4,48.0,48.4,366055.0
CONTININS,2022-01-05,49.0,49.3,48.1,48.3,387942.0
CONTININS,2022-01-06,48.9,48.9,47.0,47.2,369580.0
CONTININS,2022-01-09,47.3,47.5,45.8,46.0,157100.0
CONTININS,2022-01-10,46.0,46.4,45.0,45.2,246499.0
CONTININS,2022-01-11,45.2,46.1,45.2,45.6,248153.0
CONTININS,2022-01-12,45.8,46.3,45.1,45.4,191581.0
CONTININS,2022-01-13,45.6,45.9,44.8,45.4,169247.0
CONTININS,2022-01-16,46.4,48.8,44.8,45.1,339409.0
CONTININS,2022-01-17,45.5,46.6,45.3,45.5,224876.0
CONTININS,2022-01-18,45.6,46.1,45.0,45.2,286473.0
CONTININS,2022-01-19,45.0,45.3,44.5,44.6,286344.0
CONTININS,2022-01-20,45.0,45.4,44.4,44.8,147424.0
CONTININS,2022-01-23,45.8,46.3,45.0,45.6,264512.0
CONTININS,2022-01-24,46.5,46.5,44.6,45.0,173359.0
CONTININS,2022-01-25,45.6,45.9,44.6,44.7,197754.0
CONTININS,2022-01-26,44.9,46.0,44.7,45.6,151474.0
CONTININS,2022-01-27,45.8,46.5,45.5,46.1,363138.0
CONTININS,2022-01-30,46.7,48.4,46.5,47.9,837208.0
CONTININS,2022-01-31,47.1,48.4,47.1,47.7,349370.0
CONTININS,2022-02-01,47.5,47.8,46.5,47.1,236873.0
CONTININS,2022-02-02,46.9,48.3,46.4,48.0,361351.0
CONTININS,2022-02-03,48.4,49.0,47.0,47.5,644035.0
CONTININS,2022-02-06,46.6,49.1,46.5,47.8,534550.0
CONTININS,2022-02-07,48.4,49.3,47.4,48.9,878763.0
CONTININS,2022-02-08,49.0,49.9,48.6,49.0,362536.0
CONTININS,2022-02-09,49.0,49.4,47.8,48.2,356403.0
CONTININS,2022-02-10,48.3,48.3,46.8,47.0,243571.0
CONTININS,2022-02-13,47.1,47.8,46.7,47.2,168642.0
CONTININS,2022-02-14,47.0,47.5,46.4,46.6,137906.0
CONTININS,2022-02-15,46.9,46.9,45.7,46.1,206150.0
CONTININS,2022-02-16,46.1,46.4,45.4,46.0,188618.0
CONTININS,2022-02-17,45.7,45.9,45.0,45.5,153077.0
CONTININS,2022-02-20,45.2,45.6,44.4,45.0,99269.0
CONTININS,2022-02-22,44.4,45.3,44.1,45.2,184767.0
CONTININS,2022-02-23,44.5,45.4,44.3,44.9,217656.0
CONTININS,2022-02-24,44.4,44.9,43.0,43.8,248088.0
CONTININS,2022-02-27,41.4,43.4,40.8,41.2,174384.0
CONTININS,2022-02-28,42.5,42.7,41.4,42.2,68141.0
CONTININS,2022-03-01,42.6,44.1,41.3,42.3,317759.0
CONTININS,2022-03-02,42.1,42.6,41.1,42.2,150021.0
CONTININS,2022-03-03,41.1,42.7,41.0,41.3,88754.0
CONTININS,2022-03-06,41.3,41.8,39.7,41.3,216251.0
CONTININS,2022-03-07,40.3,40.5,38.0,39.0,180929.0
CONTININS,2022-03-08,38.2,40.8,37.1,39.2,155590.0
CONTININS,2022-03-09,39.3,41.8,39.3,41.4,299345.0
CONTININS,2022-03-10,42.0,42.9,41.2,41.4,327868.0
CONTININS,2022-03-13,41.3,41.7,40.6,41.2,236214.0
