symbol,date,open,high,low,close,volume
COPPERTECH,2022-01-02,32.8,35.8,32.1,35.6,507919.0
COPPERTECH,2022-01-03,35.6,38.1,35.4,37.7,1274797.0
COPPERTECH,2022-01-04,37.6,38.9,36.9,38.3,1096885.0
COPPERTECH,2022-01-05,39.1,41.2,38.7,40.6,1680380.0
COPPERTECH,2022-01-06,40.6,40.9,38.7,39.5,772028.0
COPPERTECH,2022-01-09,39.6,41.5,38.8,39.4,888837.0
COPPERTECH,2022-01-10,40.0,43.3,39.6,43.3,5064954.0
COPPERTECH,2022-01-11,44.3,44.8,41.9,42.4,1972701.0
COPPERTECH,2022-01-12,42.9,43.0,40.5,40.8,1637490.0
COPPERTECH,2022-01-13,40.8,44.2,40.8,43.2,1921007.0
COPPERTECH,2022-01-16,43.3,44.5,43.1,43.5,2636803.0
COPPERTECH,2022-01-17,43.5,43.5,41.9,43.0,1818705.0
COPPERTECH,2022-01-18,43.3,43.5,42.0,42.2,1454646.0
COPPERTECH,2022-01-19,42.7,45.4,41.9,44.8,3006634.0
COPPERTECH,2022-01-20,45.0,46.0,43.6,43.9,2212858.0
COPPERTECH,2022-01-23,44.2,44.2,42.4,42.7,1197545.0
COPPERTECH,2022-01-24,43.0,43.3,42.0,42.4,739965.0
COPPERTECH,2022-01-25,43.0,44.6,42.3,43.8,1095059.0
COPPERTECH,2022-01-26,44.3,44.8,43.7,44.3,1354747.0
COPPERTECH,2022-01-27,44.0,44.9,43.6,44.1,1517649.0
COPPERTECH,2022-01-30,45.0,45.7,43.9,44.9,2714949.0
COPPERTECH,2022-01-31,45.8,47.1,44.9,46.2,3943422.0
COPPERTECH,2022-02-01,46.3,46.7,44.9,45.1,1765534.0
COPPERTECH,2022-02-02,45.8,45.8,42.5,43.8,1311537.0
COPPERTECH,2022-02-03,43.9,44.6,42.8,43.1,814791.0
COPPERTECH,2022-02-06,43.5,43.5,42.3,42.6,693949.0
COPPERTECH,2022-02-07,42.9,44.3,42.6,43.8,1195920.0
COPPERTECH,2022-02-08,43.8,44.2,42.8,43.0,653260.0
COPPERTECH,2022-02-09,42.8,43.8,42.2,42.6,1044348.0
COPPERTECH,2022-02-10,42.3,44.0,42.2,43.0,471473.0
COPPERTECH,2022-02-13,43.5,45.7,42.9,45.1,3227683.0
COPPERTECH,2022-02-14,45.3,45.8,42.8,43.2,1645695.0
COPPERTECH,2022-02-15,43.5,43.7,42.5,42.7,1157583.0
COPPERTECH,2022-02-16,42.8,43.1,42.3,42.5,672564.0
COPPERTECH,2022-02-17,42.9,43.0,41.9,42.1,556508.0
COPPERTECH,2022-02-20,41.7,42.0,40.6,40.9,320138.0
COPPERTECH,2022-02-22,41.0,41.5,40.6,41.0,527061.0
COPPERTECH,2022-02-23,41.1,42.1,40.1,40.3,1118686.0
COPPERTECH,2022-02-24,41.4,41.4,38.6,38.9,497741.0
COPPERTECH,2022-02-27,38.9,39.0,37.2,37.5,551892.0
COPPERTECH,2022-02-28,38.7,39.0,38.0,38.3,326013.0
