symbol,date,open,high,low,close,volume
CRYSTALINS,2022-01-02,56.6,57.3,55.8,56.0,149514.0
CRYSTALINS,2022-01-03,57.3,57.3,55.5,55.6,196039.0
CRYSTALINS,2022-01-04,55.7,56.5,55.7,56.0,94221.0
CRYSTALINS,2022-01-05,56.5,56.9,55.1,55.5,320161.0
CRYSTALINS,2022-01-06,56.3,56.8,54.9,55.2,289417.0
CRYSTALINS,2022-01-09,55.1,56.0,54.0,54.8,150501.0
CRYSTALINS,2022-01-10,54.2,55.0,53.8,54.0,126698.0
CRYSTALINS,2022-01-11,53.8,54.5,53.5,53.6,111122.0
CRYSTALINS,2022-01-12,53.7,54.0,52.6,52.8,189898.0
CRYSTALINS,2022-01-13,53.0,53.5,51.5,52.0,131420.0
CRYSTALINS,2022-01-16,53.1,53.1,52.0,52.1,110879.0
CRYSTALINS,2022-01-17,52.9,54.4,52.0,53.2,174275.0
CRYSTALINS,2022-01-18,53.5,53.5,52.0,52.2,220296.0
CRYSTALINS,2022-01-19,52.2,52.9,51.2,51.4,161591.0
CRYSTALINS,2022-01-20,51.7,52.4,51.1,51.3,149650.0
CRYSTALINS,2022-01-23,52.7,52.8,52.0,52.2,100363.0
CRYSTALINS,2022-01-24,52.6,52.7,51.5,51.6,93652.0
CRYSTALINS,2022-01-25,52.2,52.8,51.7,51.9,84561.0
CRYSTALINS,2022-01-26,51.7,52.3,51.0,51.8,36898.0
CRYSTALINS,2022-01-27,52.0,52.4,51.6,52.0,70487.0
CRYSTALINS,2022-01-30,51.4,53.0,51.4,51.6,262199.0
CRYSTALINS,2022-01-31,51.6,51.9,51.0,51.1,111225.0
CRYSTALINS,2022-02-01,51.5,51.6,50.2,51.1,133136.0
CRYSTALINS,2022-02-02,51.1,51.7,50.6,51.5,78445.0
CRYSTALINS,2022-02-03,52.0,53.2,51.7,52.0,170254.0
CRYSTALINS,2022-02-06,52.2,53.8,52.2,53.1,187979.0
CRYSTALINS,2022-02-07,53.6,54.8,53.0,54.1,284200.0
CRYSTALINS,2022-02-08,54.8,55.2,53.8,54.2,254131.0
CRYSTALINS,2022-02-09,54.5,54.5,52.2,52.7,62937.0
CRYSTALINS,2022-02-10,52.8,53.5,52.1,52.8,49409.0
CRYSTALINS,2022-02-13,52.4,53.4,51.8,52.2,84175.0
CRYSTALINS,2022-02-14,52.5,52.5,51.1,51.5,110699.0
CRYSTALINS,2022-02-15,51.5,51.8,50.6,50.8,66887.0
CRYSTALINS,2022-02-16,50.7,52.0,50.4,50.5,74727.0
CRYSTALINS,2022-02-17,52.0,52.0,50.3,50.6,36849.0
CRYSTALINS,2022-02-20,50.7,50.9,49.7,50.1,31803.0
CRYSTALINS,2022-02-22,50.1,50.8,49.7,50.0,64093.0
CRYSTALINS,2022-02-23,50.8,50.8,49.0,49.8,46763.0
CRYSTALINS,2022-02-24,49.5,49.5,47.2,47.6,84323.0
CRYSTALINS,2022-02-27,47.1,47.1,44.8,45.2,47062.0
CRYSTALINS,2022-02-28,45.2,47.4,45.2,46.6,35382.0
CRYSTALINS,2022-03-01,47.0,48.9,46.7,46.9,52523.0
CRYSTALINS,2022-03-02,46.7,46.8,45.6,45.7,22240.0
CRYSTALINS,2022-03-03,45.4,46.5,45.3,45.5,30397.0
CRYSTALINS,2022-03-06,45.0,46.2,44.0,44.4,39897.0
CRYSTALINS,2022-03-07,43.0,44.9,42.0,42.4,56104.0
CRYSTALINS,2022-03-08,42.2,43.6,41.9,42.7,42950.0
CRYSTALINS,2022-03-09,45.6,46.6,43.5,46.5,36075.0
CRYSTALINS,2022-03-10,46.7,48.4,46.2,46.4,116572.0
CRYSTALINS,2022-03-13,47.5,47.5,46.0,46.3,19263.0
CRYSTALINS,2022-03-14,47.4,47.4,45.6,45.7,76464.0
CRYSTALINS,2022-03-15,45.7,45.7,44.8,44.8,57884.0
CRYSTALINS,2022-03-16,46.0,46.0,44.0,44.2,30984.0
CRYSTALINS,2022-03-20,44.9,44.9,43.4,43.5,30801.0
CRYSTALINS,2022-03-21,43.2,44.5,43.1,43.1,20489.0
CRYSTALINS,2022-03-22,43.0,43.6,43.0,43.0,56601.0
CRYSTALINS,2022-03-23,43.2,44.0,42.2,42.5,94415.0
CRYSTALINS,2022-03-24,43.9,43.9,42.3,42.5,98838.0
CRYSTALINS,2022-03-27,42.5,43.1,42.0,42.5,45142.0
CRYSTALINS,2022-03-28,44.5,44.6,42.6,43.5,16961.0
CRYSTALINS,2022-03-29,42.8,43.8,42.7,43.1,24975.0
CRYSTALINS,2022-03-30,44.0,45.5,43.9,44.8,166495.0
CRYSTALINS,2022-03-31,45.3,45.4,44.4,44.5,49546.0
CRYSTALINS,2022-04-03,44.4,44.4,43.8,43.8,26441.0
CRYSTALINS,2022-04-04,43.3,43.5,43.0,43.0,29397.0
CRYSTALINS,2022-04-05,42.5,43.9,42.2,42.3,37501.0
CRYSTALINS,2022-04-06,41.7,42.9,41.7,42.0,31321.0
CRYSTALINS,2022-04-07,41.6,41.8,41.2,41.3,27263.0
CRYSTALINS,2022-04-10,42.9,42.9,41.6,42.0,9042.0
CRYSTALINS,2022-04-11,42.8,42.8,41.2,41.4,20426.0
CRYSTALINS,2022-04-12,41.2,41.7,40.6,40.6,41531.0
CRYSTALINS,2022-04-13,40.5,40.6,39.8,40.4,51655.0
CRYSTALINS,2022-04-17,39.7,40.3,39.6,39.7,19712.0
