symbol,date,open,high,low,close,volume
CVOPRL,2022-01-02,192.8,209.6,192.8,209.6,579629.0
CVOPRL,2022-01-03,215.1,219.0,201.1,208.1,576336.0
CVOPRL,2022-01-04,209.0,220.4,205.8,217.1,554954.0
CVOPRL,2022-01-05,225.0,229.3,220.6,226.6,555907.0
CVOPRL,2022-01-06,227.0,228.5,212.4,215.8,380789.0
CVOPRL,2022-01-09,216.6,226.0,215.3,216.5,397506.0
CVOPRL,2022-01-10,219.4,224.0,213.7,215.7,363989.0
CVOPRL,2022-01-11,216.9,219.9,210.2,215.3,448552.0
CVOPRL,2022-01-12,219.8,223.7,212.8,214.4,477817.0
CVOPRL,2022-01-13,219.0,227.9,219.0,225.6,860611.0
CVOPRL,2022-01-16,235.5,243.3,231.7,236.2,871621.0
CVOPRL,2022-01-17,236.2,237.7,222.1,224.5,677591.0
CVOPRL,2022-01-18,224.5,238.7,223.1,234.9,563890.0
CVOPRL,2022-01-19,238.8,238.8,227.3,228.8,411618.0
CVOPRL,2022-01-20,228.0,233.7,225.0,227.0,462253.0
CVOPRL,2022-01-23,230.0,235.0,226.6,229.4,438198.0
CVOPRL,2022-01-24,229.7,233.8,223.3,224.2,282994.0
CVOPRL,2022-01-25,225.0,227.9,217.0,218.7,310412.0
CVOPRL,2022-01-26,218.0,221.1,214.5,218.3,210910.0
CVOPRL,2022-01-27,223.0,226.9,218.6,220.1,317416.0
CVOPRL,2022-01-30,223.0,225.0,212.0,214.1,240641.0
CVOPRL,2022-01-31,210.0,229.7,208.1,224.4,495092.0
CVOPRL,2022-02-01,225.0,232.5,220.0,222.0,431490.0
CVOPRL,2022-02-02,225.0,227.0,216.3,217.8,257899.0
CVOPRL,2022-02-03,218.0,221.9,215.0,216.3,157166.0
CVOPRL,2022-02-06,217.0,217.8,211.6,212.9,210780.0
CVOPRL,2022-02-07,211.4,217.0,211.0,211.7,110167.0
CVOPRL,2022-02-08,213.9,215.0,210.8,211.3,118765.0
CVOPRL,2022-02-09,211.6,219.3,211.5,214.3,157730.0
CVOPRL,2022-02-10,214.6,219.3,212.5,213.4,145912.0
CVOPRL,2022-02-13,212.7,223.8,212.7,222.1,348860.0
CVOPRL,2022-02-14,222.0,227.5,216.8,217.6,314784.0
CVOPRL,2022-02-15,218.0,226.9,217.0,222.6,363578.0
CVOPRL,2022-02-16,222.7,227.5,220.0,220.4,261254.0
CVOPRL,2022-02-17,221.3,226.8,217.6,218.5,227754.0
CVOPRL,2022-02-20,218.6,222.4,214.0,215.3,240850.0
