symbol,date,open,high,low,close,volume
Ceramics Sector,2022-01-02,72.8,73.58,72.14,72.8,1673222.0
Ceramics Sector,2022-01-03,72.52000000000001,74.32000000000001,72.17999999999999,72.92,2125508.0
Ceramics Sector,2022-01-04,72.58,73.53999999999999,72.02000000000001,72.98,1419983.0
Ceramics Sector,2022-01-05,73.74,74.3,72.62,73.48,3731690.0
Ceramics Sector,2022-01-06,73.61999999999999,74.64,72.96000000000001,73.53999999999999,2651098.0
Ceramics Sector,2022-01-09,73.76,75.7,73.24,73.76,3873254.0
Ceramics Sector,2022-01-10,74.67999999999999,75.16,73.1,73.86,2028233.0
Ceramics Sector,2022-01-11,73.94,77.08,73.47999999999999,75.72,8003925.0
Ceramics Sector,2022-01-12,76.46,79.03999999999999,75.3,77.32,15744533.0
Ceramics Sector,2022-01-13,77.56,79.47999999999999,76.08,77.3,8470315.0
Ceramics Sector,2022-01-16,78.06,81.36,76.96000000000001,79.47999999999999,16759445.0
Ceramics Sector,2022-01-17,80.47999999999999,81.16,76.94,77.36,10642977.0
Ceramics Sector,2022-01-18,77.72,78.62,76.08,76.54,11519996.0
Ceramics Sector,2022-01-19,77.64,79.36,76.36,77.5,7123388.0
Ceramics Sector,2022-01-20,78.02000000000001,78.82000000000001,76.22,76.67999999999999,7743815.0
Ceramics Sector,2022-01-23,76.82000000000001,78.22,74.74,76.52000000000001,10503810.0
Ceramics Sector,2022-01-24,76.72,77.14,74.52000000000001,75.24,5855628.0
Ceramics Sector,2022-01-25,75.9,76.52000000000001,74.64,75.05999999999999,5260150.0
Ceramics Sector,2022-01-26,76.08,76.66,74.82000000000001,75.36,6247776.0
Ceramics Sector,2022-01-27,75.88,76.7,75.16,75.76,8155540.0
Ceramics Sector,2022-01-30,76.14,76.8,74.64,75.26,7043762.0
Ceramics Sector,2022-01-31,75.36,75.58,73.2,73.53999999999999,4620566.0
Ceramics Sector,2022-02-01,74.52000000000001,75.78,73.02000000000001,74.1,7006403.0
Ceramics Sector,2022-02-02,74.42,75.92,73.34,73.7,6194247.0
Ceramics Sector,2022-02-03,73.56,74.18,72.58,72.94,6864770.0
Ceramics Sector,2022-02-06,73.1,74.3,71.96000000000001,72.26,5180890.0
Ceramics Sector,2022-02-07,72.94,73.6,71.94,72.38,3579362.0
Ceramics Sector,2022-02-08,72.42,73.32000000000001,72.02000000000001,72.36,2948896.0
Ceramics Sector,2022-02-09,73.02000000000001,73.52000000000001,72.17999999999999,72.8,3524703.0
Ceramics Sector,2022-02-10,73.44,75.4,72.74,74.06,3314669.0
Ceramics Sector,2022-02-13,75.8,78.5,73.94,75.76,2800473.0
Ceramics Sector,2022-02-14,76.17999999999999,76.52000000000001,73.86,74.46000000000001,2277803.0
Ceramics Sector,2022-02-15,74.44,75.9,71.34,73.47999999999999,2251878.0
Ceramics Sector,2022-02-16,74.5,76.22,73.84,75.1,2802593.0
Ceramics Sector,2022-02-17,75.86,77.94,74.03999999999999,76.12,2056049.0
Ceramics Sector,2022-02-20,76.06,80.3,75.76,78.88,2326088.0
Ceramics Sector,2022-02-22,79.96000000000001,81.44,77.24,77.96000000000001,2498340.0
Ceramics Sector,2022-02-23,78.26,78.6,75.53999999999999,76.34,2472287.0
Ceramics Sector,2022-02-24,76.94,77.88,73.74,74.67999999999999,2751378.0
Ceramics Sector,2022-02-27,73.46000000000001,74.4,70.66,71.14,2606341.0
Ceramics Sector,2022-02-28,72.97999999999999,74.16,71.16,72.6,1934983.0
Ceramics Sector,2022-03-01,73.52000000000001,74.56,72.0,72.35999999999999,2609778.0
Ceramics Sector,2022-03-02,73.12,73.3,70.66,71.17999999999999,1636718.0
Ceramics Sector,2022-03-03,71.94,72.47999999999999,70.47999999999999,71.4,1295792.0
Ceramics Sector,2022-03-06,72.22,72.5,70.78,71.06,1055441.0
Ceramics Sector,2022-03-07,70.08,71.47999999999999,68.14,68.52000000000001,1888020.0
Ceramics Sector,2022-03-08,69.67999999999999,69.82000000000001,65.88,68.36,1750487.0
Ceramics Sector,2022-03-09,70.12,71.4,68.92,70.86,2777534.0
Ceramics Sector,2022-03-10,71.02000000000001,72.32000000000001,69.75999999999999,70.32000000000001,2897588.0
Ceramics Sector,2022-03-13,70.66,72.62,70.12,71.6,4582320.0
Ceramics Sector,2022-03-14,72.64,73.02000000000001,71.38,71.82000000000001,2567455.0
Ceramics Sector,2022-03-15,71.74,72.22,70.94,71.12,3181923.0
Ceramics Sector,2022-03-16,71.38,72.42,70.66,71.14,1525230.0
Ceramics Sector,2022-03-20,71.52000000000001,71.78,70.08,70.2,986986.0
Ceramics Sector,2022-03-21,69.96000000000001,71.08000000000001,69.42,69.74,1327114.0
Ceramics Sector,2022-03-22,70.28,71.86,69.8,70.97999999999999,1369361.0
Ceramics Sector,2022-03-23,71.92,72.26,70.06,70.3,1897870.0
Ceramics Sector,2022-03-24,70.2,70.8,69.6,70.08000000000001,1260437.0
Ceramics Sector,2022-03-27,70.94,71.42,69.62,70.02000000000001,2774132.0
Ceramics Sector,2022-03-28,69.82000000000001,71.32000000000001,69.66,70.72,1488741.0
Ceramics Sector,2022-03-29,70.96,72.72,70.76,71.67999999999999,2281440.0
Ceramics Sector,2022-03-30,71.78,72.3,70.8,71.12,1290512.0
Ceramics Sector,2022-03-31,70.94,71.72,70.16,70.6,1705348.0
Ceramics Sector,2022-04-03,70.72,71.46000000000001,69.72,69.96000000000001,1029127.0
Ceramics Sector,2022-04-04,69.94,70.6,69.26,69.86,1095080.0
Ceramics Sector,2022-04-05,69.8,70.38000000000001,68.97999999999999,69.34,735442.0
Ceramics Sector,2022-04-06,70.16,70.6,68.6,68.8,1358862.0
Ceramics Sector,2022-04-07,69.06,69.58,68.14000000000001,68.52000000000001,886490.0
Ceramics Sector,2022-04-10,68.34,69.44000000000001,67.9,68.78,898710.0
Ceramics Sector,2022-04-11,69.08,69.58,68.28,68.52000000000001,1449515.0
Ceramics Sector,2022-04-12,68.22,68.76,67.3,67.78,1070638.0
Ceramics Sector,2022-04-13,67.46000000000001,68.5,66.58,67.61999999999999,981523.0
Ceramics Sector,2022-04-17,67.86,68.12,66.5,66.74,683087.0
Ceramics Sector,2022-04-18,65.94,66.94,65.44,65.67999999999999,876430.0
Ceramics Sector,2022-04-19,64.7,66.36,64.4,65.62,1296358.0
Ceramics Sector,2022-04-20,65.94,66.58,65.34,66.06,981928.0
Ceramics Sector,2022-04-21,66.03999999999999,67.4,65.72,67.0,1417933.0
Ceramics Sector,2022-04-24,67.74,68.56,66.53999999999999,66.97999999999999,1680113.0
Ceramics Sector,2022-04-25,67.56,67.66,66.32000000000001,66.56,930720.0
Ceramics Sector,2022-04-26,66.5,67.36,65.38,66.38,1078734.0
Ceramics Sector,2022-04-27,66.56,67.34,65.96000000000001,66.36,872062.0
Ceramics Sector,2022-04-28,66.53999999999999,67.26,65.02000000000001,66.14,2876711.0
Ceramics Sector,2022-05-05,68.46000000000001,69.16,65.92,66.84,4527465.0
Ceramics Sector,2022-05-08,67.28,68.7,65.97999999999999,67.68,6592976.0
Ceramics Sector,2022-05-09,68.24000000000001,70.88,68.03999999999999,70.47999999999999,13736349.0
Ceramics Sector,2022-05-10,70.94,73.06,69.7,70.7,11698553.0
Ceramics Sector,2022-05-11,70.14,71.16,68.67999999999999,69.36,9562180.0
Ceramics Sector,2022-05-12,68.94,71.86,68.5,70.74,13749187.0
Ceramics Sector,2022-05-16,71.1,72.52000000000001,69.4,70.28,24589957.0
Ceramics Sector,2022-05-17,71.22,71.38,67.28,68.7,19304599.0
Ceramics Sector,2022-05-18,69.6,71.14,66.16,67.12,13017090.0
Ceramics Sector,2022-05-19,66.67999999999999,68.02000000000001,64.67999999999999,65.67999999999999,11020728.0
Ceramics Sector,2022-05-22,65.88,66.47999999999999,62.67999999999999,63.17999999999999,4862497.0
Ceramics Sector,2022-05-23,64.88,67.38,63.52,64.9,13789342.0
Ceramics Sector,2022-05-24,65.7,66.64,62.98,63.720000000000006,7559377.0
Ceramics Sector,2022-05-25,64.17999999999999,64.6,62.2,62.66,8964735.0
Ceramics Sector,2022-05-26,64.2,65.03999999999999,62.120000000000005,63.56,4730918.0
Ceramics Sector,2022-05-29,64.7,68.4,64.36,67.24000000000001,7686256.0
Ceramics Sector,2022-05-30,68.96000000000001,70.5,67.02,67.97999999999999,7261331.0
Ceramics Sector,2022-05-31,68.02000000000001,68.94000000000001,67.1,67.32000000000001,4723523.0
Ceramics Sector,2022-06-01,67.08,70.56,66.88,69.74,5842584.0
Ceramics Sector,2022-06-02,69.84,73.06,69.42,71.48,7084282.0
Ceramics Sector,2022-06-05,72.04,72.76,70.4,70.94,9222783.0
Ceramics Sector,2022-06-06,71.14000000000001,71.56,69.74,69.82000000000001,5885343.0
Ceramics Sector,2022-06-07,69.86,70.22,68.6,68.72,4066287.0
Ceramics Sector,2022-06-08,68.74,70.28,68.08,69.67999999999999,13915432.0
Ceramics Sector,2022-06-09,70.53999999999999,71.42,69.03999999999999,69.67999999999999,13003691.0
Ceramics Sector,2022-06-12,69.42,71.9,68.8,70.76,13982032.0
Ceramics Sector,2022-06-13,70.46000000000001,72.22,70.08,70.36,8786864.0
Ceramics Sector,2022-06-14,70.6,72.16,69.5,71.22,21237715.0
Ceramics Sector,2022-06-15,71.78,75.16,70.94,74.42,25094363.0
Ceramics Sector,2022-06-16,74.62,76.97999999999999,73.56,73.82000000000001,23502527.0
Ceramics Sector,2022-06-19,73.66,75.08000000000001,72.41999999999999,72.94,17723942.0
Ceramics Sector,2022-06-20,72.82000000000001,73.47999999999999,71.74,71.78,8034135.0
Ceramics Sector,2022-06-21,71.0,72.22,70.66,70.74000000000001,9248513.0
Ceramics Sector,2022-06-22,70.02000000000001,71.66,69.58,70.38,8587071.0
Ceramics Sector,2022-06-23,71.76,72.78,71.02000000000001,71.7,10929433.0
Ceramics Sector,2022-06-26,72.2,73.16,70.82000000000001,71.6,9256944.0
Ceramics Sector,2022-06-27,71.28,73.12,70.72,71.97999999999999,13427924.0
Ceramics Sector,2022-06-28,72.97999999999999,74.5,72.03999999999999,72.78,13802716.0
Ceramics Sector,2022-06-29,72.58,73.67999999999999,71.96000000000001,72.17999999999999,10993215.0
Ceramics Sector,2022-06-30,72.5,73.02000000000001,71.36,71.75999999999999,9601216.0
Ceramics Sector,2022-07-03,71.94,74.47999999999999,70.86,71.22,5105368.0
Ceramics Sector,2022-07-04,71.46000000000001,73.76,70.86,72.76,7360824.0
Ceramics Sector,2022-07-05,73.32000000000001,76.24,72.82000000000001,74.3,12054832.0
Ceramics Sector,2022-07-06,74.1,76.34,73.34,74.26,6168573.0
Ceramics Sector,2022-07-07,74.61999999999999,75.03999999999999,73.46000000000001,73.8,5719259.0
Ceramics Sector,2022-07-12,73.72,74.3,72.78,72.94,5230770.0
Ceramics Sector,2022-07-13,73.82000000000001,75.92,71.74,72.47999999999999,8201398.0
Ceramics Sector,2022-07-14,73.14,73.74,71.78,72.94,3889222.0
Ceramics Sector,2022-07-17,75.47999999999999,76.67999999999999,74.14,75.7,4163139.0
Ceramics Sector,2022-07-18,77.42,79.52000000000001,74.8,75.14,2517574.0
Ceramics Sector,2022-07-19,74.5,74.66,73.67999999999999,73.74,916330.0
Ceramics Sector,2022-07-20,73.64,75.16,72.34,72.7,4722075.0
Ceramics Sector,2022-07-21,74.46000000000001,74.94,71.3,72.08000000000001,3951194.0
Ceramics Sector,2022-07-24,72.3,72.78,70.67999999999999,70.67999999999999,2313096.0
Ceramics Sector,2022-07-25,71.88,73.6,69.32000000000001,71.14000000000001,4993739.0
Ceramics Sector,2022-07-26,73.17999999999999,73.28,69.88,70.2,3984121.0
Ceramics Sector,2022-07-27,69.76,69.96000000000001,68.86,68.86,2320939.0
Ceramics Sector,2022-07-28,68.06,70.08,67.53999999999999,67.62,3442228.0
Ceramics Sector,2022-07-31,69.7,70.42,69.64,70.1,3546298.0
Ceramics Sector,2022-08-01,70.2,72.64,69.86,70.82000000000001,7798226.0
Ceramics Sector,2022-08-02,71.56,72.8,70.44,71.72,6689122.0
Ceramics Sector,2022-08-03,72.92,73.38,70.6,71.02000000000001,8148767.0
Ceramics Sector,2022-08-04,71.42,71.5,70.3,70.56,5812865.0
Ceramics Sector,2022-08-07,70.28,71.16,69.82000000000001,70.02000000000001,4985999.0
Ceramics Sector,2022-08-08,70.34,70.94,70.0,70.4,5605022.0
Ceramics Sector,2022-08-10,70.36,70.74,69.8,69.92,3868704.0
Ceramics Sector,2022-08-11,70.08,70.24,69.66,69.76,2835044.0
Ceramics Sector,2022-08-14,70.26,70.26,69.67999999999999,69.8,2075303.0
Ceramics Sector,2022-08-16,70.03999999999999,70.53999999999999,69.78,70.14,3557122.0
Ceramics Sector,2022-08-17,70.34,71.16,70.16,70.56,5803063.0
Ceramics Sector,2022-08-21,70.67999999999999,71.16,70.22,70.6,4719683.0
Ceramics Sector,2022-08-22,70.96000000000001,74.24,70.74,72.55999999999999,8319441.0
Ceramics Sector,2022-08-23,73.56,74.46000000000001,71.6,72.53999999999999,6933861.0
Ceramics Sector,2022-08-24,72.82000000000001,73.4,71.1,71.28,4220847.0
Ceramics Sector,2022-08-25,72.05999999999999,73.24,70.6,72.26,6061774.0
Ceramics Sector,2022-08-28,72.24,76.0,71.84,72.68,10217416.0
Ceramics Sector,2022-08-29,72.78,73.64000000000001,71.53999999999999,72.58,6444685.0
Ceramics Sector,2022-08-30,72.34,73.1,71.28,71.66,5845977.0
Ceramics Sector,2022-08-31,72.32000000000001,73.12,71.44,71.94,7715390.0
Ceramics Sector,2022-09-01,72.17999999999999,73.58,71.82000000000001,72.86,9516103.0
Ceramics Sector,2022-09-04,73.4,75.68,72.4,73.32,14432627.0
Ceramics Sector,2022-09-05,74.16,74.28,71.6,71.92,5308756.0
Ceramics Sector,2022-09-06,72.42,73.16,71.38,72.4,7085268.0
Ceramics Sector,2022-09-07,72.9,73.72,71.6,72.1,11564895.0
Ceramics Sector,2022-09-08,72.53999999999999,73.53999999999999,71.46000000000001,71.97999999999999,11871399.0
Ceramics Sector,2022-09-11,72.24,73.56,71.03999999999999,72.22,17615498.0
Ceramics Sector,2022-09-12,72.58,73.38,71.5,71.84,8847619.0
Ceramics Sector,2022-09-13,72.38,73.44,71.58,72.36,11390004.0
Ceramics Sector,2022-09-14,73.26,73.74,71.47999999999999,71.82000000000001,7565024.0
Ceramics Sector,2022-09-15,72.14,73.5,71.6,72.24,6428378.0
Ceramics Sector,2022-09-18,73.4,77.08,72.14,75.64000000000001,8904339.0
Ceramics Sector,2022-09-19,78.8,81.03999999999999,75.44,78.14,13593538.0
Ceramics Sector,2022-09-20,78.58,79.97999999999999,73.35999999999999,74.26,15085646.0
Ceramics Sector,2022-09-21,74.17999999999999,74.67999999999999,71.76,72.0,8476945.0
Ceramics Sector,2022-09-22,73.74000000000001,74.76,71.7,72.26,6016528.0
Ceramics Sector,2022-09-25,73.03999999999999,75.52000000000001,72.28,73.85999999999999,7836924.0
Ceramics Sector,2022-09-26,73.84,75.48,72.32000000000001,72.84,7125560.0
Ceramics Sector,2022-09-27,72.97999999999999,74.26,72.22,72.5,8922113.0
Ceramics Sector,2022-09-28,72.96000000000001,74.84,72.22,73.72,19514597.0
Ceramics Sector,2022-09-29,74.38,75.06,72.88,73.16,10011481.0
Ceramics Sector,2022-10-02,73.1,74.3,72.66,73.12,10934406.0
Ceramics Sector,2022-10-03,73.94,74.62,73.02000000000001,73.24,10610055.0
Ceramics Sector,2022-10-04,73.32000000000001,73.82000000000001,72.62,72.9,7754582.0
Ceramics Sector,2022-10-06,72.97999999999999,74.7,72.56,73.46000000000001,6023363.0
Ceramics Sector,2022-10-10,73.76,76.55999999999999,72.1,74.16,8537594.0
Ceramics Sector,2022-10-11,74.84,77.76,74.32000000000001,74.86,5537619.0
Ceramics Sector,2022-10-12,75.03999999999999,76.17999999999999,73.76,75.04,4909919.0
Ceramics Sector,2022-10-13,75.17999999999999,78.84,74.8,76.44,8833788.0
Ceramics Sector,2022-10-16,77.06,78.16,73.8,74.53999999999999,5413993.0
Ceramics Sector,2022-10-17,74.67999999999999,76.28,71.97999999999999,72.44,5191667.0
Ceramics Sector,2022-10-18,72.55999999999999,73.52000000000001,71.72,71.97999999999999,3557409.0
Ceramics Sector,2022-10-19,72.78,74.06,71.38,72.02000000000001,3893951.0
Ceramics Sector,2022-10-20,72.78,72.78,70.8,71.34,2693116.0
Ceramics Sector,2022-10-23,71.58,72.0,69.72,69.86,2764439.0
Ceramics Sector,2022-10-24,70.38,70.44,69.66,69.8,1401650.0
Ceramics Sector,2022-10-25,70.22,71.1,69.94,70.06,1653164.0
Ceramics Sector,2022-10-26,70.12,71.56,70.0,70.66,2617984.0
Ceramics Sector,2022-10-27,70.86,70.96000000000001,70.26,70.42,1682642.0
Ceramics Sector,2022-10-30,70.06,72.0,70.06,71.78,496135.0
Ceramics Sector,2022-10-31,71.86,72.76,71.12,71.46000000000001,622855.0
Ceramics Sector,2022-11-01,71.8,72.8,71.26,72.47999999999999,644564.0
