symbol,date,open,high,low,close,volume
DACCADYE,2022-01-02,24.1,26.3,23.9,26.0,3644462.0
DACCADYE,2022-01-03,26.3,26.8,24.9,25.0,3747166.0
DACCADYE,2022-01-04,24.8,25.3,24.0,24.4,3262178.0
DACCADYE,2022-01-05,24.4,25.5,24.4,25.3,2571511.0
DACCADYE,2022-01-06,25.2,25.6,23.6,24.1,2075383.0
DACCADYE,2022-01-09,26.2,27.5,23.9,24.5,6885112.0
DACCADYE,2022-01-10,24.6,24.8,22.8,23.0,2802292.0
DACCADYE,2022-01-11,23.0,23.6,22.1,22.3,3865762.0
DACCADYE,2022-01-12,22.5,24.4,22.4,23.0,2068698.0
DACCADYE,2022-01-13,23.1,23.6,22.8,23.1,2106060.0
DACCADYE,2022-01-16,23.3,23.8,22.8,23.0,2157042.0
DACCADYE,2022-01-17,23.3,23.7,22.9,23.0,1320405.0
DACCADYE,2022-01-18,23.3,23.5,22.7,22.8,1415510.0
DACCADYE,2022-01-19,23.0,23.1,22.6,22.7,1064218.0
DACCADYE,2022-01-20,22.8,23.1,22.5,22.6,1163296.0
DACCADYE,2022-01-23,22.6,22.8,21.6,21.7,1192543.0
DACCADYE,2022-01-24,21.9,22.3,21.5,21.6,791236.0
DACCADYE,2022-01-25,21.7,22.6,21.7,22.3,1012759.0
DACCADYE,2022-01-26,22.4,22.6,22.1,22.4,862492.0
DACCADYE,2022-01-27,22.6,23.6,22.3,22.9,1799849.0
DACCADYE,2022-01-30,23.4,23.7,22.6,22.8,1090565.0
DACCADYE,2022-01-31,22.8,23.0,22.0,22.1,848474.0
DACCADYE,2022-02-01,22.2,22.5,21.9,22.0,408394.0
DACCADYE,2022-02-02,22.1,22.5,21.8,21.9,502063.0
DACCADYE,2022-02-06,22.2,23.3,22.0,22.9,1528383.0
DACCADYE,2022-02-07,23.2,23.4,22.0,22.2,884237.0
DACCADYE,2022-02-08,22.3,22.7,22.2,22.3,632773.0
DACCADYE,2022-02-09,23.8,24.3,23.2,23.3,3224075.0
DACCADYE,2022-02-10,23.3,23.6,22.6,22.8,1542029.0
DACCADYE,2022-02-13,23.2,23.3,22.2,22.3,1260309.0
