symbol,date,open,high,low,close,volume
DAFODILCOM,2022-01-02,70.4,70.4,66.6,69.5,27333.0
DAFODILCOM,2022-01-03,66.0,67.5,66.0,67.0,1686.0
DAFODILCOM,2022-01-04,67.1,70.1,61.0,69.9,170928.0
DAFODILCOM,2022-01-05,69.9,72.0,68.3,70.6,32499.0
DAFODILCOM,2022-01-06,67.6,70.8,67.6,70.2,10619.0
DAFODILCOM,2022-01-09,67.0,71.7,67.0,70.4,14625.0
DAFODILCOM,2022-01-10,67.5,71.0,67.5,70.8,21903.0
DAFODILCOM,2022-01-11,68.5,71.6,68.5,70.9,14438.0
DAFODILCOM,2022-01-12,70.7,70.7,67.4,68.5,3050.0
DAFODILCOM,2022-01-13,68.3,69.0,68.0,68.6,1580.0
DAFODILCOM,2022-01-16,69.0,69.1,64.5,66.0,3094.0
DAFODILCOM,2022-01-17,69.0,69.0,68.9,69.0,1050.0
DAFODILCOM,2022-01-18,68.7,68.7,67.3,67.4,5414.0
DAFODILCOM,2022-01-19,66.1,67.8,66.1,67.6,653.0
DAFODILCOM,2022-01-20,66.6,66.6,63.7,65.9,4825.0
DAFODILCOM,2022-01-23,65.7,65.7,65.5,65.6,780.0
DAFODILCOM,2022-01-24,65.5,68.0,65.5,67.8,1730.0
DAFODILCOM,2022-01-25,65.1,67.8,64.5,65.0,54271.0
DAFODILCOM,2022-01-26,66.1,66.1,66.0,66.1,5687.0
DAFODILCOM,2022-01-27,65.4,67.1,65.4,66.1,595.0
DAFODILCOM,2022-01-30,62.0,67.0,62.0,66.8,4786.0
DAFODILCOM,2022-01-31,64.0,70.9,64.0,69.6,22439.0
DAFODILCOM,2022-02-01,70.0,70.0,66.3,67.8,3622.0
DAFODILCOM,2022-02-02,68.0,69.9,67.0,69.0,7867.0
DAFODILCOM,2022-02-03,69.0,69.0,67.0,68.1,5818.0
DAFODILCOM,2022-02-06,67.5,67.5,66.8,67.0,4170.0
DAFODILCOM,2022-02-07,66.0,68.0,62.3,64.2,4918.0
DAFODILCOM,2022-02-08,68.9,69.0,66.3,68.6,7345.0
DAFODILCOM,2022-02-09,67.1,67.1,66.0,66.4,2866.0
DAFODILCOM,2022-02-10,68.0,68.0,66.7,67.9,1110.0
DAFODILCOM,2022-02-13,67.8,67.8,66.1,67.0,3240.0
DAFODILCOM,2022-02-14,65.5,66.0,65.0,65.6,3124.0
DAFODILCOM,2022-02-15,65.6,67.7,65.6,66.2,39.0
DAFODILCOM,2022-02-16,66.1,67.7,62.0,64.5,8101.0
DAFODILCOM,2022-02-17,64.5,65.0,64.5,64.9,2507.0
DAFODILCOM,2022-02-20,63.6,66.5,62.4,63.6,5109.0
DAFODILCOM,2022-02-22,63.9,65.5,62.1,62.9,10988.0
DAFODILCOM,2022-02-23,63.5,64.8,63.1,63.3,16137.0
DAFODILCOM,2022-02-24,63.3,63.3,63.1,63.1,15053.0
DAFODILCOM,2022-02-27,64.5,65.7,60.6,63.3,5090.0
DAFODILCOM,2022-02-28,62.4,64.4,62.4,63.1,2092.0
DAFODILCOM,2022-03-01,63.3,64.6,63.1,63.2,10670.0
DAFODILCOM,2022-03-02,63.1,64.4,62.4,63.4,1437.0
DAFODILCOM,2022-03-03,62.4,62.5,62.4,62.4,916.0
DAFODILCOM,2022-03-06,62.7,63.6,60.1,63.4,7783.0
DAFODILCOM,2022-03-07,62.0,63.8,62.0,62.2,3944.0
DAFODILCOM,2022-03-08,61.0,62.7,61.0,61.2,2226.0
DAFODILCOM,2022-03-09,61.6,64.4,61.6,63.6,3416.0
DAFODILCOM,2022-03-10,65.0,67.0,64.0,66.3,24769.0
DAFODILCOM,2022-03-13,66.3,68.0,66.3,67.7,4862.0
DAFODILCOM,2022-03-14,66.5,66.6,66.4,66.5,2029.0
DAFODILCOM,2022-03-15,68.9,70.3,68.0,70.1,23700.0
DAFODILCOM,2022-03-16,72.0,72.0,68.8,69.4,36543.0
DAFODILCOM,2022-03-20,68.1,68.2,68.1,68.1,25000.0
DAFODILCOM,2022-03-21,66.9,74.0,66.9,68.4,298926.0
DAFODILCOM,2022-03-22,68.7,71.0,67.7,70.9,235447.0
DAFODILCOM,2022-03-23,70.4,72.8,69.6,71.1,101636.0
DAFODILCOM,2022-03-24,73.0,73.0,69.7,71.3,34631.0
DAFODILCOM,2022-03-27,74.3,74.3,69.9,72.0,53321.0
DAFODILCOM,2022-03-28,73.0,73.0,70.6,72.3,23419.0
DAFODILCOM,2022-03-29,71.0,73.1,71.0,72.9,80563.0
DAFODILCOM,2022-03-30,73.5,74.2,71.5,72.9,23338.0
DAFODILCOM,2022-03-31,74.0,74.0,74.0,74.0,10.0
DAFODILCOM,2022-04-03,72.6,72.6,72.6,72.6,1925.0
DAFODILCOM,2022-04-04,72.4,74.0,71.2,73.5,16875.0
DAFODILCOM,2022-04-05,72.1,72.1,72.1,72.1,100.0
DAFODILCOM,2022-04-06,70.7,73.0,70.7,72.9,34483.0
