symbol,date,open,high,low,close,volume
DBH,2022-01-02,78.2,78.3,76.3,78.0,51898.0
DBH,2022-01-03,78.6,78.8,77.8,78.3,52836.0
DBH,2022-01-04,77.9,78.2,77.0,77.4,46005.0
DBH,2022-01-05,77.9,79.4,77.5,78.2,188697.0
DBH,2022-01-06,79.0,79.0,78.0,78.6,93069.0
DBH,2022-01-09,78.6,79.3,78.2,78.3,91250.0
DBH,2022-01-10,78.4,78.8,77.1,77.5,151466.0
DBH,2022-01-11,77.6,79.0,77.0,77.4,508860.0
DBH,2022-01-12,78.0,78.5,76.7,77.0,229232.0
DBH,2022-01-13,77.2,77.9,77.0,77.3,67748.0
DBH,2022-01-16,77.8,77.8,76.9,77.0,94285.0
DBH,2022-01-17,77.4,78.3,77.0,77.8,84858.0
DBH,2022-01-18,77.9,78.5,77.0,77.1,148664.0
DBH,2022-01-19,77.3,78.1,77.2,77.7,61686.0
DBH,2022-01-20,77.9,78.3,77.2,77.8,111628.0
DBH,2022-01-23,77.5,78.1,77.2,77.8,87060.0
DBH,2022-01-24,77.4,77.6,76.3,77.0,202746.0
DBH,2022-01-25,77.0,77.0,76.4,76.8,66891.0
DBH,2022-01-26,76.8,77.6,76.6,77.3,43144.0
DBH,2022-01-27,77.8,77.8,76.6,76.8,71585.0
DBH,2022-01-30,76.6,77.7,76.5,76.8,72640.0
DBH,2022-01-31,76.6,77.0,76.3,76.8,157937.0
DBH,2022-02-01,76.8,77.5,76.5,77.3,50773.0
DBH,2022-02-02,77.6,77.6,77.0,77.3,62666.0
DBH,2022-02-03,77.3,77.4,76.9,77.0,95892.0
DBH,2022-02-06,77.0,77.7,76.9,77.2,175842.0
DBH,2022-02-07,77.6,77.8,77.1,77.2,53964.0
DBH,2022-02-08,77.8,79.9,77.5,78.8,203967.0
DBH,2022-02-09,79.4,79.4,77.7,78.0,79285.0
DBH,2022-02-10,78.1,78.1,77.5,77.9,98582.0
DBH,2022-02-13,78.8,78.8,77.8,78.1,62143.0
DBH,2022-02-14,78.1,78.9,77.9,78.5,134027.0
DBH,2022-02-15,78.9,78.9,77.4,77.5,65375.0
DBH,2022-02-16,78.5,78.8,77.4,77.5,44460.0
DBH,2022-02-17,77.4,77.5,76.8,76.9,167729.0
DBH,2022-02-20,76.9,76.9,76.0,76.3,75921.0
DBH,2022-02-22,76.2,77.0,76.0,76.5,90507.0
DBH,2022-02-23,76.3,77.1,76.1,76.6,53372.0
DBH,2022-02-24,76.6,76.6,75.2,75.6,115747.0
DBH,2022-02-27,75.6,75.7,72.2,72.7,163104.0
DBH,2022-02-28,72.5,74.7,72.5,73.3,100743.0
DBH,2022-03-01,75.0,76.4,74.5,74.7,238599.0
DBH,2022-03-02,76.0,76.0,73.9,74.1,88683.0
DBH,2022-03-03,74.1,74.9,73.6,74.4,55175.0
DBH,2022-03-06,74.1,75.0,74.0,74.4,47562.0
DBH,2022-03-07,74.1,74.9,71.5,71.7,151144.0
DBH,2022-03-08,72.0,72.7,69.5,72.2,80614.0
DBH,2022-03-09,73.8,75.4,72.6,74.8,107300.0
DBH,2022-03-10,74.8,75.7,74.0,74.2,147712.0
DBH,2022-03-13,74.9,75.7,74.3,75.5,96522.0
DBH,2022-03-14,75.3,76.6,75.0,76.4,101089.0
DBH,2022-03-15,76.9,77.7,76.3,76.6,106474.0
DBH,2022-03-16,76.7,77.5,76.0,76.4,96605.0
DBH,2022-03-20,76.4,77.4,75.8,75.9,103858.0
DBH,2022-03-21,76.0,76.2,74.5,75.3,257464.0
DBH,2022-03-23,69.9,69.9,67.2,67.7,294770.0
DBH,2022-03-24,67.7,68.6,67.7,67.8,67531.0
DBH,2022-03-27,67.8,67.8,66.6,66.7,141011.0
DBH,2022-03-28,67.5,67.5,65.4,66.2,211141.0
DBH,2022-03-29,66.2,66.3,65.0,65.9,88565.0
DBH,2022-03-30,66.4,66.4,65.1,65.5,83500.0
DBH,2022-03-31,65.3,65.8,65.0,65.6,53849.0
DBH,2022-04-03,65.7,67.0,65.7,66.4,146084.0
DBH,2022-04-04,66.4,66.9,66.1,66.2,76189.0
DBH,2022-04-05,66.2,66.2,65.2,65.5,85141.0
DBH,2022-04-06,65.4,65.5,64.3,64.6,98485.0
DBH,2022-04-07,64.6,64.9,63.6,64.2,52288.0
DBH,2022-04-10,64.4,64.4,63.0,64.2,41891.0
DBH,2022-04-11,66.5,66.5,64.0,64.1,26018.0
DBH,2022-04-12,64.5,64.5,63.7,63.8,31282.0
DBH,2022-04-13,63.8,64.4,63.0,63.2,55225.0
DBH,2022-04-17,63.5,64.5,63.0,63.9,24454.0
DBH,2022-04-18,64.5,64.5,62.7,63.2,74859.0
DBH,2022-04-19,63.0,64.4,62.3,64.1,61338.0
DBH,2022-04-20,64.2,65.0,63.8,64.4,128899.0
DBH,2022-04-21,65.2,65.2,64.3,65.0,80463.0
DBH,2022-04-24,65.2,65.3,64.9,65.1,88292.0
DBH,2022-04-25,65.2,65.8,64.8,65.6,68108.0
DBH,2022-04-26,65.5,66.0,64.1,65.8,84968.0
DBH,2022-04-27,65.9,66.5,65.7,66.3,42947.0
DBH,2022-04-28,65.5,66.8,65.5,66.4,74532.0
DBH,2022-05-05,65.2,66.4,65.0,66.2,67612.0
DBH,2022-05-08,65.6,66.4,65.5,66.2,86600.0
DBH,2022-05-09,66.0,67.6,65.9,67.3,108618.0
DBH,2022-05-10,67.5,67.5,66.6,67.1,169525.0
DBH,2022-05-11,66.8,67.3,66.1,66.3,89260.0
DBH,2022-05-12,66.1,66.5,65.0,65.5,73928.0
DBH,2022-05-16,65.0,66.0,62.3,62.8,124879.0
DBH,2022-05-17,64.0,64.1,62.2,62.5,65384.0
DBH,2022-05-18,63.6,64.0,62.7,62.8,30492.0
DBH,2022-05-19,62.8,62.8,61.5,61.6,56739.0
DBH,2022-05-22,65.7,65.7,59.7,60.6,61594.0
DBH,2022-05-23,63.4,63.4,60.8,61.9,33869.0
DBH,2022-05-24,62.0,63.0,61.5,61.7,42520.0
DBH,2022-05-25,63.8,63.9,60.8,61.1,23038.0
DBH,2022-05-26,61.3,61.4,60.6,61.0,16145.0
DBH,2022-05-29,61.0,62.5,61.0,62.2,36099.0
DBH,2022-05-30,62.2,62.8,62.0,62.3,17153.0
DBH,2022-05-31,62.3,63.1,62.0,62.2,25519.0
DBH,2022-06-01,62.2,62.6,62.2,62.4,34323.0
DBH,2022-06-02,62.3,64.0,62.3,63.5,112659.0
DBH,2022-06-05,64.3,64.4,63.5,63.9,36769.0
DBH,2022-06-06,63.2,64.8,63.2,64.0,35680.0
DBH,2022-06-07,63.7,64.5,63.1,63.6,33398.0
DBH,2022-06-08,63.1,64.0,63.1,63.4,60833.0
DBH,2022-06-09,63.4,63.9,63.2,63.8,84205.0
DBH,2022-06-12,63.5,64.0,62.6,63.0,159240.0
DBH,2022-06-13,63.0,63.4,62.7,62.9,68976.0
DBH,2022-06-14,62.7,63.5,62.5,63.1,38213.0
DBH,2022-06-15,64.5,64.5,62.8,62.9,17353.0
DBH,2022-06-16,63.5,63.6,62.5,62.7,45426.0
DBH,2022-06-19,63.0,63.0,62.2,62.4,60180.0
DBH,2022-06-20,63.0,63.0,61.6,61.7,36713.0
DBH,2022-06-21,62.0,62.0,61.2,61.7,25273.0
DBH,2022-06-22,61.2,61.8,61.2,61.7,21101.0
DBH,2022-06-23,61.8,62.0,61.4,61.7,44466.0
DBH,2022-06-26,61.0,62.3,60.8,61.3,37768.0
DBH,2022-06-27,62.3,62.3,61.1,61.9,32694.0
