symbol,date,open,high,low,close,volume
DHAKAINS,2022-01-02,74.8,75.0,74.3,74.6,53075.0
DHAKAINS,2022-01-03,74.8,75.3,73.2,73.6,102921.0
DHAKAINS,2022-01-04,74.0,75.2,73.2,73.5,84785.0
DHAKAINS,2022-01-05,74.5,74.9,73.2,73.6,71068.0
DHAKAINS,2022-01-06,75.4,75.4,72.2,73.0,76739.0
DHAKAINS,2022-01-09,73.8,73.8,72.0,72.2,57883.0
DHAKAINS,2022-01-10,72.9,73.0,71.8,71.9,65776.0
DHAKAINS,2022-01-11,72.0,73.5,71.8,72.0,168436.0
DHAKAINS,2022-01-12,72.0,72.2,71.1,71.8,97536.0
DHAKAINS,2022-01-13,71.2,73.0,71.2,71.5,30058.0
DHAKAINS,2022-01-16,72.0,72.2,71.0,71.2,116190.0
DHAKAINS,2022-01-17,72.0,73.0,70.6,71.7,131844.0
DHAKAINS,2022-01-18,71.2,72.9,70.1,70.8,108778.0
DHAKAINS,2022-01-19,71.0,71.9,70.2,70.4,123287.0
DHAKAINS,2022-01-20,71.8,71.8,69.7,70.2,126609.0
DHAKAINS,2022-01-23,70.9,72.0,70.6,71.1,86115.0
DHAKAINS,2022-01-24,71.6,72.0,69.8,70.0,86498.0
DHAKAINS,2022-01-25,70.8,71.5,70.0,70.1,78543.0
DHAKAINS,2022-01-26,71.0,71.5,70.2,71.3,81539.0
DHAKAINS,2022-01-27,71.3,71.4,70.1,70.8,52140.0
DHAKAINS,2022-01-30,70.5,72.0,70.5,71.1,84995.0
DHAKAINS,2022-01-31,71.1,72.0,71.0,71.0,83451.0
DHAKAINS,2022-02-01,71.9,71.9,69.6,70.0,109098.0
DHAKAINS,2022-02-02,70.9,71.5,70.1,70.7,47109.0
DHAKAINS,2022-02-03,71.4,71.9,70.0,70.2,100085.0
DHAKAINS,2022-02-06,71.7,73.5,71.5,73.0,205690.0
DHAKAINS,2022-02-07,73.3,75.2,72.7,74.5,214834.0
DHAKAINS,2022-02-08,74.7,76.1,73.2,73.4,192367.0
DHAKAINS,2022-02-09,73.1,74.1,73.0,73.1,61704.0
DHAKAINS,2022-02-10,72.8,73.9,72.6,72.9,74132.0
DHAKAINS,2022-02-13,74.0,74.0,72.1,72.5,29812.0
DHAKAINS,2022-02-14,72.5,72.5,70.2,70.6,60763.0
DHAKAINS,2022-02-15,71.7,71.7,69.5,70.3,161725.0
DHAKAINS,2022-02-16,70.5,70.9,70.2,70.3,53886.0
DHAKAINS,2022-02-17,70.8,70.9,68.0,68.6,153889.0
DHAKAINS,2022-02-20,68.6,68.9,66.0,66.6,36849.0
DHAKAINS,2022-02-22,66.7,68.0,65.0,66.8,64781.0
DHAKAINS,2022-02-23,67.0,67.8,65.9,66.4,42536.0
DHAKAINS,2022-02-24,66.4,67.0,64.5,64.9,48355.0
DHAKAINS,2022-02-27,63.7,63.9,62.0,62.5,42348.0
DHAKAINS,2022-02-28,62.6,64.0,62.2,63.0,17703.0
DHAKAINS,2022-03-01,65.4,69.3,63.5,66.1,59441.0
DHAKAINS,2022-03-02,66.0,66.0,63.9,64.3,15437.0
DHAKAINS,2022-03-03,64.0,65.6,63.1,64.8,10355.0
DHAKAINS,2022-03-06,64.8,64.8,62.0,62.2,33146.0
DHAKAINS,2022-03-07,62.0,63.6,60.2,60.6,28161.0
DHAKAINS,2022-03-08,60.6,60.6,56.5,59.7,39473.0
DHAKAINS,2022-03-09,64.7,65.6,60.8,64.8,47414.0
