symbol,date,open,high,low,close,volume
DOREENPWR,2022-01-02,68.0,70.7,68.0,69.9,270773.0
DOREENPWR,2022-01-03,70.1,71.1,69.7,70.1,506350.0
DOREENPWR,2022-01-04,70.3,70.3,69.0,69.3,106442.0
DOREENPWR,2022-01-05,69.4,71.2,69.4,70.3,481880.0
DOREENPWR,2022-01-06,70.4,72.3,70.4,71.9,498149.0
DOREENPWR,2022-01-09,72.0,72.4,69.5,70.2,260618.0
DOREENPWR,2022-01-10,69.7,70.6,69.3,70.5,312733.0
DOREENPWR,2022-01-11,70.8,72.4,70.6,70.9,328232.0
DOREENPWR,2022-01-12,71.0,71.4,68.9,69.5,273085.0
DOREENPWR,2022-01-13,69.8,69.9,68.0,68.4,369174.0
DOREENPWR,2022-01-16,70.3,70.3,68.8,69.0,223125.0
DOREENPWR,2022-01-17,69.5,75.2,69.1,74.6,1693481.0
DOREENPWR,2022-01-18,75.0,77.0,74.0,75.2,920260.0
DOREENPWR,2022-01-19,75.5,76.0,74.0,74.4,617573.0
DOREENPWR,2022-01-20,75.2,78.1,74.5,75.3,2085049.0
DOREENPWR,2022-01-23,75.2,75.2,72.6,72.9,629570.0
DOREENPWR,2022-01-24,72.9,73.1,71.0,71.2,264596.0
DOREENPWR,2022-01-25,71.9,71.9,70.0,70.5,534054.0
DOREENPWR,2022-01-26,70.7,71.9,70.6,71.4,172282.0
DOREENPWR,2022-01-27,71.9,72.4,71.2,72.0,239464.0
DOREENPWR,2022-01-30,72.1,72.6,71.2,71.8,279095.0
DOREENPWR,2022-01-31,71.9,72.4,71.6,71.8,504732.0
DOREENPWR,2022-02-01,72.0,74.1,71.6,73.6,850733.0
DOREENPWR,2022-02-02,74.1,77.0,73.7,74.8,1014388.0
DOREENPWR,2022-02-03,74.9,77.5,74.4,75.6,655738.0
DOREENPWR,2022-02-06,76.2,76.2,74.7,75.0,426855.0
DOREENPWR,2022-02-07,75.7,76.8,75.0,75.8,668674.0
DOREENPWR,2022-02-08,76.7,79.0,75.9,78.7,1633140.0
DOREENPWR,2022-02-09,78.7,79.4,77.2,78.0,596605.0
DOREENPWR,2022-02-10,78.3,78.6,76.3,77.5,778078.0
DOREENPWR,2022-02-13,77.5,78.0,76.2,76.5,271059.0
DOREENPWR,2022-02-14,78.0,78.6,75.8,76.1,826976.0
DOREENPWR,2022-02-15,76.2,76.2,73.6,74.1,569513.0
DOREENPWR,2022-02-16,75.8,75.8,74.3,75.3,304038.0
DOREENPWR,2022-02-17,75.7,75.9,74.0,74.4,235237.0
DOREENPWR,2022-02-20,74.5,74.7,72.8,72.9,293772.0
DOREENPWR,2022-02-22,73.4,74.4,72.7,73.2,126388.0
DOREENPWR,2022-02-23,74.2,74.2,73.0,73.1,238438.0
DOREENPWR,2022-02-24,73.7,73.7,69.3,69.8,814460.0
DOREENPWR,2022-02-27,69.8,72.3,68.2,70.5,454756.0
DOREENPWR,2022-02-28,70.5,72.6,70.4,72.4,304376.0
DOREENPWR,2022-03-01,72.4,72.8,70.1,70.3,308588.0
DOREENPWR,2022-03-02,70.4,71.5,69.7,70.9,128620.0
DOREENPWR,2022-03-03,71.7,72.0,70.0,71.1,204303.0
DOREENPWR,2022-03-06,71.2,71.7,70.0,71.3,121898.0
DOREENPWR,2022-03-07,71.3,71.3,67.7,68.1,266710.0
DOREENPWR,2022-03-08,69.0,70.0,66.3,69.6,314224.0
DOREENPWR,2022-03-09,71.0,71.0,69.5,70.4,364041.0
DOREENPWR,2022-03-10,71.5,71.5,69.0,69.4,277469.0
DOREENPWR,2022-03-13,70.3,71.5,69.5,71.3,128144.0
DOREENPWR,2022-03-14,71.6,71.6,70.2,70.5,149645.0
DOREENPWR,2022-03-15,71.2,71.2,70.0,70.3,255509.0
DOREENPWR,2022-03-16,71.0,71.0,70.0,70.0,196627.0
DOREENPWR,2022-03-20,70.7,70.7,69.2,69.4,118233.0
DOREENPWR,2022-03-21,70.0,70.0,69.0,69.2,75933.0
DOREENPWR,2022-03-22,70.0,71.0,69.8,70.9,158384.0
DOREENPWR,2022-03-23,71.3,71.4,70.0,70.3,235474.0
DOREENPWR,2022-03-24,70.9,71.0,70.0,70.1,146515.0
DOREENPWR,2022-03-27,70.1,70.9,69.8,70.5,59368.0
DOREENPWR,2022-03-28,70.5,71.4,70.5,71.0,148936.0
DOREENPWR,2022-03-29,71.9,72.7,71.5,72.5,360742.0
DOREENPWR,2022-03-30,72.9,73.0,71.4,71.8,214538.0
DOREENPWR,2022-03-31,72.0,72.0,71.0,71.3,118611.0
DOREENPWR,2022-04-03,72.0,72.0,70.5,70.9,125586.0
DOREENPWR,2022-04-04,70.7,71.9,70.1,70.2,183571.0
DOREENPWR,2022-04-05,71.0,71.3,70.0,70.6,119959.0
DOREENPWR,2022-04-06,71.0,71.0,70.0,70.4,121129.0
DOREENPWR,2022-04-07,70.2,70.9,69.6,70.0,104591.0
DOREENPWR,2022-04-10,70.0,71.5,70.0,71.0,114106.0
DOREENPWR,2022-04-11,71.9,72.3,71.1,71.4,216734.0
DOREENPWR,2022-04-12,71.6,71.6,70.1,70.4,148712.0
DOREENPWR,2022-04-13,70.9,72.3,70.0,72.1,212109.0
DOREENPWR,2022-04-17,72.1,72.4,71.4,71.7,103315.0
DOREENPWR,2022-04-18,72.8,72.9,71.7,72.4,981641.0
DOREENPWR,2022-04-19,72.9,79.0,72.4,77.9,1846468.0
DOREENPWR,2022-04-20,77.9,78.1,76.4,76.4,907651.0
DOREENPWR,2022-04-21,74.4,77.6,74.4,76.4,1040909.0
DOREENPWR,2022-04-24,77.0,80.0,76.8,78.2,1622939.0
DOREENPWR,2022-04-25,77.8,79.2,76.7,78.8,1102715.0
DOREENPWR,2022-04-26,78.6,82.5,78.1,81.8,2820649.0
DOREENPWR,2022-04-27,82.2,83.8,81.0,81.6,1603140.0
