symbol,date,open,high,low,close,volume
DSEX,2022-01-02,6756.66,6861.39506,6756.6568,6853.14,175105357.0
DSEX,2022-01-03,6853.14,6923.44741,6853.13908,6882.3,232041640.0
DSEX,2022-01-04,6882.3,6896.48585,6853.01438,6879.42,130662818.0
DSEX,2022-01-05,6892.99,6947.42007,6892.99375,6929.93,288355059.0
DSEX,2022-01-06,6929.93,7004.22479,6929.9319,6987.45,306071815.0
DSEX,2022-01-09,6987.45,7029.06422,6922.56829,6932.61,267045216.0
DSEX,2022-01-10,6932.61,7000.26924,6926.81253,6994.15,274991390.0
DSEX,2022-01-11,6994.15,7098.5231,6994.15481,7049.15,376411591.0
DSEX,2022-01-12,7049.15,7092.30607,6988.66423,6996.06,307514288.0
DSEX,2022-01-13,6996.06,7036.14793,6994.05083,7017.23,200038903.0
DSEX,2022-01-16,7017.23,7072.9607,7016.06673,7019.6,277505409.0
DSEX,2022-01-17,7019.6,7068.99056,7019.59675,7055.27,295183779.0
DSEX,2022-01-18,7055.27,7104.18329,7054.07958,7055.71,339091186.0
DSEX,2022-01-19,7055.71,7098.42467,7055.70941,7089.43,297489178.0
DSEX,2022-01-20,7089.43,7136.31291,7089.43268,7105.69,297337989.0
DSEX,2022-01-23,7105.69,7133.79915,7068.78421,7073.0,253651728.0
DSEX,2022-01-24,7073.0,7101.56087,7015.16767,7019.25,207039307.0
DSEX,2022-01-25,7019.25,7078.73626,7019.25364,7032.57,194733599.0
DSEX,2022-01-26,7032.57,7072.29726,7032.44413,7032.44,201365825.0
DSEX,2022-01-27,7032.44,7060.64137,7025.01699,7027.55,239795220.0
DSEX,2022-01-30,7027.55,7052.6842,6986.96078,6991.55,257263898.0
DSEX,2022-01-31,6991.55,7007.5527,6924.25947,6926.29,209595120.0
DSEX,2022-02-01,6926.29,7007.82077,6926.29042,6997.6,239018399.0
DSEX,2022-02-02,6997.6,7057.72269,6997.6036,7016.76,230037127.0
