symbol,date,open,high,low,close,volume
DSHGARME,2022-01-02,161.6,163.0,158.2,158.8,35352.0
DSHGARME,2022-01-03,163.0,163.8,161.5,163.0,88452.0
DSHGARME,2022-01-04,162.4,163.9,159.4,160.8,41153.0
DSHGARME,2022-01-05,160.8,162.0,159.0,159.4,59777.0
DSHGARME,2022-01-06,160.9,161.1,158.0,158.5,57158.0
DSHGARME,2022-01-09,156.0,159.9,155.5,156.0,38987.0
DSHGARME,2022-01-10,156.3,157.8,155.1,155.6,50259.0
DSHGARME,2022-01-11,155.6,161.9,155.6,156.1,51419.0
DSHGARME,2022-01-12,157.1,158.9,155.1,155.6,46936.0
DSHGARME,2022-01-13,157.0,161.5,157.0,157.7,66831.0
DSHGARME,2022-01-16,162.0,173.4,162.0,172.0,162520.0
DSHGARME,2022-01-17,175.0,179.0,168.0,171.0,93104.0
DSHGARME,2022-01-18,173.0,188.1,171.9,188.1,223211.0
DSHGARME,2022-01-19,202.0,206.9,196.7,204.5,426612.0
DSHGARME,2022-01-20,201.0,201.0,190.0,192.1,203424.0
DSHGARME,2022-01-23,191.7,191.7,182.1,183.2,158707.0
DSHGARME,2022-01-24,185.2,196.0,181.0,194.0,140291.0
DSHGARME,2022-01-25,194.7,197.9,182.6,183.7,108969.0
DSHGARME,2022-01-26,186.5,186.5,176.4,178.2,99256.0
DSHGARME,2022-01-27,179.8,186.0,179.0,183.7,71698.0
DSHGARME,2022-01-30,184.4,184.4,169.0,171.7,129943.0
DSHGARME,2022-01-31,172.9,176.4,168.0,168.4,98378.0
DSHGARME,2022-02-01,168.4,173.0,168.1,168.5,75196.0
DSHGARME,2022-02-02,168.9,171.5,167.6,168.4,39646.0
DSHGARME,2022-02-03,168.3,171.7,166.0,167.7,49604.0
DSHGARME,2022-02-06,166.9,167.0,162.8,164.9,65636.0
DSHGARME,2022-02-07,163.6,167.8,163.1,164.4,31944.0
DSHGARME,2022-02-08,166.7,175.0,166.7,169.0,92896.0
DSHGARME,2022-02-09,170.5,178.8,170.5,175.1,80609.0
DSHGARME,2022-02-10,175.5,184.8,175.5,182.9,122288.0
DSHGARME,2022-02-13,186.0,189.8,175.0,178.9,109094.0
DSHGARME,2022-02-14,183.8,183.8,173.2,173.8,62503.0
DSHGARME,2022-02-15,175.8,190.0,172.0,186.6,171315.0
DSHGARME,2022-02-16,188.0,193.0,182.2,185.4,179586.0
DSHGARME,2022-02-17,185.4,189.8,182.5,184.3,86646.0
DSHGARME,2022-02-20,185.0,190.0,180.2,182.5,90951.0
DSHGARME,2022-02-22,183.0,186.0,174.1,175.6,87268.0
DSHGARME,2022-02-23,179.0,179.0,174.5,175.8,38027.0
DSHGARME,2022-02-24,175.4,178.0,168.2,169.3,43310.0
DSHGARME,2022-02-27,165.5,166.5,155.0,159.0,57723.0
DSHGARME,2022-02-28,163.5,169.9,156.1,167.3,39469.0
DSHGARME,2022-03-01,174.5,174.5,164.6,166.0,43807.0
DSHGARME,2022-03-02,166.1,166.9,161.5,164.5,25610.0
DSHGARME,2022-03-03,164.0,165.9,161.2,164.8,35859.0
DSHGARME,2022-03-06,165.0,167.7,165.0,165.6,32264.0
DSHGARME,2022-03-07,167.0,167.5,156.1,156.6,64553.0
DSHGARME,2022-03-08,159.5,159.5,150.2,157.3,62006.0
DSHGARME,2022-03-09,160.0,170.0,160.0,168.2,32954.0
DSHGARME,2022-03-10,172.5,172.5,164.9,165.0,55084.0
DSHGARME,2022-03-13,166.7,166.7,161.7,165.5,39024.0
DSHGARME,2022-03-14,165.6,171.9,165.0,168.4,74603.0
DSHGARME,2022-03-15,170.9,170.9,165.1,165.2,47975.0
DSHGARME,2022-03-16,165.2,168.3,165.0,166.3,40746.0
DSHGARME,2022-03-20,165.1,167.8,163.0,163.0,31454.0
DSHGARME,2022-03-21,166.8,166.8,159.8,160.7,61192.0
DSHGARME,2022-03-22,161.3,167.0,161.3,164.4,40532.0
DSHGARME,2022-03-23,164.5,165.8,161.2,161.6,43320.0
DSHGARME,2022-03-24,161.0,164.0,161.0,163.9,24665.0
DSHGARME,2022-03-27,164.8,165.0,162.0,162.3,33074.0
DSHGARME,2022-03-28,164.0,168.0,164.0,167.8,77202.0
DSHGARME,2022-03-29,167.8,169.0,165.8,166.0,54418.0
DSHGARME,2022-03-30,167.5,167.5,163.0,164.2,35435.0
DSHGARME,2022-03-31,166.0,166.0,162.5,163.3,20773.0
DSHGARME,2022-04-03,163.3,165.0,161.1,161.5,28531.0
DSHGARME,2022-04-04,161.1,161.9,159.3,160.8,17781.0
DSHGARME,2022-04-05,165.4,165.4,160.0,160.2,26459.0
DSHGARME,2022-04-06,160.0,160.1,157.0,157.2,24352.0
DSHGARME,2022-04-07,157.1,158.0,154.1,155.3,32608.0
DSHGARME,2022-04-10,157.8,163.0,155.5,160.0,18042.0
DSHGARME,2022-04-11,161.0,162.0,157.1,157.4,10611.0
DSHGARME,2022-04-12,155.6,156.7,154.3,154.3,25239.0
DSHGARME,2022-04-13,152.1,155.1,151.4,151.9,18381.0
DSHGARME,2022-04-17,153.1,153.2,152.0,152.3,7228.0
DSHGARME,2022-04-18,150.0,152.0,149.3,149.3,9700.0
DSHGARME,2022-04-19,148.0,149.9,146.4,148.8,28882.0
DSHGARME,2022-04-20,149.0,152.3,146.4,148.7,17909.0
DSHGARME,2022-04-21,153.7,153.8,149.1,151.9,12377.0
DSHGARME,2022-04-24,151.4,158.0,151.4,156.3,29347.0
DSHGARME,2022-04-25,156.0,156.0,152.0,152.6,9740.0
DSHGARME,2022-04-26,155.0,158.0,153.2,156.1,17548.0
DSHGARME,2022-04-27,156.1,158.1,154.3,155.8,21318.0
DSHGARME,2022-04-28,157.6,157.6,154.4,155.6,11767.0
DSHGARME,2022-05-05,155.9,157.0,154.4,156.1,5401.0
DSHGARME,2022-05-08,156.0,158.3,154.4,157.2,13312.0
DSHGARME,2022-05-09,157.3,162.5,157.3,161.5,36809.0
DSHGARME,2022-05-10,164.5,167.0,159.0,161.7,66618.0
DSHGARME,2022-05-11,159.1,164.0,158.5,159.2,29153.0
DSHGARME,2022-05-12,159.0,159.9,157.5,158.1,50247.0
DSHGARME,2022-05-16,156.5,156.5,150.3,150.6,35401.0
DSHGARME,2022-05-17,155.5,155.5,146.0,148.8,37398.0
DSHGARME,2022-05-18,149.5,154.9,142.7,144.6,54755.0
DSHGARME,2022-05-19,147.0,147.0,140.0,140.9,37428.0
DSHGARME,2022-05-22,144.9,144.9,135.6,136.5,19714.0
DSHGARME,2022-05-23,145.3,148.0,140.0,146.3,21128.0
DSHGARME,2022-05-24,149.0,152.0,143.1,144.8,34487.0
DSHGARME,2022-05-25,145.8,145.8,140.0,141.1,13157.0
DSHGARME,2022-05-26,147.1,148.0,143.3,146.3,11985.0
DSHGARME,2022-05-29,148.0,160.0,148.0,158.0,52570.0
DSHGARME,2022-05-30,161.0,161.0,154.9,154.9,31519.0
DSHGARME,2022-05-31,154.9,154.9,151.9,152.3,16214.0
DSHGARME,2022-06-01,153.0,158.5,152.1,157.2,48505.0
DSHGARME,2022-06-02,157.2,160.3,155.0,158.2,28320.0
DSHGARME,2022-06-05,158.5,160.0,155.2,156.4,39964.0
DSHGARME,2022-06-06,156.7,156.7,153.4,153.7,22422.0
DSHGARME,2022-06-07,154.5,159.5,154.2,158.6,66510.0
DSHGARME,2022-06-08,158.2,168.6,158.2,164.8,130765.0
DSHGARME,2022-06-09,166.1,167.9,162.9,164.3,68962.0
DSHGARME,2022-06-12,164.0,167.9,163.1,166.3,62010.0
DSHGARME,2022-06-13,167.0,168.0,163.1,165.0,71284.0
DSHGARME,2022-06-14,165.0,167.5,161.7,162.0,38951.0
DSHGARME,2022-06-15,162.0,164.9,160.1,161.1,36362.0
DSHGARME,2022-06-16,163.1,166.6,160.0,161.6,61821.0
DSHGARME,2022-06-19,163.7,163.7,159.0,159.1,15412.0
DSHGARME,2022-06-20,157.2,159.1,156.0,157.9,45435.0
DSHGARME,2022-06-21,158.2,161.9,156.5,161.5,25828.0
DSHGARME,2022-06-22,161.5,165.0,161.5,164.0,44563.0
DSHGARME,2022-06-23,163.7,167.5,163.7,165.9,55446.0
DSHGARME,2022-06-26,165.4,168.7,164.8,165.3,52841.0
DSHGARME,2022-06-27,167.0,167.0,163.6,164.5,35644.0
DSHGARME,2022-06-28,164.0,167.9,164.0,166.6,45237.0
DSHGARME,2022-06-29,166.6,166.7,163.3,163.3,29929.0
DSHGARME,2022-06-30,163.2,163.8,160.2,160.5,54428.0
DSHGARME,2022-07-03,162.9,167.0,161.0,161.7,6236.0
DSHGARME,2022-07-04,162.9,162.9,160.4,161.5,31955.0
DSHGARME,2022-07-05,165.0,165.0,159.3,160.0,16777.0
DSHGARME,2022-07-06,163.2,163.4,160.5,162.4,10099.0
DSHGARME,2022-07-07,162.5,163.4,160.3,161.3,12053.0
DSHGARME,2022-07-12,163.5,163.5,160.1,160.3,6787.0
DSHGARME,2022-07-13,160.4,162.4,157.1,157.2,25963.0
DSHGARME,2022-07-14,157.6,162.0,157.6,161.4,20444.0
DSHGARME,2022-07-17,161.5,163.9,158.4,160.5,19764.0
DSHGARME,2022-07-18,160.9,162.0,157.3,157.3,29046.0
DSHGARME,2022-07-19,154.2,158.9,154.2,154.2,31342.0
DSHGARME,2022-07-20,153.2,157.9,152.1,155.4,17022.0
DSHGARME,2022-07-21,158.8,158.8,152.3,152.3,25390.0
