symbol,date,open,high,low,close,volume
DSSL,2022-01-02,16.0,16.4,15.9,16.3,639307.0
DSSL,2022-01-03,16.4,16.9,16.4,16.6,1108611.0
DSSL,2022-01-04,16.5,16.7,16.2,16.5,1349293.0
DSSL,2022-01-05,16.7,17.4,16.6,17.3,2690060.0
DSSL,2022-01-06,17.4,17.5,17.0,17.1,1599469.0
DSSL,2022-01-09,17.1,17.3,16.4,16.5,1177901.0
DSSL,2022-01-10,16.7,16.7,16.3,16.5,801559.0
DSSL,2022-01-11,16.8,17.6,16.8,17.1,3483628.0
DSSL,2022-01-12,17.1,17.7,17.0,17.1,1885041.0
DSSL,2022-01-13,17.3,17.3,16.8,17.0,1766132.0
DSSL,2022-01-16,16.8,17.8,16.8,17.1,1817008.0
DSSL,2022-01-17,17.3,17.6,17.1,17.3,1251858.0
DSSL,2022-01-18,17.3,17.9,17.3,17.7,3129505.0
DSSL,2022-01-19,17.8,17.9,17.6,17.6,1801706.0
DSSL,2022-01-20,17.7,17.8,17.4,17.5,1305316.0
DSSL,2022-01-23,17.5,17.7,17.1,17.1,979734.0
DSSL,2022-01-24,17.3,17.3,16.8,16.8,681089.0
DSSL,2022-01-25,16.8,17.6,16.8,17.1,1104652.0
DSSL,2022-01-26,17.3,17.5,17.1,17.2,1182397.0
DSSL,2022-01-27,17.3,17.6,17.1,17.3,1413715.0
DSSL,2022-01-30,17.3,17.4,16.7,16.8,1756715.0
DSSL,2022-01-31,17.0,17.0,16.2,16.4,1362884.0
DSSL,2022-02-01,16.8,16.8,16.4,16.6,1610923.0
DSSL,2022-02-02,16.8,16.9,16.6,16.7,778479.0
DSSL,2022-02-03,16.7,16.7,16.4,16.5,1051606.0
DSSL,2022-02-06,16.6,16.7,16.3,16.5,862533.0
DSSL,2022-02-07,16.5,16.7,16.4,16.4,795244.0
DSSL,2022-02-08,16.4,16.6,16.4,16.6,703194.0
DSSL,2022-02-09,16.7,16.9,16.6,16.8,579841.0
DSSL,2022-02-10,16.7,16.9,16.3,16.7,511526.0
DSSL,2022-02-13,16.9,16.9,16.6,16.6,877680.0
DSSL,2022-02-14,16.6,16.7,16.5,16.5,527594.0
DSSL,2022-02-15,16.5,16.6,16.3,16.4,695024.0
DSSL,2022-02-16,16.4,16.6,16.3,16.4,562150.0
DSSL,2022-02-17,16.5,16.6,16.1,16.2,622656.0
DSSL,2022-02-20,16.3,16.3,15.8,15.8,745430.0
DSSL,2022-02-22,15.9,17.3,15.9,17.3,3665635.0
DSSL,2022-02-23,18.0,19.0,18.0,19.0,11514571.0
DSSL,2022-02-24,19.5,20.7,18.9,19.9,13162561.0
DSSL,2022-02-27,20.0,20.1,18.9,19.7,7315387.0
DSSL,2022-02-28,19.8,20.6,19.8,20.1,7306722.0
DSSL,2022-03-01,20.2,20.2,19.2,19.6,5437024.0
DSSL,2022-03-02,19.6,19.9,18.7,19.0,4650429.0
DSSL,2022-03-03,19.1,19.3,18.6,18.9,2959507.0
DSSL,2022-03-06,19.2,19.6,18.1,18.3,2942346.0
DSSL,2022-03-07,18.6,18.6,17.4,17.6,3080943.0
DSSL,2022-03-08,17.9,18.9,17.3,18.6,3602005.0
DSSL,2022-03-09,18.7,20.4,18.7,20.4,7950299.0
DSSL,2022-03-10,21.3,21.6,20.3,21.2,10316895.0
DSSL,2022-03-13,21.5,22.6,21.2,21.7,12198388.0
DSSL,2022-03-14,21.6,21.7,21.3,21.3,6561621.0
DSSL,2022-03-15,21.3,22.0,21.0,21.1,16396508.0
DSSL,2022-03-16,21.3,21.9,21.2,21.6,5655860.0
DSSL,2022-03-20,22.1,22.5,21.8,22.0,12478921.0
DSSL,2022-03-21,22.3,22.6,21.7,22.2,11939189.0
DSSL,2022-03-22,22.5,22.6,21.8,21.9,9116430.0
DSSL,2022-03-23,21.9,22.0,21.5,21.5,5716376.0
DSSL,2022-03-24,21.5,21.5,21.1,21.1,5269011.0
DSSL,2022-03-27,20.9,20.9,20.7,20.7,2950364.0
DSSL,2022-03-28,20.3,20.3,20.3,20.3,437199.0
DSSL,2022-03-29,19.9,21.4,19.9,21.1,12673609.0
DSSL,2022-03-30,21.6,21.6,20.7,20.8,2913612.0
DSSL,2022-03-31,20.5,20.6,20.4,20.4,4124900.0
DSSL,2022-04-03,20.5,20.5,20.0,20.0,4413198.0
DSSL,2022-04-04,19.7,20.4,19.7,19.9,3062737.0
DSSL,2022-04-05,20.0,20.0,19.6,19.6,1880742.0
DSSL,2022-04-06,19.6,19.8,19.3,19.3,1152499.0
DSSL,2022-04-07,19.1,19.2,19.0,19.0,1494206.0
DSSL,2022-04-11,18.3,18.5,18.0,18.1,2014708.0
DSSL,2022-04-12,18.1,18.1,17.8,17.8,733560.0
DSSL,2022-04-13,17.6,17.9,17.5,17.8,1163843.0
DSSL,2022-04-17,17.9,18.1,17.5,17.5,1329048.0
DSSL,2022-04-18,17.5,17.5,17.2,17.2,1267733.0
DSSL,2022-04-19,17.0,17.6,16.9,17.4,1959851.0
DSSL,2022-04-20,17.5,18.0,17.4,17.8,2095818.0
DSSL,2022-04-21,17.8,18.9,17.7,18.6,2672693.0
DSSL,2022-04-24,18.7,18.8,18.3,18.4,1916192.0
DSSL,2022-04-25,18.3,18.3,17.8,18.0,1594233.0
DSSL,2022-04-26,18.0,18.2,17.7,17.9,1512869.0
DSSL,2022-04-27,18.0,18.6,17.9,18.3,1207782.0
DSSL,2022-04-28,18.3,18.3,17.9,18.0,2011317.0
DSSL,2022-05-05,18.0,18.0,17.7,17.9,836330.0
DSSL,2022-05-08,18.0,18.5,17.9,18.4,1766394.0
DSSL,2022-05-09,18.4,18.9,18.4,18.5,3400225.0
DSSL,2022-05-10,18.6,20.2,18.6,19.5,9610258.0
DSSL,2022-05-11,19.4,19.5,18.6,18.7,3762647.0
DSSL,2022-05-12,18.6,19.2,18.2,19.0,3446473.0
DSSL,2022-05-16,19.1,19.1,18.1,18.2,3774662.0
DSSL,2022-05-17,18.5,18.6,17.4,18.0,3103308.0
DSSL,2022-05-18,18.4,18.5,17.1,17.3,3217267.0
DSSL,2022-05-19,17.3,17.9,16.7,17.4,2274954.0
DSSL,2022-05-22,17.7,17.7,16.8,17.0,2204384.0
DSSL,2022-05-23,17.8,18.1,17.4,17.9,1996468.0
DSSL,2022-05-24,18.0,18.4,17.4,17.5,2990103.0
DSSL,2022-05-25,17.5,17.9,17.2,17.7,1184058.0
