symbol,date,open,high,low,close,volume
EASTERNINS,2022-01-02,115.6,116.8,112.4,112.9,483557.0
EASTERNINS,2022-01-03,113.9,114.6,108.8,109.1,1044995.0
EASTERNINS,2022-01-04,110.1,113.9,108.2,108.8,886236.0
EASTERNINS,2022-01-05,110.0,112.7,108.1,108.5,678028.0
EASTERNINS,2022-01-06,109.2,110.4,105.6,106.1,757977.0
EASTERNINS,2022-01-09,107.4,109.3,105.9,106.2,457043.0
EASTERNINS,2022-01-10,107.6,107.8,104.2,105.3,513415.0
EASTERNINS,2022-01-11,105.3,108.2,103.0,103.6,839042.0
EASTERNINS,2022-01-12,105.9,106.0,103.2,104.0,320927.0
EASTERNINS,2022-01-13,105.0,105.0,101.1,102.0,429762.0
EASTERNINS,2022-01-16,104.7,104.9,99.7,100.7,476389.0
EASTERNINS,2022-01-17,101.0,109.9,100.8,105.5,572903.0
EASTERNINS,2022-01-18,107.0,107.0,102.1,102.6,414440.0
EASTERNINS,2022-01-19,104.5,104.8,101.0,101.4,303220.0
EASTERNINS,2022-01-20,102.9,103.8,100.9,102.0,345998.0
EASTERNINS,2022-01-23,104.0,107.1,104.0,105.9,461283.0
EASTERNINS,2022-01-24,106.9,107.1,102.5,103.2,325603.0
EASTERNINS,2022-01-25,102.0,105.2,102.0,102.5,235952.0
EASTERNINS,2022-01-26,102.4,104.5,102.0,102.2,206090.0
EASTERNINS,2022-01-27,103.6,103.6,95.5,97.3,1278077.0
EASTERNINS,2022-01-30,98.0,101.9,98.0,100.1,276855.0
EASTERNINS,2022-01-31,100.5,101.9,99.0,99.9,534215.0
EASTERNINS,2022-02-01,100.4,101.8,99.5,99.8,345389.0
EASTERNINS,2022-02-02,101.3,102.9,99.6,102.1,340789.0
EASTERNINS,2022-02-03,102.9,104.9,101.5,102.0,545616.0
EASTERNINS,2022-02-06,102.8,104.8,101.1,102.5,555130.0
EASTERNINS,2022-02-07,103.9,104.6,101.2,103.1,527902.0
EASTERNINS,2022-02-08,104.0,105.2,103.0,103.2,380529.0
EASTERNINS,2022-02-09,103.2,104.0,101.2,101.7,315631.0
EASTERNINS,2022-02-10,101.9,102.7,99.4,100.4,286021.0
EASTERNINS,2022-02-13,101.0,101.7,97.5,98.5,446322.0
EASTERNINS,2022-02-14,98.8,99.8,96.8,97.0,265568.0
EASTERNINS,2022-02-15,97.5,97.5,94.9,95.4,358266.0
EASTERNINS,2022-02-16,95.5,96.7,94.5,95.1,241285.0
EASTERNINS,2022-02-17,96.0,96.7,93.1,94.1,297284.0
EASTERNINS,2022-02-20,94.6,95.0,92.0,92.3,267900.0
EASTERNINS,2022-02-22,94.0,94.0,90.8,91.0,167326.0
EASTERNINS,2022-02-23,91.2,92.6,90.5,90.7,210837.0
EASTERNINS,2022-02-24,90.8,91.1,85.2,86.1,342795.0
EASTERNINS,2022-02-27,86.0,86.0,81.0,81.4,284936.0
