symbol,date,open,high,low,close,volume
EASTRNLUB,2022-01-02,3040.0,3094.8,2971.1,3094.8,10249.0
EASTRNLUB,2022-01-03,3249.5,3249.5,3040.0,3067.0,32217.0
EASTRNLUB,2022-01-04,3060.0,3178.0,3006.0,3119.3,13207.0
EASTRNLUB,2022-01-05,3169.0,3169.0,3010.0,3017.3,13265.0
EASTRNLUB,2022-01-06,3000.0,3040.0,2888.0,2893.3,12065.0
EASTRNLUB,2022-01-09,2895.0,3028.0,2876.0,2905.5,7916.0
EASTRNLUB,2022-01-10,2962.9,3050.7,2935.0,3036.6,12613.0
EASTRNLUB,2022-01-11,3094.7,3149.0,3010.0,3028.3,13525.0
EASTRNLUB,2022-01-12,3045.0,3075.0,2952.1,3002.8,11613.0
EASTRNLUB,2022-01-13,3000.0,3098.8,2986.0,3040.0,11002.0
EASTRNLUB,2022-01-16,3070.0,3190.0,3070.0,3168.8,16625.0
EASTRNLUB,2022-01-17,3220.0,3260.0,3191.0,3210.1,20978.0
EASTRNLUB,2022-01-19,2808.8,2808.8,2760.0,2808.8,20418.0
EASTRNLUB,2022-01-20,2835.0,2835.0,2668.4,2668.4,18397.0
EASTRNLUB,2022-01-23,2639.0,2640.0,2536.1,2541.1,13434.0
EASTRNLUB,2022-01-24,2555.0,2638.0,2488.1,2496.6,13073.0
EASTRNLUB,2022-01-25,2555.0,2580.0,2452.0,2468.0,7236.0
EASTRNLUB,2022-01-26,2510.0,2510.0,2450.0,2457.3,4844.0
EASTRNLUB,2022-01-27,2475.0,2545.0,2450.0,2521.3,5883.0
EASTRNLUB,2022-01-30,2450.0,2450.0,2395.3,2395.3,8576.0
EASTRNLUB,2022-01-31,2292.0,2359.0,2282.0,2294.4,8751.0
EASTRNLUB,2022-02-01,2300.0,2337.5,2250.1,2265.0,5966.0
EASTRNLUB,2022-02-02,2263.0,2300.0,2261.0,2266.5,4441.0
EASTRNLUB,2022-02-03,2289.8,2289.8,2255.6,2257.7,4471.0
EASTRNLUB,2022-02-06,2270.0,2270.0,2180.0,2186.2,7624.0
EASTRNLUB,2022-02-07,2225.0,2235.0,2135.0,2150.6,5912.0
EASTRNLUB,2022-02-08,2151.0,2180.0,2100.0,2124.0,6580.0
EASTRNLUB,2022-02-09,2122.0,2230.2,2122.0,2230.2,5000.0
EASTRNLUB,2022-02-10,2274.9,2279.0,2125.0,2189.8,7581.0
EASTRNLUB,2022-02-13,2190.0,2240.0,2155.2,2192.5,5702.0
EASTRNLUB,2022-02-14,2195.0,2223.7,2151.5,2158.8,3883.0
EASTRNLUB,2022-02-15,2167.0,2189.9,2140.0,2154.7,5763.0
EASTRNLUB,2022-02-16,2164.1,2181.9,2128.0,2148.2,3551.0
EASTRNLUB,2022-02-17,2149.2,2164.0,2111.0,2122.5,6054.0
EASTRNLUB,2022-02-20,2150.0,2228.6,2132.2,2228.6,10428.0
EASTRNLUB,2022-02-22,2241.4,2340.0,2241.4,2340.0,16933.0
EASTRNLUB,2022-02-23,2365.0,2400.1,2301.0,2309.5,13768.0
EASTRNLUB,2022-02-24,2337.0,2337.0,2194.1,2221.5,10484.0
EASTRNLUB,2022-02-27,2222.0,2222.0,2115.0,2130.2,4274.0
EASTRNLUB,2022-02-28,2130.2,2209.0,2130.0,2162.4,3639.0
EASTRNLUB,2022-03-01,2190.0,2220.0,2171.0,2182.9,1649.0
