symbol,date,open,high,low,close,volume
EBL,2022-01-02,38.6,38.6,37.3,37.8,159798.0
EBL,2022-01-03,38.0,38.1,37.8,37.9,211336.0
EBL,2022-01-04,37.9,38.5,37.7,38.2,199117.0
EBL,2022-01-05,38.5,38.7,38.1,38.5,131209.0
EBL,2022-01-06,38.5,38.9,38.4,38.5,303517.0
EBL,2022-01-09,38.6,39.0,37.7,38.4,188738.0
EBL,2022-01-10,38.4,39.1,38.1,38.2,199763.0
EBL,2022-01-11,38.4,38.9,37.8,38.2,379585.0
EBL,2022-01-12,38.2,39.1,38.1,38.6,496850.0
EBL,2022-01-13,38.4,39.0,38.3,38.5,303253.0
EBL,2022-01-16,38.5,38.8,38.5,38.6,234314.0
EBL,2022-01-17,38.9,38.9,38.0,38.3,41256.0
EBL,2022-01-18,38.2,38.6,38.2,38.5,45399.0
EBL,2022-01-19,38.5,38.6,38.3,38.5,233009.0
EBL,2022-01-20,38.5,38.7,38.4,38.6,183043.0
EBL,2022-01-23,38.4,38.8,38.4,38.5,216569.0
EBL,2022-01-24,38.4,38.6,38.0,38.5,420959.0
EBL,2022-01-25,38.1,38.9,38.0,38.4,477586.0
EBL,2022-01-26,38.7,38.7,38.0,38.2,91317.0
EBL,2022-01-27,38.8,38.8,38.4,38.6,236137.0
EBL,2022-01-30,38.4,38.7,38.1,38.3,2440434.0
EBL,2022-01-31,38.7,38.7,37.4,37.5,513647.0
EBL,2022-02-01,38.3,38.5,37.9,38.5,101425.0
EBL,2022-02-02,38.4,38.6,38.4,38.6,247420.0
EBL,2022-02-03,38.5,38.9,38.4,38.8,322240.0
EBL,2022-02-06,38.8,39.2,38.4,38.9,441294.0
EBL,2022-02-07,38.9,39.1,38.6,38.7,222932.0
EBL,2022-02-08,38.9,38.9,38.7,38.8,134782.0
EBL,2022-02-09,38.8,38.8,38.3,38.4,356817.0
EBL,2022-02-10,38.9,38.9,38.0,38.6,602072.0
EBL,2022-02-13,38.6,38.8,38.2,38.5,200108.0
EBL,2022-02-14,38.8,38.8,38.0,38.1,329884.0
EBL,2022-02-15,38.2,38.8,38.2,38.2,173332.0
EBL,2022-02-16,38.6,38.6,38.1,38.2,159169.0
EBL,2022-02-17,38.2,38.5,38.2,38.2,719612.0
EBL,2022-02-20,38.4,38.5,38.1,38.1,292321.0
EBL,2022-02-22,38.4,38.6,38.2,38.4,367338.0
EBL,2022-02-23,38.3,38.4,38.2,38.4,291805.0
EBL,2022-02-24,38.6,38.6,38.2,38.2,127130.0
EBL,2022-02-27,37.8,38.7,37.7,37.9,431228.0
EBL,2022-02-28,37.7,38.4,37.5,38.2,246589.0
EBL,2022-03-01,38.6,38.6,38.0,38.1,96277.0
EBL,2022-03-02,38.1,38.5,37.6,37.8,151397.0
EBL,2022-03-03,38.2,38.8,37.9,38.1,70732.0
EBL,2022-03-06,38.4,38.5,37.8,38.0,74427.0
EBL,2022-03-07,38.4,38.7,37.5,37.7,121763.0
EBL,2022-03-08,38.0,38.1,37.0,37.7,132499.0
EBL,2022-03-09,37.5,38.0,37.5,38.0,151026.0
EBL,2022-03-10,38.4,38.4,37.6,37.7,200430.0
EBL,2022-03-13,38.4,38.4,37.6,37.9,340907.0
EBL,2022-03-14,38.4,38.4,38.0,38.2,100212.0
EBL,2022-03-15,38.2,38.6,38.1,38.2,34246.0
EBL,2022-03-16,38.5,38.6,38.4,38.5,220031.0
EBL,2022-03-20,38.5,38.7,38.4,38.5,258033.0
EBL,2022-03-21,38.5,38.5,38.2,38.3,41033.0
EBL,2022-03-22,38.4,38.6,38.4,38.6,314688.0
EBL,2022-03-23,38.7,39.3,38.6,39.2,399958.0
EBL,2022-03-24,39.2,39.7,39.1,39.6,695888.0
