symbol,date,open,high,low,close,volume
EBL1STMF,2022-01-02,7.6,7.6,7.5,7.5,17050.0
EBL1STMF,2022-01-03,7.7,7.8,7.7,7.8,25865.0
EBL1STMF,2022-01-04,7.9,7.9,7.7,7.8,69401.0
EBL1STMF,2022-01-05,7.8,7.9,7.5,7.6,106814.0
EBL1STMF,2022-01-06,7.7,7.8,7.5,7.5,428051.0
EBL1STMF,2022-01-09,7.7,7.8,7.6,7.6,60338.0
EBL1STMF,2022-01-10,7.7,7.7,7.5,7.5,81190.0
EBL1STMF,2022-01-11,7.6,7.7,7.4,7.5,162214.0
EBL1STMF,2022-01-12,7.6,7.9,7.6,7.7,557040.0
EBL1STMF,2022-01-13,7.8,7.8,7.5,7.7,88740.0
EBL1STMF,2022-01-16,7.8,7.8,7.7,7.7,78889.0
EBL1STMF,2022-01-17,7.7,7.8,7.6,7.6,33241.0
EBL1STMF,2022-01-18,7.6,7.7,7.5,7.6,59717.0
EBL1STMF,2022-01-19,7.7,7.7,7.5,7.5,128724.0
EBL1STMF,2022-01-20,7.7,7.8,7.5,7.6,65799.0
EBL1STMF,2022-01-23,7.6,7.7,7.5,7.6,74823.0
EBL1STMF,2022-01-24,7.7,7.7,7.5,7.5,113623.0
EBL1STMF,2022-01-25,7.5,7.7,7.5,7.6,57051.0
EBL1STMF,2022-01-26,7.6,7.7,7.5,7.5,32170.0
EBL1STMF,2022-01-27,7.6,7.6,7.5,7.5,28621.0
EBL1STMF,2022-01-30,7.5,7.6,7.4,7.5,113594.0
EBL1STMF,2022-01-31,7.5,7.7,7.5,7.6,80229.0
EBL1STMF,2022-02-01,7.6,7.7,7.5,7.6,52402.0
EBL1STMF,2022-02-02,7.5,7.6,7.4,7.5,76084.0
EBL1STMF,2022-02-03,7.6,7.6,7.5,7.5,63846.0
EBL1STMF,2022-02-06,7.5,7.6,7.4,7.4,98502.0
EBL1STMF,2022-02-07,7.5,7.6,7.4,7.5,33152.0
EBL1STMF,2022-02-08,7.5,7.6,7.4,7.5,47548.0
EBL1STMF,2022-02-09,7.5,7.6,7.5,7.5,53944.0
EBL1STMF,2022-02-10,7.5,7.6,7.4,7.5,107303.0
