symbol,date,open,high,low,close,volume
ECABLES,2022-01-02,134.0,134.6,130.1,131.0,6795.0
ECABLES,2022-01-03,134.7,134.7,130.5,131.3,2589.0
ECABLES,2022-01-04,132.0,132.0,130.1,130.4,4782.0
ECABLES,2022-01-05,130.1,132.6,130.1,131.5,5392.0
ECABLES,2022-01-06,132.0,133.7,131.0,132.2,13167.0
ECABLES,2022-01-09,132.3,133.4,131.2,131.7,2904.0
ECABLES,2022-01-10,132.0,136.0,130.0,135.3,14611.0
ECABLES,2022-01-11,137.0,148.8,137.0,148.8,91808.0
ECABLES,2022-01-12,159.4,159.4,142.1,144.7,90457.0
ECABLES,2022-01-13,146.9,152.9,143.0,150.7,68777.0
ECABLES,2022-01-16,150.1,155.0,144.1,145.2,48395.0
ECABLES,2022-01-17,145.0,145.5,139.2,141.4,38083.0
ECABLES,2022-01-18,141.7,142.0,139.0,139.6,18090.0
ECABLES,2022-01-19,144.3,144.3,140.0,140.9,23422.0
ECABLES,2022-01-20,140.9,143.9,135.1,135.9,23191.0
ECABLES,2022-01-23,134.0,138.7,133.9,137.2,8365.0
ECABLES,2022-01-24,137.1,139.5,135.8,136.0,8521.0
ECABLES,2022-01-25,136.0,136.0,133.2,133.8,17419.0
ECABLES,2022-01-26,134.8,136.8,132.0,133.0,11534.0
ECABLES,2022-01-27,135.0,135.0,131.6,132.2,12697.0
ECABLES,2022-01-30,131.3,136.5,131.0,131.5,21206.0
ECABLES,2022-01-31,130.7,134.3,130.7,132.0,18008.0
ECABLES,2022-02-01,132.1,133.9,132.0,132.2,9047.0
ECABLES,2022-02-02,133.1,136.0,133.1,134.2,6188.0
ECABLES,2022-02-03,136.0,136.0,131.6,132.0,12213.0
ECABLES,2022-02-06,132.1,134.0,132.0,132.6,8809.0
ECABLES,2022-02-07,135.9,135.9,132.5,132.5,15160.0
ECABLES,2022-02-08,132.5,136.0,132.5,135.8,9369.0
ECABLES,2022-02-09,135.8,142.0,135.8,136.8,18653.0
ECABLES,2022-02-10,136.8,142.0,136.0,136.3,5383.0
ECABLES,2022-02-13,138.5,139.0,135.6,136.1,5499.0
ECABLES,2022-02-14,135.4,139.8,135.3,137.6,12999.0
ECABLES,2022-02-15,137.9,138.4,136.0,136.2,5462.0
ECABLES,2022-02-16,136.0,139.0,134.9,135.4,14403.0
ECABLES,2022-02-17,136.3,148.8,136.2,143.9,69500.0
ECABLES,2022-02-20,145.3,157.0,145.3,152.1,136223.0
ECABLES,2022-02-22,152.0,157.0,144.0,145.3,62251.0
ECABLES,2022-02-23,146.0,150.0,140.0,143.6,29350.0
ECABLES,2022-02-24,145.1,145.1,137.1,138.6,27388.0
ECABLES,2022-02-27,144.8,144.8,131.5,133.0,32142.0
ECABLES,2022-02-28,138.9,138.9,132.0,135.6,12771.0
ECABLES,2022-03-01,138.8,138.8,132.1,134.4,19156.0
ECABLES,2022-03-02,133.0,134.0,132.0,132.6,4682.0
ECABLES,2022-03-03,132.6,134.8,131.0,133.3,8047.0
ECABLES,2022-03-06,134.0,137.0,133.9,135.0,13170.0
ECABLES,2022-03-07,136.5,138.4,132.0,132.5,27322.0
ECABLES,2022-03-08,132.5,135.0,130.0,132.5,8736.0
ECABLES,2022-03-09,129.9,135.7,129.9,135.1,24187.0
ECABLES,2022-03-10,136.7,136.7,132.4,132.5,14410.0
ECABLES,2022-03-13,132.6,135.9,132.6,135.0,6513.0
ECABLES,2022-03-14,133.6,136.0,133.0,133.8,20597.0
ECABLES,2022-03-15,135.9,135.9,134.1,134.8,3703.0
ECABLES,2022-03-16,133.5,136.9,133.4,136.3,7534.0
ECABLES,2022-03-20,134.3,138.0,134.3,134.5,13742.0
ECABLES,2022-03-21,137.0,137.0,134.0,135.8,7418.0
ECABLES,2022-03-22,135.0,138.8,135.0,138.1,14727.0
ECABLES,2022-03-23,138.1,140.1,137.1,139.9,23124.0
ECABLES,2022-03-24,140.0,151.6,140.0,145.3,58622.0
ECABLES,2022-03-27,143.1,148.3,143.1,145.9,21036.0
ECABLES,2022-03-28,145.0,145.1,143.0,143.4,24422.0
ECABLES,2022-03-29,142.1,143.0,140.6,141.4,21611.0
ECABLES,2022-03-30,139.5,140.0,138.6,139.8,8396.0
ECABLES,2022-03-31,144.0,144.0,139.4,139.9,7231.0
ECABLES,2022-04-03,139.5,141.6,137.3,141.1,8290.0
ECABLES,2022-04-04,138.4,141.0,138.3,138.3,10947.0
ECABLES,2022-04-05,136.7,142.6,136.0,136.6,6455.0
ECABLES,2022-04-06,135.1,139.3,133.9,136.8,4494.0
ECABLES,2022-04-07,140.0,140.0,136.3,138.4,710.0
ECABLES,2022-04-10,140.0,140.0,137.1,137.2,534.0
ECABLES,2022-04-11,139.0,139.0,135.9,135.9,2428.0
ECABLES,2022-04-12,138.0,138.0,137.5,137.7,1829.0
ECABLES,2022-04-13,139.9,139.9,135.0,135.2,4436.0
ECABLES,2022-04-17,137.0,137.5,134.0,134.8,9705.0
ECABLES,2022-04-18,136.8,136.8,132.2,133.2,6458.0
ECABLES,2022-04-19,137.8,137.8,130.7,134.1,5995.0
ECABLES,2022-04-20,132.7,135.9,132.7,134.8,9212.0
ECABLES,2022-04-21,135.5,136.6,135.0,135.3,4490.0
ECABLES,2022-04-24,135.8,137.9,134.3,135.6,2942.0
ECABLES,2022-04-25,135.0,136.4,132.5,132.9,11135.0
ECABLES,2022-04-26,133.1,133.2,132.9,133.0,2963.0
ECABLES,2022-04-27,137.0,137.0,131.6,132.7,12058.0
ECABLES,2022-04-28,135.7,135.7,132.7,133.7,11532.0
ECABLES,2022-05-05,132.3,140.0,132.1,137.4,9712.0
ECABLES,2022-05-08,139.4,139.4,136.1,136.7,3391.0
ECABLES,2022-05-09,136.7,138.0,136.0,136.5,6837.0
ECABLES,2022-05-10,133.5,140.5,133.5,139.1,20712.0
ECABLES,2022-05-11,139.5,141.9,135.3,136.8,14672.0
ECABLES,2022-05-12,133.1,138.0,133.1,133.9,9241.0
ECABLES,2022-05-16,134.0,134.0,127.4,128.4,15091.0
ECABLES,2022-05-17,128.4,135.0,122.3,129.8,11728.0
ECABLES,2022-05-18,130.1,131.6,127.0,127.8,6824.0
ECABLES,2022-05-19,125.8,133.6,125.8,127.9,4301.0
ECABLES,2022-05-22,128.0,128.0,121.6,121.8,27647.0
ECABLES,2022-05-23,126.7,132.9,126.7,127.4,6095.0
ECABLES,2022-05-24,127.4,127.8,124.1,124.3,21511.0
ECABLES,2022-05-25,131.9,131.9,123.2,123.8,7401.0
ECABLES,2022-05-26,128.0,128.0,123.0,123.6,2524.0
ECABLES,2022-05-29,126.0,131.5,126.0,129.3,5584.0
ECABLES,2022-05-30,129.3,131.5,127.2,127.6,17659.0
ECABLES,2022-05-31,128.0,128.0,125.1,125.9,5552.0
ECABLES,2022-06-01,126.5,132.5,126.5,131.4,11204.0
ECABLES,2022-06-02,133.7,133.8,129.2,130.6,9402.0
ECABLES,2022-06-05,132.4,132.5,129.5,130.4,3396.0
ECABLES,2022-06-06,130.5,132.1,129.2,129.7,6482.0
