symbol,date,open,high,low,close,volume
EHL,2022-01-02,47.4,49.0,47.0,48.5,80610.0
EHL,2022-01-03,48.6,52.5,48.5,50.4,266560.0
EHL,2022-01-04,51.4,51.4,49.6,49.7,53190.0
EHL,2022-01-05,50.3,52.0,50.0,50.8,171221.0
EHL,2022-01-06,50.7,52.9,50.6,52.4,326890.0
EHL,2022-01-09,52.1,53.4,50.2,50.7,198773.0
EHL,2022-01-10,51.6,55.7,50.6,55.7,1182944.0
EHL,2022-01-11,56.1,57.9,52.5,54.0,591982.0
EHL,2022-01-12,53.9,54.4,52.5,52.9,649303.0
EHL,2022-01-13,52.9,53.7,52.4,52.6,248013.0
EHL,2022-01-16,52.7,56.5,52.2,54.1,648229.0
EHL,2022-01-17,53.0,55.5,53.0,54.1,300985.0
EHL,2022-01-18,54.8,59.3,54.6,58.1,1743418.0
EHL,2022-01-19,58.2,59.8,56.8,57.8,842735.0
EHL,2022-01-20,57.6,61.0,57.5,58.1,1245610.0
EHL,2022-01-23,58.0,58.7,57.0,57.5,280160.0
EHL,2022-01-24,57.7,57.7,55.1,55.5,251286.0
EHL,2022-01-25,56.8,58.8,55.5,57.7,546668.0
EHL,2022-01-26,58.0,61.9,58.0,61.1,1310883.0
EHL,2022-01-27,62.0,62.0,58.3,58.8,434859.0
EHL,2022-01-30,61.2,63.8,59.5,61.6,2683583.0
EHL,2022-01-31,62.0,62.4,59.5,59.9,628288.0
EHL,2022-02-01,60.5,61.5,59.9,60.1,729949.0
EHL,2022-02-02,60.6,62.5,58.5,59.0,949320.0
EHL,2022-02-03,59.0,60.0,57.7,58.0,352686.0
EHL,2022-02-06,57.5,59.0,57.2,57.6,406874.0
EHL,2022-02-07,57.9,59.0,56.6,57.0,452225.0
EHL,2022-02-08,58.4,58.4,56.5,56.8,349722.0
EHL,2022-02-09,57.7,59.1,56.9,58.6,533920.0
EHL,2022-02-10,58.9,60.7,58.9,59.5,709950.0
EHL,2022-02-13,59.6,60.7,58.5,59.2,555043.0
EHL,2022-02-14,59.5,59.5,57.1,57.4,305235.0
EHL,2022-02-15,57.7,58.2,56.6,56.8,299148.0
EHL,2022-02-16,57.9,58.5,56.7,57.1,313359.0
EHL,2022-02-17,58.0,58.0,56.8,57.0,272028.0
EHL,2022-02-20,57.0,57.2,55.1,55.4,273896.0
EHL,2022-02-22,55.4,56.7,55.4,56.3,118187.0
EHL,2022-02-23,57.0,57.0,56.2,56.4,275354.0
EHL,2022-02-24,56.8,56.8,54.4,54.7,250307.0
EHL,2022-02-27,55.0,55.0,52.7,52.8,170032.0
EHL,2022-02-28,54.0,54.8,52.5,52.8,267732.0
EHL,2022-03-01,53.9,54.2,52.9,53.1,190250.0
EHL,2022-03-02,53.7,53.7,51.8,52.1,118049.0
EHL,2022-03-03,53.0,53.0,51.4,51.7,132962.0
EHL,2022-03-06,52.0,53.0,51.2,51.3,98201.0
EHL,2022-03-07,51.0,51.3,49.0,49.3,363820.0
EHL,2022-03-08,49.9,50.9,48.0,50.2,221307.0
EHL,2022-03-09,51.0,52.4,51.0,52.1,246725.0
EHL,2022-03-10,52.1,53.0,51.4,51.9,295709.0
EHL,2022-03-13,52.0,54.7,52.0,54.2,354161.0
EHL,2022-03-14,54.4,55.2,53.2,53.3,426487.0
EHL,2022-03-15,53.3,54.8,52.7,54.0,315018.0
EHL,2022-03-16,54.5,54.8,54.0,54.6,471444.0
EHL,2022-03-20,54.6,54.8,53.6,53.6,165323.0
EHL,2022-03-21,52.7,54.1,52.6,53.6,190097.0
EHL,2022-03-22,54.3,54.8,53.7,54.6,289297.0
EHL,2022-03-23,55.0,58.5,54.6,56.3,908701.0
EHL,2022-03-24,56.4,57.0,55.6,56.5,259503.0
EHL,2022-03-27,56.9,57.0,55.4,55.4,323557.0
EHL,2022-03-28,55.2,57.0,55.0,56.7,394471.0
EHL,2022-03-29,56.5,57.5,56.2,56.6,318584.0
EHL,2022-03-30,56.8,56.9,55.5,55.5,213188.0
EHL,2022-03-31,55.0,55.5,54.4,54.8,288532.0
EHL,2022-04-03,54.9,56.2,54.9,55.5,150320.0
EHL,2022-04-04,55.9,55.9,54.7,55.0,66089.0
EHL,2022-04-05,55.4,55.4,53.9,54.2,122968.0
EHL,2022-04-06,54.9,54.9,53.2,53.5,158236.0
EHL,2022-04-07,52.9,53.9,52.5,53.4,117653.0
EHL,2022-04-10,54.8,54.8,53.5,54.4,194515.0
EHL,2022-04-11,54.2,54.5,53.7,53.8,66324.0
EHL,2022-04-12,53.8,54.5,52.8,52.8,91421.0
EHL,2022-04-13,54.0,54.0,52.1,53.3,74590.0
EHL,2022-04-17,53.9,53.9,52.4,52.7,97012.0
EHL,2022-04-18,52.5,52.8,51.7,52.0,113758.0
EHL,2022-04-19,51.8,53.4,51.4,53.2,185107.0
EHL,2022-04-20,53.7,55.3,53.1,54.7,300666.0
EHL,2022-04-21,54.7,55.3,54.5,54.9,273370.0
EHL,2022-04-24,55.0,55.0,54.2,54.7,222869.0
